"""Munic¡pio"";""2023/Out"";""2023/Nov"";""2023/Dez"";""2024/Jan"";""2024/Fev"";""2024/Mar"";""2024/Abr"";""2024/Mai"";""2024/Jun"";""2024/Jul"";""2024/Ago"";""2024/Set"";""2024/Out"";""2024/Nov"";""2024/Dez"";""2025/Jan"";""2025/Fev"";""2025/Mar"";""2025/Abr"";""2025/Mai"";""2025/Jun"";""2025/Jul"";""2025/Ago"";""2025/Set"";""2025/Out"";""2025/Nov"";""2025/Dez"";""2026/Jan"";""Total"""
"""350010 ADAMANTINA"";-;-;-;408;538;630;480;487;499;454;605;637;617;441;355;432;480;401;437;26487;30190;38195;38641;38857;39691;35641;27341;35400;318344"
"""350020 ADOLFO"";-;-;-;12532;9974;9574;15836;15617;15239;13939;19446;15881;18398;18603;12898;19276;18499;15047;18746;19411;18311;19183;21056;20635;13519;20868;18064;19773;420325"
"""350030 AGUAI"";-;-;-;1910;8876;35858;44292;41743;39801;33836;30909;41719;18979;19153;21583;29239;29363;28889;33489;33017;33761;36163;37030;34569;32659;29658;27856;40374;764726"
"""350040 AGUAS DA PRATA"";-;-;-;4231;3815;4259;3829;4856;3474;2825;-;4642;5131;6799;1577;6984;5539;4803;5686;5970;7256;5757;6471;5375;5784;6486;6041;-;117590"
"""350050 AGUAS DE LINDOIA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;47;69;76;84;50;-;-;39;-;92;45;502"
"""350055 AGUAS DE SANTA BARBARA"";-;-;-;6072;6043;4629;4669;5964;4500;3356;4879;5419;5242;5231;2091;4132;5184;2366;5635;6089;5280;4626;5669;9092;6425;2687;5005;5039;125324"
"""350060 AGUAS DE SAO PEDRO"";-;-;-;4389;4788;5107;5622;5728;5424;4624;5075;4998;4934;4933;4697;5600;6334;6538;6014;6269;5611;5573;5754;6295;6077;5817;5316;4582;136099"
"""350070 AGUDOS"";-;-;-;27814;31637;42482;44196;41621;42257;32750;37244;45376;42256;37619;36395;20680;39491;35054;39962;39862;45120;34308;38408;46519;44830;38832;34861;26688;946262"
"""350075 ALAMBARI"";-;-;-;10003;11663;12978;15094;13416;13260;11154;13337;13162;13356;12905;9682;11871;11951;12775;12681;12727;11623;12564;13501;13313;12899;13154;11270;10967;311306"
"""350080 ALFREDO MARCONDES"";-;-;-;1850;2805;1090;-;-;-;-;-;-;-;-;-;-;-;-;7;2;4;-;13;1;3;2;-;-;5777"
"""350090 ALTAIR"";-;-;-;6109;5881;6620;7648;7490;7729;6560;6911;9199;9414;8414;8377;7419;7113;8750;9890;8427;7220;7060;7663;7416;8607;5586;8114;-;183617"
"""350100 ALTINOPOLIS"";-;-;-;20745;21551;24822;30759;26341;25531;22873;25899;26066;25612;20752;18841;22523;23466;21531;23115;23849;23359;23921;26600;24313;24190;21349;17367;21047;586422"
"""350110 ALTO ALEGRE"";-;-;-;367;329;379;357;189;276;279;287;264;289;277;275;329;397;297;379;357;379;379;-;277;297;327;297;6250;13533"
"""350115 ALUMINIO"";-;-;-;369;315;5032;583;2318;479;513;552;567;52;379;3218;5032;6056;7107;5807;8361;7073;7494;8520;112;96;75;2568;6055;78733"
"""350120 ALVARES FLORENCE"";-;-;-;4;39;40;20;40;37;41;10051;9724;4722;41;27;70;30;79;116;41;43;35;31;25;24;21;18;12;25331"
"""350130 ALVARES MACHADO"";-;-;-;2368;2710;2483;3731;2380;2505;1847;1861;1900;2001;1482;255;2521;4577;1691;3738;4461;3445;3855;4443;4589;1603;1896;1598;1111;65051"
"""350140 ALVARO DE CARVALHO"";-;-;5047;-;7298;8087;9264;7399;7078;7724;8879;8569;9865;6765;7628;14764;8716;8405;9396;8831;7909;9708;9210;9046;9515;7574;7934;7677;212288"
"""350150 ALVINLANDIA"";-;-;-;2672;2945;4254;4434;5218;4080;2797;4298;4177;5255;4594;2801;6791;4513;3698;3287;2083;2275;-;-;-;-;-;-;-;70172"
"""350160 AMERICANA"";-;-;-;22456;34782;35917;28933;39486;34244;31143;38586;38700;35992;33401;30047;34616;43386;52473;45171;46581;48113;44834;49012;52107;53708;49569;40552;38818;1002627"
"""350170 AMERICO BRASILIENSE"";-;-;-;15752;13923;13310;15571;11890;13296;11530;11950;7584;6461;6188;4133;18045;18917;22865;10365;9632;20249;16883;4285;9722;26665;1825;10802;8773;310616"
"""350180 AMERICO DE CAMPOS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24;15;195;212;192;203;64;74;3301;4545;8825"
"""350190 AMPARO"";5;52;64;2097;2794;6492;9336;9336;8044;9942;11705;10052;13641;11224;10126;10897;11827;13512;12102;12374;9693;10409;10302;10455;11429;9087;8234;7648;242879"
"""350200 ANALANDIA"";-;-;-;5954;7692;9536;11416;10323;10981;7205;5044;14211;13454;13293;9824;9262;10391;13804;13258;14438;14976;12480;-;-;-;-;-;-;207542"
"""350210 ANDRADINA"";-;-;-;12073;13990;16317;16501;15370;14512;11613;14656;16707;18649;27409;24753;27596;28490;29997;36056;44930;49754;42311;50646;59414;52196;46028;41782;-;711750"
"""350220 ANGATUBA"";-;-;-;549;564;593;709;640;572;434;395;522;391;847;640;394;649;815;724;717;714;455;711;683;649;741;677;545;15330"
"""350230 ANHEMBI"";-;1;4;9178;9247;10797;11866;11520;11928;11174;13197;13440;10785;7861;6342;10685;10043;10303;11804;11510;9990;11307;13220;13517;12959;12749;10113;10395;275935"
"""350240 ANHUMAS"";-;-;-;1403;3416;3831;4303;3814;4083;3351;3562;4705;3957;3199;2258;3040;2906;6511;6129;4928;3902;3283;4242;4685;5800;4072;3774;4054;99208"
"""350250 APARECIDA"";-;-;-;8501;7983;10179;9666;9335;9338;9310;10560;11010;11174;9573;7710;8457;6629;7290;8396;10065;3798;8405;11824;9536;8816;8404;7505;7407;220871"
"""350260 APARECIDA D'OESTE"";-;-;-;2172;3659;110132;7859;104580;6502;5313;7271;5682;2461;1760;1733;4394;3308;2278;3525;4000;2220;3957;4511;2272;3271;3652;2398;3073;301983"
"""350270 APIAI"";-;-;-;253;248;148;401;497;254;250;178;1330;1632;1533;1048;1447;1320;1642;1614;1838;1551;1338;1496;1659;1612;1797;1106;1020;27212"
