"""Munic¡pio"";""2023/Out"";""2023/Nov"";""2023/Dez"";""2024/Jan"";""2024/Fev"";""2024/Mar"";""2024/Abr"";""2024/Mai"";""2024/Jun"";""2024/Jul"";""2024/Ago"";""2024/Set"";""2024/Out"";""2024/Nov"";""2024/Dez"";""2025/Jan"";""2025/Fev"";""2025/Mar"";""2025/Abr"";""2025/Mai"";""2025/Jun"";""2025/Jul"";""2025/Ago"";""2025/Set"";""2025/Out"";""2025/Nov"";""2025/Dez"";""2026/Jan"";""Total"""
"""350010 ADAMANTINA"";-;-;-;1086;1088;1102;1505;1546;1354;1455;1484;1166;1288;1237;1290;1319;1426;1867;1741;1598;1463;1602;1492;2169;1674;1688;1541;1647;36828"
"""350090 ALTAIR"";-;-;-;-;-;-;-;-;5;4;-;-;5;7;6;3;3;-;1;-;1;3;-;-;-;-;-;-;38"
"""350115 ALUMINIO"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;31;32;-;-;-;-;-;-;-;-;-;-;-;-;63"
"""350160 AMERICANA"";-;-;120;2513;2423;2414;2514;2576;3088;3380;3460;3331;3446;3297;3044;3185;3187;3118;3042;3065;3259;3536;3262;3125;3176;3051;2714;2661;75987"
"""350170 AMERICO BRASILIENSE"";-;-;-;898;809;821;1059;974;887;909;1098;925;957;729;701;838;800;676;814;1001;888;925;875;1017;1235;1131;624;297;21888"
"""350180 AMERICO DE CAMPOS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1"
"""350190 AMPARO"";-;-;-;2073;2142;2290;2590;2542;2347;2516;2642;2692;2856;2677;2737;2752;2638;2862;2765;2960;2746;3091;2963;2876;2987;2969;3030;3190;67933"
"""350210 ANDRADINA"";-;-;-;375;102;541;491;544;552;460;521;522;636;626;631;531;556;588;714;705;845;891;738;1034;673;507;537;455;14775"
"""350250 APARECIDA"";-;-;-;-;-;-;-;-;-;-;-;-;72;-;-;504;596;693;788;831;764;627;834;732;915;860;855;850;9921"
"""350280 ARACATUBA"";-;1;37;1154202;1139286;1146239;1171160;1094917;1167490;1233583;1225542;1272195;1267560;1231426;1203221;1300697;1287204;1271644;1270756;1280871;1299401;1401006;1414723;1452953;1467138;1165218;1288735;1257597;31464802"
"""350300 ARAMINA"";-;-;-;1;54;25;17;32;29;-;21;-;3;44;22;23;-;-;-;12;5;14;10;17;21;-;41;21;412"
"""350320 ARARAQUARA"";-;64;222;1035092;997297;961115;997186;997638;989810;1031628;1004858;1029566;1037065;1020318;1211509;1246522;1234092;1247708;1324702;1353063;1387278;1355707;1375132;1355025;1401836;1329357;1247181;1214732;29385703"
"""350330 ARARAS"";-;-;-;2288;2150;2175;2334;2231;2404;2551;2435;2413;2598;2587;2667;2670;2635;3006;2843;2820;2595;2800;3026;3121;3247;3018;3097;3066;66777"
"""350340 AREALVA"";-;-;-;105;173;118;116;143;120;132;122;120;137;123;118;115;115;100;120;71;80;99;91;81;99;67;49;-;2614"
"""350390 ARUJA"";-;-;-;304;205;216;246;153;256;249;230;24;202;206;169;237;216;206;245;218;184;219;235;50;190;181;-;171;4812"
"""350400 ASSIS"";-;212;344;568198;588573;579078;593817;601029;621615;671167;706700;686458;713928;702803;689881;703347;721452;682898;710267;747947;756296;803239;819533;824834;843575;714984;689427;645713;17387315"
"""350410 ATIBAIA"";-;-;-;1762;1937;2043;2078;1846;1976;1879;2549;2246;2164;1810;1861;1937;2070;1968;2184;1760;2256;1115;1981;2453;2209;2400;2356;2465;51305"
"""350420 AURIFLAMA"";-;-;-;-;-;-;-;-;-;-;39;77;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;116"
"""350450 AVARE"";-;-;-;2843;2835;2926;3147;2792;2579;2697;2720;2609;3066;2820;3506;3387;2756;3791;3230;3515;3359;2903;3859;3408;3978;3778;3499;3242;79245"
"""350460 BADY BASSITT"";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1"
"""350500 BARAO DE ANTONINA"";-;-;-;-;3;-;-;-;-;-;-;-;-;2;2;-;-;-;-;-;-;7;3;2;-;-;-;-;19"
