"""Munic¡pio"";""2023/Ago"";""2023/Set"";""2023/Out"";""2023/Nov"";""2023/Dez"";""2024/Jan"";""2024/Fev"";""2024/Mar"";""2024/Abr"";""2024/Mai"";""2024/Jun"";""2024/Jul"";""2024/Ago"";""2024/Set"";""2024/Out"";""2024/Nov"";""2024/Dez"";""2025/Jan"";""2025/Fev"";""2025/Mar"";""2025/Abr"";""2025/Mai"";""2025/Jun"";""2025/Jul"";""2025/Ago"";""2025/Set"";""2025/Out"";""2025/Nov"";""2025/Dez"";""2026/Jan"";""Total"""
"""350010 ADAMANTINA"";-;-;-;-;-;56611;56820;56825;65257;59793;58842;55950;61677;62006;64582;58488;48900;61702;61183;53147;64194;54072;49039;57020;57416;57063;58760;53703;48382;55380;1436812"
"""350020 ADOLFO"";-;-;-;-;-;64;82;77;310;488;457;498;642;653;672;600;399;571;773;203;78;26;23;22;35;25;13;110;26;18;6865"
"""350030 AGUAI"";-;-;-;-;-;19113;33485;43085;45369;43667;41687;39037;40157;43479;41598;36081;35910;39699;37558;40643;42125;42596;40857;39121;41617;44277;43692;39005;35707;37149;986714"
"""350040 AGUAS DA PRATA"";-;-;-;-;-;5470;5057;6114;5604;4569;5221;15027;4614;4627;1048;1770;2947;7236;6278;5339;8049;4491;10401;6681;900;6249;788;1160;1213;-;120853"
"""350050 AGUAS DE LINDOIA"";-;-;-;-;-;5975;7999;8049;8854;8122;8123;8248;8553;7727;7968;7366;7278;6850;6641;7050;6784;6023;5874;6192;6310;6209;6461;5994;6002;5682;176334"
"""350055 AGUAS DE SANTA BARBARA"";-;-;-;-;-;3487;3549;4098;4225;4833;4327;3342;4147;4464;4953;4777;3580;4283;5043;5220;4473;4354;4162;4339;2993;3120;2439;2611;10244;4896;107959"
"""350060 AGUAS DE SAO PEDRO"";-;-;-;-;-;7703;7696;8126;8725;10107;9837;8838;8805;18762;12148;11734;10959;12712;13032;19556;19773;19924;17525;16669;18727;18040;18327;17186;13172;10063;338146"
"""350070 AGUDOS"";-;-;-;-;-;28714;29015;36161;38271;37770;39549;34487;37906;41476;39650;35676;31917;30861;35939;37043;37280;32723;32476;29751;23181;33847;34281;32955;30567;28656;850152"
"""350075 ALAMBARI"";-;-;-;-;-;3402;3718;3595;3877;3595;4049;3432;3723;3415;3661;3790;1468;3656;3493;3097;3069;3169;2995;3384;3319;2949;3647;3224;2516;3127;83370"
"""350080 ALFREDO MARCONDES"";-;-;-;-;-;1590;1672;-;-;1076;1666;1465;1766;2746;2706;1427;982;1644;1612;1712;1816;1441;1494;1515;1541;2652;2666;1832;1259;-;38280"
"""350090 ALTAIR"";-;-;-;-;-;932;844;728;998;767;812;932;937;1168;949;1033;779;861;1126;742;869;1376;1134;869;1158;890;877;621;948;-;22350"
"""350100 ALTINOPOLIS"";-;-;-;-;-;22954;23257;27125;30495;29710;27029;24057;26736;26657;26253;24137;20936;24621;25452;25463;26487;29321;28071;28190;30108;28983;30414;25329;22916;24993;659694"
"""350110 ALTO ALEGRE"";-;-;-;-;-;3650;7267;6116;5457;5735;3599;5172;5170;4977;3830;5022;2510;914;1438;923;1316;1525;576;786;-;5319;4953;4158;4146;233;84792"
"""350115 ALUMINIO"";-;-;-;-;-;12627;13057;7524;14626;8212;1901;9402;7174;7485;6538;13118;12045;13291;12995;15123;11188;17333;22358;14499;11872;19461;21918;16220;20329;14959;325255"
"""350120 ALVARES FLORENCE"";-;-;-;-;-;2920;1776;1854;2582;3095;2591;2788;1983;1102;2318;2400;2563;3120;3115;906;3192;960;1441;1434;509;668;597;445;698;698;45755"
"""350130 ALVARES MACHADO"";-;-;-;-;-;15106;15192;14347;15245;24138;23749;22133;24622;31400;27541;26218;22879;27494;28409;29015;31026;31125;28002;27133;30045;31795;31984;37897;36040;40328;672863"
"""350140 ALVARO DE CARVALHO"";-;-;-;-;542;-;534;1115;1019;1038;926;1098;866;747;1182;925;952;1051;852;796;815;993;882;1119;1158;1074;1050;841;902;627;23104"
"""350150 ALVINLANDIA"";-;-;-;-;-;-;75;85;135;111;-;71;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;477"
"""350160 AMERICANA"";-;-;-;-;40;246587;187448;214577;224042;204420;212741;187144;252357;244749;250772;189473;156667;214764;224210;242847;238941;250022;215868;221431;257104;241737;258077;206572;182337;220938;5545865"
"""350170 AMERICO BRASILIENSE"";-;-;-;-;3;42481;37506;39794;45595;44949;44566;44884;44201;40891;41926;40562;29714;39695;38855;40356;30990;35175;41887;39462;28772;33513;34958;33319;32867;31658;958579"
"""350180 AMERICO DE CAMPOS"";-;-;-;-;-;1440;1883;2185;1952;2314;2250;2493;2234;2080;2270;2346;2128;2188;2180;2288;3340;3079;3110;3988;4075;3978;3909;3686;3458;3708;68562"
"""350190 AMPARO"";-;-;6;256;717;70926;69723;74507;94371;97876;78653;85491;81385;85883;92613;85189;74396;89575;88372;94131;91732;87613;76276;87905;83075;87106;95022;86852;78098;92792;2130541"
"""350200 ANALANDIA"";-;-;-;-;-;1957;1857;1519;2630;1895;3142;2259;1906;2891;2739;2281;3269;2106;2813;2383;2120;1785;1696;2285;-;-;-;-;-;-;43533"
"""350210 ANDRADINA"";-;-;-;-;-;36330;32887;35955;41678;44205;41966;38149;40254;44439;30903;45867;42428;44308;45767;50847;51221;51269;65223;49821;64164;73281;59252;55304;52784;17868;1156170"
"""350220 ANGATUBA"";-;-;-;-;-;27615;26639;32171;43243;38485;35900;35386;36671;38208;39018;35922;30213;32664;32992;27703;33941;40920;33597;33950;34602;36369;35334;32832;30257;34425;859057"
"""350230 ANHEMBI"";-;-;-;-;-;3958;4294;4774;5351;5497;5806;4891;4885;5507;5307;4148;3735;4271;3939;4863;5294;5604;5558;4886;5437;5919;5929;6641;5300;5344;127138"
"""350240 ANHUMAS"";-;-;-;-;-;3218;3529;3463;4087;2753;3922;2743;2754;3450;3098;3382;2253;3309;3804;4653;4057;3808;3346;3265;3178;3362;3873;5759;3502;3961;88529"
