"""Munic¡pio"";""2023/Ago"";""2023/Set"";""2023/Out"";""2023/Nov"";""2023/Dez"";""2024/Jan"";""2024/Fev"";""2024/Mar"";""2024/Abr"";""2024/Mai"";""2024/Jun"";""2024/Jul"";""2024/Ago"";""2024/Set"";""2024/Out"";""2024/Nov"";""2024/Dez"";""2025/Jan"";""2025/Fev"";""2025/Mar"";""2025/Abr"";""2025/Mai"";""2025/Jun"";""2025/Jul"";""2025/Ago"";""2025/Set"";""2025/Out"";""2025/Nov"";""2025/Dez"";""2026/Jan"";""Total"""
"""350010 ADAMANTINA"";-;-;-;-;-;69044;71073;69829;79880;72798;72453;69471;76810;76967;80646;68181;62604;76221;75814;68281;79240;82237;89152;110264;109743;111363;112817;102457;87783;103953;2079081"
"""350020 ADOLFO"";-;-;-;-;-;14142;11787;11560;17798;17875;17132;16226;22024;17959;20863;21117;14705;21447;20483;16559;21129;21672;20543;19242;23571;23259;16300;23416;20397;22086;473292"
"""350030 AGUAI"";-;-;-;-;-;21493;42762;80248;93677;88531;83079;73889;71801;87622;62045;55834;58371;70854;67730;71744;78857;79415;77169;77419;81047;82899;80236;70566;66692;79718;1803698"
"""350040 AGUAS DA PRATA"";-;-;-;-;-;9731;8915;10415;9433;9425;8695;159354;4614;9301;6179;9503;4542;14784;12025;11463;14590;10461;19099;13650;8701;12946;7940;8827;8375;-;392968"
"""350050 AGUAS DE LINDOIA"";-;-;-;-;-;7846;8890;9720;10710;9504;9439;9386;10065;8768;8919;8268;8272;7935;7437;8048;8895;8414;8072;8070;8356;8236;9005;7772;7646;7128;214801"
"""350055 AGUAS DE SANTA BARBARA"";-;-;-;-;-;9695;9676;9083;9073;10921;9017;6818;9211;10003;10305;10054;5671;8443;10239;197769;239899;10462;9455;8980;8664;12221;8928;5298;15297;9941;655123"
"""350060 AGUAS DE SAO PEDRO"";-;-;-;-;-;12092;12484;13233;14347;15835;15261;13462;13880;23760;17082;16667;15656;18312;19366;26094;25787;26193;23149;22242;24481;24415;24406;23003;23268;24192;488667"
"""350070 AGUDOS"";-;-;-;-;-;58095;61687;80770;84707;81065;83939;68960;76791;88628;83678;75021;69743;52512;77154;73631;79192;74130;79313;65344;62845;82534;81243;73177;66702;56203;1837064"
"""350075 ALAMBARI"";-;-;-;-;-;14178;17189;18596;22143;19497;18614;15365;17992;18737;18199;17730;11254;16572;17288;17600;16197;16582;15975;16748;18531;17756;18203;17155;14060;15160;427321"
"""350080 ALFREDO MARCONDES"";-;-;-;-;-;3661;4716;1265;211;1357;2409;2039;2181;3241;2897;1627;1126;1782;1716;1890;2050;1932;2185;1950;1994;3004;3142;2085;1577;-;52037"
"""350090 ALTAIR"";-;-;-;-;-;7041;6746;7355;8718;8285;8562;7520;7902;10412;10418;9530;9169;8302;8279;9511;10802;9926;8388;7932;8934;8319;9507;6225;9145;-;206928"
"""350100 ALTINOPOLIS"";-;-;-;-;-;45298;46704;54300;63311;58260;54151;48546;54293;54484;53843;46729;41068;49358;51306;50634;51836;54903;52792;53638;58222;55263;56462;48966;41910;48324;1294601"
"""350110 ALTO ALEGRE"";-;-;-;-;-;4147;7709;6670;5923;6099;3969;5575;5555;5377;4229;5380;2889;1359;1942;1361;1827;1991;1067;1279;-;5715;5332;4582;4543;6618;101138"
"""350115 ALUMINIO"";-;-;-;-;-;13394;13767;13402;16662;12543;2408;11754;8324;8650;6633;14023;15510;18805;19716;22282;17032;26693;30995;22030;20411;19591;22277;16311;22897;21069;417179"
