"""Munic¡pio"";""2023/Ago"";""2023/Set"";""2023/Out"";""2023/Nov"";""2023/Dez"";""2024/Jan"";""2024/Fev"";""2024/Mar"";""2024/Abr"";""2024/Mai"";""2024/Jun"";""2024/Jul"";""2024/Ago"";""2024/Set"";""2024/Out"";""2024/Nov"";""2024/Dez"";""2025/Jan"";""2025/Fev"";""2025/Mar"";""2025/Abr"";""2025/Mai"";""2025/Jun"";""2025/Jul"";""2025/Ago"";""2025/Set"";""2025/Out"";""2025/Nov"";""2025/Dez"";""2026/Jan"";""Total"""
"""350010 ADAMANTINA"";-;-;-;-;-;69044;71073;69829;79880;72798;72453;69471;76810;76967;80515;68181;62604;76221;75814;68281;79240;82237;89152;110264;109642;111363;112817;102457;87783;103953;2078849"
"""350020 ADOLFO"";-;-;-;-;-;14142;11787;11530;17786;17875;17124;16226;21918;17933;20839;21040;14705;21434;20330;16559;21129;21672;20543;19242;23571;23203;16300;23414;20397;22086;472785"
"""350030 AGUAI"";-;-;-;-;-;21023;42361;78943;89661;85470;81516;72893;71164;85265;60654;55328;57586;68992;67010;69631;75682;75669;74683;75355;78721;78920;76416;68766;63611;77624;1752944"
"""350040 AGUAS DA PRATA"";-;-;-;-;-;9731;8915;10415;9433;9425;8695;17852;4614;9301;6179;8603;4524;14220;11817;10142;13735;10461;17696;12438;7371;11624;6572;7646;7254;-;238663"
"""350050 AGUAS DE LINDOIA"";-;-;-;-;-;5975;7999;8049;8854;8122;8123;8248;8553;7727;7968;7366;7278;6850;6641;7097;6853;6099;5958;6242;6310;6209;7166;5994;6125;5727;177533"
"""350055 AGUAS DE SANTA BARBARA"";-;-;-;-;-;9559;9592;8727;8894;10797;8827;6698;9026;9883;10195;10008;5671;8415;10227;7586;10108;10443;9442;8966;8662;12212;8864;5298;15249;9935;233284"
"""350060 AGUAS DE SAO PEDRO"";-;-;-;-;-;12092;12484;13233;14347;15835;15261;13462;13880;23760;17082;16667;15656;18312;19366;26094;25787;26193;23136;22242;24481;24415;24404;23003;19758;24192;485142"
"""350070 AGUDOS"";-;-;-;-;-;56581;60730;78821;82583;79397;82132;67375;75259;86979;82014;73389;68409;51655;75595;72270;77408;72732;77711;64181;61715;80473;79245;71925;65518;55463;1799560"
"""350075 ALAMBARI"";-;-;-;-;-;13565;16270;17854;21332;18746;17575;14822;17267;18028;17424;16886;11190;15696;16586;16985;15772;15910;15442;16141;17794;17252;17245;16566;13883;14636;410867"
"""350080 ALFREDO MARCONDES"";-;-;-;-;-;3661;4716;1265;211;1355;1875;1593;1866;2883;2847;1603;1066;1781;1716;1799;1987;1667;1739;1950;1994;2995;3142;2085;1577;-;49373"
"""350090 ALTAIR"";-;-;-;-;-;7041;6746;7354;8666;8279;8562;7520;7860;10373;10386;9454;9162;8293;8249;9492;10772;9803;8367;7932;8821;8318;9499;6209;9068;-;206226"
"""350100 ALTINOPOLIS"";-;-;-;-;-;45298;46704;54300;63311;58260;54151;48546;54293;54484;53843;46729;41068;49358;51306;50634;51836;54903;52731;53638;58222;55263;56462;48966;41910;48324;1294540"
"""350110 ALTO ALEGRE"";-;-;-;-;-;4147;7709;6670;5923;6099;3969;5575;5555;5377;4229;5380;2889;1359;1942;1361;1827;1991;1067;1279;-;5715;5332;4582;4543;6618;101138"
"""350115 ALUMINIO"";-;-;-;-;-;13394;13767;13402;16662;12543;2408;10363;8324;8650;6633;14020;15510;18805;19716;22277;17032;25713;29480;22013;20411;19591;22042;16311;22897;21040;413004"
