"""Munic¡pio"";""Eletivo"";""Urgˆncia"";""Acidente no local trabalho ou a servi‡o da empresa"";""Acidente no trajeto para o trabalho"";""Outros tipos de acidente de trƒnsito"";""Outros tipos lesäes/envenenament(agent.fis./quim.)"";""Informa‡Æo inexistente  (BPA-C)"";""Total"""
"""350010 ADAMANTINA"";585686;9764;10;1;42;11;1483335;2078849"
"""350020 ADOLFO"";82581;-;-;-;-;-;390204;472785"
"""350030 AGUAI"";95346;3729;1;-;-;-;1653868;1752944"
"""350040 AGUAS DA PRATA"";8054;1;-;-;-;-;230608;238663"
"""350050 AGUAS DE LINDOIA"";15489;1;1;-;1;-;162041;177533"
"""350055 AGUAS DE SANTA BARBARA"";5098;-;-;-;-;-;228186;233284"
"""350060 AGUAS DE SAO PEDRO"";23388;1052;-;-;-;1;460701;485142"
"""350070 AGUDOS"";117176;1543;-;-;-;2;1680839;1799560"
"""350075 ALAMBARI"";30220;23222;10;5;2;-;357408;410867"
"""350080 ALFREDO MARCONDES"";9119;-;-;-;-;-;40254;49373"
"""350090 ALTAIR"";45842;1;-;-;1;-;160382;206226"
"""350100 ALTINOPOLIS"";116052;11404;1;-;1;2;1167080;1294540"
"""350110 ALTO ALEGRE"";7625;-;-;-;-;-;93513;101138"
"""350115 ALUMINIO"";13122;685;-;-;-;-;399197;413004"
"""350120 ALVARES FLORENCE"";26565;2;5;4;5;-;54144;80725"
"""350130 ALVARES MACHADO"";135859;1427;11;1;-;1;603231;740530"
"""350140 ALVARO DE CARVALHO"";30282;-;-;-;-;-;207226;237508"
"""350150 ALVINLANDIA"";485;-;-;-;-;-;70524;71009"
"""350160 AMERICANA"";1426743;974203;12;6;3;1;4243171;6644139"
"""350170 AMERICO BRASILIENSE"";616724;76194;1;1;-;-;602723;1295643"
"""350180 AMERICO DE CAMPOS"";11970;-;-;-;-;-;71898;83868"
"""350190 AMPARO"";367460;27368;1;2;1;2;2064776;2459610"
"""350200 ANALANDIA"";129279;2;-;-;-;-;122588;251869"
"""350210 ANDRADINA"";675332;1037;15;4;-;2;1288901;1965291"
"""350220 ANGATUBA"";39096;6160;8;3;3;-;830321;875591"
"""350230 ANHEMBI"";31155;59900;-;-;-;-;312758;403813"
"""350240 ANHUMAS"";21210;-;-;-;-;-;174452;195662"
"""350250 APARECIDA"";158719;16498;2;-;10;15;1938614;2113858"
"""350260 APARECIDA D'OESTE"";9192;485;1;-;-;-;357738;367416"
"""350270 APIAI"";60615;24657;-;-;6;7;377766;463051"
"""350275 ARACARIGUAMA"";27122;4466;4;-;1;-;1668046;1699639"
"""350280 ARACATUBA"";32454369;280107;4;4;2;13;5763979;38498478"
"""350290 ARACOIABA DA SERRA"";32682;432;86;2;-;-;1421852;1455054"
"""350300 ARAMINA"";17503;1;-;-;1;-;70018;87523"
"""350310 ARANDU"";259;-;-;-;-;-;320310;320569"
"""350315 ARAPEI"";87363;-;-;11;-;-;88606;175980"
"""350320 ARARAQUARA"";31082934;33313;14;6;18;58;7145815;38262158"
"""350330 ARARAS"";1189920;60679;39;20;43;7;2361665;3612373"
"""350335 ARCO-IRIS"";477;-;-;-;-;-;56291;56768"
"""350340 AREALVA"";99407;9;12;11;-;-;278686;378125"
