"""Munic¡pio"";""Eletivo"";""Urgˆncia"";""Acidente no local trabalho ou a servi‡o da empresa"";""Acidente no trajeto para o trabalho"";""Outros tipos de acidente de trƒnsito"";""Outros tipos lesäes/envenenament(agent.fis./quim.)"";""Informa‡Æo inexistente  (BPA-C)"";""Total"""
"""110001 ALTA FLORESTA D'OESTE"";86964;475;10;-;-;-;267746;355195"
"""110002 ARIQUEMES"";778721;44042;1;3;-;-;1581853;2404620"
"""110003 CABIXI"";768;-;-;-;-;-;47169;47937"
"""110004 CACOAL"";633495;72681;14;7;207;1;1043640;1750045"
"""110005 CEREJEIRAS"";3337;2617;-;-;-;-;196553;202507"
"""110006 COLORADO DO OESTE"";15659;1094;-;-;-;-;174788;191541"
"""110007 CORUMBIARA"";13630;-;-;-;-;-;104324;117954"
"""110008 COSTA MARQUES"";4422;-;-;-;-;-;94542;98964"
"""110009 ESPIGAO D'OESTE"";33044;9817;10;-;8;-;450946;493825"
"""110010 GUAJARA-MIRIM"";6380;16189;29;-;12;-;112890;135500"
"""110011 JARU"";31890;6536;297;9;1099;-;1637100;1676931"
"""110012 JI-PARANA"";1370221;23574;2;41;-;47297;5827762;7268897"
"""110013 MACHADINHO D'OESTE"";53683;32150;282;27;709;67;348598;435516"
"""110014 NOVA BRASILANDIA D'OESTE"";11135;193;-;1;1;-;84264;95594"
"""110015 OURO PRETO DO OESTE"";6382;2943;5;-;-;-;273940;283270"
"""110018 PIMENTA BUENO"";28955;13122;30;-;-;-;421373;463480"
"""110020 PORTO VELHO"";2784033;196916;139;32;3312;57153;10990323;14031908"
"""110025 PRESIDENTE MEDICI"";8756;272;-;-;-;-;150543;159571"
"""110026 RIO CRESPO"";90;-;-;-;-;-;22398;22488"
"""110028 ROLIM DE MOURA"";82401;326111;2;7;-;-;532247;940768"
"""110029 SANTA LUZIA D'OESTE"";96191;-;-;1;-;-;70578;166770"
"""110030 VILHENA"";110489;169382;108;26;4;7;800783;1080799"
"""110032 SAO MIGUEL DO GUAPORE"";30486;4;-;-;1;-;213409;243900"
