"""Munic¡pio"";""Eletivo"";""Urgˆncia"";""Acidente no local trabalho ou a servi‡o da empresa"";""Acidente no trajeto para o trabalho"";""Outros tipos de acidente de trƒnsito"";""Outros tipos lesäes/envenenament(agent.fis./quim.)"";""Informa‡Æo inexistente  (BPA-C)"";""Car ter de atendimento nÆo informado"";""Total"""
"""110001 ALTA FLORESTA D'OESTE"";111488;1097;8;-;-;-;308127;-;420720"
"""110002 ARIQUEMES"";793171;23500;3;-;5;11;2634347;-;3451037"
"""110003 CABIXI"";12806;-;-;-;-;-;72742;-;85548"
"""110004 CACOAL"";1388406;95701;6;5;38;2;705882;-;2190040"
"""110005 CEREJEIRAS"";110534;2715;-;-;2;-;171915;-;285166"
"""110006 COLORADO DO OESTE"";219377;7146;-;-;4;-;27795;-;254322"
"""110007 CORUMBIARA"";38397;-;-;-;-;-;207346;-;245743"
"""110008 COSTA MARQUES"";2901;924;-;-;-;-;143427;-;147252"
"""110009 ESPIGAO D'OESTE"";49521;17716;2;-;1;-;497118;-;564358"
"""110010 GUAJARA-MIRIM"";36589;18276;52;3;8;6;92397;-;147331"
"""110011 JARU"";162935;11745;464;41;1348;-;1199868;-;1376401"
"""110012 JI-PARANA"";1345352;18099;143;4;3;24633;2463178;-;3851412"
"""110013 MACHADINHO D'OESTE"";45998;110536;4;-;6;571;482407;-;639522"
"""110014 NOVA BRASILANDIA D'OESTE"";13448;2110;-;-;-;-;179802;-;195360"
"""110015 OURO PRETO DO OESTE"";87586;1982;1;1;1;-;461145;-;550716"
"""110018 PIMENTA BUENO"";46647;10938;-;-;10;6;491194;-;548795"
"""110020 PORTO VELHO"";4712693;206347;277;23;308;100758;10854387;-;15874793"
"""110025 PRESIDENTE MEDICI"";9085;1379;1;1;-;-;20589;-;31055"
"""110026 RIO CRESPO"";208;37;-;-;-;-;61590;-;61835"
"""110028 ROLIM DE MOURA"";337656;616855;-;-;-;-;473175;-;1427686"
"""110029 SANTA LUZIA D'OESTE"";209645;3968;43;2;21;1;21910;-;235590"
"""110030 VILHENA"";125029;390134;41;2;14;10;910815;-;1426045"
"""110032 SAO MIGUEL DO GUAPORE"";159940;2601;-;-;-;-;100233;-;262774"
"""110033 NOVA MAMORE"";57764;372;5;-;16;2;188257;-;246416"
"""110034 ALVORADA D'OESTE"";8589;64;-;-;-;-;115695;-;124348"
"""110037 ALTO ALEGRE DOS PARECIS"";210;50489;-;-;-;-;148720;-;199419"
"""110040 ALTO PARAISO"";20699;21381;31;-;68;1;273777;-;315957"
"""110045 BURITIS"";272882;116911;88;15;1037;14;610229;-;1001176"
"""110050 NOVO HORIZONTE DO OESTE"";98340;125;-;-;-;-;81117;-;179582"
"""110060 CACAULANDIA"";2212;-;-;-;-;-;121391;-;123603"
