"""Munic¡pio"";""Eletivo"";""Urgˆncia"";""Acidente no local trabalho ou a servi‡o da empresa"";""Acidente no trajeto para o trabalho"";""Outros tipos de acidente de trƒnsito"";""Outros tipos lesäes/envenenament(agent.fis./quim.)"";""Informa‡Æo inexistente  (BPA-C)"";""Total"""
"""110002 ARIQUEMES"";88184;996;-;4;1;-;177822;267007"
"""110003 CABIXI"";1864;-;-;-;-;-;4254;6118"
"""110004 CACOAL"";106410;43189;2;4;1;-;57741;207347"
"""110005 CEREJEIRAS"";39409;31;-;-;-;-;15852;55292"
"""110007 CORUMBIARA"";3924;29;-;-;-;-;13764;17717"
"""110010 GUAJARA-MIRIM"";130;-;-;-;-;-;-;130"
"""110011 JARU"";17653;1851;30;4;103;-;102904;122545"
"""110012 JI-PARANA"";159358;863;-;2;1;4703;179708;344635"
"""110013 MACHADINHO D'OESTE"";12946;1899;-;-;-;-;33009;47854"
"""110015 OURO PRETO DO OESTE"";62;23;-;-;-;-;-;85"
"""110018 PIMENTA BUENO"";3488;1227;-;-;-;-;47146;51861"
"""110020 PORTO VELHO"";479298;16598;13;1;50;9787;872401;1378148"
"""110025 PRESIDENTE MEDICI"";2192;56;-;-;-;-;7944;10192"
"""110026 RIO CRESPO"";1910;8;-;-;-;-;2724;4642"
"""110028 ROLIM DE MOURA"";67121;54188;-;-;-;-;44645;165954"
"""110030 VILHENA"";2;-;-;-;-;-;-;2"
"""110032 SAO MIGUEL DO GUAPORE"";29481;937;-;-;-;-;9185;39603"
"""110033 NOVA MAMORE"";8072;-;-;-;-;-;13364;21436"
"""110034 ALVORADA D'OESTE"";14498;114;-;-;-;-;13272;27884"
"""110037 ALTO ALEGRE DOS PARECIS"";26;8670;-;-;-;-;4678;13374"
"""110045 BURITIS"";478;8830;2;-;94;1;5156;14561"
"""110080 CANDEIAS DO JAMARI"";737;82;-;-;-;-;8431;9250"
"""110090 CASTANHEIRAS"";806;-;-;-;-;-;4266;5072"
"""110100 GOVERNADOR JORGE TEIXEIRA"";3964;-;-;-;-;-;920;4884"
"""110140 MONTE NEGRO"";5050;1404;-;-;-;1;27039;33494"
"""110146 PIMENTEIRAS DO OESTE"";3773;-;-;-;-;-;1528;5301"
"""110147 PRIMAVERA DE RONDONIA"";14;99;-;-;-;-;731;844"
"""110148 SAO FELIPE D'OESTE"";2008;188;-;-;-;-;5305;7501"
"""110149 SAO FRANCISCO DO GUAPORE"";41573;8350;2;-;-;-;1454;51379"
"""110175 VALE DO ANARI"";7679;174;-;-;-;-;7191;15044"
"""110180 VALE DO PARAISO"";2425;-;-;-;-;-;1524;3949"
"""120001 ACRELANDIA"";51;82;11;-;13;-;4761;4918"
"""120005 ASSIS BRASIL"";-;203;-;-;-;-;17026;17229"
"""120010 BRASILEIA"";1612;527;-;-;-;-;57514;59653"
"""120013 BUJARI"";-;-;-;-;-;-;36;36"
"""120017 CAPIXABA"";40;-;-;-;-;-;131;171"
"""120020 CRUZEIRO DO SUL"";31315;11929;2;-;-;800;80320;124366"
"""120025 EPITACIOLANDIA"";46;-;-;-;-;-;244;290"
"""120030 FEIJO"";-;70;-;-;-;-;13446;13516"
"""120033 MANCIO LIMA"";575;290;-;-;-;-;26188;27053"
"""120034 MANOEL URBANO"";-;-;-;-;-;-;243;243"
"""120035 MARECHAL THAUMATURGO"";135;3;-;-;-;-;15582;15720"
"""120038 PLACIDO DE CASTRO"";16;142;1;-;-;-;22269;22428"
"""120039 PORTO WALTER"";56;-;-;-;-;-;6891;6947"
"""120040 RIO BRANCO"";239517;81483;175;30;211;-;914146;1235562"
"""120042 RODRIGUES ALVES"";-;-;-;-;-;-;66;66"
"""120043 SANTA ROSA DO PURUS"";-;-;-;-;-;-;2146;2146"
"""120045 SENADOR GUIOMARD"";195;-;-;-;-;-;30925;31120"
"""120050 SENA MADUREIRA"";33;146;-;-;-;-;37401;37580"
"""120060 TARAUACA"";-;-;-;-;-;-;19528;19528"
"""120070 XAPURI"";235;42;1;-;-;-;21294;21572"
"""120080 PORTO ACRE"";-;-;-;-;-;-;67;67"
"""130006 AMATURA"";-;29;-;-;-;-;75129;75158"
"""130010 ANORI"";544;-;-;-;-;-;8569;9113"
"""130014 APUI"";423;207;-;-;-;-;11269;11899"
"""130020 ATALAIA DO NORTE"";625;4215;-;-;-;-;12464;17304"
"""130030 AUTAZES"";270;1886;-;-;-;-;258;2414"
"""130050 BARREIRINHA"";981;-;-;-;-;-;9229;10210"
"""130063 BERURI"";-;517;-;-;-;-;15637;16154"
"""130068 BOA VISTA DO RAMOS"";2642;4377;-;-;-;-;211;7230"
"""130080 BORBA"";1807;4899;-;-;-;-;732;7438"
"""130100 CARAUARI"";59;198;-;-;-;-;28084;28341"
"""130110 CAREIRO"";3646;3;-;-;-;-;111269;114918"
"""130115 CAREIRO DA VARZEA"";-;452;-;-;-;-;6662;7114"
"""130120 COARI"";11569;3069;-;2;-;-;116141;130781"
"""130140 EIRUNEPE"";1161;9977;-;-;-;-;2006;13144"
"""130150 ENVIRA"";385;-;-;-;-;-;15647;16032"
"""130160 FONTE BOA"";789;222;1;-;-;-;49030;50042"
"""130170 HUMAITA"";1778;999;-;-;-;-;64926;67703"
"""130185 IRANDUBA"";10;-;-;-;-;-;610;620"
"""130190 ITACOATIARA"";11360;7725;-;-;-;-;210317;229402"
"""130200 ITAPIRANGA"";165;323;-;-;-;-;16274;16762"
"""130220 JURUA"";107;5;-;-;-;-;7313;7425"
"""130240 LABREA"";5967;25552;1;-;-;-;28483;60003"
"""130250 MANACAPURU"";2019;598;-;-;-;-;234740;237357"
"""130255 MANAQUIRI"";9832;9033;-;2;-;-;-;18867"
"""130260 MANAUS"";1292099;191671;500;2;-;-;2242823;3727095"
"""130270 MANICORE"";1082;4695;-;-;-;6;52427;58210"
"""130290 MAUES"";10438;3644;-;-;127;-;63526;77735"
"""130300 NHAMUNDA"";-;10505;-;-;-;-;-;10505"
"""130340 PARINTINS"";18724;2693;-;-;-;-;159684;181101"
"""130350 PAUINI"";25;409;-;-;-;-;15914;16348"
"""130353 PRESIDENTE FIGUEIREDO"";17651;2;-;-;-;-;15352;33005"
"""130356 RIO PRETO DA EVA"";892;299;1;-;-;-;2383;3575"
"""130360 SANTA ISABEL DO RIO NEGRO"";977;3401;-;-;-;-;-;4378"
"""130370 SANTO ANTONIO DO ICA"";30;1159;-;1;-;-;29186;30376"
"""130380 SAO GABRIEL DA CACHOEIRA"";199;191;-;-;-;-;26207;26597"
"""130390 SAO PAULO DE OLIVENCA"";32;2818;-;-;-;-;12880;15730"
"""130400 SILVES"";714;164;-;-;15;-;13202;14095"
"""130406 TABATINGA"";583;1347;-;-;-;-;39705;41635"
"""130423 TONANTINS"";90;5686;-;-;-;-;166913;172689"
"""130426 UARINI"";-;184;-;-;-;-;19769;19953"
"""130430 URUCARA"";360;495;-;-;-;-;24117;24972"
"""140005 ALTO ALEGRE"";124;62;-;-;-;-;7924;8110"
"""140010 BOA VISTA"";124073;62;77;1;392;-;262913;387518"
"""140015 BONFIM"";-;-;-;-;-;-;2099;2099"
"""140017 CANTA"";378;-;-;-;-;-;340;718"
"""140020 CARACARAI"";87;57;-;-;-;-;8440;8584"
"""140023 CAROEBE"";302;203;-;-;-;-;11854;12359"
"""140028 IRACEMA"";-;-;-;-;-;-;1881;1881"
"""140030 MUCAJAI"";167;-;-;-;-;-;8831;8998"
"""140040 NORMANDIA"";30;-;-;-;-;-;1991;2021"
"""140045 PACARAIMA"";-;13;-;-;-;-;3314;3327"
"""140047 RORAINOPOLIS"";2639;399;3;-;-;-;14616;17657"
"""140050 SAO JOAO DA BALIZA"";-;-;-;-;-;-;3152;3152"
"""140060 SAO LUIZ"";559;42;-;-;1;-;3094;3696"
"""140070 UIRAMUTA"";-;-;-;-;-;-;85;85"
"""150010 ABAETETUBA"";8481;-;-;-;-;-;14406;22887"
"""150013 ABEL FIGUEIREDO"";357;-;-;-;-;-;2899;3256"
"""150020 ACARA"";4922;423;-;-;17;-;49711;55073"
"""150030 AFUA"";3216;1983;-;-;-;-;-;5199"
"""150034 AGUA AZUL DO NORTE"";4469;527;7;-;-;-;34245;39248"
"""150040 ALENQUER"";2406;312;-;-;-;-;4055;6773"
"""150050 ALMEIRIM"";16134;259;-;-;-;-;28569;44962"
"""150060 ALTAMIRA"";48609;4167;-;-;-;-;89164;141940"
"""150070 ANAJAS"";20;-;-;-;-;-;12984;13004"
