"""Munic¡pio"";""Aten‡Æo B sica"";""M‚dia complexidade"";""Alta complexidade"";""NÆo se aplica"";""Total"""
"""110001 ALTA FLORESTA D'OESTE"";171758;146268;-;100606;418632"
"""110002 ARIQUEMES"";1385095;1439098;622587;138276;3585056"
"""110003 CABIXI"";15225;38907;-;6297;60429"
"""110004 CACOAL"";99448;1144211;909413;40162;2193234"
"""110005 CEREJEIRAS"";252253;150092;-;32142;434487"
"""110006 COLORADO DO OESTE"";48123;173266;-;9709;231098"
"""110007 CORUMBIARA"";125293;37844;-;21643;184780"
"""110008 COSTA MARQUES"";33057;111597;-;8278;152932"
"""110009 ESPIGAO D'OESTE"";40992;341226;-;59805;442023"
"""110010 GUAJARA-MIRIM"";42132;99190;-;2155;143477"
"""110011 JARU"";381415;965130;-;38911;1385456"
"""110012 JI-PARANA"";1419934;2255455;658653;80138;4414180"
"""110013 MACHADINHO D'OESTE"";137078;406391;-;72265;615734"
"""110014 NOVA BRASILANDIA D'OESTE"";84711;63579;9;7580;155879"
"""110015 OURO PRETO DO OESTE"";29581;373560;-;14041;417182"
"""110018 PIMENTA BUENO"";42468;368111;-;35594;446173"
"""110020 PORTO VELHO"";1209290;9848930;995348;378980;12432548"
"""110025 PRESIDENTE MEDICI"";23596;166825;328;1189;191938"
"""110026 RIO CRESPO"";16444;31837;-;76;48357"
"""110028 ROLIM DE MOURA"";183852;683505;3;89604;956964"
"""110029 SANTA LUZIA D'OESTE"";119160;57845;-;5127;182132"
"""110030 VILHENA"";109200;940069;15183;13606;1078058"
"""110032 SAO MIGUEL DO GUAPORE"";180208;90066;-;30027;300301"
"""110033 NOVA MAMORE"";21414;139690;566;1773;163443"
"""110034 ALVORADA D'OESTE"";11362;62934;-;2508;76804"
"""110037 ALTO ALEGRE DOS PARECIS"";49877;62160;-;14899;126936"
"""110040 ALTO PARAISO"";92987;164206;-;42359;299552"
"""110045 BURITIS"";410783;255720;-;129430;795933"
"""110050 NOVO HORIZONTE DO OESTE"";87882;151429;3;24666;263980"
"""110060 CACAULANDIA"";57657;52765;185;196;110803"
"""110070 CAMPO NOVO DE RONDONIA"";642601;49084;78;2044;693807"
"""110080 CANDEIAS DO JAMARI"";32458;140446;-;232;173136"
"""110090 CASTANHEIRAS"";41944;10547;-;293;52784"
"""110092 CHUPINGUAIA"";32542;54767;-;6590;93899"
"""110094 CUJUBIM"";149141;239568;-;11011;399720"
"""110100 GOVERNADOR JORGE TEIXEIRA"";762;38257;-;582;39601"
"""110110 ITAPUA DO OESTE"";41922;92470;-;482;134874"
"""110120 MINISTRO ANDREAZZA"";13665;68068;5;676;82414"
"""110130 MIRANTE DA SERRA"";268773;100535;-;395;369703"
"""110140 MONTE NEGRO"";46221;114313;-;42580;203114"
"""110143 NOVA UNIAO"";31;102495;-;1627;104153"
"""110145 PARECIS"";24341;59526;-;921;84788"
"""110146 PIMENTEIRAS DO OESTE"";1538;19699;-;459;21696"
"""110147 PRIMAVERA DE RONDONIA"";7158;217;-;180;7555"
"""110148 SAO FELIPE D'OESTE"";37372;36915;20;5821;80128"
"""110149 SAO FRANCISCO DO GUAPORE"";244026;187739;-;41266;473031"
"""110150 SERINGUEIRAS"";102817;81228;-;20649;204694"
"""110155 TEIXEIROPOLIS"";6924;21634;-;559;29117"
"""110160 THEOBROMA"";12444;65182;-;474;78100"
"""110170 URUPA"";16208;97438;58;913;114617"
"""110175 VALE DO ANARI"";14502;125366;-;220;140088"
"""110180 VALE DO PARAISO"";14606;22409;-;384;37399"
"""120001 ACRELANDIA"";27394;15214;-;-;42608"
"""120005 ASSIS BRASIL"";15534;111649;-;287;127470"
"""120010 BRASILEIA"";4593;413783;3587;1008;422971"
"""120013 BUJARI"";-;628;-;19;647"
"""120017 CAPIXABA"";610;1470;-;208;2288"
"""120020 CRUZEIRO DO SUL"";315953;1164105;230841;21960;1732859"
"""120025 EPITACIOLANDIA"";218;943;-;294;1455"
"""120030 FEIJO"";2506;229265;-;1082;232853"
"""120032 JORDAO"";3479;8552;-;167;12198"
"""120033 MANCIO LIMA"";85554;204500;-;917;290971"
"""120034 MANOEL URBANO"";14760;103899;-;568;119227"
"""120035 MARECHAL THAUMATURGO"";45008;76608;-;382;121998"
"""120038 PLACIDO DE CASTRO"";52888;160728;512;827;214955"
"""120039 PORTO WALTER"";8262;15588;-;555;24405"
"""120040 RIO BRANCO"";2253444;6907665;1802215;189660;11152984"
"""120042 RODRIGUES ALVES"";12000;42756;-;128;54884"
"""120043 SANTA ROSA DO PURUS"";316;12614;-;374;13304"
"""120045 SENADOR GUIOMARD"";29822;461534;-;533;491889"
"""120050 SENA MADUREIRA"";7272;430352;1406;2329;441359"
"""120060 TARAUACA"";24813;123705;-;786;149304"
"""120070 XAPURI"";31613;143241;71;307;175232"
"""120080 PORTO ACRE"";-;850;-;21;871"
"""130002 ALVARAES"";115;35377;-;-;35492"
"""130006 AMATURA"";44207;189053;-;-;233260"
"""130008 ANAMA"";200;29645;-;50;29895"
"""130010 ANORI"";1289;94565;-;2899;98753"
"""130014 APUI"";773;114514;7;774;116068"
"""130020 ATALAIA DO NORTE"";14243;81520;-;74;95837"
"""130030 AUTAZES"";200081;253240;-;375;453696"
"""130040 BARCELOS"";-;40878;-;471;41349"
"""130050 BARREIRINHA"";1822;64947;-;508;67277"
"""130060 BENJAMIN CONSTANT"";6202;20782;-;430;27414"
"""130068 BOA VISTA DO RAMOS"";10397;72421;-;3851;86669"
