"""Munic¡pio"";""Aten‡Æo B sica"";""M‚dia complexidade"";""Alta complexidade"";""NÆo se aplica"";""Total"""
"""110002 ARIQUEMES"";67823;119663;66713;12808;267007"
"""110003 CABIXI"";1075;3236;-;1807;6118"
"""110004 CACOAL"";26874;117364;62895;214;207347"
"""110005 CEREJEIRAS"";30867;15610;148;8667;55292"
"""110007 CORUMBIARA"";9410;5821;-;2486;17717"
"""110010 GUAJARA-MIRIM"";-;-;130;-;130"
"""110011 JARU"";22910;82249;97;17289;122545"
"""110012 JI-PARANA"";5173;182672;146670;10120;344635"
"""110013 MACHADINHO D'OESTE"";7437;26963;-;13454;47854"
"""110015 OURO PRETO DO OESTE"";-;-;85;-;85"
"""110018 PIMENTA BUENO"";5085;43748;41;2987;51861"
"""110020 PORTO VELHO"";118864;917822;313341;28121;1378148"
"""110025 PRESIDENTE MEDICI"";59;10030;-;103;10192"
"""110026 RIO CRESPO"";662;2086;-;1894;4642"
"""110028 ROLIM DE MOURA"";30858;61792;63595;9709;165954"
"""110030 VILHENA"";-;-;2;-;2"
"""110032 SAO MIGUEL DO GUAPORE"";21680;8693;-;9230;39603"
"""110033 NOVA MAMORE"";3443;13239;1;4753;21436"
"""110034 ALVORADA D'OESTE"";12244;13360;-;2280;27884"
"""110037 ALTO ALEGRE DOS PARECIS"";6163;5075;-;2136;13374"
"""110045 BURITIS"";199;14362;-;-;14561"
"""110080 CANDEIAS DO JAMARI"";906;7897;-;447;9250"
"""110090 CASTANHEIRAS"";3966;682;-;424;5072"
"""110100 GOVERNADOR JORGE TEIXEIRA"";3641;1224;-;19;4884"
"""110140 MONTE NEGRO"";19432;10136;-;3926;33494"
"""110146 PIMENTEIRAS DO OESTE"";3200;1232;-;869;5301"
"""110147 PRIMAVERA DE RONDONIA"";707;-;-;137;844"
"""110148 SAO FELIPE D'OESTE"";2959;2542;-;2000;7501"
"""110149 SAO FRANCISCO DO GUAPORE"";19890;22520;-;8969;51379"
"""110175 VALE DO ANARI"";1850;5418;51;7725;15044"
"""110180 VALE DO PARAISO"";732;2479;-;738;3949"
"""120001 ACRELANDIA"";2317;2431;-;170;4918"
"""120005 ASSIS BRASIL"";1630;15599;-;-;17229"
"""120010 BRASILEIA"";241;58008;1072;332;59653"
"""120013 BUJARI"";-;36;-;-;36"
"""120017 CAPIXABA"";-;171;-;-;171"
"""120020 CRUZEIRO DO SUL"";7723;85655;29729;1259;124366"
"""120025 EPITACIOLANDIA"";131;112;-;47;290"
"""120030 FEIJO"";16;13335;-;165;13516"
"""120033 MANCIO LIMA"";5254;21542;-;257;27053"
"""120034 MANOEL URBANO"";-;64;-;179;243"
"""120035 MARECHAL THAUMATURGO"";8667;7053;-;-;15720"
"""120038 PLACIDO DE CASTRO"";4549;17469;25;385;22428"
"""120039 PORTO WALTER"";1962;4830;-;155;6947"
"""120040 RIO BRANCO"";272514;735311;209243;18494;1235562"
"""120042 RODRIGUES ALVES"";-;66;-;-;66"
"""120043 SANTA ROSA DO PURUS"";10;2136;-;-;2146"
"""120045 SENADOR GUIOMARD"";2439;28658;-;23;31120"
"""120050 SENA MADUREIRA"";619;36189;-;772;37580"
"""120060 TARAUACA"";2185;16878;-;465;19528"
"""120070 XAPURI"";2503;19069;-;-;21572"
"""120080 PORTO ACRE"";-;67;-;-;67"
"""130006 AMATURA"";-;75158;-;-;75158"
"""130010 ANORI"";308;8625;-;180;9113"
"""130014 APUI"";57;11725;-;117;11899"
"""130020 ATALAIA DO NORTE"";1478;14890;26;910;17304"
"""130030 AUTAZES"";139;2074;34;167;2414"
"""130050 BARREIRINHA"";596;9497;-;117;10210"
"""130063 BERURI"";4119;12035;-;-;16154"
"""130068 BOA VISTA DO RAMOS"";634;6385;-;211;7230"
"""130080 BORBA"";683;6602;-;153;7438"
"""130100 CARAUARI"";-;28271;-;70;28341"
"""130110 CAREIRO"";239;114287;128;264;114918"
"""130115 CAREIRO DA VARZEA"";1193;5921;-;-;7114"
"""130120 COARI"";601;129817;72;291;130781"
"""130140 EIRUNEPE"";1960;11027;-;157;13144"
"""130150 ENVIRA"";2701;13121;-;210;16032"
"""130160 FONTE BOA"";101;49516;-;425;50042"
"""130170 HUMAITA"";877;65988;189;649;67703"
"""130185 IRANDUBA"";580;10;-;30;620"
"""130190 ITACOATIARA"";6424;218499;612;3867;229402"
"""130200 ITAPIRANGA"";-;16762;-;-;16762"
"""130220 JURUA"";-;7425;-;-;7425"
"""130240 LABREA"";13881;46122;-;-;60003"
"""130250 MANACAPURU"";8795;228256;54;252;237357"
"""130255 MANAQUIRI"";386;18481;-;-;18867"
