"""Munic¡pio"";""02 Assistˆncia Farmacˆutica"";""04 Fundo de A‡äes Estrat‚gicas e Compensa‡äes FAEC"";""05 Incentivo - MAC"";""06 M‚dia e Alta Complexidade (MAC)"";""07 Vigilƒncia em Sa£de"";""Total"""
"""110001 ALTA FLORESTA D'OESTE"";-;-;-;2092774,22;-;2092774,22"
"""110002 ARIQUEMES"";835641,71;7091373,14;-;13007754,87;-;20934769,72"
"""110003 CABIXI"";-;-;-;247498,95;-;247498,95"
"""110004 CACOAL"";444103,05;7663925,01;-;24973873,81;-;33081901,87"
"""110005 CEREJEIRAS"";-;-;-;2344836,80;-;2344836,80"
"""110006 COLORADO DO OESTE"";-;-;-;1013977,02;-;1013977,02"
"""110007 CORUMBIARA"";-;-;-;492378,23;-;492378,23"
"""110008 COSTA MARQUES"";-;-;-;556603,23;-;556603,23"
"""110009 ESPIGAO D'OESTE"";-;-;-;2232630,90;-;2232630,90"
"""110010 GUAJARA-MIRIM"";-;-;-;825114,52;-;825114,52"
"""110011 JARU"";-;-;-;6423675,32;-;6423675,32"
"""110012 JI-PARANA"";928326,77;6681872,93;-;25439882,25;-;33050081,95"
"""110013 MACHADINHO D'OESTE"";-;-;-;2639795,85;-;2639795,85"
"""110014 NOVA BRASILANDIA D'OESTE"";-;-;-;726036,44;-;726036,44"
"""110015 OURO PRETO DO OESTE"";-;-;-;3170016,32;-;3170016,32"
"""110018 PIMENTA BUENO"";-;100,00;-;2819340,89;-;2819440,89"
"""110020 PORTO VELHO"";2430708,28;26537026,12;-;157183749,52;-;186151483,92"
"""110025 PRESIDENTE MEDICI"";-;-;-;310709,01;-;310709,01"
"""110026 RIO CRESPO"";-;-;-;191330,45;-;191330,45"
"""110028 ROLIM DE MOURA"";386633,38;1944,87;-;5211027,92;-;5599606,17"
"""110029 SANTA LUZIA D'OESTE"";-;-;-;456561,35;-;456561,35"
"""110030 VILHENA"";-;554568,70;-;3727083,01;-;4281651,71"
"""110032 SAO MIGUEL DO GUAPORE"";-;225,00;-;878233,91;-;878458,91"
"""110033 NOVA MAMORE"";-;-;-;1129627,20;-;1129627,20"
"""110034 ALVORADA D'OESTE"";-;-;-;893685,73;-;893685,73"
"""110037 ALTO ALEGRE DOS PARECIS"";-;-;-;583223,89;-;583223,89"
"""110040 ALTO PARAISO"";-;-;-;1039123,20;-;1039123,20"
"""110045 BURITIS"";-;-;-;2777523,41;-;2777523,41"
"""110050 NOVO HORIZONTE DO OESTE"";-;-;-;501618,21;-;501618,21"
"""110060 CACAULANDIA"";-;-;-;251925,74;-;251925,74"
"""110070 CAMPO NOVO DE RONDONIA"";-;-;-;252857,32;-;252857,32"
"""110080 CANDEIAS DO JAMARI"";-;-;-;693571,14;-;693571,14"
"""110090 CASTANHEIRAS"";-;-;-;117486,82;-;117486,82"
"""110092 CHUPINGUAIA"";-;-;-;368281,83;-;368281,83"
"""110094 CUJUBIM"";-;-;-;803869,56;-;803869,56"
"""110100 GOVERNADOR JORGE TEIXEIRA"";-;-;-;144213,92;-;144213,92"
"""110110 ITAPUA DO OESTE"";-;-;-;650644,43;-;650644,43"
"""110120 MINISTRO ANDREAZZA"";-;-;-;358893,18;-;358893,18"
"""110130 MIRANTE DA SERRA"";-;-;-;450577,44;-;450577,44"
"""110140 MONTE NEGRO"";-;-;-;789571,39;-;789571,39"
"""110143 NOVA UNIAO"";-;-;-;674698,23;-;674698,23"
"""110145 PARECIS"";-;-;-;736224,43;-;736224,43"
"""110146 PIMENTEIRAS DO OESTE"";-;-;-;119258,07;-;119258,07"
"""110147 PRIMAVERA DE RONDONIA"";-;-;-;23209,41;-;23209,41"
"""110148 SAO FELIPE D'OESTE"";-;-;-;429572,33;-;429572,33"
"""110149 SAO FRANCISCO DO GUAPORE"";-;-;-;1637534,90;-;1637534,90"
"""110150 SERINGUEIRAS"";-;-;-;816205,97;-;816205,97"
"""110155 TEIXEIROPOLIS"";-;-;-;614342,17;-;614342,17"
"""110160 THEOBROMA"";-;-;-;393081,74;-;393081,74"
"""110170 URUPA"";-;-;-;931794,93;-;931794,93"
"""110175 VALE DO ANARI"";-;-;-;647438,53;-;647438,53"
"""110180 VALE DO PARAISO"";-;-;-;226123,04;-;226123,04"
"""120001 ACRELANDIA"";-;-;-;236346,13;-;236346,13"
"""120005 ASSIS BRASIL"";-;-;-;549542,78;-;549542,78"
"""120010 BRASILEIA"";-;2755081,26;-;3277862,26;-;6032943,52"
