"""Munic¡pio"";""02 Assistˆncia Farmacˆutica"";""04 Fundo de A‡äes Estrat‚gicas e Compensa‡äes FAEC"";""05 Incentivo - MAC"";""06 M‚dia e Alta Complexidade (MAC)"";""07 Vigilƒncia em Sa£de"";""Total"""
"""110002 ARIQUEMES"";124042,76;633702,77;-;981299,58;-;1739045,11"
"""110003 CABIXI"";-;-;-;24030,26;-;24030,26"
"""110004 CACOAL"";57482,08;950188,57;-;1964390,08;-;2972060,73"
"""110005 CEREJEIRAS"";-;-;-;162969,04;-;162969,04"
"""110007 CORUMBIARA"";-;-;-;41643,03;-;41643,03"
"""110010 GUAJARA-MIRIM"";-;-;-;14330,59;-;14330,59"
"""110011 JARU"";-;-;-;533884,21;-;533884,21"
"""110012 JI-PARANA"";121077,74;635650,59;-;1791967,70;-;2548696,03"
"""110013 MACHADINHO D'OESTE"";-;-;-;206134,25;-;206134,25"
"""110015 OURO PRETO DO OESTE"";-;-;-;9642,67;-;9642,67"
"""110018 PIMENTA BUENO"";-;795,60;-;225767,27;-;226562,87"
"""110020 PORTO VELHO"";507311,55;2700087,62;-;12932774,51;-;16140173,68"
"""110025 PRESIDENTE MEDICI"";-;-;-;44584,74;-;44584,74"
"""110026 RIO CRESPO"";-;-;-;21696,69;-;21696,69"
"""110028 ROLIM DE MOURA"";85876,91;20,60;-;397468,21;-;483365,72"
"""110030 VILHENA"";-;-;-;537,50;-;537,50"
"""110032 SAO MIGUEL DO GUAPORE"";-;-;-;102942,06;-;102942,06"
"""110033 NOVA MAMORE"";-;-;-;89966,97;-;89966,97"
"""110034 ALVORADA D'OESTE"";-;-;-;91298,05;-;91298,05"
"""110037 ALTO ALEGRE DOS PARECIS"";-;-;-;35902,96;-;35902,96"
"""110045 BURITIS"";-;-;-;83658,90;-;83658,90"
"""110080 CANDEIAS DO JAMARI"";-;-;-;46953,54;-;46953,54"
"""110090 CASTANHEIRAS"";-;-;-;7326,54;-;7326,54"
"""110100 GOVERNADOR JORGE TEIXEIRA"";-;-;-;10623,56;-;10623,56"
"""110140 MONTE NEGRO"";-;-;-;66612,59;-;66612,59"
"""110146 PIMENTEIRAS DO OESTE"";-;-;-;10631,64;-;10631,64"
"""110147 PRIMAVERA DE RONDONIA"";-;-;-;559,35;-;559,35"
"""110148 SAO FELIPE D'OESTE"";-;-;-;32596,18;-;32596,18"
"""110149 SAO FRANCISCO DO GUAPORE"";-;-;-;175547,13;-;175547,13"
"""110175 VALE DO ANARI"";-;-;-;59864,94;-;59864,94"
"""110180 VALE DO PARAISO"";-;-;-;22136,83;-;22136,83"
"""120001 ACRELANDIA"";-;-;-;16982,20;-;16982,20"
"""120005 ASSIS BRASIL"";-;-;-;55714,21;-;55714,21"
"""120010 BRASILEIA"";-;262025,48;-;277287,84;-;539313,32"
"""120017 CAPIXABA"";-;-;-;1449,16;-;1449,16"
"""120020 CRUZEIRO DO SUL"";13723,22;231063,45;-;718868,64;-;963655,31"
"""120025 EPITACIOLANDIA"";-;-;-;63,75;-;63,75"
"""120030 FEIJO"";-;-;-;44318,39;-;44318,39"
"""120033 MANCIO LIMA"";-;-;-;136302,55;-;136302,55"
"""120035 MARECHAL THAUMATURGO"";-;-;-;12891,75;-;12891,75"
"""120038 PLACIDO DE CASTRO"";-;-;-;68492,13;-;68492,13"
"""120039 PORTO WALTER"";-;-;-;14239,33;-;14239,33"
"""120040 RIO BRANCO"";143140,77;2085870,41;-;7333986,01;-;9562997,19"
"""120043 SANTA ROSA DO PURUS"";-;-;-;8107,39;-;8107,39"
"""120045 SENADOR GUIOMARD"";-;-;-;102086,28;-;102086,28"
"""120050 SENA MADUREIRA"";-;-;-;134071,75;-;134071,75"
"""120060 TARAUACA"";-;-;-;66633,06;-;66633,06"
"""120070 XAPURI"";-;-;-;72575,18;-;72575,18"
"""130006 AMATURA"";-;-;-;131758,88;-;131758,88"
"""130010 ANORI"";-;-;-;43778,96;-;43778,96"
"""130014 APUI"";-;-;-;65417,12;-;65417,12"
"""130020 ATALAIA DO NORTE"";-;-;-;85738,19;-;85738,19"
"""130030 AUTAZES"";-;26234,40;-;38380,11;-;64614,51"
"""130050 BARREIRINHA"";-;-;-;40672,69;-;40672,69"
"""130063 BERURI"";-;-;-;39468,54;-;39468,54"
"""130068 BOA VISTA DO RAMOS"";-;-;-;21504,59;-;21504,59"
"""130080 BORBA"";-;-;-;44976,66;-;44976,66"
"""130100 CARAUARI"";-;-;-;103167,13;255,00;103422,13"
"""130110 CAREIRO"";-;-;-;417809,92;1558,00;419367,92"
"""130115 CAREIRO DA VARZEA"";-;-;-;36380,03;-;36380,03"
"""130120 COARI"";-;-;-;705127,35;-;705127,35"
"""130140 EIRUNEPE"";-;-;-;40548,05;-;40548,05"
"""130150 ENVIRA"";-;-;-;53030,28;-;53030,28"
"""130160 FONTE BOA"";-;-;-;218930,50;-;218930,50"
"""130170 HUMAITA"";-;8320,00;-;367245,55;-;375565,55"
"""130190 ITACOATIARA"";-;20656,70;-;2100886,56;-;2121543,26"
"""130200 ITAPIRANGA"";-;-;-;95523,46;-;95523,46"
"""130220 JURUA"";-;-;-;38488,87;-;38488,87"
"""130240 LABREA"";-;-;-;273228,95;-;273228,95"
"""130250 MANACAPURU"";-;-;-;1159807,54;-;1159807,54"
"""130255 MANAQUIRI"";-;-;-;91939,97;-;91939,97"
"""130260 MANAUS"";981370,87;5704620,35;-;27063657,98;-;33749649,20"
"""130270 MANICORE"";-;530,40;-;379840,59;-;380370,99"
"""130290 MAUES"";-;70987,20;-;548178,23;-;619165,43"
"""130300 NHAMUNDA"";-;-;-;54850,86;-;54850,86"
"""130340 PARINTINS"";-;60918,40;-;1227842,48;-;1288760,88"
"""130350 PAUINI"";-;-;-;85101,80;-;85101,80"
"""130353 PRESIDENTE FIGUEIREDO"";-;-;-;159042,04;-;159042,04"
"""130356 RIO PRETO DA EVA"";-;-;-;16368,55;-;16368,55"
"""130360 SANTA ISABEL DO RIO NEGRO"";-;-;-;24341,57;-;24341,57"
"""130370 SANTO ANTONIO DO ICA"";-;-;-;99463,72;-;99463,72"
"""130380 SAO GABRIEL DA CACHOEIRA"";-;-;-;44151,35;-;44151,35"
"""130390 SAO PAULO DE OLIVENCA"";-;-;-;92257,75;-;92257,75"
"""130400 SILVES"";-;-;-;69484,87;-;69484,87"
"""130406 TABATINGA"";-;-;-;142188,25;-;142188,25"
"""130423 TONANTINS"";-;-;-;70725,25;-;70725,25"
"""130426 UARINI"";-;-;-;65142,16;-;65142,16"
"""130430 URUCARA"";-;-;-;94201,91;-;94201,91"
"""140005 ALTO ALEGRE"";-;-;-;31332,78;-;31332,78"
"""140010 BOA VISTA"";27212,62;1112999,09;-;3542738,68;-;4682950,39"
"""140015 BONFIM"";-;-;-;9253,69;-;9253,69"
"""140017 CANTA"";-;-;-;810,60;-;810,60"
"""140020 CARACARAI"";-;-;-;35181,48;-;35181,48"
"""140023 CAROEBE"";-;-;-;55567,90;-;55567,90"
"""140030 MUCAJAI"";-;-;-;46976,44;-;46976,44"
"""140040 NORMANDIA"";-;-;-;6025,11;-;6025,11"
"""140045 PACARAIMA"";-;-;-;7122,94;-;7122,94"
"""140047 RORAINOPOLIS"";-;-;-;112489,23;-;112489,23"
"""140050 SAO JOAO DA BALIZA"";-;-;-;12674,46;-;12674,46"
"""140060 SAO LUIZ"";-;-;-;16353,95;-;16353,95"
"""150010 ABAETETUBA"";-;355402,18;-;191092,09;-;546494,27"
"""150013 ABEL FIGUEIREDO"";-;-;-;26319,45;-;26319,45"
"""150020 ACARA"";-;-;-;277083,03;-;277083,03"
"""150030 AFUA"";-;-;-;41214,22;-;41214,22"
"""150034 AGUA AZUL DO NORTE"";-;-;-;175449,48;-;175449,48"
"""150040 ALENQUER"";-;-;-;60597,30;-;60597,30"
"""150050 ALMEIRIM"";-;-;-;200151,28;-;200151,28"
"""150060 ALTAMIRA"";56976,78;339946,85;-;965877,59;-;1362801,22"
"""150070 ANAJAS"";-;-;-;20162,01;-;20162,01"
"""150080 ANANINDEUA"";16146,90;1651810,54;-;5146797,92;-;6814755,36"
"""150085 ANAPU"";-;-;-;66485,75;-;66485,75"
"""150090 AUGUSTO CORREA"";-;-;-;93758,75;-;93758,75"
"""150095 AURORA DO PARA"";-;-;-;58050,65;-;58050,65"
"""150110 BAGRE"";-;-;-;17565,47;-;17565,47"
"""150120 BAIAO"";-;-;-;65521,39;-;65521,39"
"""150125 BANNACH"";-;-;-;10680,34;-;10680,34"
"""150130 BARCARENA"";-;-;-;1217894,13;-;1217894,13"
"""150140 BELEM"";1640582,70;5642089,50;-;22894133,44;-;30176805,64"
"""150150 BENEVIDES"";5123,00;21080,00;-;293811,85;-;320014,85"
"""150160 BONITO"";-;-;-;70965,56;-;70965,56"
"""150170 BRAGANCA"";1072,50;266467,68;-;585642,08;-;853182,26"
"""150172 BRASIL NOVO"";-;3833,60;-;87023,79;-;90857,39"
"""150175 BREJO GRANDE DO ARAGUAIA"";-;-;-;2925,00;-;2925,00"
"""150178 BREU BRANCO"";-;-;-;221533,31;-;221533,31"
"""150180 BREVES"";-;137352,90;-;171290,72;-;308643,62"
"""150195 CACHOEIRA DO PIRIA"";-;-;-;30650,26;-;30650,26"
"""150200 CACHOEIRA DO ARARI"";-;-;-;42508,96;-;42508,96"
"""150215 CANAA DOS CARAJAS"";-;18950,00;-;840109,08;-;859059,08"
"""150220 CAPANEMA"";-;284103,63;-;402786,42;-;686890,05"
"""150230 CAPITAO POCO"";-;-;-;80115,46;-;80115,46"
"""150240 CASTANHAL"";15639,88;1623659,16;-;2125030,44;-;3764329,48"
"""150260 COLARES"";-;-;-;101013,73;-;101013,73"
"""150270 CONCEICAO DO ARAGUAIA"";5231,36;-;-;78426,41;-;83657,77"
"""150275 CONCORDIA DO PARA"";-;-;-;58906,66;-;58906,66"
"""150276 CUMARU DO NORTE"";-;-;-;98843,42;-;98843,42"
"""150277 CURIONOPOLIS"";-;-;-;36484,01;-;36484,01"
"""150285 CURUA"";-;-;-;14035,52;-;14035,52"
"""150295 ELDORADO DOS CARAJAS"";-;-;-;121139,50;-;121139,50"
"""150300 FARO"";-;-;-;29316,74;-;29316,74"
"""150304 FLORESTA DO ARAGUAIA"";-;-;-;305427,93;-;305427,93"
"""150330 IGARAPE-MIRI"";-;-;-;18351,35;-;18351,35"
"""150340 INHANGAPI"";-;-;-;29612,73;-;29612,73"
"""150345 IPIXUNA DO PARA"";-;-;-;130989,93;-;130989,93"
"""150360 ITAITUBA"";-;258801,78;-;416602,59;-;675404,37"
"""150375 JACAREACANGA"";-;-;-;34299,91;-;34299,91"
"""150380 JACUNDA"";-;-;-;180590,46;-;180590,46"
"""150390 JURUTI"";-;-;-;118116,53;-;118116,53"
"""150400 LIMOEIRO DO AJURU"";-;-;-;53816,06;-;53816,06"
"""150405 MAE DO RIO"";-;-;-;112971,78;-;112971,78"
"""150410 MAGALHAES BARATA"";-;-;-;15636,94;-;15636,94"
"""150420 MARABA"";96093,63;1027549,13;-;2064963,69;-;3188606,45"
"""150430 MARACANA"";-;-;-;114687,27;-;114687,27"
"""150440 MARAPANIM"";-;-;-;55806,45;-;55806,45"
"""150442 MARITUBA"";11937,10;463258,64;-;1043485,23;-;1518680,97"
"""150470 MOJU"";-;-;-;231238,38;-;231238,38"
"""150475 MOJUI DOS CAMPOS"";-;-;-;2519,30;-;2519,30"
"""150480 MONTE ALEGRE"";-;-;-;211682,97;-;211682,97"
"""150490 MUANA"";-;-;-;417318,57;-;417318,57"
"""150495 NOVA ESPERANCA DO PIRIA"";-;-;-;72954,73;-;72954,73"
