"""Munic¡pio"";""010101 Educacao em saude"";""010102 Saude bucal"";""010103 Visita domiciliar"";""010104 Alimentacao e nutricao"";""010105 Praticas Integrativas/Complementares"";""010201 Vigilancia sanitaria"";""010202 Vigilancia em Saude do Trabalhador"";""020101 Coleta de material por meio de puncao/biopsia"";""020102 Outras formas de coleta de material"";""020201 Exames bioquimicos"";""020202 Exames hematologicos e hemostasia"";""020203 Exames sorologicos e imunologicos"";""020204 Exames coprologicos"";""020205 Exames de uroanalise"";""020206 Exames hormonais"";""020207 Exames toxicologicos ou de monitorizacao terapeutica"";""020208 Exames microbiologicos"";""020209 Exames em outros liquidos biologicos"";""020210 Exames de genetica"";""020211 Exames para triagem neonatal"";""020212 Exames imunohematologicos"";""020301 Exames citopatologicos"";""020302 Exames anatomopatologicos"";""020401 Exames radiologicos da cabeca e pescoco"";""020402 Exames radiologicos da coluna vertebral"";""020403 Exames radiologicos do torax e mediastino"";""020404 Exames radiologicos da cintura escapular e dos membros superiores"";""020405 Exames radiologicos do abdomen e pelve"";""020406 Exames radiologicos da cintura pelvica e dos membros inferiores"";""020501 Ultra-sonografias do sistema circulatorio (qualquer regiao anatomica)"";""020502 Ultra-sonografias dos demais sistemas"";""020601 Tomografia da cabeca, pescoco e coluna vertebral"";""020602 Tomografia do torax e membros superiores"";""020603 Tomografia do abdomen, pelve e membros inferiores"";""020701 RM da cabeca, pescoco e coluna vertebral"";""020702 RM do torax e membros superiores"";""020703 RM do abdomen, pelve e membros inferiores"";""020801 Aparelho cardiovascular"";""020802 Aparelho digestivo"";""020803 Aparelho endocrino"";""020804 Aparelho geniturinario"";""020805 Aparelho esqueletico"";""020806 Aparelho nervoso"";""020807 Aparelho respiratorio"";""020808 Aparelho hematologico"";""020809 Outros metodos de diagnostico em medicina nuclear in vivo"";""020901 Aparelho digestivo"";""020902 Aparelho urinario"";""020903 Aparelho ginecologico"";""020904 Aparelho respiratorio"";""021001 Exames radiologicos de vasos sanguineos e linfaticos"";""021002 Vias biliares"";""021101 Diagnostico em angiologia"";""021102 Diagnostico em cardiologia"";""021103 Diagnostico cinetico funcional"";""021104 Diagnostico em ginecologia-obstetricia"";""021105 Diagnostico em neurologia"";""021106 Diagnostico em oftalmologia"";""021107 Diagnostico em otorrinolaringologia/fonoaudiologia"";""021108 Diagnostico em pneumologia"";""021109 Diagnostico em urologia"";""021110 Diagnostico em psicologia-psiquiatria"";""021201 Exames do doador/receptor"";""021202 Procedimentos especiais em hemoterapica"";""021301 Exames relacionados a doencas e agravos de notificacao compulsoria"";""021302 Exames relacionados ao meio ambiente"";""021401 Teste realizado fora da estrutura de laboratorio"";""030101 Consultas medicas/outros profissionais  de nivel superior"";""030102 Atendimento/Acompanhamento em saude do trabalhador"";""030103 Atendimento pre-hospitalar de urgencia"";""030104 Outros atendimentos realizados por profissionais de niveis superior"";""030105 Atencao domiciliar"";""030106 Consulta/Atendimento as urgencias (em geral)"";""030107 Atendimento/acompanhamento em reabilitacao fisica, mental, visual e multiplas deficiencias"";""030108 Atendimento/Acompanhamento psicossocial"";""030109 Atendimento/Acompanhamento em saude do idoso"";""030110 Atendimentos de enfermagem (em geral)"";""030111 Atendimento/Acompanhamento queimados"";""030112 Atendimento/acompanhamento de diagnostico de doencas endocrinas/metabolicas e nutricionais"";""030113 Acompanhamento em outras especialidades"";""030114 Cuidados Paliativos"";""030201 Assistencia fisioterapeutica em alteracoes obstetricas, neonatais e uroginecologicas"";""030202 Assistencia fisioterapeutica em alteracoes oncologicas"";""030203 Assistencia fisioterapeutica em oftalmologia"";""030204 Assistencia fisioterapeutica cardiovasculares e pneumo-funcionais"";""030205 Assistencia fisioterapeutica nas disfuncoes musculo esqueleticas (todas as origens)"";""030206 Assistencia fisioterapeutica nas alteracoes em neurologia"";""030207 Assistencia fisioterapeutica em queimados"";""030302 Tratamento de doencas do sangue, orgaos hematopoeticos e alguns transtornos imunitarios"";""030303 Tratamento de doencas endocrinas, metabolicas e nutricionais"";""030305 Tratamento de doencas do aparelho da visao"";""030306 Tratamento de doencas cardiovasculares"";""030307 Tratamento de doencas do aparelho digestivo"";""030308 Tratamento de doencas da pele e do tecido  subcutaneo"";""030309 Tratamento de doencas do sistema osteomuscular e do tecido conjuntivo"";""030312 Tratamentos por medicina nuclear in vivo"";""030314 Tratamento de doencas do ouvido/apofise mastoide e vias aereas"";""030319 Reabilitacao"";""030401 Radioterapia"";""030402 Quimioterapia paliativa - adulto"";""030403 Quimioterapia para controle temporario de doenca - adulto"";""030404 Quimioterapia previa (neoadjuvante/citorredutora)- adulto"";""030405 Quimioterapia adjuvante (profilatica) - adulto"";""030406 Quimioterapia curativa - adulto"";""030407 Quimioterapia de tumores de crianca e adolescente"";""030408 Quimioterapia - procedimentos especiais"";""030409 Medicina nuclear - terapeutica oncologica"";""030501 Tratamento dialitico"";""030502 Tratamento em nefrologia em geral"";""030601 Procedimentos destinados a obtencao do sangue para fins de assistencia hemoterapica"";""030602 Medicina transfusional"";""030701 Dentistica"";""030702 Endodontia"";""030703 Periodontia clinica"";""030704 Moldagem/Manutencao"";""030801 Traumatismos"";""030902 Terapias em doencas alergicas"";""030903 Terapias do aparelho geniturinario"";""030904 Terapias do aparelho cardiovascular"";""030905 Praticas integrativas e complementares"";""030907 Angiologia"";""031001 Parto e nascimento"";""040101 Pequenas cirurgias"";""040102 Cirurgias de pele, tecido subcutaneo e mucosa"";""040305 Tratamento neurocirurgico da dor funcional"";""040401 Cirurgia das vias aereas superiores e do pescoco"";""040402 Cirurgia da face e do sistema estomatognatico"";""040501 Palpebras e vias lacrimais"";""040502 Musculos oculomotores"";""040503 Corpo vitreo, retina, coroide e esclera"";""040504 Cavidade orbitaria e globo ocular"";""040505 Conjuntiva, cornea, camara anterior, iris, corpo ciliar e cristalino"";""040602 Cirurgia vascular"";""040603 Cardiologia intervencionista"";""040701 Esofago, estomago e duodeno"";""040702 Intestinos , reto e anus"";""040703 Pancreas, baco, figado e vias biliares"";""040704 Parede e cavidade abdominal"";""040801 Cintura escapular"";""040802 Membros superiores"";""040805 Membros inferiores"";""040806 Gerais"";""040901 Rim, ureter e bexiga"";""040902 Uretra"";""040904 Bolsa escrotal, testiculos e cordao espermatico"";""040905 Penis"";""040906 Utero e anexos"";""040907 Vagina, vulva e perineo"";""041001 Mama"";""041101 Parto"";""041102 Outras cirurgias relacionadas com o estado gestacional"";""041201 Traqueia e bronquios"";""041203 Pleura"";""041205 Pulmao"";""041301 Tratamento de queimados"";""041303 Reparadora para lipodistrofia"";""041304 Outras cirurgias plasticas/reparadoras"";""041401 Buco-maxilo-facial"";""041402 Cirurgia oral"";""041504 Procedimentos cirurgicos gerais"";""041603 Cabeca e pescoco"";""041701 Anestesias"";""041801 Acessos para dialise"";""041802 Intervencoess cirurgicas em acessos para dialise"";""050101 Coleta e exames para identificacao de doador de celulas-tronco hematopoeticas (busca nacional)"";""050102 Exames de histocompatibilidade para identificacao de receptor de celulas-tronco hematopoeticas"";""050103 Coleta e exames para ident. de doador de celula-tronco hematopoeticas (busca internacional/nacional"";""050104 Exames imunogeneticos/histocompatibilidade para identificacao de doador de orgaos"";""050105 Exames imunogeneticos/histocompatibilidade para identificacao de receptor de orgaos"";""050107 Outros exames complementares para doacao de orgaos, tecidos e celulas"";""050108 Exames complementares para pacientes transplantados"";""050301 Acoes relacionadas a doacao de orgaos e tecidos para transpalnte"";""050303 Manutencao e retirada de orgaos e tecidos para transplante"";""050304 Acoess complementares destinadas a doacao de orgaos, tecidos e celulas."";""050401 Processamento de cornea/esclera"";""050404 Processamento de pele humana"";""050501 Transplante de tecidos e celulas"";""050601 Acompanhamento de paciente no pre e pos-transplante"";""060401 Acido Aminosalicilico e Similares"";""060402 Agentes Quelantes de Ferro"";""060403 Agonistas da Dopamina/inibidor da prolactina"";""060404 Agonistas seletivos dos receptores beta 2 adrenergicos"";""060405 Alcaloides naturais do opio"";""060406 Alimentos dieteticos isentos de fenilalanina"";""060407 Aminas Terciarias"";""060408 Aminoquinolinas"";""060409 Analogos da mostarda nitrogenada"";""060410 Vasopressina e Analogos"";""060411 Analogos do hormonio liberador de gonadotrofina"";""060412 Antiandrogenios"";""060413 Anticolinesterases"";""060414 Antigonadotrofinas e agentes similares"";""060415 Barbituricos e derivados"";""060416 Bisfosfonados"";""060418 Derivados da benzodiazepina"";""060419 Derivados de acidos graxos"";""060420 Derivados do adamantano"";""060421 Derivados do indol"";""060422 Derivados da succinimida"";""060423 Diazepinas, oxazepinas e tiazepinas"";""060424 Enzimas"";""060425 Fatores de estimulacao de colonias"";""060426 Ferro trivalente, preparacoes parenterais"";""060427 Fibratos, Acido Nicotinico e seus derivados"";""060428 Glicocorticoides"";""060429 Somatostatina e Analogos"";""060431 Imunoglobulinas, humana normal"";""060432 Imunossupressores seletivos"";""060433 Inibidores da agregacao plaquetaria, excl. heparina"";""060434 Inibidores da calcineurina"";""060435 Inibidores da fosfodiesterase"";""060436 Inibidores da HMG-CoA redutase"";""060437 Inibidores da monoamino oxidase tipo b"";""060438 Inibidores do fator de necrose tumoral alfa (TNF-a)"";""060439 Interferonas"";""060440 Medicamentos para tratamento da hipercalemia e hiperfosfatemia"";""060441 Medicamentos utilizados na dependencia de opioides"";""060442 Mineralocorticoides"";""060443 Modulador seletivo de receptor de estrogenio"";""060444 Mucoliticos"";""060447 Outras preparacoes antianemicas"";""060448 Outros agentes citotoxicos"";""060449 Outros agentes dopaminergicos"";""060450 Outros antiepilepticos"";""060451 Outros antipsicoticos"";""060452 Outros imunoestimulantes"";""060453 Outros imunossupressores"";""060454 Outros medicamentos do sistema nervoso"";""060455 Outros relaxantes musculares de acao periferica"";""060456 Penicilamina e agentes similares"";""060457 Preparacoes de calcitonina"";""060458 Preparacoes de enzimas"";""060459 Retinoides para tratamento da acne"";""060460 Retinoides para tratamento da psoriase"";""060461 Somatropina e agonistas da somatropina"";""060462 Vitamina D e analogos, incluido combinacao dos dois"";""060463 Produtos diversos para o trato alimentar ou metabolismo"";""060465 Analogos das Prostaglandinas"";""060466 Inibidores da Anidrase Carbonica"";""060467 Simpatomimeticos na Terapia de Glaucoma"";""060468 Anticorpos Monoclonais"";""060469 Inibidores de Interleucinas"";""060470 Outros Antipsoriaticos de Uso Topico"";""060471 Corticoesteroides de Potencia Muito Alta (Grupo IV)"";""060472 Derivados do Acido Proprionico"";""060473 Parassimpaticomimeticos"";""060474 Agentes Beta Bloqueadores"";""060475 Outros Anti-hipertensivos"";""060477 Outros Agentes Antiparatireoide"";""060478 Insulinas Analogas de Acao Rapida de Uso Injetavel"";""060479 Outras Drogas para Desordem do Sistema Musculo Esqueletico"";""060480 Agentes antitromboticos"";""060481 Outros Aminoglicosideos"";""060482 Inibidores do co-transportador 2 de sodio-glicose(SGLT2)"";""060483 Agentes que atuam no sistema renina-angiotensina"";""060484 Outras drogas sistemicas para doencas respiratorias obstrutivas"";""060485 Adrenergicos em combinacao com anticolinergicos, incluidas combinacoes triplas"";""060486 Outros Produtos para o Sistema Respiratorio"";""060487 Outros medicamentos afetando a estrutura e a mineralizacao ossea"";""070101 OPM auxiliares da locomocao"";""070102 OPM ortopedicas"";""070103 OPM auditivas"";""070104 OPM oftalmologicas"";""070105 OPM em gastroenterologia"";""070106 OPM em urologia"";""070107 OPM em odontologia"";""070108 OPM de anomalias buco-maxilo-facial"";""070109 Substituicao/Troca em orteses/proteses"";""070110 OPM em queimados"";""070202 OPM em cirurgia buco-maxilo-facial"";""070206 OPM em urologia"";""070210 OPM em nefrologia"";""070212 OPM para transplantes"";""080101 Incentivos"";""080301 Deslocamento/Ajuda de custo"";""Total"""
"""110001 ALTA FLORESTA D'OESTE"";2854;-;-;-;-;3989;-;-;79729;13225;14126;6041;1343;4295;1701;-;-;278;-;-;346;-;-;657;1020;3860;1984;279;2524;-;1421;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;963;-;-;-;-;-;-;-;-;-;-;-;-;932;47432;-;-;-;2810;44946;-;2038;-;73749;-;-;-;-;-;-;-;484;3383;-;-;-;-;-;-;-;-;1461;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4073;-;-;47;-;-;-;-;-;-;25;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;640;-;-;-;-;-;-;-;-;-;-;95977;418632"
"""110002 ARIQUEMES"";2294;10176;128753;140577;-;3900;-;117;101959;237329;73672;56381;2039;28431;19331;-;597;337;-;-;2312;-;-;1528;3605;13670;6141;658;7775;881;8340;3724;1154;2519;-;-;-;-;-;-;-;-;-;-;-;-;910;-;-;-;-;-;-;6475;68;158;57;1874;2292;-;-;-;1777;-;209;-;682031;327734;1;61039;62792;5670;336508;6100;10258;573;458690;-;-;-;830;-;94;-;164;3754;141;-;-;-;-;-;1;28;165;-;2;-;-;-;-;-;-;-;-;-;-;25761;-;-;-;14003;4262;5689;308;-;-;-;-;1;-;1;5432;17;-;108;40;-;-;-;-;578;6;-;-;-;-;12;2;15;2;-;2;-;-;-;-;-;1;1;8;-;-;-;-;-;-;-;2555;28;-;1243;155;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;49836;448;17536;116580;1790;82;-;5750;-;81;99;-;4958;-;-;96;180;1740;8330;-;-;82150;-;850;1066;-;1040;13;20;24073;1350;28628;-;960;340;1132;-;61650;-;-;1400;750;11428;840;8890;72819;32412;124;15882;3218;112;-;13;4050;540;625;948;3060;170;680;441;625;8;161;-;-;-;-;727;-;11317;581;-;2530;392;300;378;-;122;-;-;-;-;-;-;2892;1318;-;-;-;-;-;-;452;-;-;105248;3585056"
"""110003 CABIXI"";2;-;-;756;-;993;-;1;2447;6073;6246;1605;145;2557;120;-;-;-;-;-;95;-;-;166;238;703;438;24;701;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;99;-;-;-;-;-;-;-;-;-;-;12;-;199;10671;-;51;6363;-;1712;-;-;-;12171;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;536;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5304;60429"
"""110004 CACOAL"";3014;2275;46;7892;-;1734;174;503;10532;276722;85182;60135;5514;21156;19766;541;13056;857;-;-;6698;13;-;762;1178;8345;5717;321;6124;877;6653;8283;4314;7472;1826;172;953;-;-;-;-;-;-;-;-;-;210;14;-;44;-;-;-;4487;535;2755;-;13282;-;-;-;-;-;-;-;-;6110;197916;102;-;1871;23;92877;45219;2124;1;281973;-;-;-;-;-;-;-;132;3478;7304;-;12;-;-;-;-;-;1096;-;8949;-;513;2673;284;877;4413;145;111;483;-;22859;-;-;165;1475;891;3796;598;-;-;69;1;995;10;-;14633;3;86;167;46;-;-;-;-;18;9;-;23;2;-;28;76;153;27;1379;7;-;-;4;11;1;8;-;-;-;2;11;-;-;36;1;2429;20;-;1944;208;16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;89340;1470;65635;87960;6800;40;-;6270;-;247;306;-;29160;-;-;1;1730;1140;16680;2760;-;176311;-;754;1846;1020;5040;-;500;25614;2600;11085;-;2970;2580;2481;224;25650;-;-;3480;240;12347;880;6134;137461;47985;126;32090;6990;137;-;49;3450;3230;1889;1350;4100;3450;349;119;253;24;319;-;-;-;-;294;60;12420;1411;-;2310;-;640;1616;14;342;-;6;-;-;-;-;1009;468;-;1;-;-;-;3;588;-;-;36359;2193234"
"""110005 CEREJEIRAS"";183;1043;64074;56501;-;878;-;-;1426;21446;6807;2761;182;4130;-;-;-;-;-;-;235;-;-;3504;3665;10835;3826;469;5624;-;429;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;413;-;-;-;-;-;-;-;-;-;-;-;-;9019;42318;-;-;22790;3;42587;-;2539;-;91046;-;-;-;-;-;-;-;5;87;8;-;-;-;-;-;-;1;9;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1977;143;885;33;-;-;-;-;-;-;-;766;1;-;11;4;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;553;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;31260;434487"
"""110006 COLORADO DO OESTE"";21;-;-;10572;-;997;-;-;8155;16051;3954;1575;40;3591;-;-;-;54;-;-;-;-;-;936;1287;2097;2039;270;3131;-;1814;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;284;-;-;-;-;807;-;-;-;-;-;-;-;482;54653;-;954;2325;-;32416;328;2737;-;59462;-;-;-;-;-;-;-;219;8672;2078;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;381;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8712;231098"
"""110007 CORUMBIARA"";221;2648;46309;18077;-;1238;-;-;268;622;1510;619;78;909;-;-;-;-;-;-;1;-;-;49;-;-;-;-;-;-;593;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;203;-;-;-;-;-;-;-;-;-;-;-;-;4963;23103;-;-;13489;-;96;-;-;672;45287;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1920;58;730;5;-;-;-;-;-;-;-;381;-;-;21;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;305;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20405;184780"
"""110008 COSTA MARQUES"";-;-;493;9863;-;1616;-;-;-;44007;16427;7283;2564;6040;656;-;264;-;-;-;1646;-;-;-;-;-;-;-;-;-;155;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2285;12028;-;-;9907;-;6579;-;-;-;23261;-;-;-;-;-;-;-;-;1065;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;119;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6662;152932"
"""110009 ESPIGAO D'OESTE"";-;-;84;4682;-;774;-;-;12850;39932;26426;6280;2312;4787;828;-;-;-;-;-;1072;-;-;250;318;1879;1083;112;1363;-;1518;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;201;-;-;-;-;-;-;-;-;-;-;-;-;75;64608;-;444;-;-;70978;626;6;-;128587;-;-;-;-;17;-;-;1420;5110;2911;10;-;-;-;-;-;-;33;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;-;-;698;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;402;-;-;309;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;59031;442023"
"""110010 GUAJARA-MIRIM"";6;-;10118;2012;-;2155;-;-;124;9326;4990;3544;1;5662;455;-;-;485;-;-;1668;-;-;495;522;2895;993;681;1440;-;3449;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;83;-;-;-;-;-;-;-;-;-;-;-;1800;11185;-;-;2298;-;24800;-;987;-;44274;-;-;-;-;76;-;-;43;5448;832;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;48;19;20;-;-;-;-;-;1;-;-;470;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;72;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;143477"
