"""Munic¡pio"";""2021/Ago"";""2021/Set"";""2021/Out"";""2021/Nov"";""2021/Dez"";""2022/Jan"";""2022/Fev"";""2022/Mar"";""2022/Abr"";""2022/Mai"";""2022/Jun"";""2022/Jul"";""2022/Ago"";""2022/Set"";""2022/Out"";""2022/Nov"";""2022/Dez"";""2023/Jan"";""2023/Fev"";""2023/Mar"";""2023/Abr"";""2023/Mai"";""2023/Jun"";""2023/Jul"";""2023/Ago"";""2023/Set"";""2023/Out"";""2023/Nov"";""2023/Dez"";""2024/Jan"";""2024/Fev"";""2024/Mar"";""2024/Abr"";""2024/Mai"";""2024/Jun"";""2024/Jul"";""2024/Ago"";""2024/Set"";""2024/Out"";""2024/Nov"";""2024/Dez"";""2025/Jan"";""2025/Fev"";""2025/Mar"";""2025/Abr"";""2025/Mai"";""2025/Jun"";""2025/Jul"";""2025/Ago"";""2025/Set"";""2025/Out"";""2025/Nov"";""2025/Dez"";""2026/Jan"";""Total"""
"""110001 ALTA FLORESTA D'OESTE"";-;-;-;-;-;101145,64;92279,47;97233,37;124977,34;132294,05;148671,92;153223,01;126073,56;102401,82;98259,43;111541,33;100356,92;123990,10;109303,39;131241,63;131265,10;116845,35;193006,57;170435,93;175568,82;175198,91;186267,69;167053,08;149579,05;144508,04;141832,89;151631,98;185136,09;160474,98;174996,35;182783,60;170154,80;161111,52;197962,18;174405,05;166312,85;164718,10;160607,40;259204,04;175612,83;189984,38;176201,68;202395,13;149540,06;195449,75;199623,02;189165,67;108631,79;-;7400657,66"
"""110002 ARIQUEMES"";-;-;-;-;-;1125283,48;1073908,87;1224291,69;1249584,08;1176599,56;1203356,88;1165400,59;1237141,63;1257876,08;1268150,33;1225776,27;1222262,55;1151138,15;1189204,11;1374586,18;1129292,37;1330474,15;1139949,51;1328495,50;1342719,17;1366439,26;1243497,39;1249577,35;1237955,72;1399232,12;1399718,58;792714,33;1363564,37;1425882,21;1439163,62;1395318,43;1685714,58;1703781,22;1860880,70;1705405,65;1598788,24;1633103,48;1480071,05;1900413,20;1919564,79;1925084,15;1868017,36;1648517,08;1694548,83;1867832,28;1760879,60;1585926,36;1712711,32;1704066,43;69983860,85"
"""110003 CABIXI"";-;-;-;-;-;13450,72;13174,04;21303,71;18814,68;16387,53;18968,44;18175,72;17890,81;16243,55;19769,85;20508,37;19033,98;21622,12;20544,94;20537,72;24174,56;12293,92;18641,15;20189,31;23619,54;16960,94;22038,98;19403,34;15500,86;16592,28;18054,92;25236,20;26117,67;24867,89;25092,03;28296,51;19457,53;32089,10;25303,46;21686,14;18243,13;23543,79;-;25575,38;5892,92;26309,83;24048,15;44262,05;26030,37;33404,75;26002,06;20003,23;16808,99;28299,73;1030466,89"
"""110004 CACOAL"";-;-;1099,96;32716,29;258363,12;1594428,28;1461696,40;1684576,97;1642287,66;1724141,53;1700206,08;1644705,75;1682370,35;1689741,24;1765356,13;1653570,85;1631608,02;1632012,82;1630426,02;2077883,34;1775491,28;2182871,39;2084784,19;2103807,27;2119807,64;2124492,01;2148656,92;2087703,88;1984509,91;2062380,65;2160337,47;2291928,88;2227872,85;2215485,09;2071638,22;2131436,81;2219068,90;2283525,73;2300946,28;2246633,06;2316942,13;2176564,27;2310879,35;2373403,66;2506747,53;2562827,80;2793482,85;3227992,68;3402785,57;3314555,36;3306515,32;2876553,95;2676299,45;2806228,24;106982347,40"
"""110005 CEREJEIRAS"";-;-;-;-;-;95378,18;84125,93;68731,88;61892,61;70753,62;83362,84;117001,54;102621,74;78264,56;66969,26;78876,97;67034,83;70237,73;82585,29;76132,06;113090,93;125428,51;103794,24;115404,80;105838,33;91585,89;80832,58;86899,48;96549,37;77146,07;87726,53;130336,32;154969,64;94469,19;88634,98;148477,54;105239,20;93407,13;86351,12;105041,43;118703,88;185506,68;216477,76;242857,04;244825,98;164467,95;156798,29;127954,11;230049,15;211457,03;201543,68;210745,77;178615,74;163975,89;5949171,27"
"""110006 COLORADO DO OESTE"";-;-;-;-;-;99344,69;85412,34;68819,43;78629,17;99626,88;85317,16;82954,78;100969,47;89692,80;86946,78;100510,71;110161,07;101929,18;136333,05;181267,82;126196,02;113239,86;71669,38;85117,74;89450,93;95388,22;105468,92;97235,15;82862,18;72826,38;90613,74;100531,82;144900,29;119760,97;166684,74;110871,67;105018,87;133622,84;131854,34;109495,05;114909,13;91418,61;13405,02;18501,67;61089,14;61320,35;49387,04;105995,97;111873,80;230747,83;211007,78;204360,70;78556,13;-;5013297,61"
"""110007 CORUMBIARA"";-;-;-;-;-;7260,21;5684,98;10939,57;11365,62;6196,78;10778,42;5406,85;9982,03;9455,35;19958,42;24256,96;8251,90;7301,24;8979,72;20696,12;23100,33;22488,30;20865,11;21402,32;34893,61;23775,86;26109,09;28306,78;29009,56;26409,33;29546,55;30690,64;39402,82;31039,18;32294,18;34989,13;38586,15;30880,46;30269,17;28986,85;26661,55;31359,88;35242,22;36143,83;36532,97;38871,58;43941,55;52378,63;43120,57;46296,58;45191,67;41670,04;46988,71;41824,43;1315783,80"
"""110008 COSTA MARQUES"";-;-;-;-;-;23886,17;23623,95;31242,70;26672,03;-;36929,04;37199,36;50572,03;44411,69;39970,74;40216,41;35686,85;42173,80;37148,53;43038,07;40978,81;59893,27;55658,23;36235,06;45153,94;13935,63;60714,24;34770,63;29818,90;31751,22;20827,64;39500,96;43074,50;28791,23;18453,25;31718,73;37439,15;31706,58;45671,23;35316,67;45417,16;45020,70;42074,35;37266,63;46377,13;44352,15;41640,97;50990,70;50340,34;68383,19;54945,30;42521,14;42562,87;-;1866073,87"
"""110009 ESPIGAO D'OESTE"";-;-;-;-;-;111438,25;103859,26;123325,23;121220,88;125367,42;151751,39;153797,53;98543,36;103186,61;125178,92;193151,72;183823,68;159437,21;177566,90;158306,58;242735,97;201141,97;226522,47;197159,26;204875,37;151435,42;229461,26;173963,17;141912,73;147332,91;193110,45;235377,73;238693,87;205684,91;184057,88;217553,19;209206,95;165270,65;204588,35;180038,72;146520,57;151378,73;169252,81;189860,19;220035,61;230158,59;199417,66;193855,67;180092,90;163158,56;188341,33;204398,69;153829,28;-;8430378,76"
"""110010 GUAJARA-MIRIM"";-;-;-;-;-;64709,53;57383,56;77713,29;67522,67;102230,86;42298,92;56959,44;68089,73;47886,20;48552,45;34990,55;27295,24;61996,09;52547,51;67019,30;60053,68;53503,51;67755,10;54687,82;65736,73;54156,13;43399,12;55444,75;61324,62;56321,19;52214,67;-;63673,52;80491,41;101855,10;68324,07;95530,13;49690,11;28255,80;21100,23;38774,45;47093,67;43043,19;77494,94;62260,22;95339,90;70553,95;82436,49;73541,10;190650,73;133279,88;85767,12;7948,63;14330,59;3033227,89"
