"""Munic¡pio"";""2021/Ago"";""2021/Set"";""2021/Out"";""2021/Nov"";""2021/Dez"";""2022/Jan"";""2022/Fev"";""2022/Mar"";""2022/Abr"";""2022/Mai"";""2022/Jun"";""2022/Jul"";""2022/Ago"";""2022/Set"";""2022/Out"";""2022/Nov"";""2022/Dez"";""2023/Jan"";""2023/Fev"";""2023/Mar"";""2023/Abr"";""2023/Mai"";""2023/Jun"";""2023/Jul"";""2023/Ago"";""2023/Set"";""2023/Out"";""2023/Nov"";""2023/Dez"";""2024/Jan"";""2024/Fev"";""2024/Mar"";""2024/Abr"";""2024/Mai"";""2024/Jun"";""2024/Jul"";""2024/Ago"";""2024/Set"";""2024/Out"";""2024/Nov"";""2024/Dez"";""2025/Jan"";""2025/Fev"";""2025/Mar"";""2025/Abr"";""2025/Mai"";""2025/Jun"";""2025/Jul"";""2025/Ago"";""2025/Set"";""2025/Out"";""2025/Nov"";""2025/Dez"";""2026/Jan"";""Total"""
"""110001 ALTA FLORESTA D'OESTE"";-;-;-;-;-;93280,55;87178,28;92191,45;107799,50;107544,14;113148,00;145468,00;117447,05;94993,71;88958,69;102138,15;92102,91;107464,23;94709,91;109031,17;112164,57;109394,83;173499,72;156540,45;165213,78;159290,05;170376,74;156102,82;133808,41;140637,78;141832,89;149661,98;172040,85;160124,98;174001,34;180983,60;170102,16;161081,52;196288,35;174396,09;166294,93;164245,43;160292,92;217991,49;173142,83;177965,72;169788,48;197455,13;149450,46;195360,15;197662,60;181300,97;108118,04;-;6970067,80"
"""110002 ARIQUEMES"";-;-;-;-;-;1125283,48;1073908,87;1224276,39;1249158,38;1176599,56;1203356,88;1165284,78;1237025,82;1257760,27;1256957,32;1225194,92;1221993,35;1150751,43;1177958,66;1367831,07;1117937,91;1311627,61;1128446,35;1316489,70;1335214,11;1354953,48;1243497,39;804746,73;1230543,39;1385846,80;1375143,94;792714,33;1363564,37;1425882,21;1439163,62;1395318,43;1685714,58;1677977,76;1860880,70;1705405,65;1598753,64;1631961,94;1469459,59;1891209,66;1919564,79;1925084,15;1868017,36;1647517,07;1692213,19;1867832,28;1760879,60;1585926,36;1712711,32;1700822,52;69336363,71"
"""110003 CABIXI"";-;-;-;-;-;13098,95;12475,72;18832,61;15900,40;15543,61;17315,96;18175,72;17570,10;16243,55;19670,05;20508,37;19033,98;21622,12;20544,94;20537,72;24174,56;12293,92;18641,15;20189,31;23587,41;16858,25;20939,93;18966,75;15313,75;16373,04;17765,36;25236,20;26117,67;24867,89;24062,43;26425,41;19282,53;30426,08;23525,99;20744,57;16648,54;21860,02;-;24479,46;5886,04;25319,77;23756,68;38711,05;25914,97;32465,51;20447,16;15588,26;13070,03;24030,26;981043,75"
"""110004 CACOAL"";-;-;1099,96;32716,29;245149,99;1567247,46;1449726,40;1681946,41;1642201,13;1721158,43;1699218,10;1644152,71;1680407,58;1689131,24;1756333,23;1653139,23;1630426,09;1613459,73;1510869,62;2064530,70;1772368,81;2181981,37;2084648,17;2102380,45;2117677,07;2123223,86;2148011,02;2085832,75;1981959,03;2055733,82;2155067,52;2290765,73;2223687,68;2192562,22;2071638,22;2130972,01;2219068,90;2275375,19;2292500,55;2244119,48;2287283,25;2127835,74;2306984,25;2368275,36;2505559,02;2547174,41;2763609,77;3128021,59;3275256,11;3289392,65;3304546,83;2855139,54;2675542,26;2806155,14;106273264,07"
"""110005 CEREJEIRAS"";-;-;-;-;-;53104,11;56349,13;56557,11;55734,47;61090,87;56937,07;58255,66;69571,74;78024,22;66344,98;78876,97;67034,83;70150,16;80772,03;76130,58;90194,35;125166,91;103750,40;115329,80;105838,33;91577,70;80832,58;86899,48;95348,18;77031,37;87726,53;92444,67;100928,92;92805,94;86445,71;111590,06;102351,77;93240,61;84056,71;103705,83;118684,88;185506,68;215737,81;242841,74;244805,21;164464,95;156546,83;126614,72;228754,41;209808,91;179675,00;209059,37;178563,50;162969,04;5536232,83"
"""110006 COLORADO DO OESTE"";-;-;-;-;-;39875,86;41766,42;40160,19;42496,37;99626,88;85317,16;82954,78;97841,92;88234,87;86459,61;99312,74;109327,64;101577,14;133068,75;140862,36;124778,54;107181,24;70625,36;80166,80;86773,67;85861,42;93133,37;87137,15;76308,38;72826,38;80669,19;94339,37;144900,29;119760,97;166684,74;110871,67;105018,87;133622,84;131854,34;109495,05;114890,83;91418,61;13405,02;18501,67;32547,29;35786,61;27142,05;80629,05;82782,99;201494,76;179268,79;176011,52;74988,66;-;4499760,18"
"""110007 CORUMBIARA"";-;-;-;-;-;7259,21;5684,98;10939,57;11364,62;6196,78;10778,42;5406,85;9977,03;9450,35;19958,42;24208,56;8251,90;5440,04;8979,72;20696,12;23100,33;22488,30;20865,11;21355,55;34893,61;23775,86;25861,41;28082,09;28925,49;26378,43;29542,55;30690,64;39389,82;31033,61;32292,18;34989,13;38586,15;30869,56;29361,97;28960,39;26655,55;31333,09;34461,95;36143,83;36453,17;38865,44;43385,93;52282,47;40922,93;45708,98;45162,19;40985,20;46673,05;41643,03;1306711,56"
"""110008 COSTA MARQUES"";-;-;-;-;-;23886,17;23623,95;31242,70;26672,03;-;36929,04;37199,36;50572,03;44411,69;39970,74;40216,41;35686,85;42173,80;37148,53;43038,07;40978,81;59274,52;53318,78;36235,06;45153,94;10015,63;60714,24;34770,63;29818,90;31750,22;20827,64;39500,96;43007,37;28791,23;18453,25;31718,73;37439,15;31706,58;35149,90;35316,67;45417,16;45020,70;42074,35;34430,78;46364,53;43442,15;41037,97;50796,45;50340,34;63924,95;54087,00;42521,14;42562,87;-;1838733,97"
"""110009 ESPIGAO D'OESTE"";-;-;-;-;-;111438,25;103859,26;123325,23;121120,88;125348,74;151751,39;153797,53;98543,36;103186,61;125178,92;193151,72;183823,68;159437,21;177566,90;158306,58;242735,97;201141,97;226522,47;197159,26;204875,37;151435,42;226392,26;173963,17;141912,73;147332,91;193110,45;235377,73;238693,87;205684,91;184057,88;217553,19;207746,34;165270,65;204588,35;180038,72;146520,57;151378,73;169252,81;189860,19;220035,61;230158,59;199417,66;193855,67;180092,90;163158,56;188341,33;190378,57;153829,28;-;8411710,35"
"""110010 GUAJARA-MIRIM"";-;-;-;-;-;64193,12;57031,09;77594,57;67177,47;83674,95;42278,18;54530,94;67294,66;42936,08;48455,65;34551,96;27293,35;54355,63;44514,02;53982,10;59932,13;52506,91;65889,60;49537,73;56135,07;52989,61;42839,83;53382,65;57376,89;55654,41;49037,74;-;62910,59;78260,02;97297,88;63668,71;66243,42;49123,85;27569,57;21100,23;38288,61;45075,88;40242,91;67770,58;59989,47;86166,08;59430,26;73399,01;65558,99;138334,83;103010,76;78187,12;7948,63;14330,59;2759054,33"
"""110011 JARU"";-;-;-;-;-;580933,51;577745,54;590684,76;549214,81;557884,38;572909,40;431464,77;421669,15;449646,15;426241,99;500098,43;518249,69;525740,20;506764,52;499338,89;483096,08;485520,05;440363,79;456575,30;470392,05;435632,14;428048,89;443531,41;418470,54;420609,63;448230,04;468095,81;568791,40;501301,49;481142,15;514720,70;503404,51;526931,65;514950,20;534261,37;480284,82;486062,70;472566,87;515452,21;519005,32;582548,84;525357,09;553056,99;537334,31;555670,77;567627,48;556444,32;552548,42;533884,21;24690499,74"
"""110012 JI-PARANA"";-;-;-;-;-;2861440,96;2769588,32;2828609,57;2839042,62;2960407,97;3104565,21;3014429,08;3068687,17;3036292,55;3086070,86;3022441,51;3007311,81;2972699,12;3004068,31;3060650,83;2173578,65;2786237,71;2629120,50;974105,89;2449855,32;2557536,54;2778465,27;1737101,67;2733850,47;2658443,77;2882446,99;2863444,40;2878381,28;2690491,98;2769157,80;3037743,19;2942246,09;2259299,62;2179623,19;889168,46;1008492,07;1544948,15;2153004,63;2742065,62;3547497,09;3837164,96;4133944,31;2604518,60;2512283,41;2642008,38;2550330,84;2546328,46;2245955,46;2538699,33;130113845,99"
"""110013 MACHADINHO D'OESTE"";-;-;-;-;-;133049,63;113040,05;117857,98;145735,10;183770,16;165627,04;135690,30;161455,68;215534,13;201340,88;191911,58;232756,39;231310,49;216633,90;241004,93;194710,37;208342,04;220731,55;219666,73;251772,10;210657,34;237036,63;222105,72;125407,44;222057,17;254909,32;250258,33;297659,17;229758,60;219326,04;222202,25;219721,93;189850,64;184727,59;170044,55;177747,29;189650,80;206555,26;230197,91;276310,28;292200,62;254588,75;145664,88;103888,60;249378,03;184660,54;302943,55;203786,33;206104,55;10061341,14"
"""110014 NOVA BRASILANDIA D'OESTE"";-;-;-;-;-;19951,31;19755,50;1827,23;2562,51;3069,58;25588,56;35012,29;21758,99;20725,34;40044,85;28396,71;24088,15;32538,82;38009,78;42136,14;37918,93;36310,89;34906,33;29861,86;29048,88;27965,90;28600,92;33377,92;28673,17;36159,04;41465,60;46474,96;52664,69;37460,23;37111,46;37388,32;38748,54;43202,47;50228,47;41948,43;46253,73;35443,38;54243,10;57723,95;76495,66;67174,38;66443,60;63695,74;84312,86;56315,07;64885,43;53554,65;45748,62;-;1877272,94"
"""110015 OURO PRETO DO OESTE"";-;-;-;-;-;128457,72;128331,66;129266,81;139390,11;134791,58;140400,65;131475,47;127951,05;125093,83;125364,54;144412,34;162050,90;172219,08;157256,05;184818,44;174334,90;179484,37;190236,90;178389,38;171904,12;193095,87;185809,87;192449,08;172472,43;193109,20;212668,39;207026,59;255447,25;210123,43;224530,81;206258,40;205322,10;231023,40;219002,55;207412,09;214252,56;195200,84;217738,87;232598,60;250326,69;254328,97;241828,85;283596,97;290532,90;310382,03;316335,94;295934,43;281211,23;9642,67;9535292,91"
"""110018 PIMENTA BUENO"";-;-;-;-;-;199523,84;134545,31;161203,66;169782,56;174945,20;154836,35;187121,23;175629,87;175825,85;177925,22;182495,09;202837,82;177017,90;169171,82;180951,34;172766,56;162217,70;135352,41;108076,17;146240,42;156473,08;167941,84;187779,23;172085,15;167038,61;111231,49;179500,55;178238,75;220143,85;222973,87;233579,76;193082,85;219802,10;226512,25;242821,66;224595,80;166080,40;192973,24;237715,15;256698,26;295336,60;247772,78;231430,43;217033,79;250208,53;253666,51;230696,42;244183,62;222208,03;9498270,92"
"""110020 PORTO VELHO"";-;-;83445,53;1101056,77;1528829,32;9732603,51;9513415,76;11440946,61;10537071,00;12111691,88;11942164,66;12488355,75;13807833,99;13073297,86;12370611,89;11520079,95;11488309,60;11467590,77;10263527,63;11728941,54;11549659,41;12725211,24;11352574,76;11398938,78;13132940,25;12345536,65;12366742,72;12902153,06;12455483,59;11685052,74;12153997,80;12817369,58;13563472,73;13416532,80;13672725,22;20074660,65;15124022,84;14572866,40;14463156,92;14002514,44;13002388,07;13745610,75;13382678,04;15098282,24;14887756,79;16287654,74;15257564,50;17055289,46;16196805,53;16550920,66;16392632,46;16586598,75;14724904,91;14239706,22;655384179,72"
"""110025 PRESIDENTE MEDICI"";-;-;-;-;-;14301,74;15836,26;18300,09;3847,08;9419,39;17573,30;32753,55;55624,16;48777,00;59070,57;76215,62;70161,02;70436,20;72208,67;79809,31;81310,36;82602,24;72115,04;67585,07;77625,78;75697,01;70942,23;43431,19;72968,01;6899,19;7279,52;9250,21;12192,74;10033,35;14511,53;19028,10;17725,55;18325,62;22586,64;16300,08;21555,27;16858,31;16916,28;14208,66;51961,72;12015,46;33890,98;29514,99;9205,12;36945,58;26893,33;32985,75;29312,83;44584,74;1819592,44"
