"""Munic¡pio"";""Eletivo"";""Urgˆncia"";""Acid local trab"";""Acid trajeto"";""Outros ac trab"";""Outras caus ext"";""Total"""
"""110001 ALTA FLORESTA D'OESTE"";67;2970;-;-;-;-;3037"
"""110002 ARIQUEMES"";759;6055;-;-;1;-;6815"
"""110003 CABIXI"";254;-;-;-;-;-;254"
"""110004 CACOAL"";5497;8371;-;-;-;-;13868"
"""110005 CEREJEIRAS"";871;337;-;-;-;-;1208"
"""110006 COLORADO DO OESTE"";29;492;-;-;-;-;521"
"""110008 COSTA MARQUES"";3;86;-;-;-;-;89"
"""110009 ESPIGAO D'OESTE"";-;1157;-;-;-;-;1157"
"""110010 GUAJARA-MIRIM"";-;3585;-;-;-;-;3585"
"""110011 JARU"";429;2635;-;-;-;-;3064"
"""110012 JI-PARANA"";1077;7107;-;-;-;-;8184"
"""110013 MACHADINHO D'OESTE"";624;1599;-;-;-;-;2223"
"""110014 NOVA BRASILANDIA D'OESTE"";54;1105;-;-;-;-;1159"
"""110015 OURO PRETO DO OESTE"";2651;534;-;-;-;-;3185"
"""110018 PIMENTA BUENO"";288;3185;-;-;-;-;3473"
"""110020 PORTO VELHO"";9752;37665;-;-;1250;1;48668"
"""110025 PRESIDENTE MEDICI"";226;730;-;-;-;-;956"
"""110026 RIO CRESPO"";-;32;-;-;-;-;32"
"""110028 ROLIM DE MOURA"";438;3444;-;-;-;-;3882"
"""110029 SANTA LUZIA D'OESTE"";123;391;-;-;-;-;514"
"""110030 VILHENA"";2068;8050;-;-;-;-;10118"
"""110032 SAO MIGUEL DO GUAPORE"";82;1351;-;-;-;-;1433"
"""110033 NOVA MAMORE"";365;613;-;-;-;-;978"
"""110034 ALVORADA D'OESTE"";39;804;-;-;-;-;843"
"""110037 ALTO ALEGRE DOS PARECIS"";-;520;-;-;-;-;520"
"""110040 ALTO PARAISO"";-;321;-;-;-;-;321"
"""110045 BURITIS"";166;1365;-;-;7;-;1538"
"""110050 NOVO HORIZONTE DO OESTE"";-;295;-;-;1;-;296"
"""110060 CACAULANDIA"";77;-;-;-;-;-;77"
"""110070 CAMPO NOVO DE RONDONIA"";18;174;-;-;-;-;192"
"""110080 CANDEIAS DO JAMARI"";-;110;-;-;-;-;110"
"""110094 CUJUBIM"";-;583;-;-;-;-;583"
"""110100 GOVERNADOR JORGE TEIXEIRA"";-;122;-;-;-;-;122"
"""110120 MINISTRO ANDREAZZA"";245;12;-;-;-;-;257"
"""110130 MIRANTE DA SERRA"";-;424;-;-;-;-;424"
"""110140 MONTE NEGRO"";287;520;-;-;-;-;807"
"""110143 NOVA UNIAO"";-;117;-;-;-;-;117"
"""110145 PARECIS"";-;500;-;-;-;-;500"
"""110146 PIMENTEIRAS DO OESTE"";3;37;-;-;-;-;40"
"""110148 SAO FELIPE D'OESTE"";7;2;-;-;-;-;9"
"""110149 SAO FRANCISCO DO GUAPORE"";13;1274;-;-;-;-;1287"
"""110150 SERINGUEIRAS"";1162;191;-;-;8;-;1361"
"""110155 TEIXEIROPOLIS"";-;63;-;-;-;-;63"
"""110160 THEOBROMA"";124;-;-;-;-;-;124"
"""110170 URUPA"";579;-;-;-;-;-;579"
"""110175 VALE DO ANARI"";-;166;-;-;-;-;166"
"""110180 VALE DO PARAISO"";31;220;-;-;-;-;251"
"""120001 ACRELANDIA"";198;-;-;-;-;-;198"
"""120005 ASSIS BRASIL"";-;469;-;-;-;-;469"
"""120010 BRASILEIA"";214;2777;-;-;-;-;2991"
"""120020 CRUZEIRO DO SUL"";1627;11179;-;-;-;-;12806"
"""120030 FEIJO"";-;1092;-;-;-;-;1092"
"""120033 MANCIO LIMA"";651;22;-;-;-;-;673"
"""120034 MANOEL URBANO"";-;433;-;-;-;-;433"
"""120035 MARECHAL THAUMATURGO"";427;-;-;-;-;-;427"
"""120038 PLACIDO DE CASTRO"";475;93;-;-;-;-;568"
"""120039 PORTO WALTER"";266;11;-;-;-;-;277"
"""120040 RIO BRANCO"";21759;11803;-;-;-;-;33562"
"""120042 RODRIGUES ALVES"";278;-;-;-;-;-;278"
"""120043 SANTA ROSA DO PURUS"";28;154;-;-;-;-;182"
"""120045 SENADOR GUIOMARD"";847;-;-;-;-;-;847"
"""120050 SENA MADUREIRA"";-;1855;-;-;-;-;1855"
"""120060 TARAUACA"";2384;9;-;-;-;-;2393"
"""120070 XAPURI"";-;731;-;-;-;-;731"
"""130002 ALVARAES"";6;630;-;-;-;-;636"
"""130006 AMATURA"";34;458;-;-;-;-;492"
"""130008 ANAMA"";161;1089;-;-;-;-;1250"
"""130010 ANORI"";9;1839;-;-;-;-;1848"
"""130014 APUI"";14;1099;-;-;-;-;1113"
"""130020 ATALAIA DO NORTE"";1;569;-;-;-;-;570"
"""130030 AUTAZES"";15;1270;-;-;-;-;1285"
"""130040 BARCELOS"";-;962;-;-;-;-;962"
"""130050 BARREIRINHA"";2;1417;-;-;-;-;1419"
"""130060 BENJAMIN CONSTANT"";362;1340;-;-;-;-;1702"
"""130063 BERURI"";-;669;-;-;-;-;669"
"""130068 BOA VISTA DO RAMOS"";3;724;-;-;-;-;727"
"""130070 BOCA DO ACRE"";296;1568;-;-;-;-;1864"
"""130080 BORBA"";94;2090;-;-;-;-;2184"
"""130083 CAAPIRANGA"";4;436;-;-;-;-;440"
"""130090 CANUTAMA"";-;495;-;-;-;-;495"
"""130100 CARAUARI"";341;1294;-;-;-;-;1635"
"""130110 CAREIRO"";615;777;-;-;-;-;1392"
"""130115 CAREIRO DA VARZEA"";-;12;-;-;-;-;12"
"""130120 COARI"";276;3854;-;-;-;1;4131"
"""130130 CODAJAS"";14;1458;-;-;-;-;1472"
"""130140 EIRUNEPE"";117;1431;-;-;-;-;1548"
"""130150 ENVIRA"";262;671;-;-;-;-;933"
"""130160 FONTE BOA"";242;1142;-;-;-;-;1384"
"""130165 GUAJARA"";1;325;-;-;-;-;326"
"""130170 HUMAITA"";313;1655;-;-;-;-;1968"
"""130180 IPIXUNA"";2159;1;-;-;-;-;2160"
"""130185 IRANDUBA"";197;673;-;-;-;-;870"
"""130190 ITACOATIARA"";348;4580;-;-;-;-;4928"
"""130195 ITAMARATI"";1104;23;-;-;-;-;1127"
"""130200 ITAPIRANGA"";1;380;-;-;-;-;381"
"""130210 JAPURA"";1;535;-;-;-;-;536"
"""130230 JUTAI"";5;1532;-;-;-;-;1537"
"""130240 LABREA"";6;1187;-;-;-;-;1193"
"""130250 MANACAPURU"";605;5464;-;-;-;-;6069"
"""130255 MANAQUIRI"";84;607;-;-;-;-;691"
"""130260 MANAUS"";34881;89491;-;-;-;-;124372"
"""130270 MANICORE"";82;1808;-;-;-;-;1890"
"""130280 MARAA"";25;403;-;-;1;-;429"
"""130290 MAUES"";225;2853;-;-;-;-;3078"
"""130300 NHAMUNDA"";-;268;-;-;-;-;268"
"""130310 NOVA OLINDA DO NORTE"";1;1267;-;-;-;-;1268"
"""130320 NOVO AIRAO"";15;994;-;-;-;-;1009"
"""130330 NOVO ARIPUANA"";114;1593;-;-;-;-;1707"
"""130340 PARINTINS"";1292;7087;-;-;-;-;8379"
"""130350 PAUINI"";6;900;-;-;-;-;906"
"""130353 PRESIDENTE FIGUEIREDO"";351;732;-;-;-;-;1083"
"""130356 RIO PRETO DA EVA"";160;309;-;-;-;-;469"
"""130360 SANTA ISABEL DO RIO NEGRO"";26;525;-;-;-;-;551"
"""130370 SANTO ANTONIO DO ICA"";2;1561;-;-;-;-;1563"
"""130380 SAO GABRIEL DA CACHOEIRA"";-;1281;-;-;-;-;1281"
"""130390 SAO PAULO DE OLIVENCA"";-;1882;-;-;-;-;1882"
"""130395 SAO SEBASTIAO DO UATUMA"";51;619;-;-;-;-;670"
"""130400 SILVES"";281;654;-;-;5;-;940"
"""130406 TABATINGA"";2;1306;-;-;-;-;1308"
"""130410 TAPAUA"";1;975;-;-;-;-;976"
"""130420 TEFE"";616;5096;-;-;-;-;5712"
