"""Munic¡pio"";""Eletivo"";""Urgˆncia"";""Acid local trab"";""Outros ac trab"";""Outras caus ext"";""Total"""
"""110002 ARIQUEMES"";12;399;-;-;-;411"
"""110003 CABIXI"";16;5;-;-;-;21"
"""110004 CACOAL"";546;722;-;-;-;1268"
"""110008 COSTA MARQUES"";32;8;-;-;-;40"
"""110010 GUAJARA-MIRIM"";109;181;-;-;-;290"
"""110011 JARU"";15;186;-;-;-;201"
"""110012 JI-PARANA"";55;861;-;-;-;916"
"""110018 PIMENTA BUENO"";23;253;-;-;-;276"
"""110020 PORTO VELHO"";1225;3152;-;41;-;4418"
"""110025 PRESIDENTE MEDICI"";53;-;-;-;-;53"
"""110030 VILHENA"";113;950;-;-;-;1063"
"""110034 ALVORADA D'OESTE"";7;44;-;-;-;51"
"""110045 BURITIS"";13;84;-;-;-;97"
"""110070 CAMPO NOVO DE RONDONIA"";-;6;-;-;-;6"
"""110140 MONTE NEGRO"";29;45;-;-;-;74"
"""110145 PARECIS"";-;8;-;-;-;8"
"""110148 SAO FELIPE D'OESTE"";3;3;-;-;-;6"
"""110149 SAO FRANCISCO DO GUAPORE"";39;119;-;-;-;158"
"""110170 URUPA"";87;-;-;-;-;87"
"""110175 VALE DO ANARI"";-;29;-;-;-;29"
"""130006 AMATURA"";6;61;-;-;-;67"
"""130008 ANAMA"";-;119;-;-;-;119"
"""130010 ANORI"";-;84;-;-;-;84"
"""130014 APUI"";10;60;-;-;-;70"
"""130030 AUTAZES"";17;110;-;-;-;127"
"""130050 BARREIRINHA"";-;112;-;-;-;112"
"""130068 BOA VISTA DO RAMOS"";-;57;-;-;-;57"
"""130100 CARAUARI"";11;132;-;-;-;143"
"""130110 CAREIRO"";9;71;-;-;-;80"
"""130115 CAREIRO DA VARZEA"";-;2;-;-;-;2"
"""130120 COARI"";22;444;-;-;-;466"
"""130150 ENVIRA"";-;85;-;-;-;85"
"""130180 IPIXUNA"";180;1;-;-;-;181"
"""130200 ITAPIRANGA"";2;71;-;-;-;73"
"""130220 JURUA"";-;50;-;-;-;50"
"""130255 MANAQUIRI"";1;73;-;-;-;74"
"""130260 MANAUS"";3736;9682;-;-;-;13418"
"""130270 MANICORE"";2;136;-;-;-;138"
"""130300 NHAMUNDA"";4;72;-;-;-;76"
"""130320 NOVO AIRAO"";10;96;1;-;-;107"
"""130330 NOVO ARIPUANA"";24;66;-;-;-;90"
"""130340 PARINTINS"";99;645;-;-;-;744"
"""130350 PAUINI"";-;72;-;-;-;72"
"""130353 PRESIDENTE FIGUEIREDO"";16;105;-;-;-;121"
