"""Munic¡pio"";""Eletivo"";""Urgˆncia"";""Acid trajeto"";""Outros ac trab"";""Outras caus ext"";""Total"""
"""110001 ALTA FLORESTA D'OESTE"";-;20;-;-;-;20"
"""110002 ARIQUEMES"";-;226;-;-;-;226"
"""110003 CABIXI"";4;-;-;-;-;4"
"""110004 CACOAL"";233;344;-;-;-;577"
"""110005 CEREJEIRAS"";-;8;-;-;-;8"
"""110006 COLORADO DO OESTE"";-;11;-;-;-;11"
"""110008 COSTA MARQUES"";-;5;-;-;-;5"
"""110009 ESPIGAO D'OESTE"";-;31;-;-;-;31"
"""110010 GUAJARA-MIRIM"";-;18;-;-;-;18"
"""110011 JARU"";-;78;-;-;-;78"
"""110012 JI-PARANA"";1;368;-;-;-;369"
"""110013 MACHADINHO D'OESTE"";-;24;-;-;-;24"
"""110014 NOVA BRASILANDIA D'OESTE"";-;17;-;-;-;17"
"""110015 OURO PRETO DO OESTE"";42;2;-;-;-;44"
"""110018 PIMENTA BUENO"";-;55;-;-;-;55"
"""110020 PORTO VELHO"";462;1377;-;28;-;1867"
"""110025 PRESIDENTE MEDICI"";-;19;-;-;-;19"
"""110028 ROLIM DE MOURA"";1;51;-;-;-;52"
"""110029 SANTA LUZIA D'OESTE"";-;12;-;-;-;12"
"""110030 VILHENA"";-;283;-;-;-;283"
"""110032 SAO MIGUEL DO GUAPORE"";-;21;-;-;-;21"
"""110033 NOVA MAMORE"";3;10;-;-;-;13"
"""110040 ALTO PARAISO"";-;1;-;-;-;1"
"""110045 BURITIS"";-;37;-;-;-;37"
"""110050 NOVO HORIZONTE DO OESTE"";-;7;-;-;-;7"
"""110070 CAMPO NOVO DE RONDONIA"";-;3;-;-;-;3"
"""110094 CUJUBIM"";-;17;-;-;-;17"
"""110120 MINISTRO ANDREAZZA"";4;-;-;-;-;4"
"""110130 MIRANTE DA SERRA"";-;7;-;-;-;7"
"""110140 MONTE NEGRO"";1;8;-;-;-;9"
"""110145 PARECIS"";-;1;-;-;-;1"
"""110149 SAO FRANCISCO DO GUAPORE"";-;13;-;-;-;13"
"""110150 SERINGUEIRAS"";1;6;-;-;-;7"
"""110160 THEOBROMA"";2;-;-;-;-;2"
"""110170 URUPA"";6;-;-;-;-;6"
"""120001 ACRELANDIA"";4;-;-;-;-;4"
"""120005 ASSIS BRASIL"";-;1;-;-;-;1"
"""120010 BRASILEIA"";-;46;-;-;-;46"
"""120020 CRUZEIRO DO SUL"";1;237;-;-;-;238"
"""120030 FEIJO"";-;9;-;-;-;9"
"""120034 MANOEL URBANO"";-;3;-;-;-;3"
"""120035 MARECHAL THAUMATURGO"";2;-;-;-;-;2"
