"""Munic¡pio"";""Eletivo"";""Urgˆncia"";""Acid local trab"";""Acid trajeto"";""Outros ac trab"";""Outras caus ext"";""Total"""
"""110001 ALTA FLORESTA D'OESTE"";-;20;-;-;-;-;20"
"""110002 ARIQUEMES"";2;232;-;-;-;-;234"
"""110003 CABIXI"";6;-;-;-;-;-;6"
"""110004 CACOAL"";267;316;-;-;-;-;583"
"""110005 CEREJEIRAS"";6;3;-;-;-;-;9"
"""110006 COLORADO DO OESTE"";-;16;-;-;-;-;16"
"""110008 COSTA MARQUES"";-;1;-;-;-;-;1"
"""110009 ESPIGAO D'OESTE"";-;21;-;-;-;-;21"
"""110010 GUAJARA-MIRIM"";-;13;-;-;-;-;13"
"""110011 JARU"";-;63;-;-;-;-;63"
"""110012 JI-PARANA"";5;333;-;-;-;-;338"
"""110013 MACHADINHO D'OESTE"";3;24;-;-;-;-;27"
"""110014 NOVA BRASILANDIA D'OESTE"";-;15;-;-;-;-;15"
"""110015 OURO PRETO DO OESTE"";33;1;-;-;-;-;34"
"""110018 PIMENTA BUENO"";-;49;-;-;-;-;49"
"""110020 PORTO VELHO"";477;1503;-;-;22;-;2002"
"""110025 PRESIDENTE MEDICI"";-;17;-;-;-;-;17"
"""110028 ROLIM DE MOURA"";2;37;-;-;-;-;39"
"""110029 SANTA LUZIA D'OESTE"";3;10;-;-;-;-;13"
"""110030 VILHENA"";8;274;-;-;-;-;282"
"""110032 SAO MIGUEL DO GUAPORE"";-;9;-;-;-;-;9"
"""110033 NOVA MAMORE"";2;10;-;-;-;-;12"
"""110040 ALTO PARAISO"";-;3;-;-;-;-;3"
"""110045 BURITIS"";-;32;-;-;-;-;32"
"""110050 NOVO HORIZONTE DO OESTE"";-;10;-;-;-;-;10"
"""110060 CACAULANDIA"";2;-;-;-;-;-;2"
"""110070 CAMPO NOVO DE RONDONIA"";-;1;-;-;-;-;1"
"""110094 CUJUBIM"";-;8;-;-;-;-;8"
"""110120 MINISTRO ANDREAZZA"";2;-;-;-;-;-;2"
"""110130 MIRANTE DA SERRA"";-;2;-;-;-;-;2"
"""110140 MONTE NEGRO"";-;1;-;-;-;-;1"
"""110146 PIMENTEIRAS DO OESTE"";-;1;-;-;-;-;1"
"""110149 SAO FRANCISCO DO GUAPORE"";-;9;-;-;-;-;9"
"""110150 SERINGUEIRAS"";12;3;-;-;-;-;15"
"""110160 THEOBROMA"";5;-;-;-;-;-;5"
"""110170 URUPA"";9;-;-;-;-;-;9"
"""110180 VALE DO PARAISO"";-;3;-;-;-;-;3"
"""120001 ACRELANDIA"";3;-;-;-;-;-;3"
"""120010 BRASILEIA"";-;67;-;-;-;-;67"
"""120020 CRUZEIRO DO SUL"";1;269;-;-;-;-;270"
"""120030 FEIJO"";-;5;-;-;-;-;5"
"""120033 MANCIO LIMA"";1;-;-;-;-;-;1"
"""120034 MANOEL URBANO"";-;3;-;-;-;-;3"
"""120035 MARECHAL THAUMATURGO"";2;-;-;-;-;-;2"
"""120038 PLACIDO DE CASTRO"";1;1;-;-;-;-;2"
"""120039 PORTO WALTER"";2;-;-;-;-;-;2"
"""120040 RIO BRANCO"";660;708;-;-;-;-;1368"
"""120043 SANTA ROSA DO PURUS"";-;3;-;-;-;-;3"
"""120045 SENADOR GUIOMARD"";11;-;-;-;-;-;11"
"""120050 SENA MADUREIRA"";-;21;-;-;-;-;21"
"""120060 TARAUACA"";15;-;-;-;-;-;15"
"""120070 XAPURI"";-;13;-;-;-;-;13"
"""130002 ALVARAES"";-;5;-;-;-;-;5"
"""130006 AMATURA"";-;1;-;-;-;-;1"
"""130010 ANORI"";-;2;-;-;-;-;2"
"""130014 APUI"";-;4;-;-;-;-;4"
"""130020 ATALAIA DO NORTE"";-;8;-;-;-;-;8"
"""130030 AUTAZES"";-;1;-;-;-;-;1"
"""130040 BARCELOS"";-;21;-;-;-;-;21"
"""130050 BARREIRINHA"";-;15;-;-;-;-;15"
"""130060 BENJAMIN CONSTANT"";-;26;-;-;-;-;26"
"""130063 BERURI"";-;14;-;-;-;-;14"
"""130068 BOA VISTA DO RAMOS"";-;17;-;-;-;-;17"
"""130070 BOCA DO ACRE"";-;16;-;-;-;-;16"
"""130080 BORBA"";-;13;-;-;-;-;13"
"""130090 CANUTAMA"";-;4;-;-;-;-;4"
"""130100 CARAUARI"";-;33;-;-;-;-;33"
"""130110 CAREIRO"";-;3;-;-;-;-;3"
"""130120 COARI"";-;118;-;-;-;-;118"
"""130130 CODAJAS"";-;23;-;-;-;-;23"
"""130140 EIRUNEPE"";-;44;-;-;-;-;44"
"""130150 ENVIRA"";2;10;-;-;-;-;12"
"""130160 FONTE BOA"";-;19;-;-;-;-;19"
"""130165 GUAJARA"";-;1;-;-;-;-;1"
"""130170 HUMAITA"";-;18;-;-;-;-;18"
"""130180 IPIXUNA"";2;-;-;-;-;-;2"
"""130185 IRANDUBA"";-;13;-;-;-;-;13"
"""130190 ITACOATIARA"";-;82;-;-;-;-;82"
"""130195 ITAMARATI"";3;-;-;-;-;-;3"
"""130200 ITAPIRANGA"";-;6;-;-;-;-;6"
"""130210 JAPURA"";-;5;-;-;-;-;5"
"""130240 LABREA"";-;26;-;-;-;-;26"
"""130250 MANACAPURU"";-;131;-;-;-;-;131"
"""130260 MANAUS"";1118;4746;-;-;-;-;5864"
"""130270 MANICORE"";-;32;-;-;-;-;32"
"""130280 MARAA"";-;3;-;-;-;-;3"
"""130290 MAUES"";3;75;-;-;-;-;78"
"""130300 NHAMUNDA"";-;2;-;-;-;-;2"
"""130310 NOVA OLINDA DO NORTE"";-;3;-;-;-;-;3"
"""130320 NOVO AIRAO"";-;9;-;-;-;-;9"
"""130330 NOVO ARIPUANA"";-;13;-;-;-;-;13"
"""130340 PARINTINS"";4;145;-;-;-;-;149"
"""130350 PAUINI"";-;14;-;-;-;-;14"
"""130353 PRESIDENTE FIGUEIREDO"";3;12;-;-;-;-;15"
"""130356 RIO PRETO DA EVA"";-;1;-;-;-;-;1"
"""130360 SANTA ISABEL DO RIO NEGRO"";-;13;-;-;-;-;13"
"""130370 SANTO ANTONIO DO ICA"";-;8;-;-;-;-;8"
"""130380 SAO GABRIEL DA CACHOEIRA"";-;18;-;-;-;-;18"
"""130390 SAO PAULO DE OLIVENCA"";-;29;-;-;-;-;29"
"""130395 SAO SEBASTIAO DO UATUMA"";-;7;-;-;-;-;7"
"""130400 SILVES"";-;2;-;-;-;-;2"
"""130406 TABATINGA"";-;37;-;-;-;-;37"
"""130410 TAPAUA"";-;1;-;-;-;-;1"
"""130420 TEFE"";-;42;-;-;-;-;42"
"""130423 TONANTINS"";-;5;-;-;-;-;5"
"""130426 UARINI"";-;3;-;-;-;-;3"
"""130430 URUCARA"";-;10;-;-;-;-;10"
"""130440 URUCURITUBA"";-;2;-;-;-;-;2"
"""140005 ALTO ALEGRE"";-;2;-;-;-;-;2"
"""140010 BOA VISTA"";114;1316;-;-;-;-;1430"
"""140020 CARACARAI"";-;2;-;-;-;-;2"
"""140023 CAROEBE"";-;1;-;-;-;-;1"
"""140045 PACARAIMA"";-;3;-;-;-;-;3"
"""140047 RORAINOPOLIS"";-;11;-;-;-;-;11"
"""140050 SAO JOAO DA BALIZA"";-;1;-;-;-;-;1"
"""150010 ABAETETUBA"";8;181;-;-;-;-;189"
"""150013 ABEL FIGUEIREDO"";-;5;-;-;-;-;5"
"""150020 ACARA"";1;31;-;-;-;-;32"
"""150030 AFUA"";-;2;-;-;-;-;2"
"""150034 AGUA AZUL DO NORTE"";-;21;-;-;-;-;21"
"""150040 ALENQUER"";-;107;-;-;-;-;107"
"""150050 ALMEIRIM"";-;24;-;-;-;-;24"
"""150060 ALTAMIRA"";11;423;-;-;-;-;434"
"""150070 ANAJAS"";-;5;-;-;-;-;5"
"""150080 ANANINDEUA"";68;540;-;-;-;-;608"
"""150090 AUGUSTO CORREA"";-;5;-;-;-;-;5"
"""150095 AURORA DO PARA"";-;22;-;-;-;-;22"
"""150120 BAIAO"";-;30;-;-;-;-;30"
"""150125 BANNACH"";-;5;-;-;-;-;5"
"""150130 BARCARENA"";-;125;-;-;-;-;125"
"""150140 BELEM"";198;5223;-;-;-;-;5421"
"""150145 BELTERRA"";-;15;-;-;-;-;15"
"""150157 BOM JESUS DO TOCANTINS"";-;8;-;-;-;-;8"
"""150170 BRAGANCA"";-;219;-;-;-;-;219"
"""150172 BRASIL NOVO"";1;11;-;-;-;-;12"
"""150178 BREU BRANCO"";-;3;-;-;-;-;3"
"""150180 BREVES"";4;216;-;-;-;-;220"
"""150210 CAMETA"";2;125;-;-;-;-;127"
"""150215 CANAA DOS CARAJAS"";-;54;-;-;-;-;54"
"""150220 CAPANEMA"";10;314;-;-;-;-;324"
"""150230 CAPITAO POCO"";6;-;-;-;-;-;6"
"""150240 CASTANHAL"";33;777;-;-;-;-;810"
"""150270 CONCEICAO DO ARAGUAIA"";-;45;-;-;-;-;45"
"""150275 CONCORDIA DO PARA"";-;24;-;-;-;-;24"
"""150276 CUMARU DO NORTE"";-;5;-;-;-;-;5"
"""150277 CURIONOPOLIS"";-;20;-;-;-;-;20"
"""150290 CURUCA"";-;48;-;-;-;-;48"
"""150293 DOM ELISEU"";-;59;-;-;-;-;59"
"""150295 ELDORADO DOS CARAJAS"";-;15;-;-;-;-;15"
"""150304 FLORESTA DO ARAGUAIA"";-;18;-;-;-;-;18"
"""150307 GARRAFAO DO NORTE"";-;9;-;-;-;-;9"
"""150310 GURUPA"";-;6;-;-;-;-;6"
"""150320 IGARAPE-ACU"";-;43;-;-;-;-;43"
"""150330 IGARAPE-MIRI"";-;66;-;-;-;-;66"
"""150345 IPIXUNA DO PARA"";-;29;-;-;-;-;29"
"""150350 IRITUIA"";-;21;-;-;-;-;21"
"""150360 ITAITUBA"";5;517;-;-;-;-;522"
"""150370 ITUPIRANGA"";-;50;-;-;-;-;50"
"""150375 JACAREACANGA"";-;21;-;-;-;-;21"
"""150380 JACUNDA"";-;28;-;-;-;-;28"
"""150390 JURUTI"";-;4;-;-;-;-;4"
"""150400 LIMOEIRO DO AJURU"";-;9;-;-;-;-;9"
"""150405 MAE DO RIO"";-;25;-;-;-;-;25"
"""150420 MARABA"";39;601;-;-;-;-;640"
"""150430 MARACANA"";-;8;-;-;-;-;8"
"""150440 MARAPANIM"";-;21;-;-;-;-;21"
"""150442 MARITUBA"";-;143;-;-;-;-;143"
"""150445 MEDICILANDIA"";-;3;-;-;-;-;3"
"""150470 MOJU"";-;52;-;-;-;-;52"
"""150480 MONTE ALEGRE"";-;80;-;-;-;-;80"
"""150490 MUANA"";-;27;-;-;-;-;27"
"""150503 NOVO PROGRESSO"";-;31;-;-;-;-;31"
"""150506 NOVO REPARTIMENTO"";-;7;-;-;-;-;7"
"""150510 OBIDOS"";2;113;-;-;-;-;115"
"""150520 OEIRAS DO PARA"";-;7;-;-;-;1;8"
"""150530 ORIXIMINA"";-;142;-;-;-;-;142"
"""150540 OUREM"";-;28;-;-;-;-;28"
"""150543 OURILANDIA DO NORTE"";-;51;-;-;-;-;51"
"""150548 PACAJA"";-;34;-;-;-;-;34"
"""150550 PARAGOMINAS"";7;150;-;-;-;-;157"
"""150553 PARAUAPEBAS"";-;318;-;-;-;-;318"
"""150555 PAU D'ARCO"";-;4;-;-;-;-;4"
"""150565 PLACAS"";-;24;-;-;-;-;24"
"""150580 PORTEL"";-;60;-;-;-;-;60"
"""150590 PORTO DE MOZ"";-;1;-;-;-;-;1"
"""150600 PRAINHA"";-;7;-;-;-;-;7"
"""150613 REDENCAO"";4;336;-;-;-;1;341"
"""150616 RIO MARIA"";-;22;-;-;-;-;22"
"""150618 RONDON DO PARA"";-;22;-;-;-;-;22"
"""150619 RUROPOLIS"";-;5;-;-;-;-;5"
"""150620 SALINOPOLIS"";-;31;-;-;-;-;31"
"""150650 SANTA IZABEL DO PARA"";-;66;-;-;-;-;66"
"""150660 SANTA MARIA DO PARA"";-;22;-;-;-;-;22"
"""150680 SANTAREM"";41;787;-;-;-;-;828"
"""150700 SANTO ANTONIO DO TAUA"";-;9;-;-;-;-;9"
"""150720 SAO DOMINGOS DO CAPIM"";-;13;-;-;-;-;13"
"""150730 SAO FELIX DO XINGU"";-;23;-;-;-;-;23"
"""150745 SAO GERALDO DO ARAGUAIA"";-;36;-;-;-;-;36"
"""150747 SAO JOAO DE PIRABAS"";-;11;-;-;-;-;11"
"""150750 SAO JOAO DO ARAGUAIA"";-;4;-;-;-;-;4"
"""150760 SAO MIGUEL DO GUAMA"";-;63;-;-;-;-;63"
"""150775 SAPUCAIA"";-;6;-;-;-;-;6"
"""150790 SOURE"";-;44;-;-;-;-;44"
"""150795 TAILANDIA"";-;148;-;-;-;-;148"
"""150797 TERRA SANTA"";3;13;-;-;-;-;16"
"""150800 TOME-ACU"";-;78;-;-;-;-;78"
"""150805 TRAIRAO"";-;13;-;-;-;-;13"
"""150808 TUCUMA"";-;40;-;-;-;-;40"
"""150810 TUCURUI"";1;321;-;-;3;8;333"
"""150812 ULIANOPOLIS"";-;32;-;-;-;-;32"
"""150815 URUARA"";-;67;-;-;-;-;67"
"""150820 VIGIA"";-;81;-;-;-;-;81"
"""150830 VISEU"";-;23;-;-;-;-;23"
"""150835 VITORIA DO XINGU"";-;18;-;-;-;-;18"
"""150840 XINGUARA"";-;25;-;-;-;-;25"
"""160027 LARANJAL DO JARI"";-;83;-;-;-;-;83"
"""160030 MACAPA"";481;721;-;-;-;-;1202"
"""160050 OIAPOQUE"";-;23;-;-;-;-;23"
"""160053 PORTO GRANDE"";-;1;-;-;-;-;1"
"""160060 SANTANA"";1;219;-;-;-;-;220"
"""170070 ALVORADA"";-;9;-;-;-;-;9"
"""170200 ARAGUACU"";-;3;-;-;-;-;3"
"""170210 ARAGUAINA"";50;729;-;-;15;19;813"
"""170220 ARAGUATINS"";-;1;-;-;-;-;1"
"""170230 ARAPOEMA"";-;19;-;-;-;-;19"
"""170240 ARRAIAS"";-;5;-;-;-;-;5"
"""170255 AUGUSTINOPOLIS"";1;115;-;-;-;-;116"
"""170550 COLINAS DO TOCANTINS"";-;32;-;-;-;-;32"
"""170700 DIANOPOLIS"";-;24;-;-;-;-;24"
"""170820 FORMOSO DO ARAGUAIA"";-;3;-;-;-;-;3"
"""170930 GUARAI"";1;35;-;-;-;-;36"
"""170950 GURUPI"";-;400;-;-;-;-;400"
"""171320 MIRACEMA DO TOCANTINS"";1;47;-;-;-;-;48"
"""171610 PARAISO DO TOCANTINS"";-;85;-;-;-;-;85"
"""171620 PARANA"";-;3;-;-;-;-;3"
"""171650 PEDRO AFONSO"";-;22;-;-;-;-;22"
"""171660 PEIXE"";-;2;-;-;-;-;2"
"""171750 PIUM"";-;3;-;-;-;-;3"
"""171820 PORTO NACIONAL"";1;224;-;-;-;-;225"
"""172090 TAGUATINGA"";-;23;-;-;-;-;23"
"""172100 PALMAS"";10;1288;-;-;-;-;1298"
"""172120 TOCANTINOPOLIS"";-;6;-;-;-;-;6"
"""172210 XAMBIOA"";-;18;-;-;-;-;18"
"""210005 ACAILANDIA"";-;241;-;-;4;-;245"
"""210020 ALCANTARA"";-;2;-;-;-;-;2"
"""210043 ALTO ALEGRE DO MARANHAO"";-;58;-;-;-;-;58"
