"""Munic¡pio"";""Eletivo"";""Urgˆncia"";""Outros ac trab"";""Outras caus ext"";""Total"""
"""110002 ARIQUEMES"";-;22;-;-;22"
"""110004 CACOAL"";20;40;-;-;60"
"""110008 COSTA MARQUES"";1;-;-;-;1"
"""110010 GUAJARA-MIRIM"";-;2;-;-;2"
"""110011 JARU"";-;2;-;-;2"
"""110012 JI-PARANA"";-;39;-;-;39"
"""110018 PIMENTA BUENO"";-;4;-;-;4"
"""110020 PORTO VELHO"";36;125;1;-;162"
"""110025 PRESIDENTE MEDICI"";1;-;-;-;1"
"""110030 VILHENA"";-;21;-;-;21"
"""110034 ALVORADA D'OESTE"";-;1;-;-;1"
"""110045 BURITIS"";-;1;-;-;1"
"""110149 SAO FRANCISCO DO GUAPORE"";-;2;-;-;2"
"""130006 AMATURA"";-;1;-;-;1"
"""130010 ANORI"";-;1;-;-;1"
"""130014 APUI"";-;1;-;-;1"
"""130050 BARREIRINHA"";-;2;-;-;2"
"""130068 BOA VISTA DO RAMOS"";-;2;-;-;2"
"""130100 CARAUARI"";-;2;-;-;2"
"""130120 COARI"";-;30;-;-;30"
"""130180 IPIXUNA"";1;-;-;-;1"
"""130220 JURUA"";-;2;-;-;2"
"""130260 MANAUS"";69;476;-;-;545"
"""130270 MANICORE"";-;4;-;-;4"
"""130320 NOVO AIRAO"";-;3;-;-;3"
"""130340 PARINTINS"";-;19;-;-;19"
"""130350 PAUINI"";-;1;-;-;1"
"""130370 SANTO ANTONIO DO ICA"";-;2;-;-;2"
"""130380 SAO GABRIEL DA CACHOEIRA"";-;1;-;-;1"
"""130395 SAO SEBASTIAO DO UATUMA"";-;3;-;-;3"
"""130400 SILVES"";-;1;-;-;1"
"""130406 TABATINGA"";-;2;-;-;2"
"""130420 TEFE"";-;3;-;-;3"
"""130423 TONANTINS"";-;1;-;-;1"
"""130430 URUCARA"";-;1;-;-;1"
"""150010 ABAETETUBA"";-;6;-;-;6"
"""150040 ALENQUER"";-;15;-;-;15"
"""150060 ALTAMIRA"";-;39;-;-;39"
"""150070 ANAJAS"";-;2;-;-;2"
"""150080 ANANINDEUA"";7;74;-;-;81"
"""150095 AURORA DO PARA"";-;3;-;-;3"
"""150120 BAIAO"";-;7;-;-;7"
"""150125 BANNACH"";-;1;-;-;1"
"""150130 BARCARENA"";-;7;-;-;7"
"""150140 BELEM"";35;475;-;-;510"
"""150170 BRAGANCA"";5;21;-;-;26"
"""150172 BRASIL NOVO"";-;3;-;-;3"
"""150180 BREVES"";-;13;-;-;13"
"""150215 CANAA DOS CARAJAS"";-;2;-;-;2"
"""150220 CAPANEMA"";1;28;-;-;29"
"""150240 CASTANHAL"";13;87;-;-;100"
"""150270 CONCEICAO DO ARAGUAIA"";-;2;-;-;2"
"""150275 CONCORDIA DO PARA"";-;4;-;-;4"
"""150320 IGARAPE-ACU"";-;5;-;-;5"
"""150345 IPIXUNA DO PARA"";-;1;-;-;1"
"""150360 ITAITUBA"";2;27;-;-;29"
"""150405 MAE DO RIO"";-;3;-;-;3"
"""150420 MARABA"";6;40;-;-;46"
"""150442 MARITUBA"";12;3;-;-;15"
"""150445 MEDICILANDIA"";-;4;-;-;4"
"""150470 MOJU"";-;3;-;-;3"
"""150480 MONTE ALEGRE"";-;16;-;-;16"
"""150506 NOVO REPARTIMENTO"";-;1;-;-;1"
"""150530 ORIXIMINA"";-;4;-;-;4"
"""150540 OUREM"";-;3;-;-;3"
"""150543 OURILANDIA DO NORTE"";-;13;-;-;13"
"""150550 PARAGOMINAS"";2;9;-;-;11"
"""150553 PARAUAPEBAS"";-;41;-;-;41"
"""150555 PAU D'ARCO"";-;2;-;-;2"
