"""Munic¡pio"";""M‚dia complexidade"";""Alta complexidade"";""Total"""
"""110001 ALTA FLORESTA D'OESTE"";3037;-;3037"
"""110002 ARIQUEMES"";6815;-;6815"
"""110003 CABIXI"";254;-;254"
"""110004 CACOAL"";13417;451;13868"
"""110005 CEREJEIRAS"";1208;-;1208"
"""110006 COLORADO DO OESTE"";521;-;521"
"""110008 COSTA MARQUES"";89;-;89"
"""110009 ESPIGAO D'OESTE"";1157;-;1157"
"""110010 GUAJARA-MIRIM"";3584;1;3585"
"""110011 JARU"";3064;-;3064"
"""110012 JI-PARANA"";8167;17;8184"
"""110013 MACHADINHO D'OESTE"";2223;-;2223"
"""110014 NOVA BRASILANDIA D'OESTE"";1159;-;1159"
"""110015 OURO PRETO DO OESTE"";3185;-;3185"
"""110018 PIMENTA BUENO"";3473;-;3473"
"""110020 PORTO VELHO"";44221;4447;48668"
"""110025 PRESIDENTE MEDICI"";956;-;956"
"""110026 RIO CRESPO"";32;-;32"
"""110028 ROLIM DE MOURA"";3882;-;3882"
"""110029 SANTA LUZIA D'OESTE"";514;-;514"
"""110030 VILHENA"";10072;46;10118"
"""110032 SAO MIGUEL DO GUAPORE"";1433;-;1433"
"""110033 NOVA MAMORE"";978;-;978"
"""110034 ALVORADA D'OESTE"";843;-;843"
"""110037 ALTO ALEGRE DOS PARECIS"";520;-;520"
"""110040 ALTO PARAISO"";321;-;321"
"""110045 BURITIS"";1537;1;1538"
"""110050 NOVO HORIZONTE DO OESTE"";296;-;296"
"""110060 CACAULANDIA"";77;-;77"
"""110070 CAMPO NOVO DE RONDONIA"";192;-;192"
"""110080 CANDEIAS DO JAMARI"";110;-;110"
"""110094 CUJUBIM"";583;-;583"
"""110100 GOVERNADOR JORGE TEIXEIRA"";122;-;122"
"""110120 MINISTRO ANDREAZZA"";257;-;257"
"""110130 MIRANTE DA SERRA"";424;-;424"
"""110140 MONTE NEGRO"";807;-;807"
"""110143 NOVA UNIAO"";117;-;117"
"""110145 PARECIS"";500;-;500"
"""110146 PIMENTEIRAS DO OESTE"";40;-;40"
"""110148 SAO FELIPE D'OESTE"";9;-;9"
"""110149 SAO FRANCISCO DO GUAPORE"";1287;-;1287"
"""110150 SERINGUEIRAS"";1361;-;1361"
"""110155 TEIXEIROPOLIS"";63;-;63"
"""110160 THEOBROMA"";124;-;124"
"""110170 URUPA"";579;-;579"
"""110175 VALE DO ANARI"";166;-;166"
"""110180 VALE DO PARAISO"";251;-;251"
"""120001 ACRELANDIA"";198;-;198"
"""120005 ASSIS BRASIL"";469;-;469"
"""120010 BRASILEIA"";2991;-;2991"
"""120020 CRUZEIRO DO SUL"";12802;4;12806"
"""120030 FEIJO"";1092;-;1092"
"""120033 MANCIO LIMA"";673;-;673"
"""120034 MANOEL URBANO"";433;-;433"
"""120035 MARECHAL THAUMATURGO"";427;-;427"
"""120038 PLACIDO DE CASTRO"";568;-;568"
"""120039 PORTO WALTER"";277;-;277"
"""120040 RIO BRANCO"";32042;1520;33562"
"""120042 RODRIGUES ALVES"";278;-;278"
"""120043 SANTA ROSA DO PURUS"";182;-;182"
"""120045 SENADOR GUIOMARD"";847;-;847"
"""120050 SENA MADUREIRA"";1855;-;1855"
"""120060 TARAUACA"";2390;3;2393"
"""120070 XAPURI"";731;-;731"
"""130002 ALVARAES"";634;2;636"
"""130006 AMATURA"";492;-;492"
"""130008 ANAMA"";1250;-;1250"
"""130010 ANORI"";1848;-;1848"
"""130014 APUI"";1106;7;1113"
"""130020 ATALAIA DO NORTE"";570;-;570"
"""130030 AUTAZES"";1285;-;1285"
"""130040 BARCELOS"";962;-;962"
"""130050 BARREIRINHA"";1419;-;1419"
"""130060 BENJAMIN CONSTANT"";1702;-;1702"
"""130063 BERURI"";669;-;669"
"""130068 BOA VISTA DO RAMOS"";727;-;727"
"""130070 BOCA DO ACRE"";1864;-;1864"
"""130080 BORBA"";2183;1;2184"
"""130083 CAAPIRANGA"";440;-;440"
"""130090 CANUTAMA"";495;-;495"
"""130100 CARAUARI"";1456;179;1635"
"""130110 CAREIRO"";1392;-;1392"
"""130115 CAREIRO DA VARZEA"";12;-;12"
"""130120 COARI"";4131;-;4131"
"""130130 CODAJAS"";1472;-;1472"
"""130140 EIRUNEPE"";1548;-;1548"
"""130150 ENVIRA"";933;-;933"
"""130160 FONTE BOA"";1384;-;1384"
"""130165 GUAJARA"";326;-;326"
"""130170 HUMAITA"";1968;-;1968"
"""130180 IPIXUNA"";2160;-;2160"
"""130185 IRANDUBA"";870;-;870"
"""130190 ITACOATIARA"";4924;4;4928"
"""130195 ITAMARATI"";1127;-;1127"
"""130200 ITAPIRANGA"";381;-;381"
"""130210 JAPURA"";536;-;536"
"""130230 JUTAI"";1537;-;1537"
"""130240 LABREA"";1192;1;1193"
"""130250 MANACAPURU"";6069;-;6069"
"""130255 MANAQUIRI"";691;-;691"
"""130260 MANAUS"";116157;8215;124372"
"""130270 MANICORE"";1890;-;1890"
"""130280 MARAA"";429;-;429"
"""130290 MAUES"";3077;1;3078"
"""130300 NHAMUNDA"";268;-;268"
"""130310 NOVA OLINDA DO NORTE"";1268;-;1268"
"""130320 NOVO AIRAO"";1008;1;1009"
"""130330 NOVO ARIPUANA"";1707;-;1707"
"""130340 PARINTINS"";8378;1;8379"
"""130350 PAUINI"";906;-;906"
"""130353 PRESIDENTE FIGUEIREDO"";1083;-;1083"
"""130356 RIO PRETO DA EVA"";469;-;469"
"""130360 SANTA ISABEL DO RIO NEGRO"";551;-;551"
"""130370 SANTO ANTONIO DO ICA"";1563;-;1563"
"""130380 SAO GABRIEL DA CACHOEIRA"";1280;1;1281"
"""130390 SAO PAULO DE OLIVENCA"";1882;-;1882"
"""130395 SAO SEBASTIAO DO UATUMA"";669;1;670"
"""130400 SILVES"";940;-;940"
"""130406 TABATINGA"";1308;-;1308"
"""130410 TAPAUA"";975;1;976"
"""130420 TEFE"";5712;-;5712"
"""130423 TONANTINS"";1090;-;1090"
"""130426 UARINI"";639;-;639"
"""130430 URUCARA"";836;-;836"
"""130440 URUCURITUBA"";369;-;369"
"""140005 ALTO ALEGRE"";238;-;238"
"""140010 BOA VISTA"";40334;1114;41448"
"""140015 BONFIM"";55;-;55"
"""140020 CARACARAI"";188;-;188"
"""140023 CAROEBE"";240;-;240"
"""140040 NORMANDIA"";176;-;176"
"""140045 PACARAIMA"";588;-;588"
"""140047 RORAINOPOLIS"";2129;2;2131"
"""140050 SAO JOAO DA BALIZA"";239;-;239"
"""140060 SAO LUIZ"";51;-;51"
"""150010 ABAETETUBA"";12016;1;12017"
"""150013 ABEL FIGUEIREDO"";474;-;474"
"""150020 ACARA"";1399;-;1399"
"""150030 AFUA"";808;-;808"
"""150034 AGUA AZUL DO NORTE"";799;-;799"
"""150040 ALENQUER"";5163;-;5163"
"""150050 ALMEIRIM"";2158;1;2159"
"""150060 ALTAMIRA"";12084;51;12135"
"""150070 ANAJAS"";1559;-;1559"
"""150080 ANANINDEUA"";24964;1001;25965"
"""150085 ANAPU"";1725;-;1725"
"""150090 AUGUSTO CORREA"";2747;-;2747"
"""150095 AURORA DO PARA"";1332;-;1332"
"""150110 BAGRE"";350;-;350"
"""150120 BAIAO"";2127;-;2127"
"""150125 BANNACH"";172;-;172"
"""150130 BARCARENA"";7743;5;7748"
"""150140 BELEM"";108756;19021;127777"
"""150145 BELTERRA"";457;-;457"
"""150157 BOM JESUS DO TOCANTINS"";1075;-;1075"
"""150170 BRAGANCA"";13441;-;13441"
"""150172 BRASIL NOVO"";2639;-;2639"
"""150175 BREJO GRANDE DO ARAGUAIA"";662;-;662"
"""150178 BREU BRANCO"";1152;-;1152"
"""150180 BREVES"";9907;4;9911"
"""150200 CACHOEIRA DO ARARI"";1045;-;1045"
"""150210 CAMETA"";7826;-;7826"
"""150215 CANAA DOS CARAJAS"";4253;3;4256"
"""150220 CAPANEMA"";9100;2;9102"
"""150230 CAPITAO POCO"";1699;-;1699"
"""150240 CASTANHAL"";22707;4;22711"
"""150250 CHAVES"";226;-;226"
"""150270 CONCEICAO DO ARAGUAIA"";4547;-;4547"
"""150275 CONCORDIA DO PARA"";765;-;765"
"""150276 CUMARU DO NORTE"";888;-;888"
"""150277 CURIONOPOLIS"";1181;-;1181"
"""150280 CURRALINHO"";1761;-;1761"
"""150290 CURUCA"";1520;-;1520"
"""150293 DOM ELISEU"";2081;-;2081"
"""150295 ELDORADO DOS CARAJAS"";1188;31;1219"
"""150300 FARO"";38;-;38"
"""150304 FLORESTA DO ARAGUAIA"";1607;-;1607"
"""150307 GARRAFAO DO NORTE"";550;-;550"
"""150309 GOIANESIA DO PARA"";1854;-;1854"
"""150310 GURUPA"";1898;-;1898"
"""150320 IGARAPE-ACU"";1084;-;1084"
"""150330 IGARAPE-MIRI"";8332;-;8332"
"""150340 INHANGAPI"";4;-;4"
"""150345 IPIXUNA DO PARA"";5542;-;5542"
"""150350 IRITUIA"";703;-;703"
"""150360 ITAITUBA"";9827;7;9834"
"""150370 ITUPIRANGA"";1464;-;1464"
"""150375 JACAREACANGA"";1330;-;1330"
"""150380 JACUNDA"";2858;-;2858"
"""150390 JURUTI"";2353;-;2353"
"""150400 LIMOEIRO DO AJURU"";1325;-;1325"
"""150405 MAE DO RIO"";1694;-;1694"
"""150420 MARABA"";17621;159;17780"
"""150430 MARACANA"";486;-;486"
"""150440 MARAPANIM"";427;-;427"
"""150442 MARITUBA"";6826;141;6967"
"""150445 MEDICILANDIA"";1593;-;1593"
"""150450 MELGACO"";919;-;919"
"""150460 MOCAJUBA"";1797;-;1797"
"""150470 MOJU"";1613;-;1613"
"""150480 MONTE ALEGRE"";2884;2;2886"
"""150490 MUANA"";2291;1;2292"
"""150495 NOVA ESPERANCA DO PIRIA"";625;-;625"
"""150497 NOVA IPIXUNA"";228;-;228"
"""150503 NOVO PROGRESSO"";2148;-;2148"
"""150506 NOVO REPARTIMENTO"";1543;-;1543"
"""150510 OBIDOS"";2414;-;2414"
"""150520 OEIRAS DO PARA"";1220;-;1220"
"""150530 ORIXIMINA"";4584;-;4584"
"""150540 OUREM"";846;-;846"
"""150543 OURILANDIA DO NORTE"";3888;56;3944"
"""150548 PACAJA"";2614;-;2614"
"""150549 PALESTINA DO PARA"";255;-;255"
"""150550 PARAGOMINAS"";6399;2;6401"
"""150553 PARAUAPEBAS"";9179;-;9179"
"""150555 PAU D'ARCO"";646;-;646"
"""150563 PICARRA"";731;-;731"
"""150565 PLACAS"";1437;-;1437"
"""150570 PONTA DE PEDRAS"";1136;-;1136"
"""150580 PORTEL"";2579;-;2579"
"""150590 PORTO DE MOZ"";2365;-;2365"
"""150600 PRAINHA"";1242;-;1242"
"""150613 REDENCAO"";9659;202;9861"
"""150616 RIO MARIA"";1218;1;1219"
"""150618 RONDON DO PARA"";2299;-;2299"
"""150619 RUROPOLIS"";1607;-;1607"
"""150620 SALINOPOLIS"";2573;-;2573"
"""150630 SALVATERRA"";878;-;878"
"""150640 SANTA CRUZ DO ARARI"";485;-;485"
"""150650 SANTA IZABEL DO PARA"";1115;-;1115"
"""150658 SANTA MARIA DAS BARREIRAS"";950;-;950"
"""150660 SANTA MARIA DO PARA"";854;-;854"
"""150670 SANTANA DO ARAGUAIA"";4248;-;4248"
"""150680 SANTAREM"";18545;862;19407"
"""150700 SANTO ANTONIO DO TAUA"";5558;-;5558"
"""150715 SAO DOMINGOS DO ARAGUAIA"";482;-;482"
"""150720 SAO DOMINGOS DO CAPIM"";858;-;858"
"""150730 SAO FELIX DO XINGU"";3592;-;3592"
"""150745 SAO GERALDO DO ARAGUAIA"";1621;-;1621"
"""150747 SAO JOAO DE PIRABAS"";715;-;715"
"""150750 SAO JOAO DO ARAGUAIA"";239;-;239"
"""150760 SAO MIGUEL DO GUAMA"";1991;-;1991"
"""150770 SAO SEBASTIAO DA BOA VISTA"";1312;-;1312"
"""150775 SAPUCAIA"";266;-;266"
"""150780 SENADOR JOSE PORFIRIO"";946;1;947"
"""150790 SOURE"";1387;-;1387"
"""150795 TAILANDIA"";4699;1;4700"
"""150797 TERRA SANTA"";1010;-;1010"
"""150800 TOME-ACU"";3748;3;3751"
"""150803 TRACUATEUA"";1221;-;1221"
"""150805 TRAIRAO"";1389;-;1389"
"""150808 TUCUMA"";5206;-;5206"
"""150810 TUCURUI"";7189;6;7195"
"""150812 ULIANOPOLIS"";3236;-;3236"
"""150815 URUARA"";3770;-;3770"
"""150820 VIGIA"";1603;-;1603"
"""150830 VISEU"";2275;-;2275"
"""150835 VITORIA DO XINGU"";1495;-;1495"
"""150840 XINGUARA"";3572;-;3572"
"""160005 SERRA DO NAVIO"";28;-;28"
"""160010 AMAPA"";262;-;262"
"""160015 PEDRA BRANCA DO AMAPARI"";171;-;171"
"""160020 CALCOENE"";236;-;236"
"""160023 FERREIRA GOMES"";95;-;95"
"""160027 LARANJAL DO JARI"";4738;-;4738"
"""160030 MACAPA"";41354;1016;42370"
"""160040 MAZAGAO"";91;-;91"
"""160050 OIAPOQUE"";1743;-;1743"
"""160053 PORTO GRANDE"";161;-;161"
"""160060 SANTANA"";6897;3;6900"
"""160070 TARTARUGALZINHO"";56;-;56"
"""170070 ALVORADA"";549;-;549"
"""170100 ANANAS"";135;-;135"
"""170190 ARAGUACEMA"";552;-;552"
"""170200 ARAGUACU"";406;-;406"
"""170210 ARAGUAINA"";21455;1299;22754"
"""170220 ARAGUATINS"";644;-;644"
"""170230 ARAPOEMA"";1552;-;1552"
"""170240 ARRAIAS"";1168;-;1168"
"""170255 AUGUSTINOPOLIS"";3273;-;3273"
"""170370 BREJINHO DE NAZARE"";94;-;94"
"""170550 COLINAS DO TOCANTINS"";1795;-;1795"
"""170700 DIANOPOLIS"";1494;-;1494"
"""170710 DIVINOPOLIS DO TOCANTINS"";215;-;215"
"""170820 FORMOSO DO ARAGUAIA"";425;-;425"
"""170900 GOIATINS"";108;-;108"
"""170930 GUARAI"";2680;-;2680"
"""170950 GURUPI"";8980;34;9014"
"""171050 ITACAJA"";94;-;94"
"""171190 LAGOA DA CONFUSAO"";68;-;68"
"""171320 MIRACEMA DO TOCANTINS"";3393;-;3393"
"""171420 NATIVIDADE"";63;-;63"
"""171575 PALMEIROPOLIS"";112;-;112"
"""171610 PARAISO DO TOCANTINS"";4934;-;4934"
"""171620 PARANA"";240;-;240"
"""171650 PEDRO AFONSO"";1090;1;1091"
"""171660 PEIXE"";145;-;145"
"""171670 COLMEIA"";10;-;10"
"""171700 PINDORAMA DO TOCANTINS"";119;-;119"
"""171750 PIUM"";464;-;464"
"""171790 PONTE ALTA DO TOCANTINS"";43;-;43"
"""171820 PORTO NACIONAL"";6421;4;6425"
"""172065 SILVANOPOLIS"";38;-;38"
"""172080 SITIO NOVO DO TOCANTINS"";269;-;269"
"""172090 TAGUATINGA"";786;-;786"
"""172100 PALMAS"";26975;3079;30054"
"""172120 TOCANTINOPOLIS"";1164;-;1164"
"""172210 XAMBIOA"";1146;-;1146"
"""210005 ACAILANDIA"";7818;10;7828"
"""210020 ALCANTARA"";204;-;204"
"""210030 ALDEIAS ALTAS"";566;-;566"
"""210043 ALTO ALEGRE DO MARANHAO"";3053;-;3053"
"""210047 ALTO ALEGRE DO PINDARE"";2738;-;2738"
"""210050 ALTO PARNAIBA"";260;-;260"
"""210060 AMARANTE DO MARANHAO"";3081;-;3081"
"""210070 ANAJATUBA"";740;-;740"
"""210080 ANAPURUS"";502;-;502"
"""210083 APICUM-ACU"";1200;-;1200"
"""210087 ARAGUANA"";813;-;813"
"""210090 ARAIOSES"";154;-;154"
"""210095 ARAME"";360;-;360"
"""210100 ARARI"";660;-;660"
"""210110 AXIXA"";243;-;243"
"""210120 BACABAL"";11737;117;11854"
"""210125 BACABEIRA"";382;-;382"
"""210130 BACURI"";1248;-;1248"
"""210140 BALSAS"";8516;-;8516"
"""210150 BARAO DE GRAJAU"";508;-;508"
"""210160 BARRA DO CORDA"";3257;4;3261"
"""210170 BARREIRINHAS"";4465;5;4470"
"""210177 BELA VISTA DO MARANHAO"";557;-;557"
"""210190 BEQUIMAO"";614;-;614"
"""210193 BERNARDO DO MEARIM"";475;-;475"
"""210200 BOM JARDIM"";1898;-;1898"
"""210203 BOM JESUS DAS SELVAS"";1125;-;1125"
"""210210 BREJO"";951;-;951"
"""210220 BURITI"";1818;-;1818"
"""210230 BURITI BRAVO"";1351;-;1351"
"""210232 BURITICUPU"";4237;-;4237"
"""210240 CAJAPIO"";466;2;468"
"""210250 CAJARI"";225;-;225"
"""210260 CANDIDO MENDES"";696;-;696"
"""210270 CANTANHEDE"";1190;-;1190"
"""210280 CAROLINA"";2076;-;2076"
"""210290 CARUTAPERA"";2463;-;2463"
"""210300 CAXIAS"";16484;732;17216"
"""210310 CEDRAL"";957;-;957"
"""210312 CENTRAL DO MARANHAO"";522;-;522"
"""210320 CHAPADINHA"";5311;-;5311"
"""210325 CIDELANDIA"";951;-;951"
"""210330 CODO"";5057;1;5058"
"""210340 COELHO NETO"";2435;-;2435"
"""210350 COLINAS"";8010;-;8010"
"""210355 CONCEICAO DO LAGO-ACU"";883;-;883"
"""210360 COROATA"";4700;1;4701"
"""210370 CURURUPU"";5263;-;5263"
"""210380 DOM PEDRO"";656;-;656"
"""210390 DUQUE BACELAR"";944;-;944"
"""210400 ESPERANTINOPOLIS"";1327;-;1327"
"""210405 ESTREITO"";2115;-;2115"
"""210407 FEIRA NOVA DO MARANHAO"";672;-;672"
"""210408 FERNANDO FALCAO"";492;-;492"
"""210409 FORMOSA DA SERRA NEGRA"";708;-;708"
"""210410 FORTALEZA DOS NOGUEIRAS"";680;-;680"
"""210420 FORTUNA"";517;-;517"
"""210440 GONCALVES DIAS"";246;-;246"
"""210450 GOVERNADOR ARCHER"";266;-;266"
"""210455 GOVERNADOR EDISON LOBAO"";408;-;408"
"""210460 GOVERNADOR EUGENIO BARROS"";1275;-;1275"
"""210462 GOVERNADOR LUIZ ROCHA"";576;-;576"
"""210465 GOVERNADOR NEWTON BELLO"";566;-;566"
"""210467 GOVERNADOR NUNES FREIRE"";6210;-;6210"
"""210480 GRAJAU"";5823;-;5823"
"""210490 GUIMARAES"";806;-;806"
"""210500 HUMBERTO DE CAMPOS"";1587;-;1587"
"""210510 ICATU"";515;-;515"
"""210515 IGARAPE DO MEIO"";703;-;703"
"""210520 IGARAPE GRANDE"";915;-;915"
