"""Munic¡pio"";""M‚dia complexidade"";""Alta complexidade"";""Total"""
"""110001 ALTA FLORESTA D'OESTE"";21;-;21"
"""110002 ARIQUEMES"";206;-;206"
"""110003 CABIXI"";6;-;6"
"""110004 CACOAL"";553;37;590"
"""110005 CEREJEIRAS"";19;-;19"
"""110006 COLORADO DO OESTE"";34;-;34"
"""110008 COSTA MARQUES"";2;-;2"
"""110009 ESPIGAO D'OESTE"";45;-;45"
"""110010 GUAJARA-MIRIM"";18;-;18"
"""110011 JARU"";46;-;46"
"""110012 JI-PARANA"";332;1;333"
"""110013 MACHADINHO D'OESTE"";36;-;36"
"""110014 NOVA BRASILANDIA D'OESTE"";10;-;10"
"""110015 OURO PRETO DO OESTE"";34;-;34"
"""110018 PIMENTA BUENO"";44;-;44"
"""110020 PORTO VELHO"";1798;201;1999"
"""110025 PRESIDENTE MEDICI"";15;-;15"
"""110026 RIO CRESPO"";1;-;1"
"""110028 ROLIM DE MOURA"";21;-;21"
"""110029 SANTA LUZIA D'OESTE"";4;-;4"
"""110030 VILHENA"";311;2;313"
"""110032 SAO MIGUEL DO GUAPORE"";19;-;19"
"""110033 NOVA MAMORE"";10;-;10"
"""110040 ALTO PARAISO"";5;-;5"
"""110045 BURITIS"";25;-;25"
"""110050 NOVO HORIZONTE DO OESTE"";6;-;6"
"""110060 CACAULANDIA"";1;-;1"
"""110094 CUJUBIM"";4;-;4"
"""110120 MINISTRO ANDREAZZA"";4;-;4"
"""110130 MIRANTE DA SERRA"";4;-;4"
"""110140 MONTE NEGRO"";13;-;13"
"""110145 PARECIS"";1;-;1"
"""110148 SAO FELIPE D'OESTE"";2;-;2"
"""110149 SAO FRANCISCO DO GUAPORE"";11;-;11"
"""110150 SERINGUEIRAS"";14;-;14"
"""110160 THEOBROMA"";5;-;5"
"""110170 URUPA"";3;-;3"
"""110180 VALE DO PARAISO"";4;-;4"
"""120001 ACRELANDIA"";4;-;4"
"""120005 ASSIS BRASIL"";1;-;1"
"""120010 BRASILEIA"";65;-;65"
"""120020 CRUZEIRO DO SUL"";275;1;276"
"""120030 FEIJO"";2;-;2"
"""120033 MANCIO LIMA"";1;-;1"
"""120034 MANOEL URBANO"";9;-;9"
"""120035 MARECHAL THAUMATURGO"";4;-;4"
"""120038 PLACIDO DE CASTRO"";1;-;1"
"""120039 PORTO WALTER"";2;-;2"
"""120040 RIO BRANCO"";1272;88;1360"
"""120043 SANTA ROSA DO PURUS"";5;-;5"
"""120045 SENADOR GUIOMARD"";11;-;11"
"""120050 SENA MADUREIRA"";21;-;21"
"""120060 TARAUACA"";32;-;32"
"""120070 XAPURI"";11;-;11"
"""130002 ALVARAES"";1;-;1"
"""130008 ANAMA"";1;-;1"
"""130010 ANORI"";2;-;2"
"""130014 APUI"";16;-;16"
"""130020 ATALAIA DO NORTE"";9;-;9"
"""130040 BARCELOS"";11;-;11"
"""130050 BARREIRINHA"";19;-;19"
"""130060 BENJAMIN CONSTANT"";8;-;8"
"""130063 BERURI"";5;-;5"
"""130068 BOA VISTA DO RAMOS"";2;-;2"
"""130070 BOCA DO ACRE"";4;-;4"
"""130080 BORBA"";25;-;25"
"""130083 CAAPIRANGA"";3;-;3"
"""130090 CANUTAMA"";8;-;8"
"""130100 CARAUARI"";27;-;27"
"""130120 COARI"";130;-;130"
"""130130 CODAJAS"";28;-;28"
"""130140 EIRUNEPE"";45;1;46"
"""130150 ENVIRA"";17;-;17"
"""130160 FONTE BOA"";31;-;31"
"""130165 GUAJARA"";5;-;5"
"""130170 HUMAITA"";21;-;21"
"""130180 IPIXUNA"";16;-;16"
"""130185 IRANDUBA"";11;-;11"
"""130190 ITACOATIARA"";93;-;93"
"""130195 ITAMARATI"";2;-;2"
"""130200 ITAPIRANGA"";1;-;1"
"""130210 JAPURA"";3;-;3"
"""130240 LABREA"";13;-;13"
"""130250 MANACAPURU"";112;1;113"
"""130260 MANAUS"";5370;483;5853"
"""130270 MANICORE"";29;-;29"
"""130290 MAUES"";71;-;71"
"""130300 NHAMUNDA"";6;-;6"
"""130310 NOVA OLINDA DO NORTE"";3;-;3"
"""130320 NOVO AIRAO"";17;-;17"
"""130330 NOVO ARIPUANA"";16;-;16"
"""130340 PARINTINS"";170;-;170"
"""130350 PAUINI"";20;-;20"
"""130353 PRESIDENTE FIGUEIREDO"";8;-;8"
"""130356 RIO PRETO DA EVA"";5;-;5"
"""130360 SANTA ISABEL DO RIO NEGRO"";13;-;13"
"""130370 SANTO ANTONIO DO ICA"";12;-;12"
"""130380 SAO GABRIEL DA CACHOEIRA"";48;-;48"
"""130390 SAO PAULO DE OLIVENCA"";26;-;26"
"""130395 SAO SEBASTIAO DO UATUMA"";10;-;10"
"""130400 SILVES"";5;-;5"
"""130406 TABATINGA"";3;-;3"
"""130420 TEFE"";53;-;53"
