"""Munic¡pio"";""M‚dia complexidade"";""Alta complexidade"";""Total"""
"""110001 ALTA FLORESTA D'OESTE"";808367,73;-;808367,73"
"""110002 ARIQUEMES"";8212132,00;68987,40;8281119,40"
"""110003 CABIXI"";58483,13;-;58483,13"
"""110004 CACOAL"";13713084,80;3491711,55;17204796,35"
"""110005 CEREJEIRAS"";448453,73;-;448453,73"
"""110006 COLORADO DO OESTE"";481631,84;-;481631,84"
"""110008 COSTA MARQUES"";14869,84;-;14869,84"
"""110009 ESPIGAO D'OESTE"";517807,17;-;517807,17"
"""110010 GUAJARA-MIRIM"";1506694,67;-;1506694,67"
"""110011 JARU"";1805057,18;-;1805057,18"
"""110012 JI-PARANA"";9826926,15;25130,64;9852056,79"
"""110013 MACHADINHO D'OESTE"";1086633,78;-;1086633,78"
"""110014 NOVA BRASILANDIA D'OESTE"";394302,20;-;394302,20"
"""110015 OURO PRETO DO OESTE"";1696078,14;-;1696078,14"
"""110018 PIMENTA BUENO"";1603900,31;212961,60;1816861,91"
"""110020 PORTO VELHO"";71129978,30;26138287,96;97268266,26"
"""110025 PRESIDENTE MEDICI"";540283,20;-;540283,20"
"""110026 RIO CRESPO"";25463,69;-;25463,69"
"""110028 ROLIM DE MOURA"";1611380,70;-;1611380,70"
"""110029 SANTA LUZIA D'OESTE"";211691,78;-;211691,78"
"""110030 VILHENA"";10811379,55;1048529,20;11859908,75"
"""110032 SAO MIGUEL DO GUAPORE"";576815,15;-;576815,15"
"""110033 NOVA MAMORE"";450511,86;-;450511,86"
"""110034 ALVORADA D'OESTE"";288233,81;-;288233,81"
"""110037 ALTO ALEGRE DOS PARECIS"";154746,29;-;154746,29"
"""110040 ALTO PARAISO"";91997,67;-;91997,67"
"""110045 BURITIS"";596658,11;1884,32;598542,43"
"""110050 NOVO HORIZONTE DO OESTE"";174779,38;-;174779,38"
"""110060 CACAULANDIA"";17578,28;-;17578,28"
"""110070 CAMPO NOVO DE RONDONIA"";52672,88;-;52672,88"
"""110080 CANDEIAS DO JAMARI"";50381,09;-;50381,09"
"""110094 CUJUBIM"";1198468,92;510799,20;1709268,12"
"""110100 GOVERNADOR JORGE TEIXEIRA"";27122,55;-;27122,55"
"""110110 ITAPUA DO OESTE"";25203,42;-;25203,42"
"""110120 MINISTRO ANDREAZZA"";101974,27;-;101974,27"
"""110130 MIRANTE DA SERRA"";355168,83;-;355168,83"
"""110140 MONTE NEGRO"";536449,81;-;536449,81"
"""110143 NOVA UNIAO"";40369,26;-;40369,26"
"""110145 PARECIS"";89292,57;-;89292,57"
"""110146 PIMENTEIRAS DO OESTE"";28764,93;-;28764,93"
"""110148 SAO FELIPE D'OESTE"";18743,43;-;18743,43"
"""110149 SAO FRANCISCO DO GUAPORE"";688571,59;-;688571,59"
"""110150 SERINGUEIRAS"";570930,75;-;570930,75"
"""110155 TEIXEIROPOLIS"";16501,40;-;16501,40"
"""110160 THEOBROMA"";46505,61;-;46505,61"
"""110170 URUPA"";426896,20;27777,60;454673,80"
"""110175 VALE DO ANARI"";38044,11;-;38044,11"
"""110180 VALE DO PARAISO"";65148,92;-;65148,92"
"""120001 ACRELANDIA"";102745,82;-;102745,82"
"""120005 ASSIS BRASIL"";240325,51;-;240325,51"
"""120010 BRASILEIA"";1507059,76;-;1507059,76"
