"""Munic¡pio"";""M‚dia complexidade"";""Alta complexidade"";""Total"""
"""110002 ARIQUEMES"";578245,86;-;578245,86"
"""110003 CABIXI"";9448,81;-;9448,81"
"""110004 CACOAL"";894334,94;179014,26;1073349,20"
"""110008 COSTA MARQUES"";13502,52;-;13502,52"
"""110010 GUAJARA-MIRIM"";138057,68;-;138057,68"
"""110011 JARU"";125164,06;-;125164,06"
"""110012 JI-PARANA"";1045741,87;104042,59;1149784,46"
"""110018 PIMENTA BUENO"";152378,98;-;152378,98"
"""110020 PORTO VELHO"";6926751,44;1578075,17;8504826,61"
"""110025 PRESIDENTE MEDICI"";22803,77;-;22803,77"
"""110030 VILHENA"";984147,87;26546,85;1010694,72"
"""110034 ALVORADA D'OESTE"";19810,37;-;19810,37"
"""110045 BURITIS"";36640,69;-;36640,69"
"""110070 CAMPO NOVO DE RONDONIA"";1490,65;-;1490,65"
"""110140 MONTE NEGRO"";54748,79;-;54748,79"
"""110145 PARECIS"";2080,59;-;2080,59"
"""110148 SAO FELIPE D'OESTE"";1906,02;-;1906,02"
"""110149 SAO FRANCISCO DO GUAPORE"";88332,69;-;88332,69"
"""110170 URUPA"";135293,38;-;135293,38"
"""110175 VALE DO ANARI"";16845,79;-;16845,79"
"""130006 AMATURA"";31924,83;-;31924,83"
"""130008 ANAMA"";43069,48;-;43069,48"
"""130010 ANORI"";29330,90;-;29330,90"
"""130014 APUI"";27071,25;-;27071,25"
"""130030 AUTAZES"";73531,53;-;73531,53"
"""130050 BARREIRINHA"";45895,03;-;45895,03"
"""130068 BOA VISTA DO RAMOS"";23666,75;-;23666,75"
"""130100 CARAUARI"";65886,18;-;65886,18"
"""130110 CAREIRO"";41205,94;-;41205,94"
"""130115 CAREIRO DA VARZEA"";556,36;-;556,36"
"""130120 COARI"";234424,09;-;234424,09"
"""130150 ENVIRA"";37713,96;-;37713,96"
"""130180 IPIXUNA"";69762,60;-;69762,60"
"""130200 ITAPIRANGA"";56683,38;-;56683,38"
"""130220 JURUA"";22025,76;-;22025,76"
"""130255 MANAQUIRI"";32287,87;-;32287,87"
"""130260 MANAUS"";17950876,24;4014536,98;21965413,22"
"""130270 MANICORE"";72761,91;-;72761,91"
"""130300 NHAMUNDA"";34058,88;-;34058,88"
"""130320 NOVO AIRAO"";41471,39;-;41471,39"
"""130330 NOVO ARIPUANA"";41261,56;-;41261,56"
"""130340 PARINTINS"";368817,15;2368,56;371185,71"
"""130350 PAUINI"";33359,87;-;33359,87"
"""130353 PRESIDENTE FIGUEIREDO"";57605,77;-;57605,77"
"""130370 SANTO ANTONIO DO ICA"";55600,45;-;55600,45"
"""130380 SAO GABRIEL DA CACHOEIRA"";50193,07;-;50193,07"
"""130395 SAO SEBASTIAO DO UATUMA"";62832,43;-;62832,43"
"""130400 SILVES"";23556,76;-;23556,76"
"""130406 TABATINGA"";34847,64;-;34847,64"
"""130420 TEFE"";321660,61;178388,00;500048,61"
"""130423 TONANTINS"";44253,80;-;44253,80"
"""130430 URUCARA"";40386,68;-;40386,68"
"""150010 ABAETETUBA"";587659,68;-;587659,68"
"""150013 ABEL FIGUEIREDO"";12883,37;-;12883,37"
"""150030 AFUA"";25198,09;-;25198,09"
"""150034 AGUA AZUL DO NORTE"";18903,64;-;18903,64"
"""150040 ALENQUER"";161809,44;-;161809,44"
"""150060 ALTAMIRA"";1176342,45;46651,61;1222994,06"
"""150070 ANAJAS"";48862,28;-;48862,28"
"""150080 ANANINDEUA"";3096668,03;808064,60;3904732,63"
"""150090 AUGUSTO CORREA"";187862,65;-;187862,65"
"""150095 AURORA DO PARA"";46648,53;-;46648,53"
"""150110 BAGRE"";29025,13;-;29025,13"
"""150120 BAIAO"";60474,93;3849,44;64324,37"
"""150125 BANNACH"";7330,25;-;7330,25"
"""150130 BARCARENA"";354529,77;1182,14;355711,91"
"""150140 BELEM"";18321820,32;11054231,16;29376051,48"
"""150170 BRAGANCA"";1052504,83;-;1052504,83"
"""150172 BRASIL NOVO"";117658,98;-;117658,98"
"""150175 BREJO GRANDE DO ARAGUAIA"";22456,71;-;22456,71"
"""150180 BREVES"";633509,41;-;633509,41"
"""150200 CACHOEIRA DO ARARI"";44572,74;-;44572,74"
"""150215 CANAA DOS CARAJAS"";249474,57;989,08;250463,65"
"""150220 CAPANEMA"";1009158,69;-;1009158,69"
"""150230 CAPITAO POCO"";24036,35;-;24036,35"
"""150240 CASTANHAL"";2063826,51;246708,89;2310535,40"
"""150270 CONCEICAO DO ARAGUAIA"";221364,35;-;221364,35"
"""150275 CONCORDIA DO PARA"";25738,42;-;25738,42"
"""150276 CUMARU DO NORTE"";30137,49;-;30137,49"
"""150300 FARO"";11326,17;-;11326,17"
"""150304 FLORESTA DO ARAGUAIA"";41005,99;-;41005,99"
"""150307 GARRAFAO DO NORTE"";11575,37;-;11575,37"
"""150320 IGARAPE-ACU"";32507,86;-;32507,86"
"""150330 IGARAPE-MIRI"";144190,52;-;144190,52"
"""150345 IPIXUNA DO PARA"";114556,54;-;114556,54"
"""150360 ITAITUBA"";917815,08;6301,31;924116,39"
"""150380 JACUNDA"";78757,33;-;78757,33"
"""150390 JURUTI"";28610,31;-;28610,31"
"""150400 LIMOEIRO DO AJURU"";64391,74;-;64391,74"
"""150405 MAE DO RIO"";38719,39;-;38719,39"
"""150420 MARABA"";1123125,21;110490,47;1233615,68"
"""150442 MARITUBA"";491090,19;86070,58;577160,77"
"""150445 MEDICILANDIA"";64288,08;-;64288,08"
"""150450 MELGACO"";28349,69;-;28349,69"
"""150470 MOJU"";63051,08;-;63051,08"
"""150480 MONTE ALEGRE"";130158,65;-;130158,65"
"""150495 NOVA ESPERANCA DO PIRIA"";18853,87;-;18853,87"
"""150506 NOVO REPARTIMENTO"";29578,58;-;29578,58"
"""150520 OEIRAS DO PARA"";43073,36;-;43073,36"
"""150530 ORIXIMINA"";95167,74;-;95167,74"
"""150540 OUREM"";32511,41;-;32511,41"
"""150543 OURILANDIA DO NORTE"";399771,01;30457,60;430228,61"
"""150549 PALESTINA DO PARA"";44665,19;-;44665,19"
"""150550 PARAGOMINAS"";661430,48;-;661430,48"
"""150553 PARAUAPEBAS"";763134,50;-;763134,50"
"""150555 PAU D'ARCO"";45742,54;-;45742,54"
"""150563 PICARRA"";21750,37;-;21750,37"
"""150565 PLACAS"";25742,01;-;25742,01"
"""150570 PONTA DE PEDRAS"";30500,87;-;30500,87"
"""150580 PORTEL"";118860,53;-;118860,53"
"""150590 PORTO DE MOZ"";62736,38;-;62736,38"
"""150613 REDENCAO"";921722,49;189125,78;1110848,27"
"""150616 RIO MARIA"";110024,52;-;110024,52"
"""150618 RONDON DO PARA"";103880,29;-;103880,29"
"""150620 SALINOPOLIS"";121733,06;-;121733,06"
"""150640 SANTA CRUZ DO ARARI"";15998,15;-;15998,15"
"""150650 SANTA IZABEL DO PARA"";72739,74;-;72739,74"
"""150658 SANTA MARIA DAS BARREIRAS"";18556,63;-;18556,63"
"""150660 SANTA MARIA DO PARA"";106395,38;-;106395,38"
