"""Munic¡pio"";""04 Fundo de A‡äes Estrat‚gicas e Compensa‡äes FAEC"";""06 M‚dia e Alta Complexidade (MAC)"";""Total"""
"""110001 ALTA FLORESTA D'OESTE"";38422,96;769944,77;808367,73"
"""110002 ARIQUEMES"";1332102,26;6949017,14;8281119,40"
"""110003 CABIXI"";-;58483,13;58483,13"
"""110004 CACOAL"";6354388,50;10850407,85;17204796,35"
"""110005 CEREJEIRAS"";41953,15;406500,58;448453,73"
"""110006 COLORADO DO OESTE"";195695,89;285935,95;481631,84"
"""110008 COSTA MARQUES"";-;14869,84;14869,84"
"""110009 ESPIGAO D'OESTE"";-;517807,17;517807,17"
"""110010 GUAJARA-MIRIM"";-;1506694,67;1506694,67"
"""110011 JARU"";548530,47;1256526,71;1805057,18"
"""110012 JI-PARANA"";508425,38;9343631,41;9852056,79"
"""110013 MACHADINHO D'OESTE"";-;1086633,78;1086633,78"
"""110014 NOVA BRASILANDIA D'OESTE"";6717,30;387584,90;394302,20"
"""110015 OURO PRETO DO OESTE"";460111,93;1235966,21;1696078,14"
"""110018 PIMENTA BUENO"";453535,11;1363326,80;1816861,91"
"""110020 PORTO VELHO"";19194682,31;78073583,95;97268266,26"
"""110025 PRESIDENTE MEDICI"";199709,53;340573,67;540283,20"
"""110026 RIO CRESPO"";-;25463,69;25463,69"
"""110028 ROLIM DE MOURA"";221173,98;1390206,72;1611380,70"
"""110029 SANTA LUZIA D'OESTE"";-;211691,78;211691,78"
"""110030 VILHENA"";809383,20;11050525,55;11859908,75"
"""110032 SAO MIGUEL DO GUAPORE"";131506,35;445308,80;576815,15"
"""110033 NOVA MAMORE"";66402,90;384108,96;450511,86"
"""110034 ALVORADA D'OESTE"";-;288233,81;288233,81"
"""110037 ALTO ALEGRE DOS PARECIS"";-;154746,29;154746,29"
"""110040 ALTO PARAISO"";-;91997,67;91997,67"
"""110045 BURITIS"";-;598542,43;598542,43"
"""110050 NOVO HORIZONTE DO OESTE"";-;174779,38;174779,38"
"""110060 CACAULANDIA"";-;17578,28;17578,28"
"""110070 CAMPO NOVO DE RONDONIA"";-;52672,88;52672,88"
"""110080 CANDEIAS DO JAMARI"";-;50381,09;50381,09"
"""110094 CUJUBIM"";1349198,97;360069,15;1709268,12"
"""110100 GOVERNADOR JORGE TEIXEIRA"";-;27122,55;27122,55"
"""110110 ITAPUA DO OESTE"";-;25203,42;25203,42"
"""110120 MINISTRO ANDREAZZA"";-;101974,27;101974,27"
"""110130 MIRANTE DA SERRA"";111759,85;243408,98;355168,83"
"""110140 MONTE NEGRO"";153049,95;383399,86;536449,81"
"""110143 NOVA UNIAO"";-;40369,26;40369,26"
"""110145 PARECIS"";-;89292,57;89292,57"
"""110146 PIMENTEIRAS DO OESTE"";-;28764,93;28764,93"
"""110148 SAO FELIPE D'OESTE"";-;18743,43;18743,43"
"""110149 SAO FRANCISCO DO GUAPORE"";-;688571,59;688571,59"
"""110150 SERINGUEIRAS"";269758,54;301172,21;570930,75"
"""110155 TEIXEIROPOLIS"";-;16501,40;16501,40"
"""110160 THEOBROMA"";-;46505,61;46505,61"
"""110170 URUPA"";232562,05;222111,75;454673,80"
"""110175 VALE DO ANARI"";-;38044,11;38044,11"
"""110180 VALE DO PARAISO"";-;65148,92;65148,92"
"""120001 ACRELANDIA"";-;102745,82;102745,82"
"""120005 ASSIS BRASIL"";-;240325,51;240325,51"
"""120010 BRASILEIA"";385973,77;1121085,99;1507059,76"
"""120020 CRUZEIRO DO SUL"";1208879,80;5157062,45;6365942,25"
"""120030 FEIJO"";-;317457,45;317457,45"
"""120033 MANCIO LIMA"";-;215270,47;215270,47"
"""120034 MANOEL URBANO"";-;171870,13;171870,13"
"""120035 MARECHAL THAUMATURGO"";-;135896,62;135896,62"
"""120038 PLACIDO DE CASTRO"";57447,49;148706,35;206153,84"
"""120039 PORTO WALTER"";-;77739,54;77739,54"
"""120040 RIO BRANCO"";15934534,74;30817374,75;46751909,49"
"""120042 RODRIGUES ALVES"";-;89199,96;89199,96"
"""120043 SANTA ROSA DO PURUS"";-;60673,39;60673,39"
"""120045 SENADOR GUIOMARD"";578846,47;168109,01;746955,48"
"""120050 SENA MADUREIRA"";-;636599,69;636599,69"
"""120060 TARAUACA"";309020,37;702860,30;1011880,67"
"""120070 XAPURI"";-;203999,25;203999,25"
"""130002 ALVARAES"";3179,70;382769,62;385949,32"
"""130006 AMATURA"";4081,96;127330,52;131412,48"
"""130008 ANAMA"";-;469371,32;469371,32"
"""130010 ANORI"";-;554495,06;554495,06"
"""130014 APUI"";-;387071,83;387071,83"
"""130020 ATALAIA DO NORTE"";64458,64;309291,66;373750,30"
"""130030 AUTAZES"";82088,37;599343,94;681432,31"
"""130040 BARCELOS"";-;355461,68;355461,68"
"""130050 BARREIRINHA"";36795,63;600901,40;637697,03"
"""130060 BENJAMIN CONSTANT"";217713,03;770819,69;988532,72"
"""130063 BERURI"";-;352940,16;352940,16"
"""130068 BOA VISTA DO RAMOS"";-;356475,66;356475,66"
"""130070 BOCA DO ACRE"";370989,60;717396,63;1088386,23"
"""130080 BORBA"";-;780579,57;780579,57"
"""130083 CAAPIRANGA"";-;265311,49;265311,49"
"""130090 CANUTAMA"";25875,50;290605,85;316481,35"
"""130100 CARAUARI"";468388,60;870737,69;1339126,29"
"""130110 CAREIRO"";616702,42;917107,64;1533810,06"
"""130120 COARI"";587503,79;2270213,37;2857717,16"
"""130130 CODAJAS"";-;611430,85;611430,85"
"""130140 EIRUNEPE"";43194,83;784010,35;827205,18"
"""130150 ENVIRA"";5852,61;341447,86;347300,47"
"""130160 FONTE BOA"";106192,67;569566,63;675759,30"
"""130165 GUAJARA"";76543,90;172877,21;249421,11"
"""130170 HUMAITA"";155675,69;810053,44;965729,13"
"""130180 IPIXUNA"";345953,22;833651,84;1179605,06"
"""130185 IRANDUBA"";272086,65;281269,74;553356,39"
"""130190 ITACOATIARA"";633937,00;2391622,17;3025559,17"
"""130195 ITAMARATI"";-;350641,29;350641,29"
"""130200 ITAPIRANGA"";68832,42;224890,68;293723,10"
"""130210 JAPURA"";-;147998,40;147998,40"
"""130230 JUTAI"";-;682346,11;682346,11"
"""130240 LABREA"";-;505819,02;505819,02"
"""130250 MANACAPURU"";1020172,08;2562956,83;3583128,91"
"""130255 MANAQUIRI"";96483,14;200991,41;297474,55"
"""130260 MANAUS"";24618000,59;191789128,34;216407128,93"
"""130270 MANICORE"";176942,51;855841,22;1032783,73"
"""130280 MARAA"";-;278135,22;278135,22"
"""130290 MAUES"";430376,32;1346367,65;1776743,97"
"""130300 NHAMUNDA"";285900,87;370877,97;656778,84"
"""130310 NOVA OLINDA DO NORTE"";54177,26;618910,05;673087,31"
"""130320 NOVO AIRAO"";10880,55;504590,11;515470,66"
"""130330 NOVO ARIPUANA"";489307,61;435285,52;924593,13"
"""130340 PARINTINS"";1137087,60;3703573,96;4840661,56"
"""130350 PAUINI"";6533,86;536544,06;543077,92"
"""130353 PRESIDENTE FIGUEIREDO"";224906,97;329305,41;554212,38"
"""130356 RIO PRETO DA EVA"";131377,26;184348,95;315726,21"
"""130360 SANTA ISABEL DO RIO NEGRO"";26228,72;222160,28;248389,00"
"""130370 SANTO ANTONIO DO ICA"";28751,85;408511,47;437263,32"
