"""Munic¡pio"";""04 Fundo de A‡äes Estrat‚gicas e Compensa‡äes FAEC"";""05 Incentivo - MAC"";""06 M‚dia e Alta Complexidade (MAC)"";""Total"""
"""110001 ALTA FLORESTA D'OESTE"";30383,07;-;705039,81;735422,88"
"""110002 ARIQUEMES"";830138,96;-;7147550,08;7977689,04"
"""110003 CABIXI"";-;-;63354,35;63354,35"
"""110004 CACOAL"";6717958,09;-;10438029,43;17155987,52"
"""110005 CEREJEIRAS"";33635,24;-;497078,66;530713,90"
"""110006 COLORADO DO OESTE"";3948,06;-;457433,50;461381,56"
"""110007 CORUMBIARA"";143,00;-;14994,28;15137,28"
"""110008 COSTA MARQUES"";-;-;104729,01;104729,01"
"""110009 ESPIGAO D'OESTE"";-;-;534739,05;534739,05"
"""110010 GUAJARA-MIRIM"";-;-;1740781,11;1740781,11"
"""110011 JARU"";324839,98;-;1276220,57;1601060,55"
"""110012 JI-PARANA"";316752,07;-;12387520,28;12704272,35"
"""110013 MACHADINHO D'OESTE"";-;-;1056669,13;1056669,13"
"""110014 NOVA BRASILANDIA D'OESTE"";-;-;404078,94;404078,94"
"""110015 OURO PRETO DO OESTE"";-;-;1797209,76;1797209,76"
"""110018 PIMENTA BUENO"";1122620,16;-;1300354,01;2422974,17"
"""110020 PORTO VELHO"";9661893,38;-;79723471,15;89385364,53"
"""110025 PRESIDENTE MEDICI"";131442,56;-;376512,21;507954,77"
"""110026 RIO CRESPO"";-;-;22199,46;22199,46"
"""110028 ROLIM DE MOURA"";50370,15;-;1555470,74;1605840,89"
"""110029 SANTA LUZIA D'OESTE"";-;-;185199,30;185199,30"
"""110030 VILHENA"";788503,32;-;11999386,42;12787889,74"
"""110032 SAO MIGUEL DO GUAPORE"";-;-;551980,56;551980,56"
"""110033 NOVA MAMORE"";-;-;292008,60;292008,60"
"""110034 ALVORADA D'OESTE"";-;-;341337,72;341337,72"
"""110037 ALTO ALEGRE DOS PARECIS"";-;-;215080,34;215080,34"
"""110040 ALTO PARAISO"";-;-;100782,98;100782,98"
"""110045 BURITIS"";-;-;541256,90;541256,90"
"""110050 NOVO HORIZONTE DO OESTE"";-;-;160136,61;160136,61"
"""110060 CACAULANDIA"";-;-;22580,08;22580,08"
"""110070 CAMPO NOVO DE RONDONIA"";-;-;36221,29;36221,29"
"""110080 CANDEIAS DO JAMARI"";-;-;48754,56;48754,56"
"""110094 CUJUBIM"";272115,89;-;664594,72;936710,61"
"""110100 GOVERNADOR JORGE TEIXEIRA"";-;-;26349,67;26349,67"
"""110110 ITAPUA DO OESTE"";-;-;41012,90;41012,90"
"""110120 MINISTRO ANDREAZZA"";-;-;95741,67;95741,67"
"""110130 MIRANTE DA SERRA"";-;-;150867,04;150867,04"
