"""Munic¡pio"";""04 Fundo de A‡äes Estrat‚gicas e Compensa‡äes FAEC"";""05 Incentivo - MAC"";""06 M‚dia e Alta Complexidade (MAC)"";""Total"""
"""110002 ARIQUEMES"";21027,54;-;557218,32;578245,86"
"""110003 CABIXI"";-;-;9448,81;9448,81"
"""110004 CACOAL"";232508,32;-;840840,88;1073349,20"
"""110008 COSTA MARQUES"";-;-;13502,52;13502,52"
"""110010 GUAJARA-MIRIM"";-;-;138057,68;138057,68"
"""110011 JARU"";37317,35;-;87846,71;125164,06"
"""110012 JI-PARANA"";33386,51;-;1116397,95;1149784,46"
"""110018 PIMENTA BUENO"";53828,31;-;98550,67;152378,98"
"""110020 PORTO VELHO"";364362,39;-;8140464,22;8504826,61"
"""110025 PRESIDENTE MEDICI"";1335,08;-;21468,69;22803,77"
"""110030 VILHENA"";305467,11;-;705227,61;1010694,72"
"""110034 ALVORADA D'OESTE"";-;-;19810,37;19810,37"
"""110045 BURITIS"";-;-;36640,69;36640,69"
"""110070 CAMPO NOVO DE RONDONIA"";-;-;1490,65;1490,65"
"""110140 MONTE NEGRO"";34638,25;-;20110,54;54748,79"
"""110145 PARECIS"";-;-;2080,59;2080,59"
"""110148 SAO FELIPE D'OESTE"";-;-;1906,02;1906,02"
"""110149 SAO FRANCISCO DO GUAPORE"";-;-;88332,69;88332,69"
"""110170 URUPA"";114271,15;-;21022,23;135293,38"
"""110175 VALE DO ANARI"";-;-;16845,79;16845,79"
"""130006 AMATURA"";3124,46;-;28800,37;31924,83"
"""130008 ANAMA"";-;-;43069,48;43069,48"
"""130010 ANORI"";-;-;29330,90;29330,90"
"""130014 APUI"";6935,46;-;20135,79;27071,25"
"""130030 AUTAZES"";9626,76;-;63904,77;73531,53"
"""130050 BARREIRINHA"";-;-;45895,03;45895,03"
"""130068 BOA VISTA DO RAMOS"";-;-;23666,75;23666,75"
"""130100 CARAUARI"";8736,98;-;57149,20;65886,18"
"""130110 CAREIRO"";678,37;-;40527,57;41205,94"
"""130115 CAREIRO DA VARZEA"";-;-;556,36;556,36"
"""130120 COARI"";15360,50;-;219063,59;234424,09"
"""130150 ENVIRA"";-;-;37713,96;37713,96"
"""130180 IPIXUNA"";13981,77;-;55780,83;69762,60"
"""130200 ITAPIRANGA"";6298,62;-;50384,76;56683,38"
"""130220 JURUA"";-;-;22025,76;22025,76"
"""130255 MANAQUIRI"";-;-;32287,87;32287,87"
"""130260 MANAUS"";5539574,04;541,85;16425297,33;21965413,22"
