"""Munic¡pio"";""02 Procedimentos com finalidade diagnostica"";""03 Procedimentos clinicos"";""04 Procedimentos cirurgicos"";""05 Transplantes de orgaos, tecidos e celulas"";""Total"""
"""110001 ALTA FLORESTA D'OESTE"";-;3002;153;-;3155"
"""110002 ARIQUEMES"";-;3487;2148;-;5635"
"""110003 CABIXI"";-;160;-;-;160"
"""110004 CACOAL"";16;9058;6537;69;15680"
"""110005 CEREJEIRAS"";-;739;187;-;926"
"""110006 COLORADO DO OESTE"";-;615;166;-;781"
"""110008 COSTA MARQUES"";-;44;-;-;44"
"""110009 ESPIGAO D'OESTE"";-;1515;3;-;1518"
"""110010 GUAJARA-MIRIM"";-;2981;699;-;3680"
"""110011 JARU"";-;2257;1103;-;3360"
"""110012 JI-PARANA"";-;6509;3629;1;10139"
"""110013 MACHADINHO D'OESTE"";-;2284;745;-;3029"
"""110014 NOVA BRASILANDIA D'OESTE"";-;745;233;-;978"
"""110015 OURO PRETO DO OESTE"";1;1439;1423;-;2863"
"""110018 PIMENTA BUENO"";-;2306;1315;-;3621"
"""110020 PORTO VELHO"";101;29243;18337;364;48045"
"""110025 PRESIDENTE MEDICI"";-;837;311;-;1148"
"""110026 RIO CRESPO"";-;56;-;-;56"
"""110028 ROLIM DE MOURA"";-;2353;1464;-;3817"
"""110029 SANTA LUZIA D'OESTE"";-;521;-;-;521"
"""110030 VILHENA"";-;6191;5583;-;11774"
"""110032 SAO MIGUEL DO GUAPORE"";-;704;503;-;1207"
"""110033 NOVA MAMORE"";-;739;294;-;1033"
"""110034 ALVORADA D'OESTE"";-;536;183;-;719"
"""110037 ALTO ALEGRE DOS PARECIS"";-;478;-;-;478"
"""110040 ALTO PARAISO"";-;253;-;-;253"
"""110045 BURITIS"";-;1047;289;-;1336"
"""110050 NOVO HORIZONTE DO OESTE"";-;498;-;-;498"
"""110060 CACAULANDIA"";-;44;-;-;44"
"""110070 CAMPO NOVO DE RONDONIA"";-;138;-;-;138"
"""110080 CANDEIAS DO JAMARI"";-;148;-;-;148"
"""110094 CUJUBIM"";-;668;1011;-;1679"
"""110100 GOVERNADOR JORGE TEIXEIRA"";-;62;-;-;62"
"""110110 ITAPUA DO OESTE"";-;72;-;-;72"
"""110120 MINISTRO ANDREAZZA"";-;270;-;-;270"
"""110130 MIRANTE DA SERRA"";-;382;163;-;545"
"""110140 MONTE NEGRO"";-;510;429;-;939"
"""110143 NOVA UNIAO"";-;108;-;-;108"
"""110145 PARECIS"";-;350;-;-;350"
"""110146 PIMENTEIRAS DO OESTE"";-;81;-;-;81"
"""110148 SAO FELIPE D'OESTE"";-;47;-;-;47"
"""110149 SAO FRANCISCO DO GUAPORE"";-;1006;419;-;1425"
"""110150 SERINGUEIRAS"";-;544;659;-;1203"
