"""Munic¡pio"";""02 Procedimentos com finalidade diagnostica"";""03 Procedimentos clinicos"";""04 Procedimentos cirurgicos"";""05 Transplantes de orgaos, tecidos e celulas"";""Total"""
"""110002 ARIQUEMES"";-;306;105;-;411"
"""110003 CABIXI"";-;21;-;-;21"
"""110004 CACOAL"";1;762;501;4;1268"
"""110008 COSTA MARQUES"";-;40;-;-;40"
"""110010 GUAJARA-MIRIM"";-;86;204;-;290"
"""110011 JARU"";-;122;79;-;201"
"""110012 JI-PARANA"";-;651;264;1;916"
"""110018 PIMENTA BUENO"";-;215;61;-;276"
"""110020 PORTO VELHO"";5;2566;1828;19;4418"
"""110025 PRESIDENTE MEDICI"";-;45;8;-;53"
"""110030 VILHENA"";-;626;437;-;1063"
"""110034 ALVORADA D'OESTE"";-;51;-;-;51"
"""110045 BURITIS"";-;76;21;-;97"
"""110070 CAMPO NOVO DE RONDONIA"";-;6;-;-;6"
"""110140 MONTE NEGRO"";-;53;21;-;74"
"""110145 PARECIS"";-;8;-;-;8"
"""110148 SAO FELIPE D'OESTE"";-;6;-;-;6"
"""110149 SAO FRANCISCO DO GUAPORE"";-;85;73;-;158"
"""110170 URUPA"";-;33;54;-;87"
"""110175 VALE DO ANARI"";-;29;-;-;29"
"""130006 AMATURA"";-;47;20;-;67"
"""130008 ANAMA"";-;83;36;-;119"
"""130010 ANORI"";-;84;-;-;84"
"""130014 APUI"";-;53;17;-;70"
"""130030 AUTAZES"";-;83;44;-;127"
"""130050 BARREIRINHA"";-;91;21;-;112"
"""130068 BOA VISTA DO RAMOS"";-;42;15;-;57"
"""130100 CARAUARI"";-;101;42;-;143"
"""130110 CAREIRO"";-;43;37;-;80"
"""130115 CAREIRO DA VARZEA"";-;2;-;-;2"
"""130120 COARI"";-;355;111;-;466"
"""130150 ENVIRA"";-;53;32;-;85"
"""130180 IPIXUNA"";-;135;46;-;181"
"""130200 ITAPIRANGA"";-;57;16;-;73"
"""130220 JURUA"";-;37;13;-;50"
"""130255 MANAQUIRI"";-;73;1;-;74"
"""130260 MANAUS"";24;7703;5673;18;13418"
"""130270 MANICORE"";-;102;36;-;138"
"""130300 NHAMUNDA"";-;53;23;-;76"
"""130320 NOVO AIRAO"";-;89;18;-;107"
"""130330 NOVO ARIPUANA"";-;41;49;-;90"
"""130340 PARINTINS"";-;561;183;-;744"
"""130350 PAUINI"";-;51;21;-;72"
"""130353 PRESIDENTE FIGUEIREDO"";-;71;50;-;121"
"""130370 SANTO ANTONIO DO ICA"";-;117;30;-;147"
"""130380 SAO GABRIEL DA CACHOEIRA"";-;85;17;-;102"
"""130395 SAO SEBASTIAO DO UATUMA"";-;36;24;-;60"
"""130400 SILVES"";-;64;-;-;64"
"""130406 TABATINGA"";-;6;45;-;51"
"""130420 TEFE"";-;319;283;-;602"
"""130423 TONANTINS"";1;86;32;-;119"
"""130430 URUCARA"";-;103;14;-;117"
"""150010 ABAETETUBA"";-;398;550;-;948"
"""150013 ABEL FIGUEIREDO"";-;20;13;-;33"
"""150030 AFUA"";-;67;-;-;67"
"""150034 AGUA AZUL DO NORTE"";-;48;3;-;51"
"""150040 ALENQUER"";-;463;35;-;498"
"""150060 ALTAMIRA"";-;510;533;-;1043"
"""150070 ANAJAS"";-;108;27;-;135"
