"""Munic°pio"";""101-5 ‡rg∆o P£blico do Poder Executivo Federal"";""102-3 ‡rg∆o P£blico do Poder Executivo Estadual ou do Distrito Federal"";""103-1 ‡rg∆o P£blico do Poder Executivo Municipal"";""110-4 Autarquia Federal"";""111-2 Autarquia Estadual ou do Distrito Federal"";""112-0 Autarquia Municipal"";""113-9 Fundaá∆o P£blica de Direito P£blico Federal"";""114-7 Fundaá∆o P£blica de Direito P£blico Estadual ou do Distrito Federal"";""115-5 Fundaá∆o P£blica de Direito P£blico Municipal"";""118-0 ‡rg∆o P£blico Autìnomo Municipal"";""121-0 Cons¢rcio P£blico de Direito P£blico (Associaá∆o P£blica)"";""123-6 Estado ou Distrito Federal"";""124-4 Munic°pio"";""126-0 Fundaá∆o P£blica de Direito Privado Estadual ou do Distrito Federal"";""127-9 Fundaá∆o P£blica de Direito Privado Municipal"";""201-1 Empresa P£blica"";""204-6 Sociedade Anìnima Aberta"";""205-4 Sociedade Anìnima Fechada"";""206-2 Sociedade Empres†ria Limitada"";""208-9 Sociedade Empres†ria em Comandita Simples"";""213-5 Empres†rio (Individual)"";""214-3 Cooperativa"";""223-2 Sociedade Simples Pura"";""224-0 Sociedade Simples Limitada"";""230-5 Empresa Individual de Responsabilidade Limitada (de Natureza Empres†ria)"";""306-9 Fundaá∆o Privada"";""307-7 Serviáo Social Autìnomo"";""313-1 Entidade Sindical"";""399-9 Associaá∆o Privada"";""Total"""
"""110001 ALTA FLORESTA D'OESTE"";-;-;-;-;-;-;-;-;-;-;-;-;3037;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3037"
"""110002 ARIQUEMES"";-;-;-;-;-;-;-;-;-;-;-;-;6565;-;-;-;-;-;250;-;-;-;-;-;-;-;-;-;-;6815"
"""110003 CABIXI"";-;-;-;-;-;-;-;-;-;-;-;-;254;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;254"
"""110004 CACOAL"";-;10096;-;-;-;-;-;-;-;-;-;-;3772;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13868"
"""110005 CEREJEIRAS"";-;-;-;-;-;-;-;-;-;-;-;-;1208;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1208"
"""110006 COLORADO DO OESTE"";-;-;-;-;-;-;-;-;-;-;-;-;521;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;521"
"""110008 COSTA MARQUES"";-;-;-;-;-;-;-;-;-;-;-;-;89;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;89"
"""110009 ESPIGAO D'OESTE"";-;-;-;-;-;-;-;-;-;-;-;-;1157;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1157"
"""110010 GUAJARA-MIRIM"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3585;3585"
"""110011 JARU"";-;-;-;-;-;-;-;-;-;-;-;-;3064;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3064"
"""110012 JI-PARANA"";-;-;-;-;-;-;-;-;-;-;-;-;8184;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8184"
"""110013 MACHADINHO D'OESTE"";-;-;-;-;-;-;-;-;-;-;-;-;2223;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2223"
"""110014 NOVA BRASILANDIA D'OESTE"";-;-;-;-;-;-;-;-;-;-;-;-;1159;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1159"
"""110015 OURO PRETO DO OESTE"";-;-;-;-;-;-;-;-;-;-;-;-;3185;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3185"
"""110018 PIMENTA BUENO"";-;-;-;-;-;-;-;-;-;-;-;-;3473;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3473"
"""110020 PORTO VELHO"";-;35586;-;-;-;-;-;-;-;-;-;-;4937;-;-;-;-;1265;-;-;-;-;-;-;-;4695;-;-;2185;48668"
"""110025 PRESIDENTE MEDICI"";-;-;-;-;-;-;-;-;-;-;-;-;956;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;956"
"""110026 RIO CRESPO"";-;-;-;-;-;-;-;-;-;-;-;-;32;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;32"
"""110028 ROLIM DE MOURA"";-;-;-;-;-;-;-;-;-;-;-;-;3882;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3882"
"""110029 SANTA LUZIA D'OESTE"";-;-;-;-;-;-;-;-;-;-;-;-;514;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;514"
"""110030 VILHENA"";-;-;-;-;-;-;-;-;-;-;-;-;10118;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10118"
"""110032 SAO MIGUEL DO GUAPORE"";-;-;-;-;-;-;-;-;-;-;-;-;1433;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1433"
"""110033 NOVA MAMORE"";-;-;-;-;-;-;-;-;-;-;-;-;978;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;978"
"""110034 ALVORADA D'OESTE"";-;-;-;-;-;-;-;-;-;-;-;-;843;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;843"
"""110037 ALTO ALEGRE DOS PARECIS"";-;-;-;-;-;-;-;-;-;-;-;-;520;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;520"
"""110040 ALTO PARAISO"";-;-;-;-;-;-;-;-;-;-;-;-;321;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;321"
"""110045 BURITIS"";-;1538;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1538"
"""110050 NOVO HORIZONTE DO OESTE"";-;-;-;-;-;-;-;-;-;-;-;-;296;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;296"
"""110060 CACAULANDIA"";-;-;-;-;-;-;-;-;-;-;-;-;77;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;77"
"""110070 CAMPO NOVO DE RONDONIA"";-;-;-;-;-;-;-;-;-;-;-;-;192;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;192"
"""110080 CANDEIAS DO JAMARI"";-;-;-;-;-;-;-;-;-;-;-;-;110;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;110"
"""110094 CUJUBIM"";-;-;-;-;-;-;-;-;-;-;-;-;583;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;583"
"""110100 GOVERNADOR JORGE TEIXEIRA"";-;-;-;-;-;-;-;-;-;-;-;-;122;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;122"
"""110120 MINISTRO ANDREAZZA"";-;-;-;-;-;-;-;-;-;-;-;-;257;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;257"
"""110130 MIRANTE DA SERRA"";-;-;-;-;-;-;-;-;-;-;-;-;424;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;424"
"""110140 MONTE NEGRO"";-;-;-;-;-;-;-;-;-;-;-;-;807;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;807"
