"""Munic°pio"";""101-5 ‡rg∆o P£blico do Poder Executivo Federal"";""102-3 ‡rg∆o P£blico do Poder Executivo Estadual ou do Distrito Federal"";""103-1 ‡rg∆o P£blico do Poder Executivo Municipal"";""110-4 Autarquia Federal"";""111-2 Autarquia Estadual ou do Distrito Federal"";""112-0 Autarquia Municipal"";""113-9 Fundaá∆o P£blica de Direito P£blico Federal"";""114-7 Fundaá∆o P£blica de Direito P£blico Estadual ou do Distrito Federal"";""115-5 Fundaá∆o P£blica de Direito P£blico Municipal"";""118-0 ‡rg∆o P£blico Autìnomo Municipal"";""121-0 Cons¢rcio P£blico de Direito P£blico (Associaá∆o P£blica)"";""123-6 Estado ou Distrito Federal"";""124-4 Munic°pio"";""126-0 Fundaá∆o P£blica de Direito Privado Estadual ou do Distrito Federal"";""127-9 Fundaá∆o P£blica de Direito Privado Municipal"";""201-1 Empresa P£blica"";""205-4 Sociedade Anìnima Fechada"";""206-2 Sociedade Empres†ria Limitada"";""208-9 Sociedade Empres†ria em Comandita Simples"";""213-5 Empres†rio (Individual)"";""214-3 Cooperativa"";""224-0 Sociedade Simples Limitada"";""306-9 Fundaá∆o Privada"";""307-7 Serviáo Social Autìnomo"";""313-1 Entidade Sindical"";""399-9 Associaá∆o Privada"";""Total"""
"""110001 ALTA FLORESTA D'OESTE"";-;-;-;-;-;-;-;-;-;-;-;-;3155;-;-;-;-;-;-;-;-;-;-;-;-;-;3155"
"""110002 ARIQUEMES"";-;-;-;-;-;-;-;-;-;-;-;-;5379;-;-;-;-;256;-;-;-;-;-;-;-;-;5635"
"""110003 CABIXI"";-;-;-;-;-;-;-;-;-;-;-;-;160;-;-;-;-;-;-;-;-;-;-;-;-;-;160"
"""110004 CACOAL"";-;10959;-;-;-;-;-;-;-;-;-;-;4721;-;-;-;-;-;-;-;-;-;-;-;-;-;15680"
"""110005 CEREJEIRAS"";-;-;-;-;-;-;-;-;-;-;-;-;926;-;-;-;-;-;-;-;-;-;-;-;-;-;926"
"""110006 COLORADO DO OESTE"";-;-;-;-;-;-;-;-;-;-;-;-;781;-;-;-;-;-;-;-;-;-;-;-;-;-;781"
"""110008 COSTA MARQUES"";-;-;-;-;-;-;-;-;-;-;-;-;44;-;-;-;-;-;-;-;-;-;-;-;-;-;44"
"""110009 ESPIGAO D'OESTE"";-;-;-;-;-;-;-;-;-;-;-;-;1518;-;-;-;-;-;-;-;-;-;-;-;-;-;1518"
"""110010 GUAJARA-MIRIM"";-;-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;-;-;-;-;-;-;-;3667;3680"
"""110011 JARU"";-;-;-;-;-;-;-;-;-;-;-;-;3360;-;-;-;-;-;-;-;-;-;-;-;-;-;3360"
"""110012 JI-PARANA"";-;-;-;-;-;-;-;-;-;-;-;-;9102;-;-;-;-;1037;-;-;-;-;-;-;-;-;10139"
"""110013 MACHADINHO D'OESTE"";-;-;-;-;-;-;-;-;-;-;-;-;3029;-;-;-;-;-;-;-;-;-;-;-;-;-;3029"
"""110014 NOVA BRASILANDIA D'OESTE"";-;-;-;-;-;-;-;-;-;-;-;-;978;-;-;-;-;-;-;-;-;-;-;-;-;-;978"
"""110015 OURO PRETO DO OESTE"";-;-;-;-;-;-;-;-;-;-;-;-;2862;-;-;-;-;1;-;-;-;-;-;-;-;-;2863"
"""110018 PIMENTA BUENO"";-;-;-;-;-;-;-;-;-;-;-;-;3621;-;-;-;-;-;-;-;-;-;-;-;-;-;3621"
"""110020 PORTO VELHO"";-;34805;-;-;-;-;-;-;-;-;-;-;3616;-;-;-;1349;92;-;-;-;-;5302;-;-;2881;48045"
"""110025 PRESIDENTE MEDICI"";-;-;-;-;-;-;-;-;-;-;-;-;1148;-;-;-;-;-;-;-;-;-;-;-;-;-;1148"
"""110026 RIO CRESPO"";-;-;-;-;-;-;-;-;-;-;-;-;56;-;-;-;-;-;-;-;-;-;-;-;-;-;56"
"""110028 ROLIM DE MOURA"";-;-;-;-;-;-;-;-;-;-;-;-;3817;-;-;-;-;-;-;-;-;-;-;-;-;-;3817"
"""110029 SANTA LUZIA D'OESTE"";-;-;-;-;-;-;-;-;-;-;-;-;521;-;-;-;-;-;-;-;-;-;-;-;-;-;521"
"""110030 VILHENA"";-;-;-;-;-;-;-;-;-;-;-;-;11774;-;-;-;-;-;-;-;-;-;-;-;-;-;11774"
