"""Munic°pio"";""101-5 ‡rg∆o P£blico do Poder Executivo Federal"";""102-3 ‡rg∆o P£blico do Poder Executivo Estadual ou do Distrito Federal"";""103-1 ‡rg∆o P£blico do Poder Executivo Municipal"";""110-4 Autarquia Federal"";""111-2 Autarquia Estadual ou do Distrito Federal"";""112-0 Autarquia Municipal"";""113-9 Fundaá∆o P£blica de Direito P£blico Federal"";""114-7 Fundaá∆o P£blica de Direito P£blico Estadual ou do Distrito Federal"";""115-5 Fundaá∆o P£blica de Direito P£blico Municipal"";""118-0 ‡rg∆o P£blico Autìnomo Municipal"";""121-0 Cons¢rcio P£blico de Direito P£blico (Associaá∆o P£blica)"";""122-8 Cons¢rcio P£blico de Direito Privado"";""123-6 Estado ou Distrito Federal"";""124-4 Munic°pio"";""126-0 Fundaá∆o P£blica de Direito Privado Estadual ou do Distrito Federal"";""127-9 Fundaá∆o P£blica de Direito Privado Municipal"";""201-1 Empresa P£blica"";""205-4 Sociedade Anìnima Fechada"";""206-2 Sociedade Empres†ria Limitada"";""208-9 Sociedade Empres†ria em Comandita Simples"";""213-5 Empres†rio (Individual)"";""214-3 Cooperativa"";""224-0 Sociedade Simples Limitada"";""306-9 Fundaá∆o Privada"";""307-7 Serviáo Social Autìnomo"";""313-1 Entidade Sindical"";""399-9 Associaá∆o Privada"";""Total"""
"""110001 ALTA FLORESTA D'OESTE"";-;-;-;-;-;-;-;-;-;-;-;-;-;2088;-;-;-;-;-;-;-;-;-;-;-;-;-;2088"
"""110002 ARIQUEMES"";-;-;-;-;-;-;-;-;-;-;-;-;-;5084;-;-;-;-;447;-;-;-;-;-;-;-;-;5531"
"""110003 CABIXI"";-;-;29;-;-;-;-;-;-;-;-;-;-;139;-;-;-;-;-;-;-;-;-;-;-;-;-;168"
"""110004 CACOAL"";-;11241;-;-;-;-;-;-;-;-;-;-;-;5055;-;-;-;-;27;-;-;-;-;-;-;-;-;16323"
"""110005 CEREJEIRAS"";-;-;-;-;-;-;-;-;-;-;-;-;-;1161;-;-;-;-;-;-;-;-;-;-;-;-;-;1161"
"""110006 COLORADO DO OESTE"";-;-;-;-;-;-;-;-;-;-;-;-;-;845;-;-;-;-;-;-;-;-;-;-;-;-;-;845"
"""110007 CORUMBIARA"";-;-;-;-;-;-;-;-;-;-;-;-;-;35;-;-;-;-;-;-;-;-;-;-;-;-;-;35"
"""110008 COSTA MARQUES"";-;-;-;-;-;-;-;-;-;-;-;-;-;280;-;-;-;-;-;-;-;-;-;-;-;-;-;280"
"""110009 ESPIGAO D'OESTE"";-;-;-;-;-;-;-;-;-;-;-;-;-;1489;-;-;-;-;-;-;-;-;-;-;-;-;-;1489"
"""110010 GUAJARA-MIRIM"";-;2205;-;-;-;-;-;-;-;-;-;-;-;1274;-;-;-;-;-;-;-;-;-;-;-;-;98;3577"
"""110011 JARU"";-;-;-;-;-;-;-;-;-;-;-;-;-;2959;-;-;-;-;-;-;-;-;-;-;-;-;-;2959"
"""110012 JI-PARANA"";-;-;-;-;-;-;-;-;-;-;-;-;-;11206;-;-;-;-;1042;-;-;-;-;-;-;-;-;12248"
"""110013 MACHADINHO D'OESTE"";-;-;-;-;-;-;-;-;-;-;-;-;-;3140;-;-;-;-;-;-;-;-;-;-;-;-;-;3140"
"""110014 NOVA BRASILANDIA D'OESTE"";-;-;-;-;-;-;-;-;-;-;-;-;-;1035;-;-;-;-;-;-;-;-;-;-;-;-;-;1035"
"""110015 OURO PRETO DO OESTE"";-;-;-;-;-;-;-;-;-;-;-;-;-;2941;-;-;-;-;-;-;-;-;-;-;-;-;-;2941"
"""110018 PIMENTA BUENO"";-;-;-;-;-;-;-;-;-;-;-;-;-;3660;-;-;-;-;-;-;-;-;-;-;-;-;-;3660"
"""110020 PORTO VELHO"";-;32341;-;-;-;-;-;-;-;-;-;-;-;3805;-;-;-;1204;1351;-;-;-;-;5716;-;-;4052;48469"
"""110025 PRESIDENTE MEDICI"";-;-;-;-;-;-;-;-;-;-;-;-;-;1161;-;-;-;-;-;-;-;-;-;-;-;-;-;1161"
"""110026 RIO CRESPO"";-;-;-;-;-;-;-;-;-;-;-;-;-;63;-;-;-;-;-;-;-;-;-;-;-;-;-;63"
