"""Munic°pio"";""101-5 ‡rg∆o P£blico do Poder Executivo Federal"";""102-3 ‡rg∆o P£blico do Poder Executivo Estadual ou do Distrito Federal"";""103-1 ‡rg∆o P£blico do Poder Executivo Municipal"";""110-4 Autarquia Federal"";""111-2 Autarquia Estadual ou do Distrito Federal"";""112-0 Autarquia Municipal"";""113-9 Fundaá∆o P£blica de Direito P£blico Federal"";""114-7 Fundaá∆o P£blica de Direito P£blico Estadual ou do Distrito Federal"";""115-5 Fundaá∆o P£blica de Direito P£blico Municipal"";""121-0 Cons¢rcio P£blico de Direito P£blico (Associaá∆o P£blica)"";""122-8 Cons¢rcio P£blico de Direito Privado"";""123-6 Estado ou Distrito Federal"";""124-4 Munic°pio"";""126-0 Fundaá∆o P£blica de Direito Privado Estadual ou do Distrito Federal"";""127-9 Fundaá∆o P£blica de Direito Privado Municipal"";""201-1 Empresa P£blica"";""204-6 Sociedade Anìnima Aberta"";""205-4 Sociedade Anìnima Fechada"";""206-2 Sociedade Empres†ria Limitada"";""208-9 Sociedade Empres†ria em Comandita Simples"";""213-5 Empres†rio (Individual)"";""214-3 Cooperativa"";""224-0 Sociedade Simples Limitada"";""306-9 Fundaá∆o Privada"";""307-7 Serviáo Social Autìnomo"";""399-9 Associaá∆o Privada"";""Total"""
"""110002 ARIQUEMES"";-;-;-;-;-;-;-;-;-;-;-;-;381;-;-;-;-;-;30;-;-;-;-;-;-;-;411"
"""110003 CABIXI"";-;-;-;-;-;-;-;-;-;-;-;-;21;-;-;-;-;-;-;-;-;-;-;-;-;-;21"
"""110004 CACOAL"";-;960;-;-;-;-;-;-;-;-;-;-;297;-;-;-;-;-;11;-;-;-;-;-;-;-;1268"
"""110008 COSTA MARQUES"";-;-;-;-;-;-;-;-;-;-;-;-;40;-;-;-;-;-;-;-;-;-;-;-;-;-;40"
"""110010 GUAJARA-MIRIM"";-;290;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;290"
"""110011 JARU"";-;-;-;-;-;-;-;-;-;-;-;-;201;-;-;-;-;-;-;-;-;-;-;-;-;-;201"
"""110012 JI-PARANA"";-;-;-;-;-;-;-;-;-;-;-;-;809;-;-;-;-;-;107;-;-;-;-;-;-;-;916"
"""110018 PIMENTA BUENO"";-;-;-;-;-;-;-;-;-;-;-;-;276;-;-;-;-;-;-;-;-;-;-;-;-;-;276"
"""110020 PORTO VELHO"";-;3156;-;-;-;-;-;-;-;-;-;-;301;-;-;-;-;164;107;-;-;-;-;455;-;235;4418"
"""110025 PRESIDENTE MEDICI"";-;-;-;-;-;-;-;-;-;-;-;-;53;-;-;-;-;-;-;-;-;-;-;-;-;-;53"
