"""Município"";""Eletivo"";""Urgência"";""Acid local trab"";""Acid trajeto"";""Outros ac trab"";""Outras caus ext"";""Total"""
"""110001 ALTA FLORESTA D'OESTE"";409;2648;-;-;-;-;3057"
"""110002 ARIQUEMES"";1497;4640;-;-;24;-;6161"
"""110003 CABIXI"";221;231;-;-;-;-;452"
"""110004 CACOAL"";2090;6734;-;-;-;1;8825"
"""110005 CEREJEIRAS"";1241;786;-;-;-;-;2027"
"""110006 COLORADO DO OESTE"";221;1343;-;-;-;-;1564"
"""110007 CORUMBIARA"";129;273;-;-;-;-;402"
"""110008 COSTA MARQUES"";343;488;-;-;-;-;831"
"""110009 ESPIGAO D'OESTE"";356;2136;-;-;-;-;2492"
"""110010 GUAJARA-MIRIM"";1286;3013;-;-;20;-;4319"
"""110011 JARU"";792;3393;-;-;11;-;4196"
"""110012 JI-PARANA"";1646;10545;-;-;4;-;12195"
"""110013 MACHADINHO D'OESTE"";722;3365;-;-;12;1;4100"
"""110014 NOVA BRASILANDIA D'OESTE"";244;1183;-;-;-;-;1427"
"""110015 OURO PRETO DO OESTE"";2116;901;-;-;-;1;3018"
"""110018 PIMENTA BUENO"";766;3467;-;-;-;-;4233"
"""110020 PORTO VELHO"";11027;24249;-;-;166;1;35443"
"""110025 PRESIDENTE MEDICI"";504;1331;-;-;-;-;1835"
"""110026 RIO CRESPO"";44;166;-;-;2;-;212"
"""110028 ROLIM DE MOURA"";994;3732;-;-;-;-;4726"
"""110029 SANTA LUZIA D'OESTE"";663;291;-;-;1;-;955"
"""110030 VILHENA"";2721;8899;-;-;3;2;11625"
"""110032 SAO MIGUEL DO GUAPORE"";328;1455;-;-;-;-;1783"
"""110033 NOVA MAMORE"";373;843;-;-;1;-;1217"
"""110034 ALVORADA D'OESTE"";318;941;-;-;-;-;1259"
"""110037 ALTO ALEGRE DOS PARECIS"";242;830;-;-;-;-;1072"
"""110040 ALTO PARAISO"";205;633;-;-;8;-;846"
"""110045 BURITIS"";582;1635;-;-;20;-;2237"
"""110050 NOVO HORIZONTE DO OESTE"";117;595;-;-;-;-;712"
"""110060 CACAULANDIA"";124;123;-;-;1;-;248"
"""110070 CAMPO NOVO DE RONDONIA"";104;315;-;-;2;-;421"
"""110080 CANDEIAS DO JAMARI"";607;996;-;-;11;-;1614"
"""110090 CASTANHEIRAS"";72;132;-;-;-;-;204"
"""110092 CHUPINGUAIA"";104;406;-;-;-;-;510"
"""110094 CUJUBIM"";635;1417;-;-;4;-;2056"
"""110100 GOVERNADOR JORGE TEIXEIRA"";100;201;-;-;-;-;301"
"""110110 ITAPUA DO OESTE"";116;373;-;-;2;-;491"
"""110120 MINISTRO ANDREAZZA"";343;313;-;-;-;-;656"
"""110130 MIRANTE DA SERRA"";159;542;-;-;-;-;701"
"""110140 MONTE NEGRO"";334;811;-;-;3;-;1148"
"""110143 NOVA UNIAO"";82;206;-;-;-;-;288"
"""110145 PARECIS"";61;628;-;-;-;-;689"
"""110146 PIMENTEIRAS DO OESTE"";181;125;-;-;-;-;306"
"""110147 PRIMAVERA DE RONDONIA"";69;224;-;-;-;-;293"
"""110148 SAO FELIPE D'OESTE"";133;214;-;-;-;-;347"
"""110149 SAO FRANCISCO DO GUAPORE"";307;1473;-;-;-;1;1781"
"""110150 SERINGUEIRAS"";831;262;-;-;1;-;1094"
"""110155 TEIXEIROPOLIS"";55;188;-;-;-;-;243"
"""110160 THEOBROMA"";240;151;-;-;1;-;392"
"""110170 URUPA"";730;228;-;-;-;-;958"
"""110175 VALE DO ANARI"";84;379;-;-;1;-;464"
"""110180 VALE DO PARAISO"";106;414;-;-;-;-;520"
"""120001 ACRELANDIA"";710;203;-;-;-;-;913"
"""120005 ASSIS BRASIL"";191;875;-;-;1;-;1067"
"""120010 BRASILEIA"";566;1344;-;-;-;-;1910"
"""120013 BUJARI"";311;118;-;-;-;-;429"
"""120017 CAPIXABA"";341;122;-;-;-;-;463"
"""120020 CRUZEIRO DO SUL"";2180;5913;-;-;-;-;8093"
"""120025 EPITACIOLANDIA"";391;732;-;-;-;-;1123"
"""120030 FEIJO"";344;1633;-;-;-;-;1977"
"""120032 JORDAO"";118;63;-;-;-;-;181"
"""120033 MANCIO LIMA"";748;780;-;-;-;-;1528"
"""120034 MANOEL URBANO"";196;476;-;-;-;-;672"
"""120035 MARECHAL THAUMATURGO"";819;641;-;-;-;-;1460"
"""120038 PLACIDO DE CASTRO"";853;242;-;-;1;-;1096"
"""120039 PORTO WALTER"";151;712;-;-;-;-;863"
"""120040 RIO BRANCO"";15745;7631;-;-;-;-;23376"
"""120042 RODRIGUES ALVES"";612;694;-;-;-;-;1306"
"""120043 SANTA ROSA DO PURUS"";242;39;-;-;-;-;281"
"""120045 SENADOR GUIOMARD"";997;302;-;-;-;-;1299"
"""120050 SENA MADUREIRA"";651;1580;-;-;-;-;2231"
"""120060 TARAUACA"";2305;634;-;-;-;-;2939"
"""120070 XAPURI"";405;1045;-;-;-;-;1450"
"""120080 PORTO ACRE"";505;302;-;-;-;-;807"
"""130002 ALVARAES"";329;1109;-;-;-;-;1438"
"""130006 AMATURA"";80;1028;-;-;-;-;1108"
"""130008 ANAMA"";103;1444;-;-;-;-;1547"
"""130010 ANORI"";143;1729;-;-;-;-;1872"
"""130014 APUI"";129;963;-;-;-;-;1092"
"""130020 ATALAIA DO NORTE"";349;821;-;-;-;-;1170"
"""130030 AUTAZES"";301;2016;-;-;-;-;2317"
"""130040 BARCELOS"";39;1107;-;-;-;-;1146"
"""130050 BARREIRINHA"";173;2244;-;-;-;-;2417"
"""130060 BENJAMIN CONSTANT"";512;2292;-;-;-;-;2804"
"""130063 BERURI"";145;1394;-;-;-;-;1539"
"""130068 BOA VISTA DO RAMOS"";129;1166;-;-;-;-;1295"
"""130070 BOCA DO ACRE"";463;1700;-;-;-;-;2163"
"""130080 BORBA"";187;1739;-;-;2;-;1928"
"""130083 CAAPIRANGA"";30;744;-;-;-;-;774"
"""130090 CANUTAMA"";64;694;-;-;-;1;759"
"""130100 CARAUARI"";434;1823;-;-;-;-;2257"
"""130110 CAREIRO"";419;1871;-;-;-;-;2290"
"""130115 CAREIRO DA VARZEA"";135;342;-;-;-;1;478"
"""130120 COARI"";640;4886;-;-;-;-;5526"
"""130130 CODAJAS"";126;1574;-;-;-;-;1700"
