"""Município"";""Eletivo"";""Urgência"";""Acid local trab"";""Outros ac trab"";""Outras caus ext"";""Total"""
"""110001 ALTA FLORESTA D'OESTE"";33;37;-;-;-;70"
"""110002 ARIQUEMES"";78;425;-;2;-;505"
"""110003 CABIXI"";17;20;-;-;-;37"
"""110004 CACOAL"";178;444;-;-;-;622"
"""110005 CEREJEIRAS"";23;67;-;-;-;90"
"""110006 COLORADO DO OESTE"";8;59;-;-;-;67"
"""110007 CORUMBIARA"";36;32;-;-;-;68"
"""110008 COSTA MARQUES"";42;43;-;-;-;85"
"""110009 ESPIGAO D'OESTE"";34;56;-;-;-;90"
"""110010 GUAJARA-MIRIM"";117;231;-;-;-;348"
"""110011 JARU"";50;252;-;2;-;304"
"""110012 JI-PARANA"";142;773;-;-;-;915"
"""110013 MACHADINHO D'OESTE"";17;69;-;-;-;86"
"""110014 NOVA BRASILANDIA D'OESTE"";18;16;-;-;-;34"
"""110015 OURO PRETO DO OESTE"";33;44;-;-;-;77"
"""110018 PIMENTA BUENO"";34;268;-;-;-;302"
"""110020 PORTO VELHO"";791;2321;-;33;-;3145"
"""110025 PRESIDENTE MEDICI"";83;35;-;-;-;118"
"""110026 RIO CRESPO"";7;11;-;1;-;19"
"""110028 ROLIM DE MOURA"";62;76;-;-;-;138"
"""110029 SANTA LUZIA D'OESTE"";17;17;-;-;-;34"
"""110030 VILHENA"";113;736;-;-;-;849"
"""110032 SAO MIGUEL DO GUAPORE"";15;25;-;-;-;40"
"""110033 NOVA MAMORE"";6;29;-;-;-;35"
"""110034 ALVORADA D'OESTE"";25;74;-;-;-;99"
"""110037 ALTO ALEGRE DOS PARECIS"";13;23;-;-;-;36"
"""110040 ALTO PARAISO"";10;29;-;-;-;39"
"""110045 BURITIS"";27;134;-;-;-;161"
"""110050 NOVO HORIZONTE DO OESTE"";9;20;-;-;-;29"
"""110060 CACAULANDIA"";6;16;-;-;-;22"
"""110070 CAMPO NOVO DE RONDONIA"";8;30;-;1;-;39"
"""110080 CANDEIAS DO JAMARI"";80;113;-;2;-;195"
"""110090 CASTANHEIRAS"";8;6;-;-;-;14"
"""110092 CHUPINGUAIA"";6;26;-;-;-;32"
"""110094 CUJUBIM"";15;31;-;-;-;46"
"""110100 GOVERNADOR JORGE TEIXEIRA"";3;14;-;-;-;17"
"""110110 ITAPUA DO OESTE"";4;25;-;-;-;29"
"""110120 MINISTRO ANDREAZZA"";13;12;-;-;-;25"
"""110130 MIRANTE DA SERRA"";12;13;-;-;-;25"
"""110140 MONTE NEGRO"";20;71;-;-;-;91"
"""110143 NOVA UNIAO"";7;9;-;-;-;16"
"""110145 PARECIS"";3;17;-;-;-;20"
"""110146 PIMENTEIRAS DO OESTE"";-;11;-;-;-;11"
