"""Munic¡pio"";""M‚dia complexidade"";""Alta complexidade"";""Total""";
"""110001 ALTA FLORESTA D'OESTE"";49;1;50";
"""110002 ARIQUEMES"";205;11;216";
"""110003 CABIXI"";13;-;13";
"""110004 CACOAL"";271;6;277";
"""110005 CEREJEIRAS"";51;-;51";
"""110006 COLORADO DO OESTE"";43;-;43";
"""110007 CORUMBIARA"";11;-;11";
"""110008 COSTA MARQUES"";27;-;27";
"""110009 ESPIGAO D'OESTE"";67;2;69";
"""110010 GUAJARA-MIRIM"";90;6;96";
"""110011 JARU"";147;3;150";
"""110012 JI-PARANA"";411;8;419";
"""110013 MACHADINHO D'OESTE"";69;2;71";
"""110014 NOVA BRASILANDIA D'OESTE"";33;2;35";
"""110015 OURO PRETO DO OESTE"";101;2;103";
"""110018 PIMENTA BUENO"";100;6;106";
"""110020 PORTO VELHO"";1214;106;1320";
"""110025 PRESIDENTE MEDICI"";57;1;58";
"""110026 RIO CRESPO"";2;1;3";
"""110028 ROLIM DE MOURA"";160;1;161";
"""110029 SANTA LUZIA D'OESTE"";13;-;13";
"""110030 VILHENA"";281;5;286";
"""110032 SAO MIGUEL DO GUAPORE"";50;1;51";
"""110033 NOVA MAMORE"";36;2;38";
"""110034 ALVORADA D'OESTE"";35;2;37";
"""110037 ALTO ALEGRE DOS PARECIS"";33;1;34";
"""110040 ALTO PARAISO"";27;1;28";
"""110045 BURITIS"";84;3;87";
"""110050 NOVO HORIZONTE DO OESTE"";18;1;19";
"""110060 CACAULANDIA"";11;-;11";
"""110070 CAMPO NOVO DE RONDONIA"";18;1;19";
"""110080 CANDEIAS DO JAMARI"";49;5;54";
"""110090 CASTANHEIRAS"";10;-;10";
"""110092 CHUPINGUAIA"";21;1;22";
"""110094 CUJUBIM"";38;-;38";
"""110100 GOVERNADOR JORGE TEIXEIRA"";14;-;14";
"""110110 ITAPUA DO OESTE"";8;1;9";
"""110120 MINISTRO ANDREAZZA"";16;1;17";
"""110130 MIRANTE DA SERRA"";28;1;29";
"""110140 MONTE NEGRO"";25;-;25";
"""110143 NOVA UNIAO"";10;-;10";
"""110145 PARECIS"";5;-;5";
"""110146 PIMENTEIRAS DO OESTE"";4;-;4";
"""110147 PRIMAVERA DE RONDONIA"";6;-;6";
"""110148 SAO FELIPE D'OESTE"";14;-;14";
"""110149 SAO FRANCISCO DO GUAPORE"";30;3;33";
"""110150 SERINGUEIRAS"";32;-;32";
"""110155 TEIXEIROPOLIS"";9;-;9";
"""110160 THEOBROMA"";22;1;23";
"""110170 URUPA"";29;1;30";
"""110175 VALE DO ANARI"";12;-;12";
"""110180 VALE DO PARAISO"";21;-;21";
"""120001 ACRELANDIA"";26;2;28";
"""120005 ASSIS BRASIL"";14;-;14";
"""120010 BRASILEIA"";62;-;62";
"""120013 BUJARI"";19;-;19";
"""120017 CAPIXABA"";18;-;18";
"""120020 CRUZEIRO DO SUL"";176;3;179";
"""120025 EPITACIOLANDIA"";39;3;42";
"""120030 FEIJO"";40;-;40";
"""120032 JORDAO"";8;-;8";
"""120033 MANCIO LIMA"";14;-;14";
"""120034 MANOEL URBANO"";16;-;16";
"""120035 MARECHAL THAUMATURGO"";9;-;9";
"""120038 PLACIDO DE CASTRO"";26;1;27";
"""120039 PORTO WALTER"";14;1;15";
"""120040 RIO BRANCO"";843;37;880";
"""120042 RODRIGUES ALVES"";19;-;19";
"""120043 SANTA ROSA DO PURUS"";7;-;7";
"""120045 SENADOR GUIOMARD"";40;-;40";
"""120050 SENA MADUREIRA"";62;2;64";
"""120060 TARAUACA"";55;1;56";
"""120070 XAPURI"";26;1;27";
"""120080 PORTO ACRE"";34;2;36";
"""130002 ALVARAES"";14;1;15";
"""130006 AMATURA"";14;1;15";
"""130008 ANAMA"";4;-;4";
"""130010 ANORI"";10;1;11";
"""130014 APUI"";21;-;21";
"""130020 ATALAIA DO NORTE"";16;1;17";
"""130030 AUTAZES"";25;3;28";
"""130040 BARCELOS"";18;1;19";
"""130050 BARREIRINHA"";47;2;49";
"""130060 BENJAMIN CONSTANT"";33;1;34";
"""130063 BERURI"";12;-;12";
"""130068 BOA VISTA DO RAMOS"";28;1;29";
"""130070 BOCA DO ACRE"";32;6;38";
"""130080 BORBA"";28;5;33";
"""130083 CAAPIRANGA"";11;-;11";
"""130090 CANUTAMA"";11;-;11";
"""130100 CARAUARI"";32;3;35";
"""130110 CAREIRO"";25;4;29";
"""130115 CAREIRO DA VARZEA"";15;2;17";
"""130120 COARI"";252;11;263";
"""130130 CODAJAS"";30;-;30";
"""130140 EIRUNEPE"";71;-;71";
"""130150 ENVIRA"";25;-;25";
"""130160 FONTE BOA"";31;1;32";
"""130165 GUAJARA"";21;-;21";
"""130170 HUMAITA"";51;1;52";
"""130180 IPIXUNA"";23;-;23";
"""130185 IRANDUBA"";78;2;80";
"""130190 ITACOATIARA"";185;9;194";
"""130195 ITAMARATI"";4;-;4";
"""130200 ITAPIRANGA"";10;3;13";
"""130210 JAPURA"";3;1;4";
"""130220 JURUA"";3;-;3";
"""130230 JUTAI"";12;3;15";
"""130240 LABREA"";18;2;20";
"""130250 MANACAPURU"";200;13;213";
"""130255 MANAQUIRI"";18;2;20";
"""130260 MANAUS"";5467;420;5887";
"""130270 MANICORE"";40;1;41";
"""130280 MARAA"";6;-;6";
"""130290 MAUES"";95;3;98";
"""130300 NHAMUNDA"";25;-;25";
"""130310 NOVA OLINDA DO NORTE"";11;1;12";
"""130320 NOVO AIRAO"";23;-;23";
"""130330 NOVO ARIPUANA"";18;1;19";
"""130340 PARINTINS"";185;4;189";
"""130350 PAUINI"";24;-;24";
"""130353 PRESIDENTE FIGUEIREDO"";40;2;42";
"""130356 RIO PRETO DA EVA"";39;2;41";
"""130360 SANTA ISABEL DO RIO NEGRO"";14;-;14";
"""130370 SANTO ANTONIO DO ICA"";19;3;22";
"""130380 SAO GABRIEL DA CACHOEIRA"";73;1;74";
"""130390 SAO PAULO DE OLIVENCA"";37;-;37";
"""130395 SAO SEBASTIAO DO UATUMA"";10;1;11";
"""130400 SILVES"";15;2;17";
"""130406 TABATINGA"";17;3;20";
"""130410 TAPAUA"";11;-;11";
"""130420 TEFE"";74;2;76";
"""130423 TONANTINS"";22;-;22";
"""130426 UARINI"";14;1;15";
"""130430 URUCARA"";24;-;24";
"""130440 URUCURITUBA"";14;1;15";
"""140002 AMAJARI"";18;1;19";
"""140005 ALTO ALEGRE"";30;-;30";
"""140010 BOA VISTA"";728;53;781";
"""140015 BONFIM"";22;2;24";
"""140017 CANTA"";19;-;19";
"""140020 CARACARAI"";23;-;23";
"""140023 CAROEBE"";3;-;3";
"""140028 IRACEMA"";8;-;8";
"""140030 MUCAJAI"";23;-;23";
"""140040 NORMANDIA"";14;-;14";
"""140045 PACARAIMA"";28;2;30";
"""140047 RORAINOPOLIS"";43;4;47";
"""140050 SAO JOAO DA BALIZA"";10;1;11";
"""140060 SAO LUIZ"";9;-;9";
"""140070 UIRAMUTA"";17;-;17";
"""150010 ABAETETUBA"";274;16;290";
"""150013 ABEL FIGUEIREDO"";27;-;27";
"""150020 ACARA"";87;6;93";
"""150030 AFUA"";32;-;32";
"""150034 AGUA AZUL DO NORTE"";16;1;17";
"""150040 ALENQUER"";133;5;138";
"""150050 ALMEIRIM"";47;-;47";
"""150060 ALTAMIRA"";344;10;354";
"""150070 ANAJAS"";31;1;32";
"""150080 ANANINDEUA"";854;77;931";
"""150085 ANAPU"";34;2;36";
"""150090 AUGUSTO CORREA"";60;3;63";
"""150095 AURORA DO PARA"";44;3;47";
"""150100 AVEIRO"";14;-;14";
"""150110 BAGRE"";19;1;20";
"""150120 BAIAO"";43;4;47";
"""150125 BANNACH"";2;-;2";
"""150130 BARCARENA"";256;17;273";
"""150140 BELEM"";3240;270;3510";
"""150145 BELTERRA"";33;-;33";
"""150150 BENEVIDES"";78;11;89";
"""150157 BOM JESUS DO TOCANTINS"";30;2;32";
"""150160 BONITO"";28;-;28";
"""150170 BRAGANCA"";261;14;275";
"""150172 BRASIL NOVO"";43;2;45";
"""150175 BREJO GRANDE DO ARAGUAIA"";4;-;4";
"""150178 BREU BRANCO"";87;2;89";
"""150180 BREVES"";244;3;247";
"""150190 BUJARU"";40;6;46";
"""150195 CACHOEIRA DO PIRIA"";18;-;18";
"""150200 CACHOEIRA DO ARARI"";14;3;17";
"""150210 CAMETA"";217;9;226";
"""150215 CANAA DOS CARAJAS"";76;4;80";
"""150220 CAPANEMA"";178;9;187";
"""150230 CAPITAO POCO"";62;4;66";
"""150240 CASTANHAL"";574;36;610";
"""150250 CHAVES"";12;-;12";
"""150260 COLARES"";13;1;14";
"""150270 CONCEICAO DO ARAGUAIA"";59;1;60";
"""150275 CONCORDIA DO PARA"";45;2;47";
"""150276 CUMARU DO NORTE"";2;3;5";
"""150277 CURIONOPOLIS"";21;-;21";
"""150280 CURRALINHO"";19;1;20";
"""150285 CURUA"";24;-;24";
"""150290 CURUCA"";98;7;105";
"""150293 DOM ELISEU"";79;4;83";
"""150295 ELDORADO DOS CARAJAS"";53;-;53";
"""150300 FARO"";7;-;7";
"""150304 FLORESTA DO ARAGUAIA"";31;1;32";
"""150307 GARRAFAO DO NORTE"";41;3;44";
"""150309 GOIANESIA DO PARA"";39;1;40";
"""150310 GURUPA"";50;3;53";
"""150320 IGARAPE-ACU"";113;8;121";
"""150330 IGARAPE-MIRI"";120;5;125";
"""150340 INHANGAPI"";19;2;21";
"""150345 IPIXUNA DO PARA"";63;5;68";
"""150350 IRITUIA"";44;2;46";
"""150360 ITAITUBA"";331;4;335";
"""150370 ITUPIRANGA"";82;1;83";
"""150375 JACAREACANGA"";44;1;45";
"""150380 JACUNDA"";119;3;122";
"""150390 JURUTI"";32;2;34";
"""150400 LIMOEIRO DO AJURU"";29;-;29";
"""150405 MAE DO RIO"";103;4;107";
"""150410 MAGALHAES BARATA"";16;-;16";
"""150420 MARABA"";449;14;463";
"""150430 MARACANA"";55;2;57";
"""150440 MARAPANIM"";54;4;58";
"""150442 MARITUBA"";196;10;206";
"""150445 MEDICILANDIA"";53;5;58";
"""150450 MELGACO"";20;1;21";
"""150460 MOCAJUBA"";31;3;34";
"""150470 MOJU"";126;8;134";
"""150475 MOJUI DOS CAMPOS"";42;-;42";
"""150480 MONTE ALEGRE"";151;5;156";
"""150490 MUANA"";33;2;35";
"""150495 NOVA ESPERANCA DO PIRIA"";19;4;23";
"""150497 NOVA IPIXUNA"";9;1;10";
"""150500 NOVA TIMBOTEUA"";31;1;32";
"""150503 NOVO PROGRESSO"";51;2;53";
"""150506 NOVO REPARTIMENTO"";105;4;109";
"""150510 OBIDOS"";123;1;124";
"""150520 OEIRAS DO PARA"";33;-;33";
"""150530 ORIXIMINA"";145;4;149";
"""150540 OUREM"";40;2;42";
"""150543 OURILANDIA DO NORTE"";71;-;71";
"""150548 PACAJA"";98;3;101";
"""150549 PALESTINA DO PARA"";8;-;8";
"""150550 PARAGOMINAS"";201;9;210";
"""150553 PARAUAPEBAS"";433;16;449";
"""150555 PAU D'ARCO"";22;-;22";
"""150560 PEIXE-BOI"";18;-;18";
"""150563 PICARRA"";8;1;9";
