"""Munic¡pio"";""02 Procedimentos com finalidade diagnostica"";""03 Procedimentos clinicos"";""04 Procedimentos cirurgicos"";""05 Transplantes de orgaos, tecidos e celulas"";""Total"""
"""110001 ALTA FLORESTA D'OESTE"";3;2303;475;15;2796"
"""110002 ARIQUEMES"";4;5061;2291;42;7398"
"""110003 CABIXI"";-;301;82;19;402"
"""110004 CACOAL"";4;4585;2161;36;6786"
"""110005 CEREJEIRAS"";-;1116;437;7;1560"
"""110006 COLORADO DO OESTE"";2;821;274;-;1097"
"""110007 CORUMBIARA"";1;196;129;-;326"
"""110008 COSTA MARQUES"";1;489;179;1;670"
"""110009 ESPIGAO D'OESTE"";-;1940;427;3;2370"
"""110010 GUAJARA-MIRIM"";-;3443;928;14;4385"
"""110011 JARU"";1;2502;1425;4;3932"
"""110012 JI-PARANA"";4;5618;4301;16;9939"
"""110013 MACHADINHO D'OESTE"";1;1914;812;21;2748"
"""110014 NOVA BRASILANDIA D'OESTE"";1;953;462;24;1440"
"""110015 OURO PRETO DO OESTE"";4;1927;1082;9;3022"
"""110018 PIMENTA BUENO"";1;3489;933;2;4425"
"""110020 PORTO VELHO"";28;22326;11010;267;33631"
"""110025 PRESIDENTE MEDICI"";-;491;405;8;904"
"""110026 RIO CRESPO"";-;70;41;-;111"
"""110028 ROLIM DE MOURA"";2;2371;1365;32;3770"
"""110029 SANTA LUZIA D'OESTE"";-;786;148;-;934"
"""110030 VILHENA"";3;4244;2781;15;7043"
"""110032 SAO MIGUEL DO GUAPORE"";-;1268;584;3;1855"
"""110033 NOVA MAMORE"";1;1387;559;3;1950"
"""110034 ALVORADA D'OESTE"";1;828;390;3;1222"
"""110037 ALTO ALEGRE DOS PARECIS"";-;822;219;2;1043"
"""110040 ALTO PARAISO"";-;630;184;3;817"
"""110045 BURITIS"";-;1256;413;3;1672"
"""110050 NOVO HORIZONTE DO OESTE"";-;621;149;1;771"
"""110060 CACAULANDIA"";-;195;66;2;263"
"""110070 CAMPO NOVO DE RONDONIA"";-;278;96;2;376"
"""110080 CANDEIAS DO JAMARI"";-;881;419;3;1303"
"""110090 CASTANHEIRAS"";-;54;48;-;102"
"""110092 CHUPINGUAIA"";-;253;191;13;457"
"""110094 CUJUBIM"";-;852;222;2;1076"
"""110100 GOVERNADOR JORGE TEIXEIRA"";-;155;61;3;219"
"""110110 ITAPUA DO OESTE"";-;272;126;3;401"
"""110120 MINISTRO ANDREAZZA"";-;291;94;-;385"
"""110130 MIRANTE DA SERRA"";-;633;139;1;773"
"""110140 MONTE NEGRO"";4;528;212;2;746"
"""110143 NOVA UNIAO"";1;189;104;-;294"
"""110145 PARECIS"";1;286;69;-;356"
"""110146 PIMENTEIRAS DO OESTE"";-;132;54;-;186"
"""110147 PRIMAVERA DE RONDONIA"";-;114;62;-;176"
"""110148 SAO FELIPE D'OESTE"";-;101;67;-;168"
"""110149 SAO FRANCISCO DO GUAPORE"";-;555;346;4;905"
"""110150 SERINGUEIRAS"";-;642;558;4;1204"
"""110155 TEIXEIROPOLIS"";-;79;52;-;131"
"""110160 THEOBROMA"";-;238;109;-;347"
"""110170 URUPA"";-;466;277;12;755"
"""110175 VALE DO ANARI"";-;233;85;1;319"
"""110180 VALE DO PARAISO"";-;262;114;-;376"
"""120001 ACRELANDIA"";1;333;213;1;548"
"""120005 ASSIS BRASIL"";-;499;180;8;687"
"""120010 BRASILEIA"";-;1194;674;-;1868"
"""120013 BUJARI"";2;160;119;-;281"
"""120017 CAPIXABA"";1;237;159;1;398"
"""120020 CRUZEIRO DO SUL"";10;3358;2680;5;6053"
"""120025 EPITACIOLANDIA"";3;650;378;-;1031"
"""120030 FEIJO"";1;1093;413;-;1507"
"""120032 JORDAO"";-;90;77;-;167"
"""120033 MANCIO LIMA"";4;761;429;1;1195"
"""120034 MANOEL URBANO"";1;476;136;1;614"
"""120035 MARECHAL THAUMATURGO"";2;670;240;2;914"
