"""Munic¡pio"";""02 Procedimentos com finalidade diagnostica"";""03 Procedimentos clinicos"";""04 Procedimentos cirurgicos"";""05 Transplantes de orgaos, tecidos e celulas"";""Total"""
"""110001 ALTA FLORESTA D'OESTE"";-;36;34;-;70"
"""110002 ARIQUEMES"";-;326;174;5;505"
"""110003 CABIXI"";-;28;9;-;37"
"""110004 CACOAL"";-;402;215;5;622"
"""110005 CEREJEIRAS"";-;53;37;-;90"
"""110006 COLORADO DO OESTE"";-;42;25;-;67"
"""110007 CORUMBIARA"";-;18;50;-;68"
"""110008 COSTA MARQUES"";-;52;33;-;85"
"""110009 ESPIGAO D'OESTE"";-;54;36;-;90"
"""110010 GUAJARA-MIRIM"";-;123;225;-;348"
"""110011 JARU"";1;176;122;5;304"
"""110012 JI-PARANA"";-;626;287;2;915"
"""110013 MACHADINHO D'OESTE"";-;50;36;-;86"
"""110014 NOVA BRASILANDIA D'OESTE"";-;19;15;-;34"
"""110015 OURO PRETO DO OESTE"";-;37;36;4;77"
"""110018 PIMENTA BUENO"";-;232;70;-;302"
"""110020 PORTO VELHO"";2;1904;1220;19;3145"
"""110025 PRESIDENTE MEDICI"";2;75;39;2;118"
"""110026 RIO CRESPO"";-;9;10;-;19"
"""110028 ROLIM DE MOURA"";-;84;52;2;138"
"""110029 SANTA LUZIA D'OESTE"";-;19;15;-;34"
"""110030 VILHENA"";-;500;345;4;849"
"""110032 SAO MIGUEL DO GUAPORE"";-;22;18;-;40"
"""110033 NOVA MAMORE"";-;20;15;-;35"
"""110034 ALVORADA D'OESTE"";-;86;13;-;99"
"""110037 ALTO ALEGRE DOS PARECIS"";1;20;15;-;36"
"""110040 ALTO PARAISO"";-;26;13;-;39"
"""110045 BURITIS"";-;111;50;-;161"
"""110050 NOVO HORIZONTE DO OESTE"";-;24;5;-;29"
"""110060 CACAULANDIA"";-;12;10;-;22"
"""110070 CAMPO NOVO DE RONDONIA"";-;27;12;-;39"
"""110080 CANDEIAS DO JAMARI"";-;95;100;-;195"
"""110090 CASTANHEIRAS"";-;5;9;-;14"
"""110092 CHUPINGUAIA"";-;15;17;-;32"
"""110094 CUJUBIM"";-;24;22;-;46"
"""110100 GOVERNADOR JORGE TEIXEIRA"";-;12;5;-;17"
