"""Munic¡pio"";""2008/Jan"";""2008/Fev"";""2008/Mar"";""2008/Abr"";""2008/Mai"";""2008/Jun"";""2008/Jul"";""2008/Ago"";""2008/Set"";""2008/Out"";""2008/Nov"";""2008/Dez"";""2009/Jan"";""2009/Fev"";""2009/Mar"";""2009/Abr"";""2009/Mai"";""2009/Jun"";""2009/Jul"";""2009/Ago"";""2009/Set"";""2009/Out"";""2009/Nov"";""2009/Dez"";""2010/Jan"";""2010/Mar"";""2010/Abr"";""2010/Mai"";""2010/Jun"";""2010/Jul"";""2010/Ago"";""2010/Set"";""2010/Out"";""2010/Nov"";""2010/Dez"";""2011/Jan"";""2011/Fev"";""2011/Mar"";""2011/Abr"";""2011/Mai"";""2011/Jun"";""2011/Jul"";""2011/Ago"";""2011/Set"";""2011/Out"";""2011/Nov"";""2011/Dez"";""2012/Jan"";""2012/Fev"";""2012/Mar"";""2012/Abr"";""2012/Mai"";""2012/Jun"";""2012/Jul"";""2012/Ago"";""2012/Set"";""2012/Out"";""2012/Nov"";""2012/Dez"";""2013/Jan"";""2013/Fev"";""2013/Mar"";""2013/Abr"";""2013/Mai"";""2013/Jun"";""2013/Jul"";""2013/Ago"";""2013/Set"";""2013/Out"";""2013/Nov"";""2013/Dez"";""2014/Jan"";""2014/Fev"";""2014/Mar"";""2014/Abr"";""2014/Mai"";""2014/Jun"";""2014/Jul"";""2014/Ago"";""2014/Set"";""2014/Out"";""2014/Nov"";""2014/Dez"";""2015/Jan"";""2015/Fev"";""2015/Mar"";""2015/Abr"";""2015/Mai"";""2015/Jun"";""2015/Jul"";""2015/Ago"";""2015/Set"";""2015/Out"";""2015/Nov"";""2015/Dez"";""2016/Jan"";""2016/Fev"";""2016/Mar"";""2016/Abr"";""2016/Mai"";""2016/Jun"";""2016/Jul"";""2016/Ago"";""2016/Set"";""2016/Out"";""2016/Nov"";""2016/Dez"";""2017/Jan"";""2017/Fev"";""2017/Mar"";""2017/Abr"";""2017/Mai"";""2017/Jun"";""2017/Jul"";""2017/Ago"";""2017/Set"";""2017/Out"";""2017/Nov"";""2017/Dez"";""2018/Jan"";""2018/Fev"";""2018/Mar"";""2018/Abr"";""2018/Mai"";""2018/Jun"";""2018/Jul"";""2018/Ago"";""2018/Set"";""2018/Out"";""2018/Nov"";""2018/Dez"";""2019/Jan"";""2019/Fev"";""2019/Mar"";""2019/Abr"";""2019/Mai"";""2019/Jun"";""2019/Jul"";""2019/Ago"";""2019/Set"";""2019/Out"";""2019/Nov"";""2019/Dez"";""2020/Jan"";""2020/Fev"";""2020/Mar"";""2020/Abr"";""2020/Mai"";""2020/Jun"";""2020/Jul"";""2020/Ago"";""2020/Set"";""2020/Out"";""2020/Nov"";""2020/Dez"";""2021/Jan"";""2021/Fev"";""2021/Mar"";""2021/Abr"";""2021/Mai"";""2021/Jun"";""2021/Jul"";""2021/Ago"";""2021/Set"";""2021/Out"";""2021/Nov"";""2021/Dez"";""2022/Jan"";""2022/Fev"";""2022/Mar"";""2022/Abr"";""2022/Mai"";""2022/Jun"";""2022/Jul"";""2022/Ago"";""2022/Set"";""2022/Out"";""2022/Nov"";""2022/Dez"";""2023/Jan"";""2023/Fev"";""2023/Mar"";""2023/Abr"";""2023/Mai"";""2023/Jun"";""2023/Jul"";""2023/Ago"";""2023/Set"";""2023/Out"";""2023/Nov"";""2023/Dez"";""2024/Jan"";""2024/Fev"";""2024/Mar"";""2024/Abr"";""2024/Mai"";""2024/Jun"";""2024/Jul"";""2024/Ago"";""2024/Set"";""2024/Out"";""2024/Nov"";""2024/Dez"";""2025/Jan"";""2025/Fev"";""2025/Mar"";""2025/Abr"";""2025/Mai"";""2025/Jun"";""2025/Jul"";""2025/Ago"";""2025/Set"";""2025/Out"";""2025/Nov"";""2025/Dez"";""2026/Jan"";""Total"""
"""110001 ALTA FLORESTA D'OESTE"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5232,55;45422,46;60085,93;42460,23;42576,35;45547,96;50653,79;51177,25;34292,86;37685,69;41146,31;61512,41;67236,78;65074,43;50685,90;84501,58;80102,97;68226,91;66527,26;61692,84;63480,28;54231,03;56035,98;75614,77;64131,93;48311,31;55925,83;66532,04;80462,95;84353,19;59887,61;67717,32;72749,87;68525,91;76657,16;63656,92;66341,89;48141,42;52319,41;54618,41;67186,13;76689,90;76463,92;76910,02;57259,01;49148,00;66863,32;53925,42;48095,69;-;2914079,10"
"""110002 ARIQUEMES"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;889,15;76887,67;370874,91;606664,16;924293,41;523731,24;501132,69;554754,15;463559,36;430413,26;514270,77;459931,34;459534,72;467220,82;447562,42;525018,94;439492,00;591438,94;646540,28;803176,90;654228,64;576544,73;621207,98;776070,15;554494,69;667499,83;671304,16;586955,79;592680,14;687314,82;700372,09;744767,71;699107,44;640617,49;594763,41;770973,79;867882,04;824375,15;643620,17;517949,38;616956,01;644995,45;705829,91;772340,99;687126,59;843441,99;606473,74;636734,82;668068,25;528260,63;597125,37;368771,23;30876241,71"
"""110003 CABIXI"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4300,51;6451,92;8650,56;3340,63;4076,86;3570,79;6089,01;7515,81;6735,01;6575,60;5622,44;5569,05;5361,23;9245,92;8690,50;8334,01;7388,60;8510,93;9910,78;7649,39;7057,48;5833,97;6089,27;3415,86;3562,72;2706,53;4631,02;9804,60;5170,50;6981,95;5545,52;5991,42;7601,75;1746,40;1698,97;3341,86;1871,97;-;3370,88;7393,49;8543,59;7080,26;7046,39;3792,50;6354,79;8558,92;5917,35;3721,50;8632,73;287053,74"
"""110004 CACOAL"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6009,52;4142,25;10278,74;236017,65;786827,31;1108221,75;1273276,38;1114688,77;976296,37;774897,48;883847,02;929636,03;796242,38;779987,18;1007069,92;678734,74;842529,27;934736,10;1236711,11;904252,18;1310692,35;1133219,71;995958,67;1082772,14;1153432,88;1182334,26;1298837,56;1175272,74;1226411,84;1032340,13;1032437,53;843326,24;1226035,92;1232962,93;1485988,91;1210589,51;1714740,73;1775160,85;1986688,38;1926781,02;1834928,53;1695330,22;1632627,76;1516641,21;1630078,52;1402409,08;1219903,69;1197946,82;1304117,15;1334851,37;1213028,48;922510,52;287284,59;226027,69;168146,37;58896218,45"
"""110005 CEREJEIRAS"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7717,73;30419,45;29275,49;38478,16;31220,19;35834,96;35018,38;43232,42;41119,01;37961,44;41341,98;45389,60;31199,81;28213,32;43294,02;46992,03;54962,54;61565,37;43504,18;38493,27;45302,03;42062,47;25522,44;36947,57;39175,97;23314,19;28173,66;50728,03;66596,13;58987,52;42277,32;19433,42;31153,91;29949,35;22708,36;35739,21;34819,17;22595,26;37757,32;62705,61;71009,49;63294,86;49536,60;43125,63;42277,13;35786,58;41851,62;29705,33;29374,15;-;1927143,68"
"""110006 COLORADO DO OESTE"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3848,73;28860,31;17724,16;23993,28;18735,56;20129,12;20659,38;23126,83;16671,77;13970,76;26201,16;26788,81;35416,60;19716,84;19979,94;28563,28;32268,48;31926,71;28014,30;18843,69;28057,31;18972,38;17699,33;16101,33;18119,13;19764,80;15344,67;18968,17;38666,80;53880,12;38540,10;41843,30;20132,28;46459,09;27438,12;114122,67;49208,18;20441,55;24289,47;36927,51;38873,06;46714,82;32943,70;19705,15;36235,76;51252,44;38801,54;37259,93;73062,53;-;1495264,95"
"""110007 CORUMBIARA"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6537,19;8600,09;-;-;15137,28"
"""110008 COSTA MARQUES"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;582,42;5664,05;11845,71;6749,02;10023,69;7418,39;3013,49;10191,07;5250,18;12316,24;12035,71;7496,00;7377,46;5385,24;5002,46;4661,45;1247,70;1583,36;2671,93;924,27;924,27;1089,91;886,80;443,40;1593,10;-;-;-;-;-;-;3975,07;3807,18;2039,80;2370,47;1527,67;1149,65;5041,05;4456,14;3525,88;8568,87;13866,74;8063,73;8575,68;16192,93;7068,00;11872,28;6970,08;10527,63;13502,52;259478,69"
"""110009 ESPIGAO D'OESTE"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;69796,27;64240,54;60207,74;57388,58;65852,04;62301,22;52937,81;42781,68;47900,38;29358,58;28268,55;23452,05;24462,69;26895,96;43064,02;36651,28;36860,84;36320,88;32164,80;33697,90;25431,44;37387,64;38079,47;25624,56;29198,31;36887,12;44383,41;57445,51;49998,49;42343,70;42681,45;32546,51;43981,80;58242,82;35451,45;44646,60;43760,30;44128,77;43831,38;52012,82;52445,78;49183,14;42270,97;51147,51;32448,00;38162,39;42085,06;43262,93;-;2053673,14"
"""110010 GUAJARA-MIRIM"";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23591,39;50876,55;112026,82;100720,82;130302,31;148087,03;143062,00;129583,41;102102,63;122697,55;128829,73;114133,48;121616,98;115823,78;112442,74;102394,50;143179,21;145753,58;151947,07;129867,02;113787,25;144167,62;128397,00;130814,74;128287,16;139634,23;133684,82;120925,84;138793,33;155302,85;143516,06;123061,09;124478,73;97440,90;106890,82;107477,49;111867,96;79350,23;46270,63;36847,33;51980,98;93976,91;178934,47;190097,14;174859,38;179111,68;206291,99;207433,47;197726,36;179968,27;130840,80;6431256,13"
