"""Munic¡pio"";""2023/Out"";""2023/Nov"";""2023/Dez"";""2024/Jan"";""2024/Fev"";""2024/Mar"";""2024/Abr"";""2024/Mai"";""2024/Jun"";""2024/Jul"";""2024/Ago"";""2024/Set"";""2024/Out"";""2024/Nov"";""2024/Dez"";""2025/Jan"";""2025/Fev"";""2025/Mar"";""2025/Abr"";""2025/Mai"";""2025/Jun"";""2025/Jul"";""2025/Ago"";""2025/Set"";""2025/Out"";""2025/Nov"";""2025/Dez"";""2026/Jan"";""Total"""
"""350010 ADAMANTINA"";-;-;-;649980,83;637686,68;654807,68;763984,02;745610,15;719767,72;727752,01;785263,20;761709,42;811429,74;711124,75;674954,26;752189,94;736670,90;752357,08;789078,64;676818,94;678422,77;789801,15;746702,21;905888,25;849640,73;865271,99;750694,71;786770,88;18724378,65"
"""350020 ADOLFO"";-;-;-;7904,35;15190,42;13055,61;14353,23;16324,59;13330,61;15455,32;17325,62;11772,87;16478,12;17877,29;8770,61;10909,94;9799,49;13138,68;16087,83;16166,10;15861,41;6365,83;14731,99;17982,56;22328,59;15692,60;24900,38;13139,29;364943,33"
"""350030 AGUAI"";-;-;-;88804,76;150047,14;228052,61;265447,47;247246,44;230378,84;209791,25;212458,26;252201,00;237243,28;195522,02;203479,79;231190,50;210482,23;222260,40;236788,77;231931,67;241911,25;228476,92;239004,13;254519,26;263243,36;208392,04;191616,30;201434,53;5481924,22"
"""350040 AGUAS DA PRATA"";-;-;-;31054,95;25802,83;26290,32;22648,52;20387,22;24751,01;554554,79;19105,26;24894,17;10806,09;25517,55;18245,64;45611,22;38642,51;41461,55;54945,41;27011,59;48718,25;40517,17;12311,92;36044,46;11731,88;14262,75;15725,75;-;1191042,81"
"""350050 AGUAS DE LINDOIA"";-;-;-;45620,56;57691,05;58984,52;69226,04;58996,56;59778,84;59298,18;60954,73;54480,24;53168,69;50080,51;52514,83;53047,85;49090,22;52244,96;54622,24;55623,09;52233,83;50151,91;54388,25;52472,58;54089,43;52654,08;48082,62;47087,94;1356583,75"
"""350055 AGUAS DE SANTA BARBARA"";-;-;-;20145,20;23123,98;25630,75;21118,72;37935,04;30449,83;22064,56;25260,14;24908,07;30547,56;26119,44;20811,10;25854,05;32416,01;981223,11;488196,65;27197,47;24796,44;26727,24;18417,92;18808,68;15324,59;15969,04;59998,16;28579,67;2071623,42"
"""350060 AGUAS DE SAO PEDRO"";-;-;-;51162,11;53727,49;57653,80;59155,54;71203,14;65535,03;58748,85;58046,45;86831,12;63260,80;57609,65;53210,03;62476,70;63980,06;86852,57;91696,55;90957,00;82430,69;79629,31;83696,59;82937,59;85659,80;79820,15;85592,25;96368,33;1808241,60"
"""350070 AGUDOS"";-;-;-;160205,25;155182,18;212100,04;234987,56;223134,35;233004,35;192603,30;225822,65;241775,34;233881,96;211116,86;175578,25;159536,88;196024,42;206249,38;213635,73;202060,91;201439,52;172062,11;155381,65;232782,95;232686,80;210344,47;184103,78;162330,18;5028030,87"
"""350075 ALAMBARI"";-;-;-;22930,16;28192,80;27562,28;30022,82;26230,95;30939,59;22815,60;28646,39;26985,47;30352,14;30322,13;12892,27;30237,54;28192,51;23943,15;26029,18;26538,55;23796,40;25005,69;23916,39;24242,55;29539,50;27942,23;18423,74;25679,34;651379,37"
"""350080 ALFREDO MARCONDES"";-;-;-;11116,75;11849,60;4275,00;4500,00;9885,06;17258,66;13957,64;16829,84;21697,63;19404,80;14258,96;11954,66;13290,73;13463,81;14193,54;14917,54;14290,99;16292,88;15270,12;12090,83;19375,79;20893,06;12913,32;12645,05;-;336626,26"
"""350090 ALTAIR"";-;-;-;2350,14;7274,11;4074,28;10622,83;9163,85;8979,69;10940,14;7862,26;7804,42;10128,22;7968,02;5292,51;7608,29;8847,72;3997,17;7901,68;8403,96;9051,54;4104,31;7181,49;6831,74;7355,38;3286,96;4545,40;-;171576,11"
