"""Munic¡pio"";""2023/Out"";""2023/Nov"";""2023/Dez"";""2024/Jan"";""2024/Fev"";""2024/Mar"";""2024/Abr"";""2024/Mai"";""2024/Jun"";""2024/Jul"";""2024/Ago"";""2024/Set"";""2024/Out"";""2024/Nov"";""2024/Dez"";""2025/Jan"";""2025/Fev"";""2025/Mar"";""2025/Abr"";""2025/Mai"";""2025/Jun"";""2025/Jul"";""2025/Ago"";""2025/Set"";""2025/Out"";""2025/Nov"";""2025/Dez"";""2026/Jan"";""Total"""
"""350010 ADAMANTINA"";-;-;-;649980,83;637686,68;654807,68;763984,02;745610,15;719767,72;727752,01;785263,20;761709,42;886799,94;753307,57;683726,62;753725,04;740180,60;752357,08;789078,64;676818,94;678422,77;789801,15;745692,21;948326,25;903652,73;985641,59;750694,71;786770,88;19071558,43"
"""350020 ADOLFO"";-;-;-;7904,35;15190,42;12907,11;14320,35;16324,59;13297,73;15455,32;16841,80;11663,21;16366,04;17502,02;8770,61;10849,23;9084,98;13138,68;16087,83;16166,10;15861,41;6365,83;14731,99;17705,36;22328,59;15690,60;24900,38;13139,29;362593,82"
"""350030 AGUAI"";-;-;-;86035,43;146643,63;215061,68;228468,61;213198,27;207959,54;196687,49;200405,74;220592,99;216529,57;183344,12;191095,92;207068,00;197924,63;204202,36;215129,27;214454,75;211272,88;203908,09;210614,10;228025,76;230704,95;186256,90;171134,14;179111,40;4965830,22"
"""350040 AGUAS DA PRATA"";-;-;-;31054,95;25802,83;26290,32;22648,52;20387,22;24751,01;56446,57;19105,26;24894,17;10806,09;16277,06;18065,64;40973,26;36802,36;27860,17;46395,41;27011,59;46858,42;40197,17;12311,92;36044,46;11731,88;13370,05;14746,01;-;650832,34"
"""350050 AGUAS DE LINDOIA"";-;-;-;44073,08;56117,22;56494,29;62002,71;55600,90;55943,51;55443,92;57164,67;51505,66;49994,56;47887,25;49538,61;50951,80;47057,49;50408,33;49790,01;48326,91;45677,01;44862,77;48661,77;46902,07;49255,86;47808,94;43776,25;43692,81;1258938,40"
"""350055 AGUAS DE SANTA BARBARA"";-;-;-;19285,94;22554,08;24293,17;20101,29;37147,64;28526,08;21284,06;23293,64;24072,49;29873,70;25829,02;20811,10;25717,87;32296,01;34111,77;26314,08;26900,12;24663,20;26552,70;18409,70;18766,65;14644,39;15969,04;59208,19;28555,01;649180,94"
"""350060 AGUAS DE SAO PEDRO"";-;-;-;51162,11;53727,49;57653,80;59155,54;71203,14;65535,03;58748,85;58046,45;86831,12;63260,80;57609,65;53210,03;62476,70;63980,06;86852,57;91696,55;90957,00;82300,69;79629,31;83696,59;82937,59;85639,80;79820,15;68217,75;96368,33;1790717,10"
"""350070 AGUDOS"";-;-;-;151630,26;149906,75;201303,58;210126,42;209087,74;217852,97;182676,82;210127,34;230548,50;217937,56;195165,51;167822,84;152587,49;187931,70;199340,47;201406,44;191503,15;184901,91;164701,84;147194,85;211325,10;210127,95;197982,39;174236,59;154124,49;4721550,66"
"""350075 ALAMBARI"";-;-;-;19335,70;23676,82;23615,63;24750,75;22289,29;25375,81;19389,84;24278,37;22248,49;25185,99;24717,55;11702,49;24685,45;23918,30;19907,62;23016,34;22010,83;19914,18;21036,17;20052,30;21066,95;23638,48;23655,51;17134,07;22375,39;548978,32"
"""350080 ALFREDO MARCONDES"";-;-;-;11116,75;11849,60;4275,00;4500,00;9881,36;12998,57;12417,10;15358,79;20019,18;19157,01;14170,16;11095,70;13285,75;13463,81;13947,60;14785,83;13016,86;14085,46;15270,12;12090,83;19238,63;20893,06;12913,32;12645,05;-;322475,54"
"""350090 ALTAIR"";-;-;-;2350,14;7274,11;4066,88;10085,01;9126,95;8979,69;10940,14;7734,22;7442,38;9919,74;6902,95;5198,75;7546,37;8744,42;3889,33;7803,96;7187,01;8859,90;4104,31;6014,89;6831,74;7355,38;3286,96;4545,40;-;166190,63"
"""350100 ALTINOPOLIS"";-;-;-;119823,72;124042,60;145956,58;164405,76;158846,17;149406,38;130801,33;151276,81;152730,27;146198,74;142180,26;114906,07;126628,93;139145,55;143077,64;153140,92;174296,32;169504,91;165441,92;173763,14;171651,09;180534,43;154602,48;141033,01;146525,20;3739920,23"
"""350110 ALTO ALEGRE"";-;-;-;25835,02;49294,83;44689,01;43950,64;41279,35;26588,35;35741,89;32386,51;35032,80;26047,19;37771,04;16216,92;6370,86;10423,13;6400,49;9441,14;10800,83;3317,76;5170,41;-;37079,38;29414,94;28842,22;28492,46;1232,59;591819,76"
"""350115 ALUMINIO"";-;-;-;90017,48;92117,81;76075,32;116947,76;85556,97;19755,96;98295,39;73308,91;77614,03;67628,74;99091,41;89084,71;96192,28;95039,12;113380,18;90967,16;128550,63;124710,59;109342,77;91648,76;120163,78;126809,39;117119,81;107930,44;103334,14;2410683,54"
"""350120 ALVARES FLORENCE"";-;-;-;23349,21;11785,33;12278,25;17217,42;19915,19;15797,36;21199,85;16499,90;11857,13;11523,93;16844,64;19021,39;23050,59;20808,25;9331,72;20002,35;10697,27;11628,66;17757,97;13711,79;23148,32;10451,27;8157,81;7638,55;8402,53;382076,68"
"""350130 ALVARES MACHADO"";-;-;-;139756,32;141576,29;113377,21;115606,52;196789,11;191348,98;181034,12;202313,20;230379,03;215264,78;218370,79;188794,18;209279,49;220614,96;235434,11;240574,27;243578,34;219168,99;210347,34;227761,37;237600,39;245013,40;309892,55;270659,77;283259,62;5287795,13"
"""350140 ALVARO DE CARVALHO"";-;-;2812,74;-;2900,17;11553,29;11350,21;11627,37;10652,70;12153,55;10421,09;9648,85;12518,43;11370,05;7818,32;6805,40;5311,12;10212,49;8372,10;11031,53;7379,44;7477,46;11587,56;7565,35;8925,76;5475,23;7408,07;4427,72;216806,00"
"""350150 ALVINLANDIA"";-;-;-;-;350,25;396,95;630,45;518,37;-;325,99;-;-;-;-;-;-;-;-;-;-;-;-;-;2475,00;-;-;-;-;4697,01"
"""350160 AMERICANA"";-;-;51303,60;2275503,81;1955781,69;2144356,88;2297674,43;2356791,67;2222511,32;2371746,76;2714106,41;2587870,70;2619279,00;2163074,52;1807642,56;2326063,80;2330579,65;2504985,97;2488471,66;2498754,58;2208085,84;2484175,17;2645289,45;2617715,85;2873717,68;2482664,11;2063328,00;2275808,14;59367283,25"
"""350170 AMERICO BRASILIENSE"";-;-;28,03;512929,51;473926,53;512491,53;583933,94;546557,57;520052,86;528128,75;553848,41;489924,90;529185,90;469636,71;376993,20;470839,23;475284,52;487367,83;420877,82;457506,14;536115,53;520636,70;426704,14;490548,89;524260,02;467114,80;406687,27;315480,17;12097060,90"
"""350180 AMERICO DE CAMPOS"";-;-;-;9480,90;10654,80;14664,47;9906,34;13020,11;13054,55;11906,58;15150,56;11281,20;11034,89;10875,87;13006,16;8928,06;10606,41;11112,36;17061,76;17735,90;20092,28;28537,20;25091,59;25671,97;25821,21;24283,36;22035,41;24622,30;405636,24"
"""350190 AMPARO"";789,12;1907,22;8610,78;1016003,58;1036710,49;1054182,43;1335183,88;1215916,41;1135147,71;1186899,12;1199558,87;1183108,77;1297301,71;1244055,20;1088803,73;1230777,44;1186614,57;1204973,80;1204044,84;1206743,81;1185700,29;1331721,67;1210746,65;1197400,69;1332117,67;1227586,06;1189310,91;1365427,73;30077345,15"
"""350200 ANALANDIA"";-;-;-;9836,46;9406,39;8903,09;12245,29;10239,11;15700,35;11408,19;13094,73;12165,48;13892,53;13037,12;16876,93;12516,09;15052,22;13534,12;11846,50;10117,44;9540,56;12425,72;-;-;-;-;-;-;231838,32"
"""350210 ANDRADINA"";-;-;-;515996,15;423423,79;583381,97;650078,10;705678,26;686135,00;532321,02;645688,23;747901,28;620117,78;703457,51;634898,67;585383,48;616694,86;671635,42;725203,00;844801,56;988161,18;867622,87;913259,92;913340,47;805818,96;717774,55;713539,55;480908,31;17293221,89"
"""350220 ANGATUBA"";-;-;-;151482,81;146402,51;186189,02;246508,38;224230,75;206822,17;203852,90;211408,13;223963,25;223760,82;207955,76;178321,80;188445,54;187465,88;146473,54;183021,91;235847,92;200850,26;198912,04;205591,04;211596,24;211679,12;197518,93;178955,89;200580,63;4957837,24"
