"""Munic¡pio"";""Eletivo"";""Urgˆncia"";""Acid local trab"";""Acid trajeto"";""Outros ac trab"";""Outras caus ext"";""Total"""
"""350010 ADAMANTINA"";6776;13192;-;-;1;-;19969"
"""350030 AGUAI"";8;1350;-;-;-;-;1358"
"""350050 AGUAS DE LINDOIA"";1;4971;-;-;1;-;4973"
"""350070 AGUDOS"";1663;3268;-;-;-;-;4931"
"""350100 ALTINOPOLIS"";284;6551;-;-;-;-;6835"
"""350110 ALTO ALEGRE"";244;2;-;-;-;-;246"
"""350130 ALVARES MACHADO"";7;3143;-;-;-;-;3150"
"""350160 AMERICANA"";6822;25534;-;-;-;-;32356"
"""350170 AMERICO BRASILIENSE"";26032;1668;-;-;-;-;27700"
"""350190 AMPARO"";1998;17190;-;-;-;-;19188"
"""350210 ANDRADINA"";994;11872;-;-;-;-;12866"
"""350220 ANGATUBA"";750;5632;-;-;-;-;6382"
"""350250 APARECIDA"";10763;7363;-;-;-;-;18126"
"""350260 APARECIDA D'OESTE"";-;265;-;-;-;-;265"
"""350270 APIAI"";3065;8563;-;-;-;-;11628"
"""350280 ARACATUBA"";6101;47788;-;-;150;-;54039"
"""350310 ARANDU"";1;391;-;-;-;-;392"
"""350320 ARARAQUARA"";19205;52125;-;-;1154;37;72521"
"""350330 ARARAS"";5699;20575;-;-;-;-;26274"
"""350340 AREALVA"";5;709;-;-;-;-;714"
"""350390 ARUJA"";2;5740;-;-;-;-;5742"
"""350400 ASSIS"";14099;22651;-;-;442;1744;38936"
"""350410 ATIBAIA"";2761;15462;-;-;-;-;18223"
"""350420 AURIFLAMA"";5028;2837;-;-;-;-;7865"
"""350450 AVARE"";4330;19463;-;-;296;7026;31115"
"""350520 BARIRI"";1253;6187;-;-;1;-;7441"
"""350530 BARRA BONITA"";1420;6498;-;-;-;-;7918"
"""350550 BARRETOS"";83121;37821;-;-;-;-;120942"
"""350570 BARUERI"";47307;101977;-;-;1;1;149286"
"""350580 BASTOS"";844;4373;-;-;-;-;5217"
"""350590 BATATAIS"";2475;15360;-;-;-;-;17835"
"""350600 BAURU"";53724;111839;-;-;-;-;165563"
"""350610 BEBEDOURO"";10393;15337;-;-;-;-;25730"
"""350630 BERNARDINO DE CAMPOS"";44;2581;-;-;-;-;2625"
"""350635 BERTIOGA"";2819;10007;-;-;-;-;12826"
"""350640 BILAC"";-;773;-;-;-;-;773"
"""350650 BIRIGUI"";1252;17664;-;-;-;-;18916"
"""350670 BOA ESPERANCA DO SUL"";-;219;-;-;-;-;219"
"""350680 BOCAINA"";-;668;-;-;-;-;668"
"""350700 BOITUVA"";2058;8178;-;-;-;-;10236"
"""350710 BOM JESUS DOS PERDOES"";-;838;-;-;-;-;838"
"""350740 BORBOREMA"";523;2678;-;-;-;1;3202"
"""350750 BOTUCATU"";16964;95385;-;-;-;-;112349"
"""350760 BRAGANCA PAULISTA"";21464;51684;-;-;-;-;73148"
"""350790 BROTAS"";133;2583;-;-;19;387;3122"
"""350810 BURITAMA"";573;2777;-;-;-;-;3350"
"""350840 CABREUVA"";37;2080;-;-;-;-;2117"
"""350850 CACAPAVA"";2009;11813;-;-;-;-;13822"
"""350860 CACHOEIRA PAULISTA"";1528;-;-;-;-;-;1528"
"""350870 CACONDE"";2335;3076;-;-;-;-;5411"
"""350880 CAFELANDIA"";190;3168;-;-;-;-;3358"
"""350900 CAIEIRAS"";2;17531;-;-;-;-;17533"
"""350920 CAJAMAR"";1207;10854;-;-;-;-;12061"
"""350930 CAJOBI"";90;1828;-;-;-;-;1918"
"""350940 CAJURU"";2021;10506;-;-;-;-;12527"
"""350950 CAMPINAS"";118962;226818;-;-;3;1;345784"
"""350960 CAMPO LIMPO PAULISTA"";746;15275;-;-;-;-;16021"
"""350970 CAMPOS DO JORDAO"";3493;7934;-;-;-;-;11427"
"""351000 CANDIDO MOTA"";3829;4936;-;-;-;-;8765"
"""351020 CAPAO BONITO"";1632;9437;-;-;-;-;11069"
"""351040 CAPIVARI"";2571;8088;-;-;-;-;10659"
"""351050 CARAGUATATUBA"";38047;46277;-;-;-;-;84324"
"""351060 CARAPICUIBA"";25992;50808;-;-;-;-;76800"
"""351070 CARDOSO"";375;1459;-;-;-;-;1834"
"""351080 CASA BRANCA"";3538;4824;-;-;-;-;8362"
"""351100 CASTILHO"";807;1705;-;-;-;-;2512"
"""351110 CATANDUVA"";17285;51625;-;-;343;1211;70464"
"""351140 CERQUEIRA CESAR"";1149;4554;-;-;-;-;5703"
"""351150 CERQUILHO"";523;2303;-;-;-;-;2826"
"""351160 CESARIO LANGE"";620;1396;-;-;-;-;2016"
"""351170 CHARQUEADA"";2;1344;-;-;-;-;1346"
"""351190 CLEMENTINA"";94;975;-;-;-;-;1069"
"""351200 COLINA"";723;3728;-;-;-;-;4451"
"""351210 COLOMBIA"";2;58;-;-;-;-;60"
"""351220 CONCHAL"";2327;5798;-;-;-;-;8125"
"""351230 CONCHAS"";-;1623;-;-;-;-;1623"
"""351280 COSMOPOLIS"";966;5918;-;-;-;-;6884"
"""351300 COTIA"";13381;36655;-;-;1656;4470;56162"
"""351310 CRAVINHOS"";245;1164;-;-;-;-;1409"
"""351340 CRUZEIRO"";2054;20221;-;-;-;-;22275"
"""351350 CUBATAO"";5130;18428;-;-;1;-;23559"
"""351360 CUNHA"";918;4221;-;-;-;-;5139"
"""351370 DESCALVADO"";2193;4571;-;-;-;-;6764"
