"""Munic¡pio"";""Cap 01"";""Cap 02"";""Cap 03"";""Cap 04"";""Cap 05"";""Cap 06"";""Cap 07"";""Cap 08"";""Cap 09"";""Cap 10"";""Cap 11"";""Cap 12"";""Cap 13"";""Cap 14"";""Cap 15"";""Cap 16"";""Cap 17"";""Cap 18"";""Cap 19"";""Cap 21"";""Total"""
"""350010 ADAMANTINA"";15710;790;1096;1130;141015;549;5;129;8999;9415;7329;1059;805;4089;4633;249;8;958;6990;278;205236"
"""350030 AGUAI"";394;18;14;399;150;114;-;13;971;2788;251;356;45;1730;7;-;3;40;64;127;7484"
"""350050 AGUAS DE LINDOIA"";2998;756;213;235;620;106;10;19;2265;3931;1504;370;63;804;1530;151;5;160;1115;44;16899"
"""350070 AGUDOS"";414;95;24;66;2;70;1;16;469;787;1448;199;190;779;2656;108;3;32;1299;566;9224"
"""350100 ALTINOPOLIS"";442;478;181;639;1711;133;3;27;2424;2770;831;279;201;1504;170;59;2;100;1413;1;13368"
"""350110 ALTO ALEGRE"";165;38;16;211;24;24;-;-;83;401;20;57;6;115;3;1;-;41;-;16;1221"
"""350130 ALVARES MACHADO"";2345;68;132;1577;455;99;1;3;2411;2363;818;196;66;1310;-;-;3;383;331;18;12579"
"""350160 AMERICANA"";12251;6499;1628;3438;32184;2374;220;278;24302;26745;17490;4618;1550;11474;13353;7465;315;2488;22886;886;192444"
"""350170 AMERICO BRASILIENSE"";75971;3562;2674;4782;790;1299;298;223;9205;19302;9631;2283;809;12076;2;-;101;1919;1051;214;146192"
"""350190 AMPARO"";5526;1532;707;1094;231798;250;21;58;5987;9146;4843;1339;749;3871;5350;334;42;1524;7041;233;281445"
"""350210 ANDRADINA"";5396;2012;1057;1639;211;2221;20;35;8287;11361;4847;718;615;5692;4158;329;30;1092;1851;799;52370"
"""350220 ANGATUBA"";2070;830;620;852;327;599;10;24;2472;8497;1226;1088;75;2663;2448;86;2;183;594;659;25325"
"""350250 APARECIDA"";12516;4452;1198;769;80;410;175;121;9088;10241;3736;2075;402;9347;-;62;29;220;3391;60;58372"
"""350260 APARECIDA D'OESTE"";321;-;21;48;8;-;-;-;21;279;11;9;4;61;1;-;-;14;-;-;798"
"""350270 APIAI"";2061;485;989;1261;491;163;24;55;4534;8188;4228;1066;166;3784;4659;572;44;257;886;1632;35545"
"""350280 ARACATUBA"";18809;38653;2203;6255;16296;88578;88;678;57639;53379;29160;7607;6885;24158;15414;24614;2064;2170;50996;1223;446869"
