"""Munic¡pio"";""Menor 1 ano"";""1 a 4 anos"";""5 a 9 anos"";""10 a 14 anos"";""15 a 19 anos"";""20 a 29 anos"";""30 a 39 anos"";""40 a 49 anos"";""50 a 59 anos"";""60 a 69 anos"";""70 a 79 anos"";""80 anos e mais"";""Idade ignorada"";""Total"""
"""350010 ADAMANTINA"";330;345;376;281;621;2875;2777;2533;2718;2799;2196;2118;-;19969"
"""350030 AGUAI"";-;-;-;4;14;64;84;87;190;268;345;302;-;1358"
"""350050 AGUAS DE LINDOIA"";143;169;96;75;205;760;560;384;452;618;672;839;-;4973"
"""350070 AGUDOS"";72;150;177;115;303;1153;925;589;485;498;259;205;-;4931"
"""350100 ALTINOPOLIS"";133;251;206;186;246;894;778;700;632;953;1030;826;-;6835"
"""350110 ALTO ALEGRE"";1;3;-;-;6;5;10;19;40;41;53;68;-;246"
"""350130 ALVARES MACHADO"";26;-;-;-;30;236;260;357;497;515;611;618;-;3150"
"""350160 AMERICANA"";1239;617;655;398;1113;4790;4479;3549;3716;4661;3927;3212;-;32356"
"""350170 AMERICO BRASILIENSE"";47;227;492;238;406;1505;2316;3456;4330;6812;5812;2059;-;27700"
"""350190 AMPARO"";290;244;193;135;637;3165;3033;2423;2316;2391;2167;2194;-;19188"
"""350210 ANDRADINA"";388;369;293;175;487;2012;1511;1064;1398;1732;1877;1560;-;12866"
"""350220 ANGATUBA"";218;332;193;73;287;991;813;556;623;826;764;706;-;6382"
"""350250 APARECIDA"";124;193;206;153;269;796;1505;2924;3072;3826;3331;1727;-;18126"
"""350260 APARECIDA D'OESTE"";-;2;-;1;2;18;28;26;44;35;46;63;-;265"
"""350270 APIAI"";627;531;331;211;521;2037;1798;1317;1153;1069;1084;949;-;11628"
"""350280 ARACATUBA"";4599;2703;2272;1150;1265;4779;4767;4816;7046;8794;7152;4696;-;54039"
"""350310 ARANDU"";-;5;4;-;4;13;32;28;63;61;97;85;-;392"
"""350320 ARARAQUARA"";2183;964;1004;799;2342;10091;9125;8410;10207;12546;9643;5207;-;72521"
"""350330 ARARAS"";1547;533;459;345;932;4003;3640;2888;3220;3879;3005;1823;-;26274"
"""350340 AREALVA"";2;1;2;6;46;96;64;44;80;103;133;137;-;714"
"""350390 ARUJA"";173;-;-;33;459;1931;1105;397;325;439;499;381;-;5742"
"""350400 ASSIS"";1868;973;902;669;1438;5721;5228;4639;5128;5604;4196;2570;-;38936"
"""350410 ATIBAIA"";672;503;583;298;855;3250;2556;1878;1671;1985;1907;2065;-;18223"
"""350420 AURIFLAMA"";30;38;95;167;174;846;1344;1410;1121;1054;832;754;-;7865"
"""350450 AVARE"";808;807;772;623;1373;5620;4757;3797;3408;3846;3123;2181;-;31115"
"""350520 BARIRI"";190;213;173;99;375;1292;963;722;701;916;876;921;-;7441"
"""350530 BARRA BONITA"";232;190;166;112;312;1011;804;822;995;1202;1023;1049;-;7918"
"""350550 BARRETOS"";2968;3513;3886;3178;4039;9793;11415;15478;19953;23784;15936;6999;-;120942"
"""350570 BARUERI"";10061;8007;5945;3355;4868;21132;19760;17903;17223;19457;15022;6553;-;149286"
"""350580 BASTOS"";217;563;248;151;148;460;533;537;618;649;561;532;-;5217"
"""350590 BATATAIS"";627;937;543;305;597;2351;2053;1643;1762;2596;2557;1864;-;17835"
"""350600 BAURU"";9708;7218;7744;5994;7077;21867;17930;16353;18731;24315;18279;10347;-;165563"
"""350610 BEBEDOURO"";752;663;702;463;876;3607;3478;3205;3515;3496;2747;2226;-;25730"
"""350630 BERNARDINO DE CAMPOS"";90;106;41;32;37;153;166;223;262;383;536;596;-;2625"
"""350635 BERTIOGA"";644;696;423;250;678;2525;1880;1487;1202;1361;1122;558;-;12826"
"""350640 BILAC"";8;18;14;6;15;33;53;52;89;113;167;205;-;773"
"""350650 BIRIGUI"";955;637;358;290;932;3770;2902;1745;1851;1941;1826;1709;-;18916"
"""350670 BOA ESPERANCA DO SUL"";1;2;-;-;4;9;9;13;20;32;77;52;-;219"
