"""Regi∆o de Sa£de/Munic°pio"";""2021"";""2022"";""2023"";""2024"";""2025"";""2026"";""Total"""
"""35011 Alto do Tietà"";3267;111407;117411;124693;129580;7805;494163"
""".....  GUARULHOS"";1341;46741;52806;55841;57185;3543;217457"
""".....  FERRAZ DE VASCONCELOS"";498;10135;6809;6562;7598;42;31644"
""".....  SANTA ISABEL"";49;2109;2167;2247;2098;137;8807"
""".....  SUZANO"";34;4320;4607;8089;9258;594;26902"
""".....  GUARAREMA"";14;977;1028;1186;1330;117;4652"
""".....  ARUJA"";27;1719;1726;1843;427;-;5742"
""".....  MOGI DAS CRUZES"";979;30121;32322;33149;36491;2368;135430"
""".....  ITAQUAQUECETUBA"";316;14906;15492;15252;14818;969;61753"
""".....  SALESOPOLIS"";9;379;454;524;375;35;1776"
"""35012 Franco da Rocha"";944;26779;29595;31931;33143;2021;124413"
""".....  FRANCISCO MORATO"";412;10390;11018;12241;13376;967;48404"
""".....  CAJAMAR"";27;2182;2823;3284;3621;124;12061"
""".....  CAIEIRAS"";173;4080;4047;4273;4787;173;17533"
""".....  MAIRIPORA"";22;2145;2574;3458;2949;212;11360"
""".....  FRANCO DA ROCHA"";310;7982;9133;8675;8410;545;35055"
"""35013 Mananciais"";1882;53880;55959;59510;55390;3367;229988"
""".....  ITAPECERICA DA SERRA"";752;15890;16522;17152;17208;1160;68684"
""".....  COTIA"";229;12966;14022;14419;13623;903;56162"
""".....  JUQUITIBA"";1;4;-;-;-;-;5"
""".....  EMBU-GUACU"";-;1488;1721;1460;1224;92;5985"
""".....  EMBU DAS ARTES"";200;4354;4104;4186;3042;-;15886"
""".....  TABOAO DA SERRA"";700;19178;19590;22293;20293;1212;83266"
"""35014 Rota dos Bandeirantes"";3721;95472;100247;105852;104136;5718;415146"
""".....  BARUERI"";1026;34253;35051;37531;38951;2474;149286"
""".....  OSASCO"";1611;24706;25951;28071;27919;960;109218"
""".....  SANTANA DE PARNAIBA"";465;3251;3708;4027;3571;16;15038"
""".....  ITAPEVI"";180;14924;16193;16118;16270;1119;64804"
""".....  CARAPICUIBA"";439;18338;19344;20105;17425;1149;76800"
"""35015 Grande ABC"";9509;134597;140714;139264;139670;5924;569678"
""".....  SANTO ANDRE"";5126;49304;52145;50742;45274;1526;204117"
""".....  SAO BERNARDO DO CAMPO"";661;36410;37610;36175;42038;2405;155299"
""".....  DIADEMA"";1856;23195;22656;23736;22529;818;94790"
""".....  RIBEIRAO PIRES"";197;2085;2161;2052;1816;139;8450"
""".....  MAUA"";1209;12598;14243;14191;14073;450;56764"
""".....  SAO CAETANO DO SUL"";460;11005;11899;12368;13940;586;50258"
"""35016 S∆o Paulo"";33999;638742;675614;725851;739819;37880;2851905"
""".....  SAO PAULO"";33999;638742;675614;725851;739819;37880;2851905"
"""35021 Central do DRS II"";414;16600;16903;17658;19164;1204;71943"
""".....  GUARARAPES"";11;1309;1432;1650;1675;114;6191"
""".....  AURIFLAMA"";5;1328;1353;2274;2704;201;7865"
""".....  BILAC"";15;187;132;213;211;15;773"
""".....  ARACATUBA"";373;13186;13240;12754;13664;822;54039"
""".....  VALPARAISO"";10;590;746;767;910;52;3075"
"""35022 Lagos do DRS II"";315;10555;10050;11523;12598;766;45807"
""".....  SUD MENNUCCI"";-;257;303;288;270;16;1134"
""".....  GUARACAI"";25;402;425;582;572;26;2032"
""".....  MIRANDOPOLIS"";73;3243;2839;3664;3494;191;13504"
""".....  PEREIRA BARRETO"";52;1258;981;848;923;58;4120"
""".....  ILHA SOLTEIRA"";93;1966;2346;2326;2740;168;9639"
""".....  CASTILHO"";2;415;425;417;1185;68;2512"
""".....  ANDRADINA"";70;3014;2731;3398;3414;239;12866"
"""35023 Cons¢rcios do DRS II"";124;10712;10517;11338;12562;744;45997"
""".....  CLEMENTINA"";2;269;222;282;285;9;1069"
""".....  ALTO ALEGRE"";1;79;52;27;82;5;246"
""".....  PENAPOLIS"";59;5058;5151;5796;5992;360;22416"
""".....  BURITAMA"";3;602;637;685;1335;88;3350"
""".....  BIRIGUI"";59;4704;4455;4548;4868;282;18916"
"""35031 Central do DRS III"";581;20802;21616;28558;27308;1575;100440"
""".....  BOA ESPERANCA DO SUL"";-;41;37;43;89;9;219"
""".....  ARARAQUARA"";547;13864;15235;21329;20498;1048;72521"
""".....  AMERICO BRASILIENSE"";34;6897;6344;7186;6721;518;27700"
"""35032 Coraá∆o do DRS III"";726;20012;22030;23944;26268;1669;94649"
""".....  DESCALVADO"";5;1618;1414;1783;1833;111;6764"
""".....  SAO CARLOS"";694;15227;17465;19057;20532;1307;74282"
""".....  IBATE"";3;889;835;826;1035;56;3644"
""".....  PORTO FERREIRA"";20;1952;2022;2009;2532;168;8703"
""".....  RIBEIRAO BONITO"";4;326;294;269;336;27;1256"
"""35033 Noroeste do DRS III"";388;19177;19137;19943;21044;1410;81099"
""".....  MATAO"";87;5266;5239;6007;6425;427;23451"
""".....  BORBOREMA"";4;825;678;757;903;35;3202"
""".....  TAQUARITINGA"";126;4572;4869;4706;4424;257;18954"
""".....  IBITINGA"";56;4233;4150;4525;4637;395;17996"
""".....  ITAPOLIS"";19;3388;3145;2849;3376;224;13001"
""".....  NOVA EUROPA"";1;242;217;259;348;26;1093"
""".....  TABATINGA"";95;651;839;840;931;46;3402"
"""35041 Baixada Santista"";3962;80574;86210;90565;90484;5131;356926"
""".....  GUARUJA"";200;11634;12211;14161;13581;967;52754"
""".....  BERTIOGA"";37;3041;3192;3220;3336;-;12826"
""".....  SAO VICENTE"";178;9547;11237;10754;9571;521;41808"
""".....  CUBATAO"";275;5011;4848;6494;6534;397;23559"
""".....  PERUIBE"";-;770;618;-;-;-;1388"
""".....  MONGAGUA"";39;937;1059;954;1079;63;4131"
""".....  ITANHAEM"";155;10137;10907;12469;11879;841;46388"
""".....  SANTOS"";2954;32068;32013;32798;34084;1602;135519"
""".....  PRAIA GRANDE"";124;7429;10125;9715;10420;740;38553"
"""35051 Norte - Barretos"";1413;31849;37421;39459;41025;2191;153358"
""".....  COLINA"";50;922;1137;1194;1070;78;4451"
""".....  BARRETOS"";1323;25750;29551;30697;32019;1602;120942"
""".....  CAJOBI"";5;324;480;507;560;42;1918"
""".....  COLOMBIA"";-;15;13;19;13;-;60"
""".....  JABORANDI"";1;86;58;64;52;3;264"
""".....  OLIMPIA"";30;2741;3556;3821;3847;278;14273"
""".....  GUAIRA"";4;2011;2626;3157;3464;188;11450"
"""35052 Sul - Barretos"";94;5233;6642;9704;10965;750;33388"
""".....  BEBEDOURO"";69;3307;4863;7953;8956;582;25730"
""".....  TERRA ROXA"";-;142;101;53;37;-;333"
