"""Munic¡pio"";""2021"";""2022"";""2023"";""2024"";""2025"";""2026"";""Total"""
"""350010 ADAMANTINA"";46;2632;2884;3103;3292;203;12160"
"""350020 ADOLFO"";45;402;449;556;646;37;2135"
"""350030 AGUAI"";50;1687;2242;2662;2722;145;9508"
"""350040 AGUAS DA PRATA"";9;452;478;489;590;34;2052"
"""350050 AGUAS DE LINDOIA"";174;1548;1680;1977;1621;69;7069"
"""350055 AGUAS DE SANTA BARBARA"";66;390;383;390;361;20;1610"
"""350060 AGUAS DE SAO PEDRO"";5;220;230;353;366;31;1205"
"""350070 AGUDOS"";34;2790;2880;3102;3056;180;12042"
"""350075 ALAMBARI"";2;380;349;398;394;25;1548"
"""350080 ALFREDO MARCONDES"";13;488;433;431;550;31;1946"
"""350090 ALTAIR"";11;227;244;311;306;16;1115"
"""350100 ALTINOPOLIS"";62;2511;3043;3316;3488;42;12462"
"""350110 ALTO ALEGRE"";6;285;274;309;302;21;1197"
"""350115 ALUMINIO"";6;606;563;580;630;48;2433"
"""350120 ALVARES FLORENCE"";10;356;339;429;523;36;1693"
"""350130 ALVARES MACHADO"";51;2334;2543;2512;2792;236;10468"
"""350140 ALVARO DE CARVALHO"";19;229;271;297;251;23;1090"
"""350150 ALVINLANDIA"";6;223;237;235;289;26;1016"
"""350160 AMERICANA"";822;7695;8359;10224;11360;634;39094"
"""350170 AMERICO BRASILIENSE"";53;2425;2454;2931;2904;121;10888"
"""350180 AMERICO DE CAMPOS"";17;403;436;549;648;28;2081"
"""350190 AMPARO"";136;3591;3783;4228;4629;276;16643"
"""350200 ANALANDIA"";4;262;253;295;281;23;1118"
"""350210 ANDRADINA"";80;3194;3057;3750;3776;255;14112"
"""350220 ANGATUBA"";23;1988;1880;1925;2351;137;8304"
"""350230 ANHEMBI"";24;410;437;448;434;24;1777"
"""350240 ANHUMAS"";5;462;443;441;550;30;1931"
"""350250 APARECIDA"";65;2369;2544;2496;2576;181;10231"
"""350260 APARECIDA D'OESTE"";20;406;385;398;446;34;1689"
"""350270 APIAI"";32;1810;1779;1967;2367;145;8100"
