"""Munic¡pio"";""Cap 01"";""Cap 02"";""Cap 03"";""Cap 04"";""Cap 05"";""Cap 06"";""Cap 07"";""Cap 08"";""Cap 09"";""Cap 10"";""Cap 11"";""Cap 12"";""Cap 13"";""Cap 14"";""Cap 15"";""Cap 16"";""Cap 17"";""Cap 18"";""Cap 19"";""Cap 21"";""Total"""
"""350010 ADAMANTINA"";1653;565;211;376;3095;192;2;37;2185;1789;2370;398;365;1270;2356;120;15;403;2266;301;19969"
"""350030 AGUAI"";93;7;3;76;5;25;-;1;213;486;50;50;8;304;1;-;1;17;8;10;1358"
"""350050 AGUAS DE LINDOIA"";444;170;116;60;212;40;4;7;631;800;470;89;28;276;946;53;4;92;485;46;4973"
"""350070 AGUDOS"";105;63;5;23;1;73;1;6;238;324;807;72;110;316;1386;42;4;30;865;460;4931"
"""350100 ALTINOPOLIS"";175;122;68;184;419;94;487;43;859;719;600;99;80;467;481;37;1;90;1804;6;6835"
"""350110 ALTO ALEGRE"";65;6;6;31;7;1;-;-;14;71;7;3;3;21;1;1;-;7;-;2;246"
"""350130 ALVARES MACHADO"";531;21;45;286;172;37;1;2;611;482;297;32;27;319;1;-;2;117;160;7;3150"
"""350160 AMERICANA"";1495;1872;196;587;1487;284;108;56;3529;3157;4306;701;323;2761;5268;752;144;592;4094;644;32356"
"""350170 AMERICO BRASILIENSE"";1733;1108;361;742;141;362;6967;188;2124;3650;5083;448;580;3087;1;-;175;398;412;140;27700"
"""350190 AMPARO"";959;591;469;324;4817;173;400;14;1231;1761;1884;240;239;933;2705;144;27;367;1810;100;19188"
"""350210 ANDRADINA"";803;388;335;290;60;423;3;9;1608;1872;1476;164;224;1247;2195;131;25;472;760;381;12866"
"""350220 ANGATUBA"";344;136;134;147;81;102;4;12;519;1358;577;222;21;561;1319;40;2;102;246;455;6382"
"""350250 APARECIDA"";1036;1478;295;202;24;263;2919;28;2491;1816;1991;505;236;3079;-;27;10;89;1355;282;18126"
"""350260 APARECIDA D'OESTE"";113;-;12;18;6;-;-;-;8;74;5;2;2;18;1;-;-;6;-;-;265"
"""350270 APIAI"";459;157;225;255;130;96;4;15;965;1998;1452;903;113;1106;2098;180;42;63;389;978;11628"
"""350280 ARACATUBA"";2232;6873;283;756;27;2329;453;142;7083;6582;5526;1064;949;3483;4582;2215;264;609;8297;290;54039"
"""350310 ARANDU"";67;-;5;38;1;4;-;-;84;154;1;1;-;36;-;-;-;1;-;-;392"
"""350320 ARARAQUARA"";2314;9452;527;846;2322;1292;1804;57;10611;4386;7100;760;1915;4092;10267;1346;395;4387;6435;2213;72521"
"""350330 ARARAS"";1223;1794;84;358;47;272;15;37;4095;2556;3101;275;209;2159;4795;1031;98;519;2481;1125;26274"
"""350340 AREALVA"";17;28;10;8;45;8;2;2;99;92;41;12;7;81;119;-;1;33;105;4;714"
"""350390 ARUJA"";247;23;71;122;38;31;1;2;496;410;219;79;11;237;3097;164;3;93;359;39;5742"
"""350400 ASSIS"";2235;3175;379;408;1011;367;6;13;4723;2766;5523;451;726;3805;6037;1133;134;695;4144;1205;38936"
"""350410 ATIBAIA"";691;541;136;336;67;124;6;26;1544;2692;1543;423;212;2003;3600;258;35;443;2871;672;18223"
"""350420 AURIFLAMA"";402;739;175;443;-;3;-;-;209;837;1807;97;3;1050;435;5;2;451;26;1181;7865"
"""350450 AVARE"";1225;893;77;399;55;509;1;13;3264;1985;4103;330;920;2176;5635;398;33;447;7550;1102;31115"
"""350520 BARIRI"";492;89;131;246;288;127;1;7;661;1074;1104;135;98;531;1600;34;6;123;626;68;7441"
"""350530 BARRA BONITA"";421;133;141;183;21;113;3;8;863;1347;1477;227;59;663;1030;95;6;122;883;123;7918"
"""350550 BARRETOS"";4167;57647;454;6591;1955;1462;346;112;8650;5340;6864;976;1982;7820;5989;1735;850;803;5948;1251;120942"
"""350570 BARUERI"";5772;4842;921;1696;2620;1551;9794;312;14123;17467;20186;10099;2386;13178;20484;2846;700;4912;10284;5113;149286"
"""350580 BASTOS"";1244;75;257;319;1;7;-;1;477;1320;504;15;5;619;95;37;-;32;78;131;5217"
"""350590 BATATAIS"";1070;359;270;398;116;249;1456;24;1430;2302;2044;227;611;932;2195;87;23;848;2716;478;17835"
"""350600 BAURU"";5117;16669;658;1844;974;1419;3476;1576;16997;11841;18518;5940;3647;15604;17725;5756;9079;3477;22384;2855;165556"
"""350610 BEBEDOURO"";1309;599;360;462;74;296;27;41;1774;2257;4830;432;1208;3039;3100;410;114;921;3449;1026;25728"
"""350630 BERNARDINO DE CAMPOS"";542;77;59;87;130;31;1;1;364;617;238;37;53;247;6;37;-;15;83;-;2625"
"""350635 BERTIOGA"";767;529;251;273;318;126;777;18;1094;1359;684;369;133;887;2789;202;22;48;1282;898;12826"
"""350640 BILAC"";84;11;13;19;15;16;2;1;68;239;62;9;9;126;6;-;-;25;61;5;771"
"""350650 BIRIGUI"";1243;139;418;168;18;85;3;42;1284;2620;1941;489;223;1157;4995;315;18;183;3502;73;18916"
"""350670 BOA ESPERANCA DO SUL"";19;11;5;16;-;1;-;-;32;67;8;6;3;45;-;-;-;2;3;1;219"
"""350680 BOCAINA"";30;41;18;13;3;10;-;-;101;240;94;81;-;33;1;-;2;1;-;-;668"
"""350700 BOITUVA"";277;212;108;163;97;66;3;17;994;1350;976;347;115;845;2738;261;33;98;831;705;10236"
"""350710 BOM JESUS DOS PERDOES"";96;-;16;86;12;10;-;-;107;262;36;49;9;141;-;-;-;11;2;1;838"
"""350740 BORBOREMA"";405;102;84;115;39;17;-;3;348;520;536;175;32;413;310;12;1;37;49;4;3202"
"""350750 BOTUCATU"";11186;12294;496;1888;2470;2313;2084;225;15092;11399;11417;1237;1481;9070;9976;3592;1167;2670;9990;2302;112349"
"""350760 BRAGANCA PAULISTA"";2150;4270;380;784;708;860;4956;152;8680;4807;7183;827;1414;6586;11768;1793;562;1069;9439;4760;73148"
"""350790 BROTAS"";289;57;38;66;3;4;1;-;176;907;61;45;25;142;651;47;1;3;491;115;3122"
"""350810 BURITAMA"";292;69;125;85;24;13;2;6;260;921;682;18;2;305;359;46;1;25;107;8;3350"
"""350840 CABREUVA"";91;7;10;22;50;7;-;1;125;391;36;32;5;164;1003;28;-;53;10;82;2117"
"""350850 CACAPAVA"";580;285;112;461;50;143;4;27;1724;1736;1880;271;129;1458;1919;117;20;449;1947;509;13821"
"""350860 CACHOEIRA PAULISTA"";100;87;61;93;4;17;5;3;294;291;103;77;12;228;-;-;1;26;126;-;1528"
"""350870 CACONDE"";270;96;131;461;76;67;-;1;972;725;1194;64;30;894;3;1;12;125;152;137;5411"
"""350880 CAFELANDIA"";194;1;53;176;13;310;3;4;354;766;245;78;56;368;406;17;1;4;304;5;3358"
"""350900 CAIEIRAS"";501;69;73;167;60;141;-;5;873;1679;253;144;2;597;9340;1229;33;2313;9;45;17533"
"""350920 CAJAMAR"";409;222;170;258;714;146;20;31;1115;1476;675;236;84;600;2479;16;3;529;1646;1232;12061"
"""350930 CAJOBI"";326;409;18;20;-;1;-;1;53;405;140;6;2;356;113;-;-;2;27;39;1918"
"""350940 CAJURU"";901;288;86;613;785;145;2;30;1195;1963;1847;493;283;1215;1284;62;16;145;895;279;12527"
"""350950 CAMPINAS"";19902;37022;4736;5164;5250;6977;14043;1559;38314;34572;30468;5504;6639;27239;40428;7722;6452;12153;27240;14392;345776"
"""350960 CAMPO LIMPO PAULISTA"";803;221;122;357;46;271;-;15;1739;2184;1167;289;73;1248;4289;167;20;108;1743;1159;16021"
"""350970 CAMPOS DO JORDAO"";1555;142;92;305;152;80;-;7;941;1670;890;93;39;1332;3149;285;50;280;94;270;11426"
"""351000 CANDIDO MOTA"";374;429;171;219;48;78;-;7;1372;930;1798;404;84;876;665;23;28;86;511;662;8765"
"""351020 CAPAO BONITO"";535;117;267;257;36;73;407;13;992;2067;1065;69;68;878;2899;184;10;300;337;495;11069"
"""351040 CAPIVARI"";488;441;71;242;87;77;12;15;1285;1137;975;258;89;837;2394;88;31;327;1259;546;10659"
"""351050 CARAGUATATUBA"";2419;9833;289;549;660;834;4991;62;8257;6105;13354;5942;2145;8664;8153;1328;574;879;8193;1081;84312"
"""351060 CARAPICUIBA"";2522;3571;549;1105;1043;1096;281;62;8749;6100;10781;3837;1865;3484;16675;3444;724;1012;8011;1886;76797"
"""351070 CARDOSO"";151;8;60;119;-;1;-;1;50;547;356;54;35;436;1;-;-;12;2;1;1834"
"""351080 CASA BRANCA"";675;160;99;333;1109;74;234;9;987;751;1119;193;436;883;5;10;19;131;915;220;8362"
"""351100 CASTILHO"";120;54;20;94;53;44;-;-;740;522;285;49;3;330;6;-;-;147;45;-;2512"
"""351110 CATANDUVA"";3843;6479;474;1213;4995;1475;1347;45;9584;6075;5581;1229;1636;6139;6474;1830;442;806;9392;1403;70462"
"""351140 CERQUEIRA CESAR"";247;191;133;271;269;61;317;2;478;824;644;222;49;573;968;86;5;58;229;76;5703"
"""351150 CERQUILHO"";148;70;28;61;35;26;1;1;421;601;286;164;33;346;2;44;-;28;484;47;2826"
"""351160 CESARIO LANGE"";311;57;60;82;13;52;-;-;244;334;518;25;10;205;19;8;-;15;40;23;2016"
