"""Munic¡pio"";""Cap 01"";""Cap 02"";""Cap 03"";""Cap 04"";""Cap 05"";""Cap 06"";""Cap 07"";""Cap 08"";""Cap 09"";""Cap 10"";""Cap 11"";""Cap 12"";""Cap 13"";""Cap 14"";""Cap 15"";""Cap 16"";""Cap 17"";""Cap 18"";""Cap 19"";""Cap 21"";""Total"""
"""350010 ADAMANTINA"";452;37;15;45;7;-;-;-;167;297;81;2;2;53;1;1;-;42;43;-;1245"
"""350030 AGUAI"";5;4;-;5;-;1;-;-;5;46;6;3;-;28;-;-;-;3;-;2;108"
"""350050 AGUAS DE LINDOIA"";97;64;7;2;1;1;-;-;73;140;28;-;-;14;-;-;-;6;7;-;440"
"""350070 AGUDOS"";1;2;-;-;-;-;-;-;5;5;-;-;1;-;2;-;-;2;-;-;18"
"""350100 ALTINOPOLIS"";13;31;-;8;-;2;1;-;33;67;8;1;1;21;-;-;-;1;8;-;195"
"""350110 ALTO ALEGRE"";-;1;-;3;-;-;-;-;1;5;-;-;-;-;-;-;-;-;-;-;10"
"""350130 ALVARES MACHADO"";39;4;1;27;-;-;-;-;35;68;11;-;-;15;-;-;1;9;3;-;213"
"""350160 AMERICANA"";373;240;18;73;3;37;1;-;523;749;247;19;3;234;1;29;3;76;153;15;2797"
"""350170 AMERICO BRASILIENSE"";177;50;8;18;1;9;-;1;49;260;30;9;2;84;-;-;-;48;2;-;748"
"""350190 AMPARO"";263;126;5;23;4;3;-;-;175;285;76;3;3;77;-;-;-;101;50;-;1194"
"""350210 ANDRADINA"";162;93;25;41;2;31;-;-;169;338;121;6;9;109;2;1;-;29;19;-;1157"
"""350220 ANGATUBA"";32;37;9;20;1;4;-;-;39;155;10;3;-;34;1;-;-;6;2;14;367"
"""350250 APARECIDA"";328;7;18;5;1;2;-;-;117;178;41;20;1;47;-;-;-;11;15;-;791"
"""350260 APARECIDA D'OESTE"";-;-;-;1;-;-;-;-;4;10;-;-;-;-;-;-;-;-;-;-;15"
"""350270 APIAI"";61;11;16;26;-;1;-;-;74;158;30;2;-;28;1;-;-;1;3;1;413"
"""350280 ARACATUBA"";542;1137;36;57;8;193;-;1;887;1173;562;33;8;386;11;150;9;105;474;3;5775"
"""350310 ARANDU"";6;-;-;3;-;1;-;-;6;6;-;-;-;1;-;-;-;-;-;-;23"
"""350320 ARARAQUARA"";474;759;54;59;6;111;-;2;861;614;417;36;8;266;1;55;2;106;240;11;4082"
