"""Munic¡pio"";""Menor 1 ano"";""1 a 4 anos"";""5 a 9 anos"";""10 a 14 anos"";""15 a 19 anos"";""20 a 29 anos"";""30 a 39 anos"";""40 a 49 anos"";""50 a 59 anos"";""60 a 69 anos"";""70 a 79 anos"";""80 anos e mais"";""Idade ignorada"";""Total"""
"""350010 ADAMANTINA"";250;277;237;148;317;1449;1441;1320;1633;1969;1641;1478;-;12160"
"""350020 ADOLFO"";97;45;38;34;66;191;240;234;254;419;327;190;-;2135"
"""350030 AGUAI"";256;168;190;167;429;1367;1269;1129;1193;1393;1227;720;-;9508"
"""350040 AGUAS DA PRATA"";47;19;54;18;66;210;267;241;238;351;321;220;-;2052"
"""350050 AGUAS DE LINDOIA"";211;216;146;98;230;798;873;766;876;1060;944;851;-;7069"
"""350055 AGUAS DE SANTA BARBARA"";38;52;68;33;49;238;167;136;200;299;212;118;-;1610"
"""350060 AGUAS DE SAO PEDRO"";23;22;28;19;25;85;98;171;141;212;260;121;-;1205"
"""350070 AGUDOS"";468;463;416;294;495;1741;1526;1393;1527;1730;1245;744;-;12042"
"""350075 ALAMBARI"";48;38;31;21;46;223;223;187;160;270;189;112;-;1548"
"""350080 ALFREDO MARCONDES"";65;14;24;31;51;191;206;224;264;321;317;238;-;1946"
"""350090 ALTAIR"";36;29;28;18;18;113;127;113;149;167;185;132;-;1115"
"""350100 ALTINOPOLIS"";421;420;368;300;405;1594;1538;1326;1302;1880;1728;1180;-;12462"
"""350110 ALTO ALEGRE"";43;16;23;4;60;115;93;116;145;209;209;164;-;1197"
"""350115 ALUMINIO"";114;51;51;53;86;406;317;278;295;357;268;157;-;2433"
"""350120 ALVARES FLORENCE"";35;44;39;36;42;115;138;160;254;289;341;200;-;1693"
"""350130 ALVARES MACHADO"";470;203;170;131;307;1217;1158;1103;1398;1779;1528;1004;-;10468"
"""350140 ALVARO DE CARVALHO"";17;18;22;10;41;172;191;162;125;164;121;47;-;1090"
"""350150 ALVINLANDIA"";55;90;29;25;41;136;100;114;110;119;126;71;-;1016"
"""350160 AMERICANA"";1425;954;1008;613;1272;5277;5116;4235;4862;6050;4821;3461;-;39094"
"""350170 AMERICO BRASILIENSE"";311;151;166;140;354;1378;1182;1169;1620;1961;1641;815;-;10888"
"""350180 AMERICO DE CAMPOS"";66;35;26;33;71;198;215;208;272;376;348;233;-;2081"
"""350190 AMPARO"";388;291;285;247;502;1955;1909;1703;2190;2719;2399;2055;-;16643"
"""350200 ANALANDIA"";42;26;41;19;35;157;114;103;164;217;130;70;-;1118"
"""350210 ANDRADINA"";489;405;374;209;458;1911;1641;1344;1749;2121;1924;1487;-;14112"
"""350220 ANGATUBA"";337;397;285;131;328;1096;1010;813;957;1157;1030;763;-;8304"
"""350230 ANHEMBI"";158;74;56;37;53;231;188;171;184;298;203;124;-;1777"
"""350240 ANHUMAS"";76;34;51;38;78;166;198;187;256;303;348;196;-;1931"
"""350250 APARECIDA"";273;168;249;174;329;969;1001;1052;1545;1859;1546;1066;-;10231"
"""350260 APARECIDA D'OESTE"";32;29;18;26;45;155;177;199;269;264;274;201;-;1689"
"""350270 APIAI"";489;418;275;171;338;1290;998;812;864;881;911;653;-;8100"
"""350275 ARACARIGUAMA"";309;167;183;104;271;891;670;455;332;377;257;116;-;4132"
"""350280 ARACATUBA"";2711;1997;1426;767;864;3277;3486;3922;5000;5875;4486;3096;-;36907"
"""350290 ARACOIABA DA SERRA"";243;114;134;142;243;981;789;599;707;789;705;379;-;5825"
"""350300 ARAMINA"";24;28;30;23;53;179;162;161;214;303;221;158;-;1556"
"""350310 ARANDU"";72;51;60;35;75;320;240;173;250;253;258;159;-;1946"
"""350315 ARAPEI"";14;16;27;26;29;62;84;85;125;158;109;66;-;801"
"""350320 ARARAQUARA"";1738;929;937;787;1950;7681;7541;7190;8650;11388;8913;4681;-;62385"
"""350330 ARARAS"";1104;589;575;398;934;3743;3650;3288;3555;4098;3014;1701;-;26649"
"""350335 ARCO-IRIS"";13;23;22;27;25;73;71;104;87;143;91;78;-;757"
"""350340 AREALVA"";111;63;65;48;136;302;281;269;353;599;508;348;-;3083"
"""350350 AREIAS"";51;56;39;19;55;158;128;126;128;175;97;85;-;1117"
"""350360 AREIOPOLIS"";150;92;82;64;105;305;279;234;335;429;287;258;-;2620"
"""350370 ARIRANHA"";63;34;19;25;51;252;198;231;258;423;422;198;-;2174"
"""350380 ARTUR NOGUEIRA"";321;217;239;173;196;741;927;894;914;944;639;203;-;6408"
"""350390 ARUJA"";665;422;545;427;905;3189;2557;2183;2220;2492;1954;924;-;18483"
"""350395 ASPASIA"";16;12;20;12;16;99;73;95;154;107;90;104;-;798"
"""350400 ASSIS"";1024;751;729;543;998;3939;3686;3794;4256;4701;3418;2052;-;29891"
"""350410 ATIBAIA"";1355;808;953;636;1274;4799;4337;3746;3867;4487;3559;2664;-;32485"
"""350420 AURIFLAMA"";126;76;86;71;161;418;417;426;578;749;760;709;-;4577"
"""350430 AVAI"";87;61;32;36;73;210;197;140;162;212;149;104;-;1463"
"""350440 AVANHANDAVA"";195;74;86;51;131;450;446;349;360;407;315;162;-;3026"
"""350450 AVARE"";1041;792;662;470;1018;4185;3668;2876;2877;3288;2580;1574;-;25031"
"""350460 BADY BASSITT"";470;172;176;140;348;1403;1361;1263;1376;1483;1161;707;-;10060"
"""350470 BALBINOS"";19;22;8;20;16;83;209;138;101;130;94;71;-;911"
