"""Munic¡pio"";""Cap 01"";""Cap 02"";""Cap 03"";""Cap 04"";""Cap 05"";""Cap 06"";""Cap 07"";""Cap 08"";""Cap 09"";""Cap 10"";""Cap 11"";""Cap 12"";""Cap 13"";""Cap 14"";""Cap 15"";""Cap 16"";""Cap 17"";""Cap 18"";""Cap 19"";""Cap 21"";""Total"""
"""350010 ADAMANTINA"";1077;1232;137;318;628;162;26;33;1626;1160;1170;294;284;904;1285;122;47;267;1191;197;12160"
"""350020 ADOLFO"";118;211;9;72;19;52;39;5;265;229;301;39;40;231;176;69;16;20;196;28;2135"
"""350030 AGUAI"";367;620;29;168;503;126;310;30;992;1043;1188;193;176;864;1463;123;60;147;829;277;9508"
"""350040 AGUAS DA PRATA"";63;148;6;29;101;34;22;5;263;194;292;48;61;198;236;20;13;34;196;89;2052"
"""350050 AGUAS DE LINDOIA"";441;589;94;60;367;102;102;12;923;851;965;114;128;443;862;96;43;133;599;145;7069"
"""350055 AGUAS DE SANTA BARBARA"";98;183;2;10;29;24;10;4;193;127;183;14;30;126;220;19;14;30;275;19;1610"
"""350060 AGUAS DE SAO PEDRO"";24;111;5;22;38;35;121;4;170;88;217;22;54;100;59;13;2;19;91;10;1205"
"""350070 AGUDOS"";383;1215;50;153;114;157;99;37;1125;837;1575;338;357;1096;1817;267;87;218;1578;539;12042"
"""350075 ALAMBARI"";60;90;4;17;2;17;16;1;232;156;200;48;26;141;268;22;16;20;174;38;1548"
"""350080 ALFREDO MARCONDES"";197;186;12;24;150;39;112;6;190;112;252;60;73;176;131;39;3;35;120;29;1946"
"""350090 ALTAIR"";49;95;7;22;10;19;16;6;132;158;138;13;37;126;105;15;14;19;113;21;1115"
"""350100 ALTINOPOLIS"";412;691;120;265;612;256;773;63;1516;1024;1318;226;204;852;1055;217;72;245;2349;192;12462"
"""350110 ALTO ALEGRE"";122;90;18;55;17;10;7;1;146;163;140;17;16;85;122;24;5;12;113;34;1197"
"""350115 ALUMINIO"";64;194;29;32;17;50;41;5;289;173;308;53;39;158;451;77;21;25;307;100;2433"
"""350120 ALVARES FLORENCE"";74;135;9;31;26;37;37;5;248;128;156;23;59;155;91;10;2;219;216;32;1693"
"""350130 ALVARES MACHADO"";898;850;74;393;553;159;660;18;1273;874;1102;193;213;720;897;230;64;245;804;248;10468"
"""350140 ALVARO DE CARVALHO"";51;74;10;19;79;12;10;1;126;96;134;25;16;91;148;7;8;22;120;41;1090"
"""350150 ALVINLANDIA"";67;64;3;37;69;14;5;2;84;164;91;18;23;105;112;11;7;11;90;39;1016"
"""350160 AMERICANA"";1782;3054;285;652;1477;521;473;90;4766;3938;4901;786;517;3184;5504;782;283;722;4333;1044;39094"
"""350170 AMERICO BRASILIENSE"";560;782;89;218;281;241;848;27;1456;1132;1274;202;195;748;1228;171;79;373;698;286;10888"
"""350180 AMERICO DE CAMPOS"";84;206;6;38;29;56;29;8;282;124;229;20;52;210;152;17;19;202;288;30;2081"
"""350190 AMPARO"";930;1395;387;277;704;376;224;33;1898;1696;2435;271;373;1087;1999;213;90;371;1685;198;16642"
"""350200 ANALANDIA"";50;98;7;17;4;28;82;4;115;73;176;26;34;84;156;16;2;12;101;33;1118"
"""350210 ANDRADINA"";725;1159;260;313;197;446;68;19;1821;1673;1654;186;272;1349;1878;205;76;425;1003;383;14112"
"""350220 ANGATUBA"";377;527;137;156;102;134;55;16;791;1306;948;252;87;674;1271;129;46;118;695;483;8304"
"""350230 ANHEMBI"";144;169;13;13;47;26;20;4;232;207;179;19;28;109;256;66;18;35;166;26;1777"
"""350240 ANHUMAS"";120;167;28;81;115;22;138;4;242;165;215;29;36;172;148;47;16;23;124;39;1931"
"""350250 APARECIDA"";623;945;197;157;55;77;500;24;1664;1126;1089;242;154;795;1066;142;63;158;947;207;10231"
"""350260 APARECIDA D'OESTE"";189;132;22;56;24;52;31;5;206;167;226;18;26;138;147;15;25;38;149;23;1689"
"""350270 APIAI"";390;261;160;189;140;111;51;14;822;1293;756;557;76;740;1295;157;73;85;617;313;8100"
"""350275 ARACARIGUAMA"";107;286;37;45;24;67;65;10;264;321;513;68;52;257;1128;176;49;46;475;142;4132"
"""350280 ARACATUBA"";1921;3935;164;489;295;1399;296;159;3919;5175;4803;965;498;2588;2500;1049;208;505;5365;674;36907"
"""350290 ARACOIABA DA SERRA"";130;545;39;67;25;110;63;8;716;399;801;140;102;317;1115;147;49;58;774;220;5825"
"""350300 ARAMINA"";90;114;19;24;59;17;10;3;186;166;195;41;67;204;175;5;13;26;126;16;1556"
"""350310 ARANDU"";139;153;9;60;25;31;20;5;285;248;171;11;33;130;334;34;23;28;171;36;1946"
"""350315 ARAPEI"";33;63;12;11;9;6;39;6;112;74;124;24;27;72;77;7;6;9;81;9;801"
"""350320 ARARAQUARA"";2450;7175;575;959;1178;1142;2912;131;8404;4703;7191;825;1513;4525;7736;978;497;3036;4782;1673;62385"
"""350330 ARARAS"";1262;1751;125;395;383;415;566;48;3313;2592;3534;331;608;2500;3841;650;205;523;2533;1074;26649"
"""350335 ARCO-IRIS"";82;67;7;18;10;18;3;1;111;82;93;10;19;46;74;7;2;12;64;31;757"
"""350340 AREALVA"";72;459;12;19;84;34;51;7;367;201;362;81;86;281;314;76;20;82;448;27;3083"
"""350350 AREIAS"";67;91;9;6;16;8;51;3;148;127;127;29;9;96;193;21;15;19;72;10;1117"
"""350360 AREIOPOLIS"";245;214;25;42;82;39;21;7;316;357;262;22;35;199;353;69;15;93;185;39;2620"
"""350370 ARIRANHA"";148;254;17;43;78;52;57;3;280;223;195;43;46;244;134;33;19;16;247;42;2174"
"""350380 ARTUR NOGUEIRA"";242;731;28;64;296;111;276;20;686;567;932;101;148;535;484;173;71;123;515;305;6408"
"""350390 ARUJA"";634;1486;149;289;382;278;263;21;1693;1182;2291;347;359;1418;3556;367;200;334;2583;651;18483"
"""350395 ASPASIA"";31;73;4;26;15;35;8;1;106;83;101;9;33;80;80;4;2;11;71;25;798"
