"""Munic¡pio"";""Cap 01"";""Cap 02"";""Cap 03"";""Cap 04"";""Cap 05"";""Cap 06"";""Cap 07"";""Cap 08"";""Cap 09"";""Cap 10"";""Cap 11"";""Cap 12"";""Cap 13"";""Cap 14"";""Cap 15"";""Cap 16"";""Cap 17"";""Cap 18"";""Cap 19"";""Cap 21"";""Total"""
"""350010 ADAMANTINA"";269;62;11;30;3;1;-;-;116;194;43;1;3;26;-;1;1;29;30;-;820"
"""350020 ADOLFO"";12;27;1;-;-;1;-;-;16;25;11;1;1;3;-;-;-;1;7;-;106"
"""350030 AGUAI"";98;57;2;10;-;6;-;-;86;100;45;6;2;49;-;9;1;24;22;2;519"
"""350040 AGUAS DA PRATA"";22;30;-;5;-;1;-;-;30;29;13;-;1;9;-;1;1;5;8;-;155"
"""350050 AGUAS DE LINDOIA"";112;65;5;2;1;1;-;-;79;117;29;-;-;13;-;1;-;10;13;1;449"
"""350055 AGUAS DE SANTA BARBARA"";33;12;-;-;-;1;-;-;19;7;8;-;1;5;-;-;-;2;8;-;96"
"""350060 AGUAS DE SAO PEDRO"";5;10;-;1;-;-;-;-;4;3;6;1;1;8;-;1;-;2;5;-;47"
"""350070 AGUDOS"";93;109;3;4;1;3;-;-;91;66;38;4;4;19;3;4;1;20;23;-;486"
"""350075 ALAMBARI"";24;8;1;1;-;2;-;-;16;25;7;-;-;16;-;-;1;-;4;-;105"
"""350080 ALFREDO MARCONDES"";27;14;-;-;-;1;-;-;15;17;8;-;-;3;-;1;-;2;1;-;89"
"""350090 ALTAIR"";10;11;-;2;-;-;-;-;4;15;2;-;-;3;-;2;1;3;2;-;55"
"""350100 ALTINOPOLIS"";69;58;-;8;-;6;1;-;71;86;20;3;1;29;-;3;1;9;19;-;384"
"""350110 ALTO ALEGRE"";12;12;1;4;-;4;-;-;14;26;10;-;-;3;-;2;-;1;3;1;93"
"""350115 ALUMINIO"";26;24;1;1;-;6;-;-;40;32;25;2;-;15;-;2;-;2;9;-;185"
"""350120 ALVARES FLORENCE"";9;11;-;-;-;2;-;-;16;12;6;1;-;7;-;-;-;17;6;-;87"
"""350130 ALVARES MACHADO"";117;72;1;28;-;4;-;-;94;99;39;-;-;20;-;10;1;22;16;-;523"
"""350140 ALVARO DE CARVALHO"";14;6;-;1;-;-;-;-;13;15;3;-;-;5;-;-;-;1;1;-;59"
