"""Munic¡pio"";""Cap 01"";""Cap 02"";""Cap 03"";""Cap 04"";""Cap 05"";""Cap 06"";""Cap 07"";""Cap 08"";""Cap 09"";""Cap 10"";""Cap 11"";""Cap 12"";""Cap 13"";""Cap 14"";""Cap 15"";""Cap 16"";""Cap 17"";""Cap 18"";""Cap 19"";""Cap 21"";""Total"""
"""350010 ADAMANTINA"";4714334,66;381640,15;175749,91;137145,59;10814102,24;107848,45;450,28;11209,16;3297877,81;2203736,81;2404013,73;166873,44;611290,13;780651,02;1385196,79;34805,11;6750,92;260399,92;2718702,22;120768,08;30333546,42"
"""350030 AGUAI"";38024,73;1180,82;917,17;24247,44;1884,66;7679,70;-;368,37;118714,79;297343,79;18895,52;19220,49;1613,03;97404,75;154,30;-;162,45;2545,40;2440,18;1418,20;634215,79"
"""350050 AGUAS DE LINDOIA"";323769,80;61557,58;20676,72;18751,16;21932,10;6797,35;481,28;1405,88;271681,65;424613,97;154796,23;33249,91;8194,01;72199,82;411909,82;13565,05;241,09;16754,43;256897,96;5538,78;2125014,59"
"""350070 AGUDOS"";39265,16;46080,44;1547,24;5663,76;136,95;25143,38;44,22;787,77;128901,66;182605,03;515142,87;16396,32;34740,65;73664,38;702210,54;12136,74;657,16;9611,01;305285,90;166487,65;2266508,83"
"""350100 ALTINOPOLIS"";81099,40;12683,14;26169,45;54342,39;34186,92;21649,79;467471,57;5992,94;402473,59;369112,51;137701,76;25830,73;16314,46;104591,16;63374,13;8203,79;374,74;13208,50;365679,70;271,42;2210732,09"
"""350110 ALTO ALEGRE"";19507,87;2286,85;2270,68;9613,75;407,79;463,21;-;-;6170,26;39368,05;1361,89;670,86;453,60;4596,03;109,24;139,42;-;1180,75;-;506,86;89107,11"
"""350130 ALVARES MACHADO"";283668,57;2913,61;14232,04;113150,91;10535,67;6302,02;52,22;207,93;307631,70;249206,42;67329,47;13534,63;2965,84;71718,59;44,22;-;408,04;26717,01;10793,12;309,54;1181721,55"
"""350160 AMERICANA"";3067885,55;3501528,82;177438,96;577654,31;2265047,78;348623,74;9406,31;16323,91;4925360,06;6213213,74;4576862,98;465725,34;639060,20;2078119,84;2965701,12;3589417,22;130163,41;548516,70;5583388,52;280583,57;41960022,08"
"""350170 AMERICO BRASILIENSE"";7691008,56;1047752,23;236025,93;707902,20;44801,39;302990,14;5612197,67;235268,85;2150718,76;4195389,14;4491951,49;158150,18;340063,75;2577499,14;228,51;-;77305,36;531514,17;888737,76;83059,11;31372564,34"
"""350190 AMPARO"";2201335,15;504208,95;83095,89;229716,75;18414704,18;124604,68;243377,78;4647,33;2547385,45;2348705,57;1814962,85;174829,76;596281,65;1144827,85;1600835,23;36744,04;19501,03;692412,96;2650234,65;71564,59;35503976,34"
"""350210 ANDRADINA"";1225209,94;520584,77;163572,77;281706,02;24858,11;407875,44;952,48;2621,72;2899708,05;2394237,48;1212459,08;42002,27;360737,21;881038,97;1179312,64;29966,81;9085,76;233486,49;631756,59;249510,55;12750683,15"
"""350220 ANGATUBA"";191744,37;66637,02;34497,01;51307,02;12160,49;39231,07;450,28;1857,07;276522,77;757801,12;334015,88;54805,07;3222,29;164740,57;677679,16;11599,73;1969,94;8647,43;40937,13;75372,04;2805197,46"
"""350250 APARECIDA"";5960641,82;2043718,38;179859,49;128057,09;9514,67;143689,53;2879938,42;7002,61;3418403,17;2110346,46;1713986,86;435035,73;139749,55;1910439,93;-;6685,93;3502,72;90265,86;2129949,09;60403,31;23371190,62"
"""350260 APARECIDA D'OESTE"";43553,04;-;2934,20;3080,92;821,70;-;-;-;5667,68;43904,60;961,90;1097,24;381,40;4180,01;109,24;-;-;1007,97;-;-;107699,90"
"""350270 APIAI"";397541,10;87430,63;71754,99;115099,58;27018,35;27640,28;1266,40;3877,72;644799,90;1134625,22;1037538,84;222745,23;32274,59;346626,84;1297583,51;63413,48;21846,79;33082,84;131985,61;627142,14;6325294,04"
"""350280 ARACATUBA"";7674225,98;16185470,23;501341,68;1427230,84;1159513,47;11077601,14;1782827,38;52618,98;42305683,62;23798714,07;12743123,33;1204215,24;3262156,58;5994197,46;4218358,49;18212170,45;1153060,12;1254389,92;23779326,15;176685,31;177962910,44"
"""350310 ARANDU"";22318,81;-;2067,05;13633,82;582,42;451,32;-;-;34765,09;86722,91;270,38;292,62;-;7858,30;-;-;-;218,68;-;-;169181,40"
"""350320 ARARAQUARA"";5871398,05;18337928,85;492927,91;1253822,60;2895860,64;2905272,76;6518982,98;26314,16;45128859,32;8422961,72;11762814,87;557572,80;9367825,85;4932550,33;5500846,13;4462580,73;580187,28;7475887,86;13580796,23;1639414,44;151714805,51"
"""350330 ARARAS"";3699485,77;5833096,17;57361,08;307209,84;889189,45;5165182,58;9187,97;19946,08;17862536,48;4779719,71;4317479,25;236561,26;380817,53;1858682,48;3031378,88;5098763,32;298613,52;728240,47;4174447,43;665632,24;59413531,51"
"""350340 AREALVA"";5186,58;3505,41;1549,77;2434,42;2016,56;1492,68;5334,58;88,44;35781,96;40656,56;8350,23;2304,06;309,54;14344,17;64941,87;-;44,22;2924,70;5631,90;179,93;197077,58"
"""350390 ARUJA"";587395,92;6735,80;28691,77;38582,99;3850,67;16098,79;52,22;863,06;284297,15;260083,53;82375,80;21595,71;2174,70;68614,03;1640736,66;61040,21;1286,09;29000,88;68172,33;18641,98;3220290,29"
"""350400 ASSIS"";5756965,26;7773932,70;429662,95;730554,42;891610,59;670049,54;6823,79;13263,03;10487003,27;5691480,75;7064141,15;384115,65;1988086,31;4518785,59;4161779,12;4715121,41;219719,67;1466185,27;7125022,79;760500,78;64854804,04"
"""350410 ATIBAIA"";940666,91;387203,05;51927,15;238553,04;25486,75;84283,20;288,53;5622,48;1136825,78;2404039,43;1064941,61;232424,61;140170,37;985402,79;1947732,19;71092,49;23514,71;353161,56;2597554,43;337362,81;13028253,89"
"""350420 AURIFLAMA"";175842,63;1593138,41;56983,22;108809,27;-;1182,14;-;-;97304,80;498458,57;1690750,45;17907,28;488,89;772507,42;291576,72;1504,70;238,70;548439,20;9138,12;1308424,07;7172694,59"
"""350450 AVARE"";5795323,96;1887943,67;40603,02;565065,94;13457,85;1024491,05;736,83;4646,48;6040470,46;3362920,10;7053264,40;349494,39;1055435,36;2341184,50;3089383,70;189338,44;17787,17;1098098,47;13025250,24;634304,25;47589200,28"
"""350520 BARIRI"";318411,86;36600,06;39613,77;87498,61;39462,38;38548,37;44,22;938,10;299950,18;604027,42;626887,42;37212,32;30922,39;151610,41;710751,32;9849,07;1264,05;24107,93;299347,30;26221,02;3383268,20"
"""350530 BARRA BONITA"";356124,74;119723,25;76803,15;64838,92;2777,81;58721,71;405,06;5072,14;917479,81;891857,82;1093579,73;104151,14;15973,73;205554,70;461847,48;28793,67;2729,01;51461,48;717125,76;78736,78;5253757,89"
"""350550 BARRETOS"";9120572,83;178432455,97;1866477,48;4849558,14;68491,28;7945497,16;265314,37;95407,85;48624881,35;12325800,99;12468067,03;1538033,85;9748011,08;11053835,17;4325633,10;9063882,97;1221539,32;2127678,38;16086768,77;4204544,02;335432451,11"
"""350570 BARUERI"";8416146,54;5297790,79;489153,34;932600,39;925998,42;2005822,64;6122291,24;106081,62;14200853,66;14488566,61;18625021,93;2459301,88;2692131,55;8841797,66;11468727,92;8651484,30;690255,18;2826793,63;11313511,79;2311301,95;122865633,04"
"""350580 BASTOS"";395628,27;44966,70;71402,26;120821,66;60,22;845,57;-;324,07;296314,38;395815,72;180888,77;3108,29;839,02;154186,94;54953,99;10300,41;-;8425,94;18796,43;59369,02;1817047,66"
"""350590 BATATAIS"";2248357,78;317692,25;162023,96;248637,29;372532,35;649723,33;1121447,34;5402,48;2660309,30;2905383,74;1676595,93;107911,23;1824481,97;953047,16;1286730,39;29522,47;9003,35;892107,87;2666122,46;231935,00;20368967,65"
"""350600 BAURU"";12569548,92;22091816,49;541258,67;2387189,23;623413,21;2443504,76;6218685,50;14398844,58;66880119,40;21763322,87;22418529,03;4046255,98;10102836,13;14723664,35;9324360,94;12150498,67;11721350,61;4810643,21;39195715,88;1172675,85;279584234,28"
"""350610 BEBEDOURO"";1178755,80;360448,81;117311,07;421740,29;72182,44;308960,82;9257,53;18086,88;1680926,38;2506615,33;3830411,29;249554,05;1304948,95;1922308,21;1823883,86;113214,60;41546,63;674544,10;3420131,09;634432,59;20689260,72"
"""350630 BERNARDINO DE CAMPOS"";362619,25;6630,87;17095,87;28588,33;17272,67;6875,46;55,27;155,71;203374,28;340981,37;82128,15;10522,19;72527,30;57627,99;1992,08;9969,98;-;2745,14;48848,93;-;1270010,84"
"""350635 BERTIOGA"";421722,83;369218,05;73796,05;92886,61;46884,71;39054,23;590743,20;3881,00;561265,02;726065,02;257143,33;118934,91;39920,01;329949,59;1410776,11;73266,73;11275,47;14797,38;389844,76;433990,41;6005415,42"
"""350640 BILAC"";38206,50;1249,99;4079,18;5426,67;980,96;3251,62;91,49;147,71;25745,78;124064,54;14622,14;2634,57;765,31;26388,54;839,60;-;-;4747,08;2979,52;410,73;256631,93"
"""350650 BIRIGUI"";1571931,92;137974,91;269669,13;235198,73;71524,73;72050,84;2416,38;12805,51;2633933,34;4329374,54;2362477,49;334954,27;231318,29;785506,36;2299013,81;105292,08;7912,42;465016,56;4254360,00;40253,07;20222984,38"
"""350670 BOA ESPERANCA DO SUL"";12579,54;2922,39;2069,08;5150,98;-;116,71;-;-;14792,05;38577,28;2760,51;1038,23;396,88;11071,18;-;-;-;556,91;603,47;68,22;92703,43"
"""350680 BOCAINA"";27711,45;14677,99;7025,99;5012,31;410,85;4051,34;-;-;59757,31;145119,44;35317,93;19192,98;-;8703,55;443,40;-;783,76;543,08;-;-;328751,38"
"""350700 BOITUVA"";152813,11;214944,40;50375,34;61932,88;9819,40;21699,13;368,54;5224,74;721855,21;872976,95;577182,10;89979,95;119493,42;325221,36;1507530,75;87445,65;20124,01;20233,45;351715,54;413693,40;5624629,33"
"""350710 BOM JESUS DOS PERDOES"";50598,23;-;4213,60;28058,08;1161,58;4301,08;-;-;55979,67;149741,16;11186,17;15002,56;1916,30;35410,20;-;-;-;3119,43;500,20;44,22;361232,48"
"""350740 BORBOREMA"";167098,46;53121,90;27571,18;33252,64;4608,39;4792,56;-;970,08;166966,89;306408,26;319395,53;65253,24;7752,58;149078,72;183928,76;3089,64;705,34;8144,83;14321,57;269,20;1516729,77"
"""350750 BOTUCATU"";40459697,63;29457156,70;433330,92;2975106,53;3670627,01;4996968,98;3821178,79;218265,22;95955191,47;23212998,74;21202776,48;1013648,72;4401986,57;30005647,62;8279313,92;22696840,94;6552908,24;4059084,66;19121351,92;2330560,07;324864641,13"
"""350760 BRAGANCA PAULISTA"";10303589,71;10394122,63;393225,40;901221,63;298325,32;2686315,19;4421605,96;149078,52;37442644,17;9126144,58;10831294,91;556446,31;2692310,23;5307966,55;7779338,98;7173284,88;1009225,93;1521359,59;18658218,27;1818208,99;133463927,75"
"""350790 BROTAS"";238721,12;20865,57;17732,50;21912,76;319,12;1006,31;55,27;-;128876,44;609342,76;20688,33;13671,17;7238,92;49362,42;367132,27;12882,98;47,27;740,66;219247,08;25942,46;1755785,41"
"""350810 BURITAMA"";162141,53;26200,34;39303,53;21692,09;2537,23;4437,98;593,24;1200,83;164599,16;530028,10;456318,72;4830,62;234,92;84479,76;199602,33;12153,48;650,41;6487,02;23642,88;4441,73;1745575,90"
"""350840 CABREUVA"";33417,53;1923,86;2306,18;7210,24;6804,49;1678,93;-;243,95;66310,89;200459,31;8358,45;12523,97;812,07;39191,82;554136,24;15279,03;-;16776,64;1255,36;36727,38;1005416,34"
"""350850 CACAPAVA"";694621,48;311361,06;99341,06;524731,23;17917,16;138571,48;561,92;8922,55;2103946,10;2309130,05;2079903,83;137682,02;73389,30;1597080,25;909650,14;28581,32;11008,05;371516,29;1908698,90;240780,27;13567394,46"
"""350860 CACHOEIRA PAULISTA"";72310,90;27735,77;18050,61;24824,24;182,98;3541,22;221,10;339,64;100125,70;147454,55;22203,99;13681,50;1772,77;50618,58;-;-;44,22;3307,07;18128,57;-;504543,41"
"""350870 CACONDE"";161691,79;67493,27;30371,72;94032,47;1715539,15;2168190,93;-;472,37;1221999,77;370154,91;2172354,27;18525,96;5058,64;639829,56;156,86;278,54;60626,44;66211,14;34734,85;90004,24;8917726,88"
"""350880 CAFELANDIA"";78530,08;948,71;13305,85;50598,61;2121,37;95222,77;877,86;771,14;190864,60;428715,06;69697,01;16609,30;10046,89;92761,12;256888,91;5420,99;170,45;789,65;122350,84;758,30;1437449,51"
"""350900 CAIEIRAS"";613456,60;15573,74;16913,08;59051,54;8975,01;91120,90;-;738,55;417593,28;857478,65;74534,86;40465,85;91,49;129039,12;4861451,96;2653914,82;204522,05;181873,18;1337,70;46575,65;10274708,03"
"""350920 CAJAMAR"";209496,52;28187,68;58081,69;78968,70;41676,52;52575,79;2084,28;5297,67;688229,50;791003,69;245901,36;55911,82;8696,47;201472,82;1117970,92;4184,65;785,76;81464,19;145420,70;636365,86;4453776,59"
"""350930 CAJOBI"";162479,14;144411,47;4559,54;5011,06;-;347,62;-;147,71;32159,02;224819,63;62159,78;1240,37;689,19;91617,70;81979,56;-;-;717,16;3800,03;16879,25;833018,23"
"""350940 CAJURU"";1190562,13;286852,33;32035,69;257427,33;90675,87;34023,44;238,95;8041,59;656316,73;1277546,88;1149238,09;338650,83;128097,61;414788,13;643636,52;20634,36;5258,00;84806,44;413819,79;168605,19;7201255,90"
"""350950 CAMPINAS"";82811362,89;102684929,37;3625983,09;8339484,04;2670913,61;15553358,94;21986008,74;22668966,74;176904367,48;75845861,01;62381646,85;4689707,86;14953313,07;52274232,92;26397266,45;48326300,33;28659687,96;28463624,25;60124412,44;25159814,51;864521242,55"
"""350960 CAMPO LIMPO PAULISTA"";2147526,53;196031,23;91638,43;337263,20;23446,36;316441,58;-;3633,88;3856266,80;3241265,80;895237,50;125245,67;41375,56;939818,12;2305046,38;78213,51;25858,45;245025,81;682548,04;515780,28;16067663,13"
"""350970 CAMPOS DO JORDAO"";15542037,51;102649,74;26764,43;124714,68;23989,67;33663,53;-;1104,96;580836,63;1036508,79;624309,53;29314,38;9495,98;438836,57;1804781,03;84279,17;22100,77;53907,22;22509,96;167349,62;20729154,17"
"""351000 CANDIDO MOTA"";202814,40;343557,18;81249,59;110845,89;6367,06;40578,42;-;2600,63;1256326,37;778582,25;1490730,40;140445,96;96963,24;475180,90;354183,14;7202,05;20646,93;76551,38;184184,17;297537,89;5966547,85"
"""351020 CAPAO BONITO"";1142297,44;27345,42;117886,66;243204,38;2343,50;30066,64;314537,82;2249,34;1722949,22;3031078,99;712419,12;43521,42;10265,29;530869,15;1701793,28;59646,64;3314,44;162282,27;280047,12;260591,43;10398709,57"
"""351040 CAPIVARI"";1040540,60;273245,95;61451,41;228784,12;9536,34;130279,95;21016,48;4880,19;2386422,52;2085433,20;1353881,40;139057,65;55997,47;622800,66;1064134,36;31868,24;15552,84;347460,48;1192195,17;351355,37;11415894,40"
"""351050 CARAGUATATUBA"";6088774,94;8738003,08;305677,12;542009,06;705537,47;1742793,10;5160665,18;26835,36;13532773,20;12869912,72;12962941,24;2040738,03;1996132,16;7650902,10;4906986,35;7067200,35;583294,62;1693606,67;11271434,08;530879,72;100417096,55"
"""351060 CARAPICUIBA"";6275007,40;2650908,25;645230,50;1306286,08;710902,95;849378,80;111390,67;14143,11;11197982,03;7882411,17;9952439,25;1324743,67;5677036,46;2344378,83;9039357,28;6104061,40;562937,02;1604395,35;8185016,48;846339,83;77284346,53"
"""351070 CARDOSO"";59491,01;2528,98;17273,71;24125,82;-;232,83;-;185,66;18328,17;311320,80;216730,89;10895,07;6464,98;102383,60;44,22;-;-;3229,35;384,48;40,38;773659,95"
"""351080 CASA BRANCA"";1927797,48;130464,97;18349,79;104155,96;5533731,15;37387,45;142938,30;1050,92;605090,46;395709,24;723918,68;97346,49;152673,18;465330,30;602,26;2532,70;9899,93;40519,07;701176,09;91631,52;11182305,94"
"""351100 CASTILHO"";70706,68;23923,60;9044,19;31143,47;9461,16;17522,39;-;-;508324,49;301050,31;127528,10;11697,35;837,27;94682,86;2760,30;-;-;9054,50;14214,40;-;1231951,07"
"""351110 CATANDUVA"";10671726,41;14006530,21;449529,14;989928,46;16061831,17;2676910,11;2906005,01;24059,88;30216563,51;12827283,51;8323322,82;795314,58;5397359,38;6571110,68;5059024,15;13912380,56;1094802,23;1761326,56;24093456,49;1507604,72;159346069,58"
"""351140 CERQUEIRA CESAR"";140390,41;77185,06;58582,83;89850,05;42069,49;18286,26;291138,32;315,48;239967,93;458353,79;409296,67;67521,04;32492,16;160497,21;457017,40;26271,06;1136,37;11021,25;168312,85;29494,91;2779200,54"
"""351150 CERQUILHO"";101250,74;34871,12;9870,98;17589,54;3773,77;9397,15;142,02;253,15;347547,99;374733,10;224661,29;38653,47;9615,99;114659,43;327,54;12195,55;-;7165,16;132921,24;24055,58;1463684,81"
"""351160 CESARIO LANGE"";180970,12;18323,56;15164,97;21213,98;1737,38;23267,01;-;-;150544,19;195757,89;386957,98;6694,70;2040,67;62977,31;7599,18;2232,38;-;2462,94;8532,52;11166,04;1097642,82"
"""351170 CHARQUEADA"";46764,01;1831,89;5378,55;16225,83;313,83;10686,16;-;582,42;61628,96;170086,66;16154,91;2816,15;2497,30;42818,93;-;-;-;22320,66;199,33;44,22;400349,81"
"""351190 CLEMENTINA"";33677,12;2300,92;2533,46;9128,12;446,68;16751,44;-;1624,81;46436,09;160249,90;25786,86;5255,13;2065,37;38703,33;327,72;-;-;3193,08;7739,96;42139,52;398359,51"
"""351200 COLINA"";880932,69;105252,98;45356,72;260617,08;22074,89;119690,29;247,33;2945,06;738414,01;1587954,25;509828,66;98724,54;119140,44;633658,10;339754,62;1586,34;1725,09;220685,58;386116,01;25804,07;6100508,75"
"""351210 COLOMBIA"";580,38;-;-;1009,26;-;-;-;-;522,36;3391,29;-;2120,88;-;613,50;-;-;-;6028,81;-;-;14266,48"
"""351220 CONCHAL"";211202,76;358817,39;34035,10;77854,98;16201,71;33258,55;505944,54;3654,69;497920,83;503777,36;696333,81;82935,93;72133,40;292336,00;602767,16;64362,65;7748,78;69569,74;459266,04;20395,96;4610517,38"
"""351230 CONCHAS"";108122,87;21757,45;14780,17;19786,08;4076,80;1975,43;112,83;163,71;103461,99;314904,47;26343,77;13099,12;996,02;49530,71;-;-;-;1442,20;4664,12;-;685217,74"
"""351280 COSMOPOLIS"";603449,45;86259,25;9697,80;355737,91;2042,66;54684,83;4759,72;3823,28;952976,79;1127259,08;563003,76;82085,31;150925,78;380455,85;622335,60;6190,34;289,58;60714,44;850213,70;102411,67;6019316,80"
"""351300 COTIA"";4206279,95;1219551,62;295045,64;1039549,97;522642,57;424557,26;4111582,37;11493,39;6813674,51;4084364,98;7046772,73;494317,70;474404,48;1931703,03;8217401,51;5387536,59;300961,91;2271030,84;9259179,45;1576656,26;59688706,76"
"""351310 CRAVINHOS"";39839,73;6794,08;14257,19;6293,42;1121,64;5696,75;190835,08;-;134346,50;165627,04;27739,40;12491,93;3001,60;53434,41;-;-;-;11164,78;25472,28;3842,42;701958,25"
"""351340 CRUZEIRO"";8949497,05;563818,44;186975,12;378483,31;99765,23;119482,11;136064,75;19902,13;6245090,92;4167493,29;3045534,45;565668,32;561087,09;1466341,18;2004712,27;108136,93;22059,75;643917,31;2727125,13;155821,33;32166976,11"
"""351350 CUBATAO"";2131789,00;1111027,33;285010,26;459757,94;341956,53;642189,70;4195,83;9936,25;4795282,52;3698235,68;2941469,54;423209,12;587089,90;2426247,37;2572675,43;2251490,37;163020,83;1148459,68;3145609,36;1065635,34;30204287,98"
"""351360 CUNHA"";575050,52;134569,09;39862,35;215246,13;1222,10;15487,07;376,84;2957,94;462938,07;464415,45;325270,11;87532,18;3165,17;194300,54;434925,01;5612,71;957,18;9780,89;44106,29;17270,46;3035046,10"
"""351370 DESCALVADO"";308208,90;89939,79;67323,12;24757,75;9092,32;236991,98;701391,85;687,29;965843,71;705375,73;701913,58;44212,65;88464,61;174538,45;396826,48;10818,99;2594,62;34620,25;705975,89;232255,42;5501833,38"
"""351380 DIADEMA"";7843429,85;5544101,29;342604,18;2666418,37;815256,05;3364617,96;55872,15;211614,92;15589082,29;16815329,03;9617521,10;1651867,05;8853881,56;6793818,21;7597441,85;13104500,42;1319069,57;1788025,82;17925475,84;1799766,43;123699693,94"
"""351390 DIVINOLANDIA"";76653,30;231732,34;29981,46;80221,89;284551,22;13982888,24;2157144,54;234742,75;1152210,77;1956153,94;3091481,97;288248,04;3081310,46;603254,85;443,40;3520,88;150636,71;43004,07;443925,77;1118456,78;29010563,38"
"""351410 DOIS CORREGOS"";165659,51;2791,41;18455,72;99760,78;4661,01;13725,28;60,22;1476,09;197861,29;833923,55;209461,15;42141,55;18852,07;165832,67;362869,74;8766,70;489,79;15984,14;293662,19;4254,99;2460689,85"
"""351440 DRACENA"";3306002,10;430074,96;107508,38;636760,38;5004,23;134725,15;450,64;10559,25;5051328,94;6828479,46;2404404,24;143438,54;58396,13;1544921,92;826124,86;27819,76;395,18;345990,70;2113103,31;18527,99;23994016,12"
"""351450 DUARTINA"";127898,12;94319,50;51058,75;49173,76;46798,34;18317,91;108265,55;2194,97;167518,69;426748,37;117295,42;28279,09;15079,84;168729,99;304647,91;11072,49;1432,21;96581,25;183151,41;79697,42;2098260,99"
"""351500 EMBU DAS ARTES"";1060619,19;127227,02;105495,17;205145,44;55134,56;77812,09;176,88;2482,03;1426637,59;2050962,12;169049,64;87508,00;9733,29;341133,58;1570312,27;39225,08;1970,24;38292,33;121533,20;1130362,05;8620811,77"
"""351510 EMBU-GUACU"";245516,32;33425,34;20091,39;39541,14;67876,91;23962,70;1824,70;1092,74;589765,76;574277,03;92307,00;48926,67;9342,34;95895,32;43494,77;3137,27;162,45;244714,45;223044,08;47603,64;2406002,02"
"""351518 ESPIRITO SANTO DO PINHAL"";2715687,74;397909,50;16240,10;304020,51;23088361,43;202158,52;796,08;3037,60;3319323,54;2131829,94;1841125,40;88347,97;75848,04;1502189,79;726365,28;27563,48;24256,70;310678,08;1299175,79;158251,66;38233167,15"
"""351520 ESTRELA D'OESTE"";422751,20;1201,20;6888,33;40331,11;-;11901,84;598,42;295,42;42038,54;304359,80;51640,13;10634,11;9313,18;100743,58;88934,62;2441,40;-;4797,70;4072,73;-;1102943,31"
"""351540 FARTURA"";109896,92;45917,86;18223,68;32065,30;2567,71;1618,25;-;2323,37;156722,86;354614,22;208718,72;39304,61;5863,58;132518,90;327773,32;4574,16;840,13;10720,06;16147,55;2071,96;1472483,16"
"""351550 FERNANDOPOLIS"";5320852,33;494900,40;189834,49;242532,03;3604,51;467094,37;2144,86;7770,41;3909587,83;2607904,09;3806414,74;321415,31;1510488,76;2018475,74;1730310,87;67794,42;23084,28;532917,08;3392118,63;181629,08;26830874,23"
"""351570 FERRAZ DE VASCONCELOS"";2138273,08;284878,27;169510,22;547773,06;479793,55;217406,77;488,17;8850,62;2686343,68;4262026,98;2516699,72;273033,98;75674,71;973778,37;3790051,02;3019447,16;156553,70;374625,17;1668387,25;1641466,09;25285061,57"
"""351600 FLORIDA PAULISTA"";146201,58;341,54;23794,58;121572,05;2842,86;5236,56;-;163,71;266613,93;341197,72;47353,67;5080,62;1874,24;89277,10;112636,39;-;103,65;3494,07;29077,41;28570,31;1225431,99"
"""351620 FRANCA"";27119722,71;18763932,00;540010,76;1926014,84;6637240,84;3013659,62;291332,30;83468,94;54606540,98;21385572,62;14075826,20;1997270,01;4696252,61;7146877,14;11134258,14;21686760,49;1448319,93;2259968,00;18968349,54;1380011,61;219161389,28"
"""351630 FRANCISCO MORATO"";2566587,47;1143234,70;342423,67;751022,83;33551,12;713367,36;6294,49;42997,14;6183413,01;9513377,82;3530231,20;408867,21;41646,47;2705120,99;8557483,70;8940227,58;577024,06;863358,98;827365,14;1040734,11;48788329,05"
"""351640 FRANCO DA ROCHA"";1560457,79;2386675,10;35935,49;434618,04;3892877,23;1048415,43;3327467,02;2041,99;6317890,10;973848,69;7617334,46;333065,20;1054686,18;745114,48;6280,17;6312,03;25803,32;1388816,62;12234475,34;465338,01;43857452,69"
"""351660 GALIA"";40244,40;9373,80;1093,65;23214,24;205,17;596,04;-;-;31289,79;71375,63;8019,47;5829,12;453,40;29335,84;-;-;-;13507,70;827,01;44,22;235409,48"
"""351670 GARCA"";1201793,55;193437,94;116688,04;279317,23;14686831,21;86958,09;-;-;2310196,04;1943184,11;1291935,56;64632,27;36782,70;1250101,62;1073098,55;9507,70;838,19;219450,04;621687,13;135086,05;25521526,02"
