"""Munic¡pio"";""Aten‡Æo B sica"";""M‚dia complexidade"";""Alta complexidade"";""NÆo se aplica"";""Total"""
"""350010 ADAMANTINA"";6151;705709;15601;142122;869583"
"""350020 ADOLFO"";177937;4942;-;20026;202905"
"""350030 AGUAI"";338659;462668;-;537;801864"
"""350040 AGUAS DA PRATA"";45438;62068;-;181;107687"
"""350050 AGUAS DE LINDOIA"";-;94262;-;-;94262"
"""350055 AGUAS DE SANTA BARBARA"";58095;49782;-;-;107877"
"""350060 AGUAS DE SAO PEDRO"";60319;123440;-;-;183759"
"""350070 AGUDOS"";461647;430592;-;1430;893669"
"""350075 ALAMBARI"";150010;41725;-;9224;200959"
"""350080 ALFREDO MARCONDES"";5745;17096;-;2100;24941"
"""350090 ALTAIR"";90352;10879;27;145;101403"
"""350100 ALTINOPOLIS"";289792;309346;-;21849;620987"
"""350110 ALTO ALEGRE"";3568;58505;-;1449;63522"
"""350115 ALUMINIO"";14377;113709;31;7559;135676"
"""350120 ALVARES FLORENCE"";24786;27972;-;4387;57145"
"""350130 ALVARES MACHADO"";25523;262570;-;1158;289251"
"""350140 ALVARO DE CARVALHO"";93602;10944;-;1231;105777"
"""350150 ALVINLANDIA"";47525;477;-;111;48113"
"""350160 AMERICANA"";403687;2570969;35516;9814;3019986"
"""350170 AMERICO BRASILIENSE"";131588;497029;10767;2827;642211"
"""350180 AMERICO DE CAMPOS"";-;25575;1;591;26167"
"""350190 AMPARO"";104910;991888;30104;7601;1134503"
"""350200 ANALANDIA"";118933;28345;-;394;147672"
"""350210 ANDRADINA"";202550;474948;6001;16211;699710"
"""350220 ANGATUBA"";6856;419471;-;671;426998"
"""350230 ANHEMBI"";127330;58153;-;313;185796"
"""350240 ANHUMAS"";41882;38629;-;3032;83543"
"""350250 APARECIDA"";114323;795330;72;30;909755"
"""350260 APARECIDA D'OESTE"";259124;30389;-;281;289794"
"""350270 APIAI"";7772;214844;-;4988;227604"
"""350275 ARACARIGUAMA"";225406;677205;-;694;903305"
"""350280 ARACATUBA"";457117;2645257;14306735;208317;17617426"
"""350290 ARACOIABA DA SERRA"";102297;595400;-;1123;698820"
"""350300 ARAMINA"";11736;33542;248;13963;59489"
"""350310 ARANDU"";36185;404;-;628;37217"
"""350315 ARAPEI"";12009;45099;-;40444;97552"
"""350320 ARARAQUARA"";878321;3159825;12307164;62264;16407574"
"""350330 ARARAS"";522264;747039;28833;24603;1322739"
"""350335 ARCO-IRIS"";26163;730;-;35;26928"
"""350340 AREALVA"";65842;123063;1527;636;191068"
"""350350 AREIAS"";16100;19522;-;5795;41417"
"""350360 AREIOPOLIS"";202090;41018;-;1326;244434"
"""350370 ARIRANHA"";145294;84461;-;304;230059"
"""350380 ARTUR NOGUEIRA"";343530;137982;-;-;481512"
"""350390 ARUJA"";340344;871442;2460;12192;1226438"
"""350395 ASPASIA"";-;6265;-;286677;292942"
"""350400 ASSIS"";214893;1642310;7719242;23483;9599928"
"""350410 ATIBAIA"";259051;2051879;24151;236953;2572034"
"""350420 AURIFLAMA"";78831;176785;116;69936;325668"
"""350430 AVAI"";28398;18678;-;190;47266"
"""350440 AVANHANDAVA"";66016;8633;-;11931;86580"
"""350450 AVARE"";204563;1231807;34540;79169;1550079"
"""350460 BADY BASSITT"";247395;393483;1;3241;644120"
"""350470 BALBINOS"";9340;-;-;889;10229"
"""350480 BALSAMO"";8098;14943;-;492;23533"
"""350490 BANANAL"";14217;125471;-;46998;186686"
"""350500 BARAO DE ANTONINA"";414;10214;7;9933;20568"
"""350510 BARBOSA"";24036;5994;-;7915;37945"
"""350520 BARIRI"";371512;186904;-;72773;631189"
"""350530 BARRA BONITA"";226948;299154;2280;357;528739"
