Secretaria de Atenção Primária à Saúde - SAPS/MS 
Dados sujeitos à alteração 
---Descrição dos Filtros Utilizados---
"Competência: DEZ/2024, NOV/2024, OUT/2024, SET/2024, AGO/2024, JUL/2024, JUN/2024, MAI/2024, ABR/2024, MAR/2024, FEV/2024, JAN/2024."
Tipo de Produção: Atendimento Individual.


Uf;Ibge;Municipio;DEZ/2024;NOV/2024;OUT/2024;SET/2024;AGO/2024;JUL/2024;JUN/2024;MAI/2024;ABR/2024;MAR/2024;FEV/2024;JAN/2024;
SC;420340;CAMPO BELO DO SUL;1.242;3.110;3.457;3.425;3.627;6.672;4.984;8.233;2.994;2.471;2.359;2.858;
BA;293050;SERRINHA;2.517;4.384;6.046;5.431;5.949;5.704;4.540;6.010;7.092;6.424;5.328;6.787;
AM;130360;SANTA ISABEL DO RIO NEGRO;921;1.517;1.493;1.147;1.524;1.416;1.713;2.023;1.778;1.363;1.596;1.645;
AP;160023;FERREIRA GOMES;440;768;614;637;703;717;407;212;430;452;391;414;
GO;520215;ARAGUAPAZ;1.458;1.841;1.668;2.230;2.466;2.260;2.227;1.940;2.904;1.504;1.589;2.363;
RS;431470;PLANALTO;4.281;5.930;5.645;5.258;4.351;4.902;4.865;5.283;5.391;4.837;4.011;4.443;
PE;261180;RIBEIRÃO;1.080;2.123;3.392;3.247;3.936;3.606;2.982;3.351;5.290;3.618;3.472;2.939;
MG;314537;NOVORIZONTE;2.242;2.429;2.605;2.992;2.569;2.720;2.230;2.969;3.714;2.658;2.161;2.280;
PB;251490;SÃO MAMEDE;1.317;2.083;1.819;2.111;1.942;1.937;1.596;2.131;2.251;2.219;2.362;2.353;
TO;170270;AURORA DO TOCANTINS;683;668;983;1.019;1.431;1.410;1.225;1.653;1.854;1.589;1.415;1.153;
TO;170130;ARAGOMINAS;829;938;1.471;1.388;1.402;1.009;1.214;1.151;1.557;1.438;1.192;1.385;
SE;280380;MALHADA DOS BOIS;472;498;786;592;871;692;615;688;738;816;613;694;
CE;231140;QUIXERAMOBIM;8.665;10.568;10.947;11.134;12.094;10.348;9.489;9.804;12.702;8.174;9.481;11.427;
BA;291800;JEQUIÉ;13.257;16.237;18.773;18.397;17.375;18.109;12.843;16.288;18.312;16.154;13.649;13.569;
SP;354220;RANCHARIA;8.055;11.619;13.824;12.239;12.801;11.229;11.368;11.468;12.108;10.123;9.770;11.429;
RS;430558;COLINAS;1.619;2.218;2.104;2.127;2.002;2.074;1.855;1.518;2.549;1.769;1.690;1.741;
MG;315360;PRUDENTE DE MORAIS;1.200;1.730;1.708;1.174;1.754;1.615;1.286;1.479;1.859;1.982;1.110;1.611;
AL;270830;SÃO JOSÉ DA LAJE;4.277;5.915;6.438;6.080;6.282;6.755;4.930;5.665;7.798;5.348;3.415;4.354;
TO;171150;JAÚ DO TOCANTINS;688;905;909;742;896;687;776;724;915;671;700;612;
GO;521130;ITARUMÃ;737;1.098;1.947;1.505;1.479;1.419;1.856;1.464;1.619;1.444;1.394;1.756;
PI;220192;BONFIM DO PIAUÍ;849;1.597;1.840;1.678;1.286;1.335;1.331;1.799;2.001;1.353;1.459;1.490;
SP;351130;CEDRAL;10.878;10.257;11.603;11.745;10.281;9.429;10.160;10.613;10.531;8.323;8.314;7.382;
AL;270040;ATALAIA;5.449;7.620;7.622;6.937;7.622;7.663;5.486;6.448;8.100;6.702;5.630;6.325;
PI;220730;PAES LANDIM;173;387;251;453;560;557;600;757;930;635;605;651;
MG;313330;ITAOBIM;4.885;6.131;6.418;6.634;6.508;6.726;4.862;6.031;7.276;6.816;4.615;5.354;
PI;220440;GILBUÉS;1.136;1.685;1.052;1.151;1.163;1.163;1.365;1.339;2.089;1.893;1.261;1.489;
PB;250550;VISTA SERRANA;883;731;893;820;774;819;677;949;1.175;770;837;622;
BA;292780;SANTA CRUZ DA VITÓRIA;686;799;1.033;902;881;886;660;844;1.102;942;748;593;
AM;130006;AMATURÁ;781;1.153;1.378;1.560;1.565;1.601;2.690;1.947;1.723;1.208;1.327;1.577;
MG;310680;BIAS FORTES;263;802;715;827;677;1.098;486;574;425;426;403;364;
MG;312150;DESTERRO DO MELO;932;988;1.252;1.363;1.392;1.471;1.477;1.542;1.843;1.407;1.193;1.111;
MG;313700;LADAINHA;1.914;3.168;3.968;4.386;4.926;4.105;3.572;4.122;5.089;4.009;2.912;2.895;
SC;420860;JABORÁ;0;1.351;2.160;1.625;2.310;2.485;2.068;1.998;2.045;831;1.064;786;
CE;231395;VARJOTA;4.327;5.092;5.249;5.917;5.675;4.899;4.740;5.492;7.880;4.969;4.629;5.574;
RS;432190;TRÊS PASSOS;8.360;8.368;9.978;8.283;8.637;8.203;8.589;7.308;12.031;11.641;9.002;7.954;
RS;431455;PIRAPÓ;868;960;844;738;630;747;795;590;954;829;867;640;
PR;410290;BITURUNA;2.948;4.236;4.774;4.840;5.396;5.064;4.916;4.596;5.645;5.175;4.680;3.055;
MT;510780;SANTO ANTÔNIO DO LEVERGER;1.572;2.159;4.083;3.618;3.811;2.742;3.112;2.805;3.463;3.727;3.525;4.200;
PB;251260;QUIXABÁ;462;961;448;677;621;509;657;790;814;533;873;701;
RS;431242;MORMAÇO;1.083;1.367;1.318;1.063;1.343;1.246;1.256;794;1.157;976;1.283;1.290;
RS;430990;IBIRAIARAS;1.474;1.688;1.987;1.925;1.876;1.790;1.808;1.841;1.913;1.685;1.163;1.499;
SP;355150;SERRANA;4.337;5.973;6.796;6.141;6.679;5.237;4.986;5.570;5.663;5.198;4.686;4.519;
MG;315270;PRADOS;1.462;2.065;2.032;2.107;2.169;2.411;1.660;2.365;4.759;3.054;1.852;2.030;
PB;250220;BOM JESUS;794;1.363;1.686;1.479;1.439;1.758;826;1.116;1.384;893;1.020;956;
SP;352210;ITANHAÉM;5.153;6.724;7.743;5.697;6.880;0;5.783;5.575;5.639;5.877;1.396;8.117;
SP;350730;BORACÉIA;2.022;2.529;2.859;2.963;3.219;2.217;2.671;2.758;3.636;3.781;3.610;3.362;
SP;350055;ÁGUAS DE SANTA BÁRBARA;4.970;5.749;6.311;6.277;4.073;4.360;5.291;6.364;6.071;5.702;4.326;4.732;
MG;312595;FERVEDOURO;1.396;1.627;1.354;1.694;2.848;2.458;1.557;1.239;2.282;1.516;1.271;954;
PB;250280;BREJO DO CRUZ;2.304;3.319;2.924;2.405;3.103;3.222;2.915;3.550;4.047;3.917;3.544;3.399;
GO;521270;MAMBAÍ;737;1.214;1.437;1.611;1.898;1.506;1.370;1.989;2.399;2.029;1.320;1.318;
MG;312710;FRUTAL;9.293;10.198;10.449;12.066;11.717;11.163;11.226;11.795;13.219;11.323;11.065;11.045;
AC;120040;RIO BRANCO;37.741;40.544;46.146;43.118;43.291;35.935;40.860;41.662;46.618;34.299;34.775;42.239;
SP;352680;LENÇÓIS PAULISTA;15.507;17.809;21.143;20.988;20.963;17.738;18.497;20.013;21.875;19.612;17.829;17.381;
MA;210370;CURURUPU;3.530;5.743;6.652;5.930;4.964;5.574;4.556;8.869;6.561;4.518;3.035;3.498;
PI;220900;RIO GRANDE DO PIAUÍ;538;711;700;698;779;926;755;917;917;947;769;997;
RJ;330190;ITABORAÍ;16.763;21.291;25.632;24.548;26.290;25.592;23.856;21.959;24.428;21.719;19.221;23.790;
PR;410520;CERRO AZUL;1.755;2.841;3.181;2.083;2.792;2.008;2.013;2.012;1.636;1.392;1.653;998;
RS;431410;PASSO FUNDO;36.213;42.515;47.727;43.224;44.685;41.963;40.570;40.955;47.538;38.148;34.697;41.135;
GO;520630;CRISTIANÓPOLIS;365;783;960;900;812;790;993;916;979;888;917;871;
MS;500460;ITAQUIRAÍ;2.795;3.962;4.147;5.134;4.021;4.299;4.320;4.167;4.704;4.492;3.669;3.938;
PI;220755;PAQUETÁ;482;742;667;599;653;482;572;495;704;503;422;475;
BA;293330;VITÓRIA DA CONQUISTA;25.092;33.384;35.630;32.175;30.839;30.764;25.300;30.777;37.798;30.476;24.491;23.937;
GO;521880;RIO VERDE;32.136;43.331;46.557;46.574;44.402;42.656;44.763;49.240;52.193;39.883;39.348;38.052;
PA;150495;NOVA ESPERANÇA DO PIRIÁ;875;1.376;1.131;934;1.006;1.182;1.204;1.533;1.585;1.299;1.089;1.232;
PR;412440;SANTO ANTÔNIO DO SUDOESTE;7.189;8.439;8.920;8.861;8.747;8.319;7.111;8.244;11.221;9.966;8.132;0;
RS;430495;CASEIROS;2.122;2.291;2.490;2.011;2.079;2.374;2.338;2.182;2.550;2.141;2.004;2.003;
SP;350750;BOTUCATU;27.473;33.040;37.056;38.026;35.402;25.994;34.077;43.023;49.178;38.644;28.942;27.151;
MG;311350;CARBONITA;1.494;1.523;1.979;1.959;1.676;1.968;1.993;1.949;2.163;2.307;1.711;2.095;
PA;150808;TUCUMÃ;4.260;4.715;5.710;5.933;5.189;3.778;4.515;5.939;5.938;4.599;4.940;6.097;
RS;431200;MARIANO MORO;1.289;1.265;1.657;1.781;1.651;1.743;1.801;1.774;2.269;2.353;2.193;2.152;
RN;241410;TENENTE ANANIAS;379;708;393;391;428;376;384;545;1.252;726;606;641;
RS;430781;ESTRELA VELHA;509;642;713;670;876;715;491;660;825;725;660;968;
