Secretaria de Atenção Primária à Saúde - SAPS/MS 
Dados sujeitos à alteração 
---Descrição dos Filtros Utilizados---
"Competência: DEZ/2025, NOV/2025, OUT/2025, SET/2025, AGO/2025, JUL/2025, JUN/2025, MAI/2025, ABR/2025, MAR/2025, FEV/2025, JAN/2025."
Tipo de Produção: Atendimento Odontológico.


Uf;Ibge;Municipio;DEZ/2025;NOV/2025;OUT/2025;SET/2025;AGO/2025;JUL/2025;JUN/2025;MAI/2025;ABR/2025;MAR/2025;FEV/2025;JAN/2025;
ES;320160;CONCEIÇÃO DA BARRA;0;386;326;392;347;297;288;424;288;411;393;330;
SP;353480;OURO VERDE;289;303;451;474;387;370;355;485;302;444;433;414;
MA;210407;FEIRA NOVA DO MARANHÃO;180;272;273;328;387;357;314;368;377;374;394;0;
SC;420070;ALFREDO WAGNER;230;362;406;375;312;311;296;355;346;214;328;350;
SC;421770;SOMBRIO;755;950;1.151;1.185;1.030;1.070;853;1.005;788;1.045;1.058;798;
MG;313290;ITAMOGI;372;396;566;577;1.233;531;489;671;751;1.348;351;632;
GO;520790;FLORES DE GOIÁS;903;545;664;615;601;503;488;550;539;449;600;510;
MG;311030;CALDAS;423;404;537;582;454;562;331;398;485;484;547;458;
BA;292170;MORRO DO CHAPÉU;414;688;772;886;798;523;411;485;69;0;0;0;
PE;260392;CARNAUBEIRA DA PENHA;36;122;57;47;97;102;21;85;16;0;0;0;
PR;411200;JAGUARIAÍVA;1.016;1.275;1.511;1.622;1.561;1.801;1.478;1.660;1.576;1.380;1.580;1.419;
BA;292145;MIRANTE;181;292;470;393;218;382;238;399;336;183;104;25;
MS;500295;CHAPADÃO DO SUL;677;787;993;865;606;505;429;572;590;562;566;499;
MA;211200;TASSO FRAGOSO;108;222;288;322;390;198;284;383;263;240;212;29;
ES;320370;MUNIZ FREIRE;550;552;630;721;762;724;861;1.027;977;1.138;1.061;612;
BA;292430;PIATÃ;0;250;224;321;240;314;234;279;248;247;348;332;
AL;270360;JAPARATINGA;613;507;508;464;410;349;378;378;386;358;334;337;
MA;211220;TIMON;5.416;6.949;8.511;8.938;8.157;7.308;5.677;6.529;5.788;5.336;6.134;2.760;
PB;250153;BARAÚNA;136;185;386;580;331;422;361;374;331;298;312;68;
RS;430820;FLORES DA CUNHA;744;635;829;711;624;704;388;567;587;611;572;522;
MT;510620;NOVA BRASILÂNDIA;196;263;254;242;385;336;322;293;285;314;348;354;
