Secretaria de Atenção Primária à Saúde - SAPS/MS 
Dados sujeitos à alteração 
---Descrição dos Filtros Utilizados---
"Competência: DEZ/2024, NOV/2024, OUT/2024, SET/2024, AGO/2024, JUL/2024, JUN/2024, MAI/2024, ABR/2024, MAR/2024, FEV/2024, JAN/2024."
Tipo de Produção: Procedimento.


Uf;Ibge;Municipio;DEZ/2024;NOV/2024;OUT/2024;SET/2024;AGO/2024;JUL/2024;JUN/2024;MAI/2024;ABR/2024;MAR/2024;FEV/2024;JAN/2024;
RN;241460;UPANEMA;3.173;2.886;2.927;3.036;3.365;4.024;2.916;3.388;3.601;2.732;2.984;3.028;
BA;290740;CATOLÂNDIA;643;1.050;1.352;1.503;1.538;1.386;1.220;1.392;1.989;1.470;1.197;1.286;
TO;170210;ARAGUAÍNA;27.348;34.964;52.776;51.977;45.043;38.905;51.020;47.021;53.351;44.633;42.887;44.469;
MG;312820;GUARACIABA;904;1.599;1.762;1.650;1.965;1.844;1.999;2.246;2.072;1.909;1.920;2.281;
PE;260030;AGRESTINA;3.369;6.885;5.984;4.854;6.277;4.853;3.476;4.593;6.507;3.966;3.033;3.236;
AL;270380;JOAQUIM GOMES;1.141;3.577;4.170;4.121;3.735;4.722;3.105;3.553;4.143;3.425;1.963;0;
ES;320340;MIMOSO DO SUL;5.843;6.938;7.021;8.516;7.990;8.151;7.188;4.190;4.188;5.913;4.643;4.859;
BA;291077;FEIRA DA MATA;1.829;2.014;2.097;2.297;2.143;1.634;1.638;1.749;2.132;1.790;1.628;1.933;
MA;210955;RIBAMAR FIQUENE;2.106;1.789;2.342;2.025;2.123;2.182;1.578;2.102;2.313;2.020;1.954;1.566;
PB;250077;APARECIDA;1.230;2.599;2.409;2.366;2.179;2.404;1.884;1.928;2.803;1.621;1.444;2.222;
MG;315720;SANTA BÁRBARA;8.465;12.057;13.474;14.521;15.037;13.508;10.002;11.987;12.398;10.646;10.526;12.101;
PR;412215;RIO BONITO DO IGUAÇU;7.185;10.905;11.374;11.291;11.509;9.270;9.872;11.120;14.376;10.598;8.260;6.596;
AP;160070;TARTARUGALZINHO;3.458;3.729;3.612;3.060;3.067;2.998;3.045;3.405;4.107;4.366;3.673;3.662;
SC;420160;ARROIO TRINTA;1.999;2.808;3.490;2.980;3.113;2.566;2.929;2.530;2.843;2.541;2.706;2.918;
AL;270610;OURO BRANCO;3.136;3.969;4.232;3.918;4.436;4.049;3.498;4.953;5.512;4.379;2.943;3.294;
RS;430515;CERRO GRANDE;1.815;1.822;1.991;1.746;1.590;2.003;1.643;1.978;2.731;1.812;1.150;1.862;
RO;110050;NOVO HORIZONTE DO OESTE;2.317;2.386;2.951;2.245;2.095;2.607;2.355;2.564;3.716;2.931;2.745;2.762;
GO;520050;ALOÂNDIA;51;172;183;235;212;244;207;247;296;365;274;308;
MG;311410;CARMO DE MINAS;4.660;4.734;5.196;5.313;5.434;5.179;4.594;4.443;5.519;4.829;3.598;3.927;
MG;312140;DESTERRO DE ENTRE RIOS;3.849;4.664;5.689;6.106;6.279;6.211;7.328;6.287;7.584;7.059;4.845;5.142;
GO;520780;FIRMINÓPOLIS;4.344;5.125;7.250;6.491;5.148;4.998;5.247;5.949;6.051;5.699;4.593;4.179;
SP;352770;LUIZIÂNIA;2.797;3.221;3.897;3.837;3.954;3.484;3.879;3.245;4.077;3.954;3.579;3.165;
ES;320160;CONCEIÇÃO DA BARRA;6.255;6.272;7.504;8.844;7.199;7.803;7.323;7.047;8.208;8.382;7.511;7.823;
SP;353480;OURO VERDE;7.483;7.528;10.016;10.162;9.266;8.556;9.720;8.094;9.793;8.512;7.666;8.212;
MA;210407;FEIRA NOVA DO MARANHÃO;823;1.277;616;982;624;1.035;1.054;1.268;1.864;1.676;1.550;2.014;
SC;420070;ALFREDO WAGNER;2.717;3.388;4.253;3.650;3.402;3.925;3.371;3.213;3.774;3.667;3.180;3.401;
SC;421770;SOMBRIO;6.647;8.426;10.963;9.365;8.861;8.716;9.097;8.049;9.376;8.746;4.542;7.284;
MG;313290;ITAMOGI;4.026;5.304;4.940;5.165;6.574;6.249;3.984;5.510;6.776;4.255;5.593;5.886;
BA;292170;MORRO DO CHAPÉU;3.717;8.331;10.640;13.240;9.699;10.654;7.890;8.378;10.461;8.007;5.593;7.344;
GO;520790;FLORES DE GOIÁS;4.380;5.287;5.557;5.907;5.636;5.072;4.477;4.672;5.624;4.158;3.770;3.982;
MG;311030;CALDAS;3.762;6.741;7.081;6.893;6.749;5.875;6.987;6.284;8.485;5.968;6.384;6.029;
PE;260392;CARNAUBEIRA DA PENHA;1.087;960;765;620;490;671;396;398;571;457;453;432;
PR;411200;JAGUARIAÍVA;4.727;9.359;10.530;10.566;9.905;10.662;10.025;10.425;11.257;9.229;8.554;8.017;
MS;500295;CHAPADÃO DO SUL;12.436;18.078;16.494;19.887;18.237;17.931;19.720;21.059;23.937;49.001;35.622;36.580;
BA;292145;MIRANTE;1.629;2.737;3.490;3.411;4.040;3.798;2.184;3.362;3.773;3.624;2.997;1.872;
MA;211200;TASSO FRAGOSO;1.118;1.306;1.316;1.616;1.721;1.305;2.004;1.675;1.942;1.698;1.613;1.934;
ES;320370;MUNIZ FREIRE;4.518;7.556;8.609;9.331;7.035;8.411;5.501;5.356;5.905;5.813;3.297;3.657;
BA;292430;PIATÃ;2.895;3.590;3.674;3.693;3.160;3.874;2.555;3.902;4.924;4.028;2.644;2.655;
