Secretaria de Atenção Primária à Saúde - SAPS/MS 
Dados sujeitos à alteração 
---Descrição dos Filtros Utilizados---
"Competência: DEZ/2024, NOV/2024, OUT/2024, SET/2024, AGO/2024, JUL/2024, JUN/2024, MAI/2024, ABR/2024, MAR/2024, FEV/2024, JAN/2024."
Tipo de Produção: Visita Domiciliar.


Uf;Ibge;Municipio;DEZ/2024;NOV/2024;OUT/2024;SET/2024;AGO/2024;JUL/2024;JUN/2024;MAI/2024;ABR/2024;MAR/2024;FEV/2024;JAN/2024;
SP;350350;AREIAS;1.677;2.000;2.087;2.681;2.402;2.389;1.846;1.678;2.416;1.794;2.355;2.373;
PR;411690;NOVA ESPERANÇA;1.736;2.306;4.344;4.398;4.082;3.500;3.826;4.396;4.370;3.706;3.665;3.614;
GO;520235;ARENÓPOLIS;1.808;2.031;1.950;1.771;2.603;1.038;2.261;1.785;1.955;1.849;1.853;1.911;
PI;220975;SÃO GONÇALO DO GURGUÉIA;549;1.029;568;792;1.083;434;1.057;942;1.491;610;1.479;1.982;
PR;410560;CIDADE GAÚCHA;3.473;5.511;6.011;7.247;6.753;5.917;7.041;7.936;8.038;7.928;7.867;5.210;
RJ;330550;SAQUAREMA;21.171;20.782;37.192;23.347;15.457;24.085;24.877;23.366;21.608;20.007;22.823;19.808;
GO;521205;JESÚPOLIS;1.494;1.563;1.255;1.101;1.286;1.310;1.124;1.795;1.743;784;1.427;1.403;
SP;353500;PALESTINA;2.522;4.496;4.413;4.049;4.206;5.266;5.413;5.684;5.806;5.445;5.482;6.188;
GO;520170;ARAGARÇAS;3.370;3.213;4.355;2.400;4.142;4.840;4.371;5.337;5.857;5.387;5.500;4.489;
RS;430495;CASEIROS;908;220;188;245;240;1.407;1.433;787;1.621;1.705;989;943;
MG;311350;CARBONITA;5.340;5.981;6.764;8.238;7.859;6.943;5.564;5.472;5.568;5.123;4.370;5.466;
SP;350750;BOTUCATU;20.949;24.747;29.785;28.400;30.108;25.956;32.795;29.747;28.634;20.865;22.762;25.249;
PA;150808;TUCUMÃ;14.214;19.555;20.954;18.183;19.262;16.403;20.067;21.085;21.304;19.804;16.791;24.758;
RS;431200;MARIANO MORO;1.977;2.266;1.327;1.675;1.985;2.019;1.356;1.293;1.002;1.245;1.300;1.017;
RS;430781;ESTRELA VELHA;1.081;1.386;1.140;998;1.405;1.401;808;1.154;1.209;1.308;1.454;920;
RN;241410;TENENTE ANANIAS;2.722;3.174;3.056;3.256;2.796;3.266;1.991;3.646;3.683;3.750;3.256;3.963;
GO;522130;TRÊS RANCHOS;1.082;1.561;1.487;1.298;1.002;353;1.415;1.373;1.110;546;885;1.045;
BA;291960;MACAJUBA;4.908;5.504;6.011;5.580;5.223;5.850;2.112;3.992;4.029;4.144;4.655;4.413;
PI;220560;LANDRI SALES;3.910;6.377;7.213;6.278;6.002;4.999;6.518;5.741;6.522;5.281;5.671;5.541;
PB;250915;MARIZÓPOLIS;3.330;4.876;6.188;4.985;4.708;3.950;4.065;6.470;5.596;5.035;5.132;4.447;
PB;251630;SUMÉ;6.217;3.719;4.254;10.316;11.547;9.608;7.406;9.631;11.132;10.054;6.341;8.699;
BA;292230;MURITIBA;13.165;20.183;19.173;15.502;15.843;18.139;14.720;16.116;17.227;16.678;15.940;18.631;
SP;350830;CABRÁLIA PAULISTA;3.363;4.541;4.553;4.057;4.640;4.319;4.532;4.755;4.091;3.743;4.984;4.655;
GO;521971;SANTO ANTÔNIO DA BARRA;471;1.035;658;298;703;530;701;645;809;244;483;625;
SP;354220;RANCHARIA;9.342;11.513;14.059;13.269;10.683;11.467;15.303;13.842;17.098;6.936;10.302;12.717;
RS;430558;COLINAS;459;848;448;195;389;294;371;134;1.131;676;800;730;
