"""Munic¡pio de notifica‡Æo"";""Ign/Branco"";""Inconclusivo"";""Dengue"";""Dengue com sinais de alarme"";""Dengue grave"";""Total"""
"""110001 ALTA FLORESTA D'OESTE"";-;8;248;-;-;256"
"""110002 ARIQUEMES"";-;3;82;-;-;85"
"""110003 CABIXI"";-;5;8;-;-;13"
"""110004 CACOAL"";-;-;163;15;1;179"
"""110005 CEREJEIRAS"";-;3;47;-;-;50"
"""110006 COLORADO DO OESTE"";-;6;55;-;-;61"
"""110007 CORUMBIARA"";-;5;23;-;-;28"
"""110008 COSTA MARQUES"";-;106;17;-;-;123"
"""110009 ESPIGAO D'OESTE"";-;158;91;-;-;249"
"""110010 GUAJARA-MIRIM"";-;-;18;-;-;18"
"""110011 JARU"";-;19;93;-;-;112"
"""110012 JI-PARANA"";-;6;147;1;-;154"
"""110013 MACHADINHO D'OESTE"";1;22;59;-;-;82"
"""110014 NOVA BRASILANDIA D'OESTE"";-;1;130;7;-;138"
"""110015 OURO PRETO DO OESTE"";-;4;13;-;-;17"
"""110018 PIMENTA BUENO"";-;1;79;-;-;80"
"""110020 PORTO VELHO"";-;30;577;1;2;610"
"""110025 PRESIDENTE MEDICI"";-;47;99;-;-;146"
"""110026 RIO CRESPO"";-;3;58;-;-;61"
"""110028 ROLIM DE MOURA"";1;34;841;1;1;878"
"""110029 SANTA LUZIA D'OESTE"";-;8;26;-;-;34"
"""110030 VILHENA"";1;9;316;1;-;327"
"""110032 SAO MIGUEL DO GUAPORE"";-;44;12;-;-;56"
"""110033 NOVA MAMORE"";-;17;47;-;-;64"
"""110034 ALVORADA D'OESTE"";-;2;17;-;-;19"
"""110037 ALTO ALEGRE DOS PARECIS"";-;1;49;-;-;50"
"""110040 ALTO PARAISO"";-;2;11;-;-;13"
"""110045 BURITIS"";-;206;13;-;-;219"
"""110050 NOVO HORIZONTE DO OESTE"";-;5;78;-;-;83"
"""110060 CACAULANDIA"";-;1;65;1;-;67"
"""110070 CAMPO NOVO DE RONDONIA"";-;1;16;-;-;17"
"""110080 CANDEIAS DO JAMARI"";-;135;44;-;-;179"
"""110090 CASTANHEIRAS"";-;11;29;-;-;40"
"""110092 CHUPINGUAIA"";-;4;33;-;-;37"
"""110094 CUJUBIM"";-;3;73;1;-;77"
"""110100 GOVERNADOR JORGE TEIXEIRA"";-;-;10;-;-;10"
"""110110 ITAPUA DO OESTE"";-;-;1;-;-;1"
"""110120 MINISTRO ANDREAZZA"";-;-;25;-;-;25"
"""110130 MIRANTE DA SERRA"";-;2;4;-;-;6"
"""110140 MONTE NEGRO"";1;28;16;-;-;45"
"""110143 NOVA UNIAO"";-;7;-;-;-;7"
"""110145 PARECIS"";-;10;45;-;-;55"
"""110146 PIMENTEIRAS DO OESTE"";-;52;3;-;-;55"
"""110147 PRIMAVERA DE RONDONIA"";-;9;35;-;-;44"
"""110148 SAO FELIPE D'OESTE"";-;14;101;-;-;115"
"""110149 SAO FRANCISCO DO GUAPORE"";-;-;8;-;1;9"
"""110150 SERINGUEIRAS"";-;1;9;-;-;10"
"""110155 TEIXEIROPOLIS"";-;-;6;1;-;7"
"""110160 THEOBROMA"";-;9;10;-;-;19"
"""110170 URUPA"";-;1;16;-;-;17"
"""110175 VALE DO ANARI"";-;1;101;-;-;102"
"""110180 VALE DO PARAISO"";-;5;8;-;-;13"
"""120001 ACRELANDIA"";-;1;6;-;-;7"
"""120005 ASSIS BRASIL"";-;19;400;-;-;419"
"""120010 BRASILEIA"";-;29;899;-;-;928"
"""120013 BUJARI"";-;27;-;-;-;27"
"""120017 CAPIXABA"";-;20;5;-;-;25"
"""120020 CRUZEIRO DO SUL"";25;170;1209;18;4;1426"
"""120025 EPITACIOLANDIA"";-;-;109;-;-;109"
"""120030 FEIJO"";-;482;7;1;-;490"
"""120033 MANCIO LIMA"";-;93;114;-;-;207"
"""120034 MANOEL URBANO"";-;2;43;1;-;46"
"""120035 MARECHAL THAUMATURGO"";-;159;113;1;-;273"
