"""Munic¡pio de notifica‡Æo"";""Ign/Branco"";""Cura"";""àbito pelo agravo notificado"";""àbito por outra causa"";""àbito em investiga‡Æo"";""Total"""
"""110001 ALTA FLORESTA D'OESTE"";9;247;-;-;-;256"
"""110002 ARIQUEMES"";9;75;1;-;-;85"
"""110003 CABIXI"";12;1;-;-;-;13"
"""110004 CACOAL"";4;173;1;1;-;179"
"""110005 CEREJEIRAS"";3;47;-;-;-;50"
"""110006 COLORADO DO OESTE"";6;55;-;-;-;61"
"""110007 CORUMBIARA"";6;22;-;-;-;28"
"""110008 COSTA MARQUES"";117;6;-;-;-;123"
"""110009 ESPIGAO D'OESTE"";164;84;1;-;-;249"
"""110010 GUAJARA-MIRIM"";-;18;-;-;-;18"
"""110011 JARU"";23;89;-;-;-;112"
"""110012 JI-PARANA"";74;79;-;-;1;154"
"""110013 MACHADINHO D'OESTE"";20;62;-;-;-;82"
"""110014 NOVA BRASILANDIA D'OESTE"";2;136;-;-;-;138"
"""110015 OURO PRETO DO OESTE"";8;9;-;-;-;17"
"""110018 PIMENTA BUENO"";2;78;-;-;-;80"
"""110020 PORTO VELHO"";39;569;1;1;-;610"
"""110025 PRESIDENTE MEDICI"";47;99;-;-;-;146"
"""110026 RIO CRESPO"";3;58;-;-;-;61"
"""110028 ROLIM DE MOURA"";49;829;-;-;-;878"
"""110029 SANTA LUZIA D'OESTE"";8;26;-;-;-;34"
"""110030 VILHENA"";18;309;-;-;-;327"
"""110032 SAO MIGUEL DO GUAPORE"";45;11;-;-;-;56"
"""110033 NOVA MAMORE"";27;37;-;-;-;64"
"""110034 ALVORADA D'OESTE"";4;15;-;-;-;19"
"""110037 ALTO ALEGRE DOS PARECIS"";7;43;-;-;-;50"
"""110040 ALTO PARAISO"";2;11;-;-;-;13"
"""110045 BURITIS"";207;12;-;-;-;219"
"""110050 NOVO HORIZONTE DO OESTE"";19;64;-;-;-;83"
"""110060 CACAULANDIA"";3;64;-;-;-;67"
"""110070 CAMPO NOVO DE RONDONIA"";13;4;-;-;-;17"
"""110080 CANDEIAS DO JAMARI"";170;9;-;-;-;179"
"""110090 CASTANHEIRAS"";26;14;-;-;-;40"
"""110092 CHUPINGUAIA"";4;33;-;-;-;37"
"""110094 CUJUBIM"";4;73;-;-;-;77"
"""110100 GOVERNADOR JORGE TEIXEIRA"";-;10;-;-;-;10"
"""110110 ITAPUA DO OESTE"";-;1;-;-;-;1"
"""110120 MINISTRO ANDREAZZA"";-;25;-;-;-;25"
"""110130 MIRANTE DA SERRA"";5;1;-;-;-;6"
"""110140 MONTE NEGRO"";29;16;-;-;-;45"
"""110143 NOVA UNIAO"";7;-;-;-;-;7"
"""110145 PARECIS"";10;45;-;-;-;55"
"""110146 PIMENTEIRAS DO OESTE"";52;3;-;-;-;55"
"""110147 PRIMAVERA DE RONDONIA"";9;35;-;-;-;44"
"""110148 SAO FELIPE D'OESTE"";15;100;-;-;-;115"
"""110149 SAO FRANCISCO DO GUAPORE"";-;8;1;-;-;9"
