"""Munic¡pio de notifica‡Æo"";""Em branco/IGN"";""<1 Ano"";""1-4"";""5-9"";""10-14"";""15-19"";""20-39"";""40-59"";""60-64"";""65-69"";""70-79"";""80 e +"";""Total"""
"""110001 ALTA FLORESTA D'OESTE"";-;5;5;3;6;8;19;15;5;5;7;-;78"
"""110002 ARIQUEMES"";-;1;3;5;2;-;5;7;4;2;-;-;29"
"""110003 CABIXI"";-;1;-;-;-;2;2;12;1;-;-;-;18"
"""110004 CACOAL"";-;7;11;8;7;3;33;24;7;8;8;8;124"
"""110005 CEREJEIRAS"";-;2;2;1;8;2;8;18;5;3;3;4;56"
"""110006 COLORADO DO OESTE"";-;-;-;1;1;3;3;5;-;2;-;-;15"
"""110007 CORUMBIARA"";-;-;2;1;8;1;21;30;4;2;3;2;74"
"""110008 COSTA MARQUES"";-;-;-;-;1;-;7;5;1;-;-;-;14"
"""110009 ESPIGAO D'OESTE"";-;-;1;9;12;5;51;49;9;3;11;3;153"
"""110010 GUAJARA-MIRIM"";-;-;-;-;-;-;5;2;-;1;1;-;9"
"""110011 JARU"";-;1;4;6;5;3;55;32;9;2;4;3;124"
"""110012 JI-PARANA"";-;2;4;15;31;37;167;101;13;6;5;3;384"
"""110013 MACHADINHO D'OESTE"";-;-;-;1;1;1;3;4;-;-;-;-;10"
"""110014 NOVA BRASILANDIA D'OESTE"";-;-;-;-;4;3;3;5;4;1;4;-;24"
"""110015 OURO PRETO DO OESTE"";-;1;-;3;2;1;13;2;-;-;2;-;24"
"""110018 PIMENTA BUENO"";-;-;-;1;-;2;7;7;1;3;1;2;24"
"""110020 PORTO VELHO"";-;3;15;14;18;20;59;54;4;7;14;2;210"
"""110025 PRESIDENTE MEDICI"";-;2;1;6;4;6;12;11;5;4;2;-;53"
"""110028 ROLIM DE MOURA"";-;3;4;18;22;17;69;68;8;2;7;2;220"
"""110029 SANTA LUZIA D'OESTE"";-;-;-;-;1;-;6;4;-;-;-;-;11"
"""110030 VILHENA"";-;15;10;26;25;26;145;100;11;16;7;2;383"
"""110032 SAO MIGUEL DO GUAPORE"";-;-;2;1;1;-;13;15;1;-;-;1;34"
"""110033 NOVA MAMORE"";-;-;-;3;1;1;9;2;-;-;2;-;18"
"""110034 ALVORADA D'OESTE"";-;-;-;-;-;-;2;1;2;-;1;-;6"
"""110037 ALTO ALEGRE DOS PARECIS"";-;-;1;-;1;3;9;12;-;-;-;-;26"
"""110040 ALTO PARAISO"";-;3;2;-;2;-;5;5;1;-;2;-;20"
"""110045 BURITIS"";-;3;2;4;2;1;8;5;-;-;-;-;25"
"""110050 NOVO HORIZONTE DO OESTE"";-;-;-;-;1;1;1;2;-;1;-;-;6"
"""110060 CACAULANDIA"";-;-;1;1;1;1;3;7;-;1;1;-;16"
"""110070 CAMPO NOVO DE RONDONIA"";-;-;-;-;-;-;3;1;1;-;-;-;5"
"""110080 CANDEIAS DO JAMARI"";-;1;-;1;1;3;12;8;4;1;1;-;32"
"""110090 CASTANHEIRAS"";-;-;-;2;3;5;7;5;2;-;2;-;26"
"""110092 CHUPINGUAIA"";-;1;-;1;2;3;6;5;2;1;1;-;22"
"""110094 CUJUBIM"";-;1;-;-;2;-;4;4;-;-;-;1;12"
"""110100 GOVERNADOR JORGE TEIXEIRA"";-;-;-;-;-;-;-;2;-;1;-;-;3"
"""110110 ITAPUA DO OESTE"";-;-;3;1;-;1;4;7;2;1;4;-;23"
"""110120 MINISTRO ANDREAZZA"";-;-;-;-;-;-;-;1;-;-;-;-;1"
"""110130 MIRANTE DA SERRA"";-;-;1;-;2;3;2;7;-;-;-;-;15"
"""110140 MONTE NEGRO"";-;-;3;-;-;-;2;2;1;-;-;-;8"
"""110143 NOVA UNIAO"";-;-;1;1;2;-;11;3;1;-;-;-;19"
"""110145 PARECIS"";-;1;-;-;-;-;3;4;-;2;-;-;10"
"""110146 PIMENTEIRAS DO OESTE"";-;-;-;1;-;-;4;6;1;1;1;-;14"
"""110147 PRIMAVERA DE RONDONIA"";-;-;-;1;2;-;1;2;-;-;-;-;6"
"""110148 SAO FELIPE D'OESTE"";-;-;-;-;1;-;-;1;1;-;-;-;3"
"""110149 SAO FRANCISCO DO GUAPORE"";-;-;5;2;-;4;10;8;-;1;1;1;32"
"""110150 SERINGUEIRAS"";-;-;-;1;1;-;5;1;-;-;-;-;8"
"""110155 TEIXEIROPOLIS"";-;-;1;-;-;-;1;1;-;1;-;-;4"
"""110160 THEOBROMA"";-;-;1;1;-;-;2;-;-;-;-;-;4"
"""110170 URUPA"";-;-;-;-;-;-;2;3;2;-;1;-;8"
"""110175 VALE DO ANARI"";-;2;6;3;16;9;36;28;5;3;6;3;117"
"""110180 VALE DO PARAISO"";-;-;-;-;1;-;-;-;-;-;-;-;1"
"""120001 ACRELANDIA"";-;-;-;1;1;1;7;1;-;1;-;-;12"
"""120005 ASSIS BRASIL"";-;-;-;4;1;4;28;22;2;6;4;-;71"
"""120010 BRASILEIA"";-;2;1;4;9;12;38;24;-;-;1;1;92"
