"""Munic¡pio de notifica‡Æo"";""Ign/Branco"";""Sim"";""NÆo"";""Total"""
"""110001 ALTA FLORESTA D'OESTE"";11;44;201;256"
"""110002 ARIQUEMES"";28;2;55;85"
"""110003 CABIXI"";11;-;2;13"
"""110004 CACOAL"";-;45;134;179"
"""110005 CEREJEIRAS"";3;3;44;50"
"""110006 COLORADO DO OESTE"";15;6;40;61"
"""110007 CORUMBIARA"";5;5;18;28"
"""110008 COSTA MARQUES"";118;-;5;123"
"""110009 ESPIGAO D'OESTE"";182;2;65;249"
"""110010 GUAJARA-MIRIM"";1;1;16;18"
"""110011 JARU"";22;1;89;112"
"""110012 JI-PARANA"";9;3;142;154"
"""110013 MACHADINHO D'OESTE"";20;-;62;82"
"""110014 NOVA BRASILANDIA D'OESTE"";1;9;128;138"
"""110015 OURO PRETO DO OESTE"";1;2;14;17"
"""110018 PIMENTA BUENO"";1;3;76;80"
"""110020 PORTO VELHO"";422;32;156;610"
"""110025 PRESIDENTE MEDICI"";51;2;93;146"
"""110026 RIO CRESPO"";4;3;54;61"
"""110028 ROLIM DE MOURA"";76;8;794;878"
"""110029 SANTA LUZIA D'OESTE"";31;1;2;34"
"""110030 VILHENA"";17;22;288;327"
"""110032 SAO MIGUEL DO GUAPORE"";37;2;17;56"
"""110033 NOVA MAMORE"";61;-;3;64"
"""110034 ALVORADA D'OESTE"";4;-;15;19"
"""110037 ALTO ALEGRE DOS PARECIS"";4;2;44;50"
"""110040 ALTO PARAISO"";2;3;8;13"
"""110045 BURITIS"";215;-;4;219"
"""110050 NOVO HORIZONTE DO OESTE"";6;4;73;83"
"""110060 CACAULANDIA"";28;1;38;67"
"""110070 CAMPO NOVO DE RONDONIA"";7;1;9;17"
"""110080 CANDEIAS DO JAMARI"";171;-;8;179"
"""110090 CASTANHEIRAS"";14;5;21;40"
"""110092 CHUPINGUAIA"";8;-;29;37"
"""110094 CUJUBIM"";59;1;17;77"
"""110100 GOVERNADOR JORGE TEIXEIRA"";3;-;7;10"
"""110110 ITAPUA DO OESTE"";-;-;1;1"
"""110120 MINISTRO ANDREAZZA"";-;1;24;25"
"""110130 MIRANTE DA SERRA"";4;-;2;6"
"""110140 MONTE NEGRO"";29;-;16;45"
"""110143 NOVA UNIAO"";7;-;-;7"
"""110145 PARECIS"";2;32;21;55"
"""110146 PIMENTEIRAS DO OESTE"";53;1;1;55"
"""110147 PRIMAVERA DE RONDONIA"";42;-;2;44"
"""110148 SAO FELIPE D'OESTE"";110;1;4;115"
"""110149 SAO FRANCISCO DO GUAPORE"";-;3;6;9"
"""110150 SERINGUEIRAS"";-;1;9;10"
"""110155 TEIXEIROPOLIS"";4;1;2;7"
"""110160 THEOBROMA"";14;2;3;19"
"""110170 URUPA"";1;-;16;17"
"""110175 VALE DO ANARI"";7;8;87;102"
"""110180 VALE DO PARAISO"";9;3;1;13"
"""120001 ACRELANDIA"";2;-;5;7"
"""120005 ASSIS BRASIL"";16;1;402;419"
"""120010 BRASILEIA"";254;6;668;928"
"""120013 BUJARI"";25;-;2;27"
"""120017 CAPIXABA"";17;-;8;25"
"""120020 CRUZEIRO DO SUL"";166;112;1148;1426"
"""120025 EPITACIOLANDIA"";109;-;-;109"
"""120030 FEIJO"";6;6;478;490"
"""120033 MANCIO LIMA"";207;-;-;207"
"""120034 MANOEL URBANO"";25;4;17;46"
"""120035 MARECHAL THAUMATURGO"";17;40;216;273"
"""120038 PLACIDO DE CASTRO"";1;1;11;13"
"""120039 PORTO WALTER"";9;1;18;28"
"""120040 RIO BRANCO"";341;86;978;1405"
"""120042 RODRIGUES ALVES"";148;12;210;370"
"""120045 SENADOR GUIOMARD"";26;-;2;28"
"""120050 SENA MADUREIRA"";128;-;-;128"
"""120060 TARAUACA"";8;5;213;226"
"""120070 XAPURI"";1;5;24;30"
"""120080 PORTO ACRE"";8;-;-;8"
"""130002 ALVARAES"";20;-;64;84"
"""130006 AMATURA"";-;-;1;1"
"""130020 ATALAIA DO NORTE"";-;-;64;64"
"""130030 AUTAZES"";1;-;1;2"
"""130040 BARCELOS"";5;-;2;7"
"""130060 BENJAMIN CONSTANT"";1;-;-;1"
"""130063 BERURI"";8;-;35;43"
"""130068 BOA VISTA DO RAMOS"";-;-;2;2"
"""130070 BOCA DO ACRE"";-;-;9;9"
"""130080 BORBA"";4;-;3;7"
"""130083 CAAPIRANGA"";-;-;9;9"
"""130090 CANUTAMA"";161;-;1;162"
"""130100 CARAUARI"";-;-;19;19"
"""130110 CAREIRO"";-;-;12;12"
"""130115 CAREIRO DA VARZEA"";-;1;-;1"
"""130120 COARI"";84;14;307;405"
"""130130 CODAJAS"";115;11;178;304"
"""130140 EIRUNEPE"";-;-;43;43"
"""130150 ENVIRA"";7;25;850;882"
"""130165 GUAJARA"";40;26;869;935"
"""130170 HUMAITA"";9;1;26;36"
"""130180 IPIXUNA"";7;-;9;16"
"""130185 IRANDUBA"";-;-;25;25"
"""130190 ITACOATIARA"";1;3;20;24"
"""130210 JAPURA"";158;1;42;201"
"""130220 JURUA"";-;-;8;8"
"""130230 JUTAI"";85;1;603;689"
"""130240 LABREA"";661;7;16;684"
"""130250 MANACAPURU"";2;-;44;46"
"""130255 MANAQUIRI"";4;1;2;7"
"""130260 MANAUS"";373;153;2044;2570"
"""130270 MANICORE"";47;-;1;48"
"""130280 MARAA"";7;1;3;11"
"""130290 MAUES"";-;5;79;84"
"""130300 NHAMUNDA"";-;3;1;4"
"""130320 NOVO AIRAO"";14;1;-;15"
"""130330 NOVO ARIPUANA"";1;-;2;3"
"""130340 PARINTINS"";5;-;17;22"
"""130353 PRESIDENTE FIGUEIREDO"";1;1;19;21"
"""130356 RIO PRETO DA EVA"";4;-;4;8"
"""130370 SANTO ANTONIO DO ICA"";1;1;61;63"
"""130380 SAO GABRIEL DA CACHOEIRA"";43;-;1;44"
"""130390 SAO PAULO DE OLIVENCA"";4;-;-;4"
"""130395 SAO SEBASTIAO DO UATUMA"";2;-;6;8"
"""130406 TABATINGA"";-;1;59;60"
"""130410 TAPAUA"";3;4;175;182"
"""130420 TEFE"";298;2;77;377"
"""130423 TONANTINS"";4;1;227;232"
"""130440 URUCURITUBA"";2;-;1;3"
"""140002 AMAJARI"";-;-;2;2"
"""140005 ALTO ALEGRE"";35;1;-;36"
"""140010 BOA VISTA"";153;15;99;267"
