"""Munic¡pio de notifica‡Æo"";""Jan"";""Fev"";""Mar"";""Abr"";""Mai"";""Jun"";""Jul"";""Ago"";""Set"";""Out"";""Nov"";""Dez"";""Total"""
"""110001 ALTA FLORESTA D'OESTE"";8;2;4;10;11;9;10;2;6;9;5;2;78"
"""110002 ARIQUEMES"";2;-;4;8;3;3;-;1;-;2;2;4;29"
"""110003 CABIXI"";-;-;8;2;1;-;-;1;2;1;3;-;18"
"""110004 CACOAL"";4;17;18;12;10;20;12;11;10;3;5;2;124"
"""110005 CEREJEIRAS"";-;6;14;8;12;14;1;-;-;1;-;-;56"
"""110006 COLORADO DO OESTE"";2;1;1;-;-;4;5;-;2;-;-;-;15"
"""110007 CORUMBIARA"";8;12;13;15;13;6;3;1;-;-;1;2;74"
"""110008 COSTA MARQUES"";-;3;-;3;1;-;2;4;1;-;-;-;14"
"""110009 ESPIGAO D'OESTE"";3;2;12;25;35;39;12;10;5;5;4;1;153"
"""110010 GUAJARA-MIRIM"";1;1;1;-;-;-;-;-;1;-;2;3;9"
"""110011 JARU"";7;10;5;11;27;11;9;12;9;3;3;17;124"
"""110012 JI-PARANA"";7;14;36;102;85;33;27;14;17;14;17;18;384"
"""110013 MACHADINHO D'OESTE"";1;2;2;-;1;1;-;-;-;1;1;1;10"
"""110014 NOVA BRASILANDIA D'OESTE"";1;6;4;10;2;-;1;-;-;-;-;-;24"
"""110015 OURO PRETO DO OESTE"";1;1;3;2;4;-;2;3;1;2;2;3;24"
"""110018 PIMENTA BUENO"";1;-;2;-;1;4;9;4;1;-;2;-;24"
"""110020 PORTO VELHO"";24;18;39;29;40;14;12;10;9;9;2;4;210"
"""110025 PRESIDENTE MEDICI"";1;4;12;11;6;5;2;1;1;2;4;4;53"
"""110028 ROLIM DE MOURA"";6;7;74;104;13;10;1;-;1;1;-;3;220"
"""110029 SANTA LUZIA D'OESTE"";-;-;1;2;6;-;1;-;1;-;-;-;11"
"""110030 VILHENA"";16;31;91;20;98;57;34;11;3;5;8;9;383"
"""110032 SAO MIGUEL DO GUAPORE"";2;-;4;1;2;-;-;1;1;2;2;19;34"
"""110033 NOVA MAMORE"";1;6;3;5;3;-;-;-;-;-;-;-;18"
"""110034 ALVORADA D'OESTE"";2;-;-;-;-;2;-;-;1;-;-;1;6"
"""110037 ALTO ALEGRE DOS PARECIS"";4;6;16;-;-;-;-;-;-;-;-;-;26"
"""110040 ALTO PARAISO"";2;7;9;-;1;-;-;-;-;-;-;1;20"
"""110045 BURITIS"";12;-;3;1;-;2;-;-;1;-;2;4;25"
"""110050 NOVO HORIZONTE DO OESTE"";-;1;2;3;-;-;-;-;-;-;-;-;6"
"""110060 CACAULANDIA"";2;4;2;-;1;1;2;-;-;-;1;3;16"
"""110070 CAMPO NOVO DE RONDONIA"";1;-;1;1;-;1;1;-;-;-;-;-;5"
"""110080 CANDEIAS DO JAMARI"";1;2;-;3;12;4;2;2;2;-;2;2;32"
"""110090 CASTANHEIRAS"";3;2;1;10;7;-;1;1;-;-;1;-;26"
"""110092 CHUPINGUAIA"";1;-;1;5;9;-;3;-;-;-;-;3;22"
"""110094 CUJUBIM"";1;2;-;-;-;2;-;-;3;2;1;1;12"
"""110100 GOVERNADOR JORGE TEIXEIRA"";2;-;-;-;1;-;-;-;-;-;-;-;3"
"""110110 ITAPUA DO OESTE"";1;-;2;5;3;1;1;1;1;7;1;-;23"
"""110120 MINISTRO ANDREAZZA"";-;-;-;-;-;-;-;1;-;-;-;-;1"
"""110130 MIRANTE DA SERRA"";-;2;2;3;6;1;1;-;-;-;-;-;15"
"""110140 MONTE NEGRO"";1;1;-;-;-;-;-;-;2;2;-;2;8"
"""110143 NOVA UNIAO"";1;3;3;6;1;5;-;-;-;-;-;-;19"
"""110145 PARECIS"";1;-;1;2;4;1;1;-;-;-;-;-;10"
"""110146 PIMENTEIRAS DO OESTE"";-;-;6;7;1;-;-;-;-;-;-;-;14"
"""110147 PRIMAVERA DE RONDONIA"";-;1;-;-;1;-;-;-;-;2;1;1;6"
"""110148 SAO FELIPE D'OESTE"";-;-;1;-;-;-;-;-;-;1;-;1;3"
"""110149 SAO FRANCISCO DO GUAPORE"";1;3;1;15;2;6;2;-;-;-;2;-;32"
"""110150 SERINGUEIRAS"";-;-;-;-;-;1;-;3;1;1;1;1;8"
"""110155 TEIXEIROPOLIS"";-;1;-;1;1;-;-;-;-;1;-;-;4"
"""110160 THEOBROMA"";-;-;-;-;-;-;-;-;1;3;-;-;4"
"""110170 URUPA"";3;2;-;1;1;1;-;-;-;-;-;-;8"
"""110175 VALE DO ANARI"";3;10;7;13;20;17;-;4;13;9;4;17;117"
"""110180 VALE DO PARAISO"";-;-;-;1;-;-;-;-;-;-;-;-;1"
"""120001 ACRELANDIA"";6;-;-;1;-;-;-;-;-;-;3;2;12"
"""120005 ASSIS BRASIL"";3;21;16;6;9;1;1;3;5;3;2;1;71"
"""120010 BRASILEIA"";16;14;12;9;5;2;6;2;9;4;5;8;92"
"""120013 BUJARI"";11;16;9;4;7;-;-;1;2;3;1;2;56"
"""120017 CAPIXABA"";4;3;5;5;5;2;1;2;-;2;-;1;30"
"""120020 CRUZEIRO DO SUL"";779;708;371;249;145;109;90;59;50;57;55;82;2754"
"""120025 EPITACIOLANDIA"";3;10;8;8;4;1;1;1;-;-;6;1;43"
"""120030 FEIJO"";158;180;127;64;43;4;1;2;-;8;9;4;600"
"""120033 MANCIO LIMA"";33;21;17;3;3;1;10;11;18;8;10;7;142"
"""120034 MANOEL URBANO"";35;14;1;-;2;-;1;3;2;4;1;4;67"
