"""Município de notificação"";""Semana 01"";""Semana 02"";""Semana 03"";""Semana 04"";""Semana 05"";""Semana 06"";""Semana 07"";""Semana 08"";""Semana 09"";""Semana 10"";""Semana 11"";""Semana 12"";""Semana 13"";""Semana 14"";""Semana 15"";""Semana 16"";""Semana 17"";""Semana 18"";""Semana 19"";""Semana 20"";""Semana 21"";""Semana 22"";""Semana 23"";""Semana 24"";""Semana 25"";""Semana 26"";""Semana 27"";""Semana 28"";""Semana 29"";""Semana 30"";""Semana 31"";""Semana 32"";""Semana 33"";""Semana 34"";""Semana 35"";""Semana 36"";""Semana 37"";""Semana 38"";""Semana 39"";""Semana 40"";""Semana 41"";""Semana 42"";""Semana 43"";""Semana 44"";""Semana 45"";""Semana 46"";""Semana 47"";""Semana 48"";""Semana 49"";""Semana 50"";""Semana 51"";""Semana 52"";""Total"""
"""110001 ALTA FLORESTA D'OESTE"";1;-;-;-;-;1;-;-;1;-;1;-;-;-;1;1;4;11;17;15;14;14;4;15;3;4;3;9;9;4;5;3;6;1;4;2;6;12;7;4;5;2;11;5;10;11;24;24;36;22;35;7;374"
"""110002 ARIQUEMES"";6;9;14;15;13;21;40;47;97;46;55;74;48;64;72;55;43;45;28;18;24;24;17;11;18;19;16;23;16;7;8;8;6;1;3;5;2;7;2;5;7;1;6;3;1;7;9;6;9;5;20;10;1116"
"""110003 CABIXI"";-;-;-;-;-;-;-;-;3;4;6;4;4;2;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;26"
"""110004 CACOAL"";105;101;109;110;134;117;175;160;142;125;130;82;118;86;80;63;31;35;34;21;23;16;15;3;13;18;2;7;8;6;5;2;5;3;3;2;2;12;2;1;2;3;3;5;8;5;8;6;15;13;15;4;2193"
"""110005 CEREJEIRAS"";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;4;-;4;3;1;-;1;-;-;-;2;-;2;1;-;1;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;1;-;1;1;26"
"""110006 COLORADO DO OESTE"";-;-;-;-;-;-;-;-;-;1;-;1;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5"
"""110008 COSTA MARQUES"";-;-;-;-;-;1;1;-;-;-;-;-;-;1;-;-;-;1;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;1;1;1;1;-;-;1;6;3;8;1;2;1;-;-;-;-;-;-;33"
"""110009 ESPIGAO D'OESTE"";1;1;-;-;1;6;16;8;9;5;9;26;43;34;57;43;38;40;31;23;25;13;17;5;12;5;5;2;1;3;3;1;2;-;-;-;-;-;-;-;-;-;-;-;-;2;1;1;1;-;-;-;490"
"""110010 GUAJARA-MIRIM"";-;1;6;-;3;-;4;3;1;1;10;1;2;-;-;2;1;4;2;1;-;1;1;-;1;4;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;1;-;-;1;-;1;3;8;10;77"
"""110011 JARU"";2;-;1;1;3;-;2;6;3;7;14;5;19;6;11;11;8;5;9;9;10;14;14;11;5;13;5;6;9;8;2;7;2;3;1;4;4;12;12;15;32;24;38;50;52;103;101;145;98;152;179;91;1344"
"""110012 JI-PARANA"";7;11;12;16;27;26;27;20;31;38;17;13;11;18;15;24;14;22;17;19;8;9;12;9;12;15;10;9;9;8;9;3;10;9;8;5;3;10;4;3;1;2;1;1;2;2;24;20;35;37;51;40;766"
"""110013 MACHADINHO D'OESTE"";1;4;1;3;2;4;3;3;5;8;5;5;18;24;12;32;30;23;15;1;4;12;4;-;-;1;3;2;1;-;1;9;-;-;-;1;-;1;-;-;-;1;2;2;-;1;1;5;-;1;1;-;252"
"""110014 NOVA BRASILANDIA D'OESTE"";4;3;6;4;3;5;6;6;7;14;23;43;39;38;52;49;39;32;40;23;14;35;19;17;9;10;11;11;9;8;4;3;8;9;4;7;7;5;6;5;6;8;1;3;2;4;6;6;4;3;3;2;685"
"""110015 OURO PRETO DO OESTE"";1;1;-;4;1;-;-;-;-;1;1;1;1;5;2;-;-;2;1;2;3;-;1;1;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;1;-;-;-;1;2;-;-;1;2;1;3;-;41"
"""110018 PIMENTA BUENO"";-;3;1;1;-;1;3;3;4;6;10;11;5;8;9;14;9;15;12;9;6;4;2;-;6;2;7;4;7;3;5;4;2;5;-;10;3;1;1;3;1;2;3;5;4;3;8;5;16;32;20;15;313"
"""110020 PORTO VELHO"";36;38;20;12;41;60;58;42;70;68;104;122;127;97;105;95;106;86;68;74;56;46;51;24;31;28;32;30;22;19;20;18;11;8;11;2;9;9;4;2;2;4;3;8;10;15;25;23;13;17;23;14;2019"
"""110025 PRESIDENTE MEDICI"";4;4;1;3;2;2;2;10;28;24;14;18;12;7;15;9;4;5;4;12;3;2;3;-;3;2;3;2;4;4;1;4;2;-;2;2;1;-;-;1;-;-;-;-;1;-;1;1;2;1;-;-;225"
"""110026 RIO CRESPO"";-;-;-;1;-;-;-;2;-;1;-;4;4;2;-;-;2;3;-;-;1;-;-;-;1;-;-;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24"
"""110028 ROLIM DE MOURA"";-;1;-;1;1;5;3;4;2;7;4;4;4;7;6;12;12;11;14;16;18;10;7;6;11;4;4;3;2;7;5;3;1;2;3;3;4;5;1;6;3;1;-;4;10;3;5;3;3;5;3;-;259"
"""110029 SANTA LUZIA D'OESTE"";1;-;1;-;-;-;-;1;1;2;2;4;1;-;-;-;2;1;2;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;1;1;5;3;16;12;2;10;15;7;98"
"""110030 VILHENA"";10;2;2;5;4;7;14;9;7;5;14;2;14;11;23;17;18;38;30;22;24;30;15;22;20;10;25;17;17;18;24;24;23;14;12;18;14;10;23;13;13;53;19;44;31;35;100;85;93;129;66;27;1322"
"""110032 SAO MIGUEL DO GUAPORE"";1;16;35;7;-;1;-;-;1;-;1;-;2;-;2;1;2;3;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;76"
"""110033 NOVA MAMORE"";-;2;1;2;3;-;1;4;-;1;-;-;1;2;-;-;1;2;1;5;1;1;3;1;3;2;1;7;-;-;1;1;-;1;-;-;-;-;-;3;1;2;2;1;3;2;4;9;5;4;8;13;105"
"""110034 ALVORADA D'OESTE"";-;1;-;-;1;-;1;2;-;-;-;1;1;2;-;4;2;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;4;7;30;31;26;30;27;176"
"""110037 ALTO ALEGRE DOS PARECIS"";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2;1;1;-;-;1;12"
"""110040 ALTO PARAISO"";-;1;2;1;2;-;-;-;1;-;1;-;3;-;2;-;2;11;5;-;4;4;6;1;2;-;1;1;2;3;-;-;1;-;1;-;-;-;-;-;4;2;1;1;8;6;4;2;4;3;2;-;94"
"""110045 BURITIS"";26;19;35;40;30;23;13;13;14;8;8;9;5;5;1;5;4;3;5;5;5;8;3;11;10;-;3;2;-;4;1;-;-;-;-;2;1;6;-;1;4;5;1;1;1;5;1;3;2;11;2;1;365"
"""110060 CACAULANDIA"";-;2;2;1;8;5;3;2;-;3;1;1;-;1;1;-;2;2;-;-;1;2;-;1;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;5;4;4;56"
